unit,mean,std,n,individual_ratings
A car accident blocked off one lane of the highway. John was late to pick up his daughter from school.,4.0,1.9494,30,"[5, 3, 2, 5, 7, 3, 4, 5, 4, 1, 5, 4, 6, 1, 7, 6, 2, 7, 3, 7, 2, 2, 1, 3, 6, 4, 3, 6, 1, 5]"
A drop of water from the ceiling fell onto the outlet. The appliances in the kitchen short-circuited.,3.4,1.8726,30,"[3, 3, 1, 7, 1, 7, 4, 2, 5, 7, 5, 1, 6, 1, 4, 4, 5, 2, 3, 2, 3, 1, 4, 4, 4, 3, 3, 1, 1, 5]"
A flight attendant collected all the empty cups. The pilot announced the descent over the intercom.,3.0667,1.7876,30,"[3, 1, 2, 3, 6, 2, 4, 3, 5, 7, 2, 1, 6, 1, 4, 6, 2, 5, 3, 4, 1, 1, 2, 1, 1, 4, 3, 5, 1, 3]"
A garden brings color to a backyard. Flowers add beauty to a windowsill.,5.9,1.3748,30,"[7, 7, 7, 7, 7, 6, 6, 6, 5, 7, 5, 7, 7, 4, 7, 6, 2, 7, 6, 7, 7, 3, 5, 5, 7, 3, 7, 6, 5, 6]"
A high-quality coffee shop is a staple of any town. Everyone needs their daily caffeine hit.,3.4667,1.9276,30,"[3, 2, 2, 3, 7, 2, 4, 3, 5, 7, 5, 1, 6, 1, 7, 3, 2, 5, 2, 2, 1, 4, 1, 4, 4, 6, 1, 2, 3, 6]"
A melody was stuck in Jim's head all day. Aaron couldn't get the catchy tune out of his mind.,1.4483,1.2481,29,"[1, 1, 1, 1, 1, 1, 2, 2, 7, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1]"
A new career training program was offered recently. Employment rates for local residents went up.,1.6552,1.0915,29,"[1, 1, 1, 1, 1, 1, 3, 2, 4, 4, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 4, 4, 1, 1, 1]"
A new tech startup opened its doors last month. The firm specializes in software for small businesses.,2.0667,1.6111,30,"[3, 1, 1, 2, 1, 1, 2, 2, 4, 7, 3, 1, 1, 1, 6, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 6, 2, 1, 1, 1]"
A powerful earthquake struck Japan this morning. The tremor registered a magnitude of 7.5.,4.8667,1.8209,30,"[7, 5, 2, 5, 6, 5, 3, 5, 4, 7, 7, 1, 7, 2, 7, 3, 3, 7, 6, 7, 5, 5, 5, 6, 1, 4, 4, 5, 5, 7]"
A social media platform improved its privacy settings. Users felt more secure about their personal information.,1.5,1.3102,30,"[1, 1, 1, 1, 1, 1, 1, 2, 4, 7, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]"
A teacher began using new creative methods. Student engagement and participation levels increased.,2.1333,1.6879,30,"[2, 1, 1, 1, 7, 1, 3, 2, 4, 7, 3, 1, 5, 1, 1, 1, 2, 3, 2, 1, 1, 2, 1, 1, 1, 4, 2, 1, 1, 1]"
A well-stocked bookshelf can transform a living room. Books can provide knowledge and act as stylish dcor,3.4,1.9079,30,"[3, 1, 1, 5, 5, 5, 6, 2, 4, 7, 4, 1, 7, 1, 3, 6, 2, 3, 4, 1, 1, 5, 1, 2, 1, 4, 3, 5, 4, 5]"
Anna was reluctant to say goodbye and lingered at the door. Chris was able to walk away without hesitation.,2.2,1.6,30,"[1, 1, 1, 2, 2, 2, 2, 2, 5, 7, 1, 1, 2, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 3, 1, 4, 3, 4, 1, 3]"
