unit,mean,std,n,individual_ratings
"Because when the baby is crying, the mother gets upset, the father will help.",3.0635,1.5227,63,"[5, 2, 3, 1, 2, 2, 2, 3, 3, 6, 1, 3, 2, 6, 3, 2, 7, 3, 4, 6, 2, 6, 3, 4, 5, 2, 2, 5, 5, 4, 3, 3, 2, 2, 6, 5, 2, 2, 2, 3, 1, 3, 5, 2, 3, 2, 3, 2, 2, 3, 3, 5, 2, 5, 1, 2, 1, 2, 2, 3, 2, 1, 4]"
"Google presented an innovation, and my colleagues applauded the originality of the innovation for no reason.",5.25,1.3887,8,"[7, 3, 4, 7, 6, 5, 5, 5]"
"Google presented an innovation, and the originality of the innovation amazed my colleagues for no reason.",4.875,1.126,8,"[5, 5, 3, 6, 4, 4, 6, 6]"
"Google presented an innovation, of which my colleagues applauded the originality for no reason.",3.125,1.6421,8,"[2, 3, 3, 2, 3, 3, 2, 7]"
"Google presented an innovation, of which the originality amazed my colleagues for no reason.",3.75,1.9086,8,"[2, 2, 6, 3, 6, 6, 3, 2]"
"Google presented an innovation, the originality of which amazed my colleagues for no reason.",5.5,1.1952,8,"[5, 5, 3, 6, 6, 7, 6, 6]"
"Google presented an innovation, the originality of which my colleagues applauded for no reason.",5.0,1.3093,8,"[6, 2, 5, 5, 6, 5, 5, 6]"
"Google presented an innovation, the originality which amazed my colleagues for no reason.",4.875,1.2464,8,"[5, 6, 2, 5, 5, 6, 5, 5]"
"Google presented an innovation, the originality which my colleagues applauded for no reason.",4.0,1.5119,8,"[4, 5, 3, 5, 1, 4, 6, 4]"
Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.,6.2698,0.9194,63,"[7, 7, 7, 7, 6, 7, 6, 6, 6, 6, 7, 5, 6, 6, 6, 7, 6, 7, 7, 4, 6, 7, 5, 5, 6, 7, 7, 7, 6, 4, 7, 6, 7, 7, 4, 5, 6, 7, 7, 6, 7, 6, 6, 7, 7, 6, 6, 7, 6, 3, 6, 7, 6, 7, 7, 6, 7, 7, 7, 5, 7, 7, 7]"
"In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.",6.3968,0.8336,63,"[7, 7, 7, 7, 6, 7, 6, 6, 5, 6, 6, 7, 7, 6, 7, 6, 7, 7, 7, 5, 6, 5, 7, 5, 7, 6, 7, 7, 7, 3, 6, 7, 7, 7, 5, 6, 6, 7, 7, 7, 7, 4, 7, 7, 6, 7, 6, 7, 6, 6, 6, 6, 7, 6, 7, 6, 7, 7, 7, 7, 7, 6, 7]"
Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.,6.125,0.8262,64,"[6, 7, 6, 6, 6, 7, 6, 6, 5, 6, 3, 6, 6, 6, 5, 7, 6, 7, 7, 6, 6, 6, 6, 5, 6, 6, 6, 7, 7, 4, 7, 6, 6, 7, 4, 6, 6, 5, 6, 7, 6, 6, 6, 7, 7, 5, 6, 6, 7, 7, 6, 6, 7, 6, 7, 6, 6, 7, 7, 7, 5, 7, 6, 7]"
"Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.",6.2656,0.9798,64,"[7, 7, 7, 7, 6, 7, 6, 6, 5, 6, 3, 6, 6, 7, 7, 7, 7, 7, 7, 5, 7, 6, 5, 4, 7, 6, 7, 7, 7, 4, 6, 7, 7, 7, 6, 6, 5, 7, 6, 7, 7, 6, 5, 7, 7, 3, 7, 6, 7, 6, 7, 7, 7, 6, 6, 6, 5, 7, 7, 7, 6, 6, 6, 7]"
"The Chinese developed a missile, and the Koreans feared the precision of the missile after the unsuccessful talks.",4.625,1.1877,8,"[5, 5, 2, 5, 5, 4, 6, 5]"
"The Chinese developed a missile, and the precision of the missile worried the Koreans after the unsuccessful talks.",4.5,1.9272,8,"[6, 3, 2, 7, 2, 6, 5, 5]"
"The Chinese developed a missile, of which the Koreans feared the precision after the unsuccessful talks.",3.0,1.291,7,"[3, 1, 5, 3, 4, 2, 3]"
"The Chinese developed a missile, of which the precision worried the Koreans after the unsuccessful talks.",3.875,1.3562,8,"[3, 6, 4, 5, 5, 3, 3, 2]"
"The Chinese developed a missile, the precision of which the Koreans feared after the unsuccessful talks.",5.0,1.069,8,"[3, 5, 6, 6, 4, 5, 6, 5]"
"The Chinese developed a missile, the precision of which worried the Koreans after the unsuccessful talks.",5.5714,0.7868,7,"[6, 5, 5, 6, 5, 5, 7]"
"The Chinese developed a missile, the precision which the Koreans feared after the unsuccessful talks.",3.5,1.4142,8,"[2, 2, 3, 5, 5, 2, 4, 5]"
"The Chinese developed a missile, the precision which worried the Koreans after the unsuccessful talks.",4.375,1.5059,8,"[3, 6, 5, 5, 6, 2, 3, 5]"
"The administrator assigned an office, and the new employee disliked the size of the office because it was smaller than a closet.",4.125,1.6421,8,"[5, 3, 2, 6, 6, 2, 5, 4]"
"The administrator assigned an office, and the size of the office disappointed the new employee because it was smaller than a closet.",5.0,1.291,7,"[5, 3, 5, 5, 4, 7, 6]"
"The administrator assigned an office, of which the employee disliked the size because it was smaller than a closet.",4.0,1.6903,8,"[2, 5, 2, 2, 5, 5, 5, 6]"
"The administrator assigned an office, of which the size disappointed the new employee because it was smaller than a closet.",4.375,1.4079,8,"[2, 5, 6, 3, 6, 5, 4, 4]"
"The administrator assigned an office, the size of which disappointed the new employee because it was smaller than a closet.",4.875,0.991,8,"[5, 6, 3, 5, 5, 6, 4, 5]"
"The administrator assigned an office, the size of which the new employee disliked because it was smaller than a closet.",5.25,1.165,8,"[6, 6, 4, 3, 5, 6, 6, 6]"
"The administrator assigned an office, the size which disappointed the new employee because it was smaller than a closet.",4.5,1.069,8,"[4, 5, 3, 6, 5, 5, 5, 3]"
"The administrator assigned an office, the size which the new employee disliked because it was smaller than a closet.",4.75,1.0351,8,"[4, 5, 6, 5, 3, 6, 5, 4]"
The agent approached the publicists about the photo-shoot.,6.3226,0.8253,62,"[7, 7, 7, 6, 5, 7, 6, 3, 6, 6, 7, 6, 6, 6, 7, 7, 6, 6, 7, 6, 7, 7, 6, 6, 7, 7, 7, 7, 6, 4, 5, 7, 7, 7, 7, 5, 6, 6, 7, 7, 7, 6, 5, 7, 6, 7, 6, 6, 5, 6, 6, 7, 7, 7, 6, 6, 7, 6, 6, 7, 7, 7]"
"The archeologist arrived at a pyramid, and all visiting kings admired the height of the pyramid in ancient times.",4.0,1.4142,8,"[2, 5, 5, 5, 3, 3, 3, 6]"
"The archeologist arrived at a pyramid, and the height of the pyramid impressed all visiting kings in ancient times.",4.875,1.9594,8,"[5, 3, 1, 6, 5, 6, 6, 7]"
"The archeologist arrived at a pyramid, of which all visiting kings admired the height in ancient times.",4.625,1.5059,8,"[2, 5, 6, 5, 6, 6, 4, 3]"
"The archeologist arrived at a pyramid, of which the height impressed all visiting kings in ancient times.",4.4286,1.5119,7,"[5, 2, 6, 3, 5, 4, 6]"
