unit,mean,std,n,individual_ratings,item_type
A bystander was rescued by the fireman in the nick of time.,3.875,1.0999,32,"[1, 5, 5, 5, 5, 4, 3, 5, 4, 2, 5, 4, 3, 4, 3, 3, 5, 5, 5, 4, 3, 5, 4, 2, 4, 4, 3, 4, 2, 5, 4, 4]",filler
A legislator lied to the consultant about a new bill.,4.1875,1.0298,32,"[1, 5, 4, 5, 4, 4, 5, 3, 4, 2, 5, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 4, 5, 3, 5, 5, 5, 4, 3, 4, 5, 3]",filler
A socialite was greeted by the butler with a plate of caviar.,4.0312,1.1212,32,"[1, 4, 3, 5, 5, 3, 3, 5, 2, 3, 5, 5, 4, 5, 4, 4, 5, 4, 5, 5, 4, 5, 5, 1, 4, 4, 4, 4, 4, 5, 5, 4]",filler
An analyst angered the economist after he interrupted a phone conference five times.,3.5,1.0776,32,"[1, 4, 3, 5, 4, 4, 3, 4, 3, 3, 5, 5, 4, 4, 4, 3, 4, 4, 5, 2, 1, 4, 3, 2, 3, 5, 4, 4, 4, 3, 3, 2]",filler
The CEO assigned an analyst an office.,3.8333,0.9832,6,"[4, 4, 4, 5, 4, 2]",test
The CEO assigned an analyst the office.,2.0,1.4142,2,"[1, 3]",test
The CEO assigned an office to an analyst.,3.2,0.8367,5,"[2, 4, 3, 3, 4]",test
The CEO assigned an office to the analyst.,4.0,1.0,3,"[5, 4, 3]",test
The CEO assigned the analyst the office.,3.5,0.7071,2,"[4, 3]",test
The CEO assigned the office to an analyst.,3.2857,1.6036,7,"[2, 1, 5, 4, 4, 5, 2]",test
The CEO assigned the office to the analyst.,4.3333,0.5164,6,"[4, 4, 5, 4, 4, 5]",test
The Viking raided a village in search of the warrior.,3.8125,0.9311,32,"[1, 4, 3, 2, 4, 4, 4, 4, 4, 2, 3, 4, 4, 5, 5, 4, 4, 5, 5, 4, 3, 4, 4, 3, 4, 4, 4, 4, 5, 3, 4, 5]",filler
The acrobat respected the ballerina because she went to Juilliard.,4.125,1.1288,32,"[1, 5, 5, 5, 5, 5, 4, 5, 1, 4, 5, 5, 4, 5, 3, 4, 5, 4, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 2, 5, 3, 3]",filler
The advisee opened a file for the visitor with some trepidation.,3.125,1.1846,32,"[1, 3, 3, 2, 3, 4, 2, 5, 3, 1, 5, 5, 4, 4, 5, 4, 3, 3, 4, 2, 2, 4, 3, 1, 4, 4, 2, 2, 2, 4, 3, 3]",filler
The alum was offended by the solicitor because he asked very personal questions.,3.6562,1.2078,32,"[1, 4, 4, 4, 4, 4, 5, 4, 2, 5, 5, 5, 4, 4, 2, 4, 4, 5, 5, 4, 1, 4, 2, 2, 5, 5, 2, 3, 4, 4, 3, 3]",filler
The archivist found a document dating back to the Nixon administration.,4.4688,0.9153,32,"[1, 4, 5, 5, 5, 4, 5, 5, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 4, 4, 5, 4, 4]",filler
The assistant printed a file for the editor after sorting some papers.,3.9062,1.0583,32,"[1, 5, 4, 2, 5, 4, 3, 3, 4, 4, 5, 5, 4, 5, 4, 4, 4, 4, 5, 3, 4, 5, 5, 2, 4, 5, 4, 4, 3, 5, 2, 4]",filler
The assistant reserved a historian a suite.,2.0,1.0,3,"[2, 3, 1]",test
The assistant reserved a historian the suite.,2.25,0.8864,8,"[2, 2, 2, 2, 2, 1, 3, 4]",test
The assistant reserved a suite for a historian.,3.0,1.4142,2,"[4, 2]",test
The assistant reserved a suite for the historian.,4.75,0.4629,8,"[5, 5, 4, 5, 5, 5, 4, 5]",test
The assistant reserved the historian a suite.,4.0,0.0,3,"[4, 4, 4]",test
The assistant reserved the historian the suite.,2.3333,1.1547,3,"[1, 3, 3]",test
The assistant reserved the suite for a historian.,3.3333,1.1547,3,"[4, 2, 4]",test
The assistant reserved the suite for the historian.,4.5,0.7071,2,"[5, 4]",test
The astronaut accepted the mission because nobody else was qualified.,4.2188,0.9413,32,"[1, 4, 4, 3, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 2, 4, 5, 5, 5, 4, 5, 4, 4, 4, 5, 4, 4, 4, 4, 5, 5, 3]",filler
The attorney handed a trashcan to an intern.,3.25,1.5,4,"[2, 4, 2, 5]",test
The attorney handed a trashcan to the intern.,3.75,1.2583,4,"[4, 4, 5, 2]",test
The attorney handed an intern a trashcan.,4.0,0.8944,6,"[4, 4, 3, 5, 3, 5]",test
The attorney handed an intern the trashcan.,3.4,0.5477,5,"[3, 3, 4, 4, 3]",test
The attorney handed the intern a trashcan.,3.0,2.8284,2,"[5, 1]",test
The attorney handed the intern the trashcan.,5.0,,1,[5],test
The attorney handed the trashcan to an intern.,3.25,1.7078,4,"[1, 4, 5, 3]",test
The attorney handed the trashcan to the intern.,4.3333,0.8165,6,"[5, 3, 5, 4, 5, 4]",test
The bartender offered a beer to a dancer.,3.6,1.5166,5,"[4, 1, 5, 4, 4]",test
The bartender offered a beer to the dancer.,5.0,0.0,3,"[5, 5, 5]",test
The bartender offered a dancer a beer.,3.8333,1.472,6,"[1, 5, 4, 4, 4, 5]",test
The bartender offered a dancer the beer.,3.2,1.3038,5,"[4, 2, 3, 5, 2]",test
The bartender offered the beer to a dancer.,5.0,,1,[5],test
The bartender offered the beer to the dancer.,3.3333,0.5774,3,"[3, 4, 3]",test
The bartender offered the dancer a beer.,4.2,0.8367,5,"[5, 5, 3, 4, 4]",test
The bartender offered the dancer the beer.,3.5,1.291,4,"[4, 3, 5, 2]",test
The beekeeper selected a honeycomb carefully from a hive of swarming bees.,3.9688,1.0313,32,"[1, 4, 3, 2, 5, 4, 3, 4, 4, 3, 5, 5, 4, 5, 3, 4, 4, 4, 5, 3, 2, 5, 5, 4, 4, 4, 4, 4, 5, 5, 5, 5]",filler
The boy showed a secretary a toy.,3.75,1.2583,4,"[2, 5, 4, 4]",test
The boy showed a secretary the toy.,3.5,0.7071,2,"[3, 4]",test
The boy showed a toy to the secretary.,4.0833,1.0836,12,"[5, 4, 5, 5, 5, 4, 4, 4, 2, 5, 4, 2]",test
The boy showed the secretary a toy.,5.0,,1,[5],test
The boy showed the secretary the toy.,4.2,1.0954,5,"[5, 5, 5, 3, 3]",test
The boy showed the toy to a secretary.,2.0,1.4142,2,"[1, 3]",test
The boy showed the toy to the secretary.,4.6,0.5477,5,"[4, 4, 5, 5, 5]",test
The butcher cleaned a knife before he sliced the ham.,4.2812,0.9914,32,"[1, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 4, 4, 5, 4, 3, 5, 3, 2, 4, 4, 5, 4, 3, 5, 5, 5]",filler
The cameraman followed a bridesmaid down the aisle with his camera.,4.0,1.164,32,"[1, 5, 4, 5, 5, 4, 3, 2, 4, 1, 5, 5, 4, 5, 3, 3, 5, 5, 5, 4, 3, 5, 4, 3, 5, 4, 5, 4, 3, 5, 4, 5]",filler
The cheerleader made a banner for a swimmer.,4.0,0.8165,4,"[4, 3, 5, 4]",test
The cheerleader made a banner for the swimmer.,2.6667,2.0817,3,"[1, 5, 2]",test
The cheerleader made a swimmer a banner.,2.8333,1.169,6,"[5, 3, 3, 2, 2, 2]",test
The cheerleader made a swimmer the banner.,2.0,1.4142,2,"[1, 3]",test
The cheerleader made the banner for a swimmer.,3.3333,1.2111,6,"[5, 3, 4, 4, 2, 2]",test
The cheerleader made the banner for the swimmer.,4.5,0.7071,2,"[5, 4]",test
The cheerleader made the swimmer a banner.,4.0,0.8944,6,"[3, 5, 5, 3, 4, 4]",test
The cheerleader made the swimmer the banner.,3.6667,0.5774,3,"[4, 3, 4]",test
The cheerleader was treated by a doctor who had been watching the game.,4.0,1.1359,32,"[1, 5, 2, 4, 5, 4, 4, 3, 5, 2, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 2, 3, 3, 5, 4, 5, 4, 3, 5, 3, 4]",filler
The choreographer found a film starring the lead in the musical.,3.375,1.4312,32,"[1, 5, 4, 2, 4, 4, 3, 5, 3, 2, 4, 5, 2, 5, 5, 2, 4, 4, 5, 2, 3, 5, 4, 1, 1, 5, 4, 4, 5, 2, 1, 2]",filler
The coach encouraged the team to score in the last quarter.,4.3438,1.0035,32,"[1, 5, 4, 5, 5, 4, 5, 2, 5, 4, 5, 4, 3, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 3, 5, 4, 5, 3, 5, 5, 5, 5]",filler
The colonel was knighted by the queen because of his loyalty.,4.125,0.9419,32,"[1, 3, 5, 3, 5, 4, 4, 5, 2, 3, 5, 4, 4, 5, 5, 4, 4, 4, 5, 5, 4, 4, 5, 4, 5, 4, 4, 4, 4, 5, 5, 4]",filler
The commissioner wrote a report for the chairman after a meeting on Thursday.,4.0,1.016,32,"[1, 5, 5, 4, 5, 4, 4, 3, 3, 4, 5, 4, 5, 5, 5, 3, 5, 4, 5, 2, 4, 4, 4, 2, 3, 4, 4, 4, 5, 5, 4, 4]",filler
The dealer shuffled the deck before distributing the cards.,4.3438,1.0659,32,"[1, 5, 5, 5, 5, 4, 5, 2, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 4, 4, 4, 4, 3, 5, 5, 5]",filler
The defendant misled a juryman when she said that she worked for the government.,3.8125,1.1483,32,"[1, 3, 5, 2, 4, 4, 4, 5, 4, 5, 5, 5, 5, 4, 2, 5, 4, 4, 5, 2, 4, 5, 4, 4, 4, 4, 4, 4, 3, 4, 3, 1]",filler
The editor saved a muffin for a typist.,3.4,0.8944,5,"[2, 4, 3, 4, 4]",test
The editor saved a muffin for the typist.,4.0,1.4142,2,"[3, 5]",test
The editor saved a typist a muffin.,2.6,1.3416,5,"[4, 2, 1, 4, 2]",test
The editor saved a typist the muffin.,1.5,0.7071,2,"[1, 2]",test
The editor saved the muffin for a typist.,3.5,1.6432,6,"[5, 2, 5, 5, 2, 2]",test
The editor saved the muffin for the typist.,4.5714,0.7868,7,"[5, 5, 4, 3, 5, 5, 5]",test
The editor saved the typist a muffin.,3.8,0.4472,5,"[4, 3, 4, 4, 4]",test
The executive offered a lamp to the engineer.,3.5,1.5166,6,"[1, 3, 5, 5, 4, 3]",test
The executive offered an engineer a lamp.,2.5,0.7071,2,"[3, 2]",test
The executive offered an engineer the lamp.,2.8,1.0954,5,"[2, 2, 4, 2, 4]",test
The executive offered the engineer a lamp.,3.4,1.1402,5,"[2, 5, 4, 3, 3]",test
The executive offered the engineer the lamp.,2.6,1.5166,5,"[2, 5, 3, 1, 2]",test
The executive offered the lamp to an engineer.,3.2,1.3038,5,"[4, 4, 1, 3, 4]",test
The executive offered the lamp to the engineer.,3.25,0.9574,4,"[3, 2, 4, 4]",test
The flight attendant gave a gift to a pilot.,3.75,0.9574,4,"[5, 3, 3, 4]",test
The flight attendant gave a gift to the pilot.,4.6667,0.5774,3,"[5, 5, 4]",test
The flight attendant gave a pilot a gift.,4.0,0.8165,4,"[5, 3, 4, 4]",test
The flight attendant gave a pilot the gift.,3.1429,1.3452,7,"[3, 2, 5, 2, 5, 3, 2]",test
The flight attendant gave the gift to the pilot.,4.5,0.8367,6,"[4, 5, 5, 5, 5, 3]",test
The flight attendant gave the pilot a gift.,4.75,0.5,4,"[5, 5, 4, 5]",test
The flight attendant gave the pilot the gift.,3.5,1.9149,4,"[1, 5, 5, 3]",test
The insurer paid the victim because his car had been destroyed.,4.0938,0.9625,32,"[1, 5, 3, 4, 5, 5, 5, 2, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 5, 3, 5, 4, 3, 5, 5, 5, 4, 3, 4, 5, 5]",filler
The intern begged a programmer to edit the program because it was due the next day.,3.875,1.008,32,"[1, 4, 4, 2, 4, 4, 4, 4, 3, 3, 5, 5, 4, 5, 3, 3, 4, 5, 5, 3, 4, 4, 5, 3, 4, 5, 4, 4, 4, 5, 2, 5]",filler
The jewelry-maker was commissioned by the millionaire because of his attention to detail.,4.2812,0.8884,32,"[1, 5, 5, 4, 5, 5, 4, 5, 4, 4, 5, 4, 4, 5, 5, 5, 5, 4, 4, 4, 3, 5, 5, 4, 5, 4, 5, 4, 3, 3, 4, 5]",filler
The librarian gave a novel to a student.,5.0,0.0,2,"[5, 5]",test
The librarian gave a novel to the student.,5.0,0.0,2,"[5, 5]",test
The librarian gave a student a novel.,4.75,0.5,4,"[5, 4, 5, 5]",test
The librarian gave a student the novel.,3.75,1.2817,8,"[4, 2, 3, 4, 5, 5, 5, 2]",test
The librarian gave the novel to a student.,3.6667,1.5275,3,"[5, 2, 4]",test
The librarian gave the novel to the student.,4.75,0.5,4,"[5, 5, 4, 5]",test
The librarian gave the student a novel.,5.0,0.0,4,"[5, 5, 5, 5]",test
The librarian gave the student the novel.,3.6,1.6733,5,"[1, 4, 5, 3, 5]",test
The manager fixed a carpenter a sandwich.,3.0,1.1547,4,"[2, 4, 4, 2]",test
The manager fixed a carpenter the sandwich.,4.0,1.4142,2,"[5, 3]",test
The manager fixed a sandwich for a carpenter.,4.2,0.8367,5,"[3, 5, 4, 5, 4]",test
The manager fixed a sandwich for the carpenter.,2.8889,1.453,9,"[4, 4, 1, 5, 2, 2, 4, 3, 1]",test
The manager fixed the carpenter a sandwich.,4.0,,1,[4],test
The manager fixed the carpenter the sandwich.,3.0,1.4142,2,"[2, 4]",test
The manager fixed the sandwich for a carpenter.,3.3333,1.0328,6,"[2, 4, 2, 4, 4, 4]",test
The manager fixed the sandwich for the carpenter.,2.3333,2.3094,3,"[1, 5, 1]",test
The musician made a scarf for the teacher.,3.4286,1.5119,7,"[4, 5, 3, 4, 1, 5, 2]",test
The musician made a teacher the scarf.,2.5,0.7071,2,"[3, 2]",test
The musician made the scarf for a teacher.,4.0,1.7321,3,"[5, 5, 2]",test
The musician made the scarf for the teacher.,2.7143,1.3801,7,"[1, 4, 4, 1, 4, 3, 2]",test
The musician made the teacher a scarf.,3.875,1.2464,8,"[1, 4, 4, 5, 5, 4, 4, 4]",test
The musician made the teacher the scarf.,2.4,0.5477,5,"[3, 3, 2, 2, 2]",test
The paramedic helped an invalid into the brick building.,3.0938,1.5731,32,"[1, 4, 1, 5, 5, 4, 4, 2, 1, 4, 5, 2, 2, 2, 3, 3, 1, 3, 5, 1, 4, 5, 1, 2, 5, 5, 4, 4, 4, 5, 1, 1]",filler
The performer lifted the acrobat onto her shoulders gracefully.,4.1562,1.0506,32,"[1, 5, 5, 4, 5, 3, 3, 5, 4, 2, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 3, 5, 4, 4, 4, 4, 4, 2, 4, 5, 5, 4]",filler
The pianist met with a beautician to prepare for her recital.,3.5312,1.3675,32,"[1, 4, 2, 4, 4, 3, 5, 5, 4, 3, 5, 5, 5, 5, 4, 4, 2, 4, 5, 2, 2, 4, 3, 1, 4, 4, 5, 4, 1, 5, 1, 3]",filler
The pirate stole the booty from an officer who was wounded.,3.25,1.3912,32,"[1, 3, 3, 2, 4, 5, 2, 2, 2, 3, 4, 5, 4, 2, 4, 4, 4, 5, 5, 1, 4, 4, 1, 1, 5, 4, 4, 2, 2, 5, 2, 5]",filler
