unit,mean,std,n,individual_ratings
Mary: A student failed for leaving class on an exam day when the professor arrived 20 minutes late and then gave the exam.,3.6667,1.2605,120,"[4, 5, 3, 5, 5, 3, 3, 5, 5, 2, 5, 2, 5, 3, 4, 2, 1, 3, 5, 4, 2, 2, 3, 4, 3, 2, 5, 4, 2, 3, 5, 5, 5, 3, 2, 5, 1, 3, 4, 5, 5, 4, 5, 5, 5, 5, 3, 5, 2, 5, 5, 5, 5, 2, 3, 2, 2, 2, 2, 3, 4, 4, 1, 4, 4, 4, 5, 2, 5, 3, 2, 3, 4, 3, 5, 4, 5, 5, 3, 4, 4, 5, 3, 5, 3, 5, 5, 4, 4, 5, 3, 4, 2, 2, 5, 4, 1, 5, 1, 5, 5, 2, 1, 5, 2, 4, 4, 5, 4, 4, 4, 4, 2, 5, 4, 5, 4, 4, 2, 4]"
Mary: Companies are producing products that are so complex that they break too easily to be safe for children.,3.625,1.111,120,"[3, 3, 5, 5, 5, 2, 5, 5, 3, 4, 3, 2, 4, 3, 4, 3, 2, 3, 5, 3, 4, 4, 5, 4, 4, 3, 4, 4, 2, 2, 4, 5, 4, 5, 4, 5, 2, 3, 3, 5, 3, 1, 5, 5, 5, 5, 5, 2, 2, 4, 4, 5, 4, 2, 2, 5, 5, 3, 2, 4, 4, 4, 1, 5, 3, 3, 5, 5, 2, 2, 2, 3, 4, 3, 3, 3, 4, 4, 2, 3, 4, 5, 5, 5, 5, 2, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 2, 5, 5, 5, 4, 2, 1, 5, 4, 3, 4, 4, 4, 4, 4, 3, 5, 4, 4, 5, 3, 3, 3, 5]"
Mary: For some reason gold has out-performed all other precious metals.,4.225,0.9351,120,"[4, 4, 3, 5, 4, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 2, 5, 3, 4, 3, 5, 5, 4, 3, 4, 5, 4, 4, 4, 5, 4, 5, 5, 5, 4, 3, 3, 5, 4, 5, 4, 4, 5, 5, 5, 3, 4, 5, 5, 5, 4, 5, 5, 5, 4, 3, 5, 5, 2, 5, 1, 5, 3, 4, 5, 5, 3, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 4, 5, 4, 3, 5, 5, 4, 5, 4, 4, 5, 4, 3, 2, 4, 5, 5, 5, 5, 4, 1, 4, 3, 4, 5, 2, 5, 3, 5, 4, 5, 5, 5, 5, 4, 2, 3, 5]"
Mary: I can't believe that bus and train companies are not more child friendly.,3.4538,1.3887,119,"[3, 5, 1, 3, 5, 5, 2, 5, 4, 5, 5, 4, 4, 5, 5, 3, 2, 5, 2, 3, 2, 5, 4, 4, 3, 1, 2, 5, 1, 4, 3, 5, 5, 5, 5, 2, 2, 2, 4, 5, 3, 2, 5, 2, 4, 4, 5, 5, 5, 5, 3, 1, 5, 5, 5, 4, 4, 2, 2, 5, 2, 3, 1, 5, 2, 3, 2, 5, 2, 3, 5, 3, 2, 4, 3, 5, 3, 5, 3, 3, 4, 3, 4, 5, 2, 1, 2, 5, 2, 2, 2, 3, 5, 3, 4, 1, 5, 5, 1, 2, 4, 1, 5, 1, 5, 5, 3, 4, 2, 5, 2, 5, 3, 5, 5, 3, 1, 3, 3]"
Mary: Only Georgia had a serious enough water shortage problem to warrant drastic measures.,4.1597,1.0531,119,"[4, 5, 3, 5, 5, 3, 4, 5, 4, 4, 5, 4, 4, 3, 5, 4, 3, 5, 5, 4, 5, 2, 4, 5, 4, 3, 5, 4, 2, 4, 5, 5, 3, 4, 4, 5, 2, 3, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 2, 5, 5, 5, 4, 4, 4, 5, 4, 4, 5, 5, 3, 5, 1, 5, 5, 4, 1, 5, 5, 3, 3, 4, 5, 4, 4, 5, 1, 4, 5, 4, 5, 4, 4, 5, 5, 4, 3, 5, 3, 5, 3, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 1, 5, 2, 5, 4, 2, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 4]"
Mary: Only one of the ushers who had forgotten his flashlight was able to borrow one that day.,3.1368,1.3003,117,"[4, 5, 1, 2, 5, 2, 2, 5, 4, 3, 4, 1, 4, 2, 5, 3, 3, 2, 3, 3, 1, 3, 4, 4, 4, 2, 4, 1, 3, 3, 4, 5, 5, 4, 2, 5, 2, 4, 5, 4, 1, 1, 2, 5, 4, 5, 1, 1, 2, 1, 4, 5, 4, 4, 4, 2, 2, 5, 4, 5, 1, 4, 2, 2, 3, 5, 2, 3, 3, 2, 4, 2, 3, 4, 4, 4, 1, 2, 3, 2, 4, 2, 2, 2, 1, 3, 2, 5, 3, 1, 2, 3, 5, 3, 2, 5, 5, 5, 3, 5, 2, 5, 3, 2, 1, 4, 3, 3, 4, 3, 5, 4, 2, 4, 3, 3, 3]"
"Mary: Only ten percent of the insect species will be endangered in 2050, much lower than the proportion of mammals.",4.1092,1.0273,119,"[3, 5, 4, 5, 5, 2, 4, 5, 5, 5, 4, 5, 3, 3, 5, 4, 3, 3, 5, 3, 5, 4, 4, 5, 3, 2, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 3, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 4, 5, 4, 4, 3, 4, 2, 5, 2, 5, 4, 4, 5, 5, 5, 3, 2, 3, 2, 2, 3, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 4, 4, 5, 3, 4, 3, 4, 4, 5, 3, 5, 5, 4, 5, 5, 1, 5, 3, 4, 5, 4, 3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 5]"
Mary: Our basketball team is doing poorly because all of our top players graduated last year.,4.2353,1.0428,119,"[4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 1, 5, 2, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 2, 4, 5, 4, 4, 4, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 2, 5, 5, 5, 3, 3, 5, 2, 5, 1, 5, 4, 4, 4, 5, 2, 2, 5, 4, 4, 4, 4, 3, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 4, 3, 4, 2, 5, 5, 5, 5, 5, 3, 1, 5, 4, 5, 5, 3, 2, 4, 5, 2, 5, 4, 4, 4, 4, 3, 4]"
Mary: Rents have only gone up in certain metropolitan areas where the economic downturn had a smaller effect on the local economy.,3.3277,1.2775,119,"[4, 2, 2, 3, 5, 2, 3, 5, 4, 3, 2, 5, 4, 1, 4, 5, 2, 2, 2, 5, 4, 4, 3, 4, 4, 2, 2, 4, 2, 4, 4, 5, 5, 4, 4, 2, 3, 3, 3, 3, 3, 2, 5, 3, 4, 5, 4, 5, 1, 5, 2, 1, 1, 4, 3, 4, 4, 2, 4, 4, 3, 4, 2, 5, 3, 4, 1, 5, 3, 3, 5, 2, 2, 2, 4, 3, 1, 5, 1, 5, 4, 5, 4, 5, 5, 2, 1, 3, 2, 5, 4, 2, 4, 4, 2, 3, 2, 4, 2, 5, 5, 1, 1, 4, 4, 4, 3, 4, 4, 5, 4, 5, 4, 5, 2, 2, 1, 4, 3]"
Mary: Rhode Island is a coastal state and the weather there gets really bad only in January.,3.395,1.2717,119,"[2, 4, 5, 1, 4, 3, 5, 4, 4, 2, 5, 4, 3, 5, 2, 2, 3, 5, 3, 4, 5, 4, 5, 4, 3, 2, 2, 2, 4, 4, 5, 2, 5, 2, 2, 5, 4, 4, 4, 4, 4, 2, 1, 3, 5, 5, 5, 2, 5, 2, 4, 4, 2, 2, 3, 1, 3, 2, 4, 2, 5, 1, 5, 4, 3, 4, 5, 4, 3, 2, 2, 1, 2, 3, 4, 1, 3, 5, 5, 4, 3, 4, 5, 3, 3, 5, 4, 3, 4, 3, 1, 2, 2, 3, 5, 4, 5, 5, 4, 3, 2, 1, 5, 2, 2, 5, 3, 1, 4, 5, 4, 5, 3, 4, 3, 5, 2, 4, 4]"
Mary: Some of the chefs at the convention claimed that garlic destroyed taste buds while others claimed that it was a miracle spice.,3.775,1.1215,120,"[4, 5, 3, 5, 5, 2, 2, 5, 3, 4, 4, 5, 5, 3, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 3, 3, 4, 5, 2, 3, 4, 5, 2, 5, 5, 3, 3, 3, 2, 4, 4, 4, 3, 4, 4, 3, 5, 3, 1, 5, 2, 2, 4, 4, 5, 5, 3, 5, 5, 5, 2, 4, 1, 5, 4, 4, 3, 5, 3, 3, 3, 2, 5, 2, 4, 5, 4, 5, 2, 4, 5, 4, 3, 5, 4, 4, 5, 4, 2, 2, 3, 5, 4, 4, 5, 4, 2, 3, 2, 5, 3, 4, 1, 5, 4, 4, 5, 3, 2, 4, 4, 3, 5, 3, 5, 5, 4, 4, 3, 4]"
