unit,mean,std,n,individual_ratings
abolishing,3.4,1.2649,10,"[4, 4, 5, 1, 3, 3, 4, 2, 5, 3]"
altering,3.7,1.1595,10,"[3, 5, 4, 1, 3, 5, 4, 4, 4, 4]"
appearing,2.9,0.7379,10,"[3, 4, 2, 3, 4, 3, 2, 2, 3, 3]"
bleeding,3.5,0.8498,10,"[3, 4, 3, 2, 5, 3, 4, 4, 4, 3]"
blunting,3.3,0.8233,10,"[2, 4, 5, 3, 3, 3, 4, 3, 3, 3]"
boiling,3.8,1.0328,10,"[3, 5, 5, 2, 3, 3, 4, 4, 4, 5]"
burgeoning,2.8,0.9189,10,"[3, 4, 3, 1, 2, 3, 2, 4, 3, 3]"
corroding,3.5,1.5092,10,"[5, 1, 4, 1, 5, 3, 4, 4, 5, 3]"
coughing,2.4,1.1738,10,"[1, 2, 3, 1, 4, 3, 2, 4, 3, 1]"
cracking,3.1,0.8756,10,"[3, 5, 3, 2, 3, 3, 3, 4, 2, 3]"
crumbling,3.3,0.9487,10,"[3, 4, 4, 1, 4, 3, 3, 4, 4, 3]"
crying,2.6,0.9661,10,"[1, 3, 3, 3, 3, 3, 2, 4, 3, 1]"
decapitating,4.2,1.0328,10,"[4, 5, 5, 2, 5, 4, 4, 3, 5, 5]"
decomposing,2.4,1.075,10,"[4, 2, 3, 1, 1, 3, 2, 4, 2, 2]"
demonstrating,2.6,0.9661,10,"[2, 4, 2, 1, 3, 4, 3, 2, 2, 3]"
deteriorating,2.8,0.9189,10,"[3, 1, 4, 3, 2, 3, 2, 4, 3, 3]"
dissipating,2.9,1.3703,10,"[3, 1, 5, 1, 5, 3, 2, 3, 3, 3]"
doubling,2.9,0.8756,10,"[3, 2, 3, 1, 4, 3, 3, 4, 3, 3]"
dressing,3.3,1.3375,10,"[2, 4, 5, 1, 4, 5, 4, 2, 3, 3]"
embroidering,3.8,1.5492,10,"[1, 5, 5, 2, 5, 5, 4, 2, 4, 5]"
emptying,3.7,0.8233,10,"[3, 4, 4, 3, 5, 3, 3, 4, 3, 5]"
enduring,2.0,0.4714,10,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 1]"
evolving,2.3,1.1595,10,"[3, 1, 4, 1, 2, 1, 2, 2, 3, 4]"
fashioning,3.3,1.2517,10,"[2, 4, 5, 1, 4, 4, 4, 2, 4, 3]"
fermenting,3.0,1.1547,10,"[3, 1, 4, 1, 4, 3, 4, 4, 3, 3]"
flickering,2.5,0.8498,10,"[3, 2, 4, 1, 3, 3, 2, 2, 2, 3]"
fraying,3.2,0.9189,10,"[4, 5, 4, 3, 3, 3, 2, 3, 2, 3]"
growing,2.3,0.8233,10,"[3, 1, 2, 2, 2, 3, 3, 3, 1, 3]"
hanging,3.1,0.9944,10,"[3, 4, 5, 1, 3, 3, 3, 3, 3, 3]"
hobbling,3.0,1.2472,10,"[2, 2, 3, 1, 4, 4, 3, 2, 4, 5]"
imagining,2.6,1.5776,10,"[1, 1, 2, 2, 5, 5, 4, 3, 2, 1]"
lolling,2.3,1.0593,10,"[1, 3, 1, 1, 4, 3, 2, 2, 3, 3]"
misspelling,2.2,1.3166,10,"[2, 1, 1, 1, 2, 5, 4, 2, 2, 2]"
occurring,2.9,0.8756,10,"[3, 3, 3, 1, 4, 3, 2, 4, 3, 3]"
