unit,mean,std,n,individual_ratings
"Suppose you heard someone say: ""The TA criticized the professor."" Question 1: Which sentence do you think the speaker intended to say? A: ""The professor criticized the TA."" or B: ""The TA criticized the professor.""",4.1333,1.1255,15,"[3, 5, 4, 1, 4, 3, 5, 5, 4, 5, 4, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The TA was criticized by the professor."" Question 1: Which sentence do you think the speaker intended to say? A: ""The professor was criticized by the TA."" or B: ""The TA was criticized by the professor.""",4.5333,0.8338,15,"[5, 5, 5, 5, 3, 4, 5, 5, 5, 3, 5, 5, 3, 5, 5]"
"Suppose you heard someone say: ""The airplane destroyed the missile."" Question 1: Which sentence do you think the speaker intended to say? A: ""The airplane destroyed the missile."" or B: ""The missile destroyed the airplane.""",4.6,0.8281,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 2, 5]"
"Suppose you heard someone say: ""The airplane was destroyed by the missile."" Question 1: Which sentence do you think the speaker intended to say? A: ""The airplane was destroyed by the missile."" or B: ""The missile was destroyed by the airplane.""",4.2,1.3732,15,"[4, 5, 5, 1, 5, 4, 1, 5, 4, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The aunt followed the niece."" Question 1: Which sentence do you think the speaker intended to say? A: ""The niece followed the aunt."" or B: ""The aunt followed the niece.""",4.4,0.8281,15,"[4, 5, 5, 5, 3, 4, 5, 5, 5, 3, 5, 4, 3, 5, 5]"
"Suppose you heard someone say: ""The aunt offered the brother the cake."" Question 1: Which sentence do you think the speaker intended to say? A: ""The aunt offered the brother the cake."" or B: ""The aunt offered the cake the brother.""",4.4667,1.2459,15,"[5, 5, 5, 1, 5, 5, 4, 5, 5, 5, 5, 2, 5, 5, 5]"
"Suppose you heard someone say: ""The aunt offered the brother to the cake."" Question 1: Which sentence do you think the speaker intended to say? A: ""The aunt offered the cake to the brother."" or B: ""The aunt offered the brother to the cake.""",4.8667,0.3519,15,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The aunt offered the cake the brother."" Question 1: Which sentence do you think the speaker intended to say? A: ""The aunt offered the brother the cake."" or B: ""The aunt offered the cake the brother.""",4.8,0.414,15,"[5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The aunt offered the cake to the brother."" Question 1: Which sentence do you think the speaker intended to say? A: ""The aunt offered the cake to the brother."" or B: ""The aunt offered the brother to the cake.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The aunt purchased the book."" Question 1: Which sentence do you think the speaker intended to say? A: ""The aunt purchased the book."" or B: ""The book purchased the aunt.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The aunt was followed by the niece."" Question 1: Which sentence do you think the speaker intended to say? A: ""The niece was followed by the aunt."" or B: ""The aunt was followed by the niece.""",4.1333,0.9155,15,"[4, 3, 5, 5, 5, 3, 3, 4, 4, 3, 5, 3, 5, 5, 5]"
"Suppose you heard someone say: ""The aunt was purchased by the book."" Question 1: Which sentence do you think the speaker intended to say? A: ""The aunt was purchased by the book."" or B: ""The book was purchased by the aunt.""",4.6667,1.0465,15,"[5, 5, 4, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The ball kicked the girl."" Question 1: Which sentence do you think the speaker intended to say? A: ""The girl kicked the ball."" or B: ""The ball kicked the girl.""",4.8667,0.3519,15,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The ball was kicked by the girl."" Question 1: Which sentence do you think the speaker intended to say? A: ""The girl was kicked by the ball."" or B: ""The ball was kicked by the girl.""",4.7333,1.0328,15,"[5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The blanket folded the daughter."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter folded the blanket."" or B: ""The blanket folded the daughter.""",4.8667,0.3519,15,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The blanket was folded by the daughter."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter was folded by the blanket."" or B: ""The blanket was folded by the daughter.""",4.7333,1.0328,15,"[5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The boat sailed the uncle."" Question 1: Which sentence do you think the speaker intended to say? A: ""The uncle sailed the boat."" or B: ""The boat sailed the uncle.""",4.6429,1.0818,14,"[5, 5, 1, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The boat was sailed by the uncle."" Question 1: Which sentence do you think the speaker intended to say? A: ""The uncle was sailed by the boat."" or B: ""The boat was sailed by the uncle.""",4.8,0.7746,15,"[5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The book purchased the aunt."" Question 1: Which sentence do you think the speaker intended to say? A: ""The aunt purchased the book."" or B: ""The book purchased the aunt.""",4.8667,0.3519,15,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The book was purchased by the aunt."" Question 1: Which sentence do you think the speaker intended to say? A: ""The aunt was purchased by the book."" or B: ""The book was purchased by the aunt.""",4.7333,1.0328,15,"[5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The bowl broke the grandfather."" Question 1: Which sentence do you think the speaker intended to say? A: ""The grandfather broke the bowl."" or B: ""The bowl broke the grandfather.""",4.7333,1.0328,15,"[5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The bowl was broken by the grandfather."" Question 1: Which sentence do you think the speaker intended to say? A: ""The grandfather was broken by the bowl."" or B: ""The bowl was broken by the grandfather.""",4.8,0.5606,15,"[5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The boy ate the pizza."" Question 1: Which sentence do you think the speaker intended to say? A: ""The boy ate the pizza."" or B: ""The pizza ate the boy.""",4.8,0.5606,15,"[5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The boy handed the girl the pencil."" Question 1: Which sentence do you think the speaker intended to say? A: ""The boy handed the girl the pencil."" or B: ""The boy handed the pencil the girl.""",4.6667,1.0465,15,"[5, 5, 5, 1, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The boy handed the girl to the pencil."" Question 1: Which sentence do you think the speaker intended to say? A: ""The boy handed the pencil to the girl."" or B: ""The boy handed the girl to the pencil.""",4.8667,0.3519,15,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The boy handed the pencil the girl."" Question 1: Which sentence do you think the speaker intended to say? A: ""The boy handed the girl the pencil."" or B: ""The boy handed the pencil the girl.""",4.8,0.5606,15,"[5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The boy handed the pencil to the girl."" Question 1: Which sentence do you think the speaker intended to say? A: ""The boy handed the pencil to the girl."" or B: ""The boy handed the girl to the pencil.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The boy pushed the girl."" Question 1: Which sentence do you think the speaker intended to say? A: ""The girl pushed the boy."" or B: ""The boy pushed the girl.""",4.3333,1.1127,15,"[3, 5, 5, 1, 5, 4, 5, 5, 4, 5, 4, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The boy was eaten by the pizza."" Question 1: Which sentence do you think the speaker intended to say? A: ""The boy was eaten by the pizza."" or B: ""The pizza was eaten by the boy.""",4.7333,1.0328,15,"[5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The boy was pushed by the girl."" Question 1: Which sentence do you think the speaker intended to say? A: ""The girl was pushed by the boy."" or B: ""The boy was pushed by the girl.""",4.3333,0.8997,15,"[5, 5, 5, 5, 3, 3, 5, 5, 5, 3, 5, 4, 3, 4, 5]"
"Suppose you heard someone say: ""The brother showed the bike the sister."" Question 1: Which sentence do you think the speaker intended to say? A: ""The brother showed the sister the bike."" or B: ""The brother showed the bike the sister.""",4.9333,0.2582,15,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The brother showed the bike to the sister."" Question 1: Which sentence do you think the speaker intended to say? A: ""The brother showed the bike to the sister."" or B: ""The brother showed the sister to the bike.""",4.6667,1.0465,15,"[5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The brother showed the sister the bike."" Question 1: Which sentence do you think the speaker intended to say? A: ""The brother showed the sister the bike."" or B: ""The brother showed the bike the sister.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The brother showed the sister to the bike."" Question 1: Which sentence do you think the speaker intended to say? A: ""The brother showed the bike to the sister."" or B: ""The brother showed the sister to the bike.""",4.7333,0.7037,15,"[5, 5, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The candle lit the wife."" Question 1: Which sentence do you think the speaker intended to say? A: ""The wife lit the candle."" or B: ""The candle lit the wife.""",4.6667,0.6172,15,"[4, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The candle was lit by the wife."" Question 1: Which sentence do you think the speaker intended to say? A: ""The wife was lit by the candle."" or B: ""The candle was lit by the wife.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The daughter bit the son."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter bit the son."" or B: ""The son bit the daughter.""",4.3333,0.8997,15,"[5, 5, 5, 5, 3, 3, 5, 5, 5, 3, 4, 4, 3, 5, 5]"
"Suppose you heard someone say: ""The daughter folded the blanket."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter folded the blanket."" or B: ""The blanket folded the daughter.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The daughter passed the bowl the mother."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter passed the mother the bowl."" or B: ""The daughter passed the bowl the mother.""",4.6,1.0556,15,"[5, 5, 5, 1, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5]"
"Suppose you heard someone say: ""The daughter passed the bowl to the mother."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter passed the bowl to the mother."" or B: ""The daughter passed the mother to the bowl.""",4.7333,0.7988,15,"[5, 5, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The daughter passed the mother the bowl."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter passed the mother the bowl."" or B: ""The daughter passed the bowl the mother.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The daughter passed the mother to the bowl."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter passed the bowl to the mother."" or B: ""The daughter passed the mother to the bowl.""",4.8667,0.3519,15,"[5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The daughter was bitten by the son."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter was bitten by the son."" or B: ""The son was bitten by the daughter.""",4.1429,1.1673,14,"[3, 5, 5, 1, 5, 4, 3, 4, 5, 4, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The daughter was folded by the blanket."" Question 1: Which sentence do you think the speaker intended to say? A: ""The daughter was folded by the blanket."" or B: ""The blanket was folded by the daughter.""",4.7333,0.5936,15,"[5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The diamond lost the woman."" Question 1: Which sentence do you think the speaker intended to say? A: ""The woman lost the diamond."" or B: ""The diamond lost the woman.""",4.7333,0.5936,15,"[4, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The diamond was lost by the woman."" Question 1: Which sentence do you think the speaker intended to say? A: ""The woman was lost by the diamond."" or B: ""The diamond was lost by the woman.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The door opened the niece."" Question 1: Which sentence do you think the speaker intended to say? A: ""The niece opened the door."" or B: ""The door opened the niece.""",4.8,0.5606,15,"[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The door was opened by the niece."" Question 1: Which sentence do you think the speaker intended to say? A: ""The niece was opened by the door."" or B: ""The door was opened by the niece.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The electrician stole the hammer."" Question 1: Which sentence do you think the speaker intended to say? A: ""The electrician stole the hammer."" or B: ""The hammer stole the electrician.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The electrician was stolen by the hammer."" Question 1: Which sentence do you think the speaker intended to say? A: ""The electrician was stolen by the hammer."" or B: ""The hammer was stolen by the electrician.""",4.7333,0.5936,15,"[5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
"Suppose you heard someone say: ""The father chased the son."" Question 1: Which sentence do you think the speaker intended to say? A: ""The father chased the son."" or B: ""The son chased the father.""",4.0667,1.2228,15,"[3, 5, 5, 1, 4, 4, 2, 5, 4, 5, 4, 5, 5, 4, 5]"
"Suppose you heard someone say: ""The father promised the car the son."" Question 1: Which sentence do you think the speaker intended to say? A: ""The father promised the son the car."" or B: ""The father promised the car the son.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The father promised the car to the son."" Question 1: Which sentence do you think the speaker intended to say? A: ""The father promised the car to the son."" or B: ""The father promised the son to the car.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The father promised the son the car."" Question 1: Which sentence do you think the speaker intended to say? A: ""The father promised the son the car."" or B: ""The father promised the car the son.""",4.7857,0.5789,14,"[4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The father promised the son to the car."" Question 1: Which sentence do you think the speaker intended to say? A: ""The father promised the car to the son."" or B: ""The father promised the son to the car.""",4.6667,1.0465,15,"[4, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The father sharpened the saw."" Question 1: Which sentence do you think the speaker intended to say? A: ""The father sharpened the saw."" or B: ""The saw sharpened the father.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Suppose you heard someone say: ""The father was chased by the son."" Question 1: Which sentence do you think the speaker intended to say? A: ""The father was chased by the son."" or B: ""The son was chased by the father.""",3.6667,0.8165,15,"[4, 3, 3, 2, 3, 4, 4, 4, 3, 4, 5, 5, 3, 4, 4]"
"Suppose you heard someone say: ""The father was sharpened by the saw."" Question 1: Which sentence do you think the speaker intended to say? A: ""The father was sharpened by the saw."" or B: ""The saw was sharpened by the father.""",5.0,0.0,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
