collection,dataset,experiment_group,project_group,project_token,series_core,dimension,scale,owner,dates,n_units,evidence,shares_stimuli_weakly_with,confidence,ask_collaborator
mturk,50_sentences_noisy_channel_may_25_2011,M-E1,M-P74,noisy,sentences_noisy_channel,intention_confidence,Extremely unconfident | Somewhat unconfident | Neutral | Somewhat confident | Extremely confident,,2011-05-26..2011-05-26,208,project token 'noisy' = noisy_channel_acceptability_1_sept_2013_1 | project token 'noisy' = noisy_channel_acceptability_2_sept_2013 | project token 'noisy' = noisy_rc_norming_oct19,,medium (names only),yes
mturk,50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,M-E2,M-P2,comp,sentences_with_comp_qs_plus_rating,likelihood,Very unlikely | Unlikely | Neutral | Likely | Very likely,,2011-03-11..2011-03-11,208,,noisy_channel_acceptability_1_sept_2013_1 (0.71) | noisy_channel_acceptability_2_sept_2013 (0.71),singleton,yes
mturk,acceptability_judgments_kang,M-E3,M-P3,kang,acceptability_judgments_kang,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2014-10-28..2014-10-31,136,,,singleton,yes
mturk,acd_context_polly_1_nov_23_2012,M-E4,M-P89,acd,acd_context_polly,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-23..2012-11-27,310,project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012 | project token 'acd' = acd_project_expt_24_same_diff_verbs_nov_16_2012,sentence_naturalness_survey_acd_v1_jan_2012 (0.25) | sentence_naturalness_survey_acd_v6_oct_25_2012 (0.25),medium (names only),yes
mturk,acd_no_context_polly_1_nov_23_2012,M-E5,M-P89,acd,acd_no_context_polly,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-23..2012-11-27,213,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012 | project token 'acd' = acd_project_expt_24_same_diff_verbs_nov_16_2012,acd_project_also_3_nov_24_2012_2 (0.25) | acd_project_expt_44_the_same_nov_29_2012_1 (0.74) | sentence_naturalness_survey_acd_ratings_hackl_expt_5_oct_25_2012_1 (0.58) | sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1 (0.42),medium (names only),yes
mturk,acd_project_also_3_nov_24_2012_2,M-E11,M-P89,acd,acd_project_also,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-24..2012-11-24,128,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | series suffix variant of acd_project_also_2_nov_22_2012_1 | series suffix variant of acd_project_expt_23_also_nov_16_2012 | project token 'acd' = acd_project_expt_24_same_diff_verbs_nov_16_2012,acd_no_context_polly_1_nov_23_2012 (0.25) | acd_project_also_2_nov_22_2012_1 (0.75) | acd_project_expt_23_also_nov_16_2012 (0.75) | acd_project_expt_24_same_diff_verbs_nov_16_2012 (0.38),medium (names only),yes
mturk,acd_project_expt_23_also_nov_16_2012,M-E11,M-P89,acd,acd_project_also,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-16..2012-11-29,600,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | same stimuli+dimension as acd_project_also_2_nov_22_2012_1 (cont=1.00) | series suffix variant of acd_project_also_2_nov_22_2012_1 | series suffix variant of acd_project_also_3_nov_24_2012_2,acd_project_also_3_nov_24_2012_2 (0.75) | acd_project_expt_24_same_diff_verbs_nov_16_2012 (0.76) | sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20 (0.50),high,no
mturk,acd_project_expt_24_same_diff_verbs_nov_16_2012,M-E11,M-P89,acd,acd_project_same_diff_verbs,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-16..2012-11-27,472,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_project_also_2_nov_22_2012_1 (0.50) | acd_project_also_3_nov_24_2012_2 (0.38) | acd_project_expt_23_also_nov_16_2012 (0.76) | acd_project_expt_42_also_verbs_nov_29_2012_1 (0.41),high,no
mturk,acd_project_expt_31_same_diff_verbs_nov_16_2012_1,M-E11,M-P89,acd,acd_project_same_diff_verbs,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-24..2012-11-24,176,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | same stimuli+dimension as acd_project_expt_23_also_nov_16_2012 (cont=0.82),acd_project_also_2_nov_22_2012_1 (0.55) | acd_project_also_3_nov_24_2012_2 (0.62) | acd_project_expt_42_also_verbs_nov_29_2012_1 (0.34) | acd_project_expt_44_the_same_nov_29_2012_1 (0.23),high,no
mturk,acd_project_expt_42_also_verbs_nov_29_2012_1,M-E11,M-P89,acd,acd_project_also_verbs,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-28..2012-11-28,176,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | same stimuli+dimension as acd_project_expt_23_also_nov_16_2012 (cont=0.82),acd_project_also_2_nov_22_2012_1 (0.77) | acd_project_also_3_nov_24_2012_2 (0.69) | acd_project_expt_24_same_diff_verbs_nov_16_2012 (0.41) | acd_project_expt_31_same_diff_verbs_nov_16_2012_1 (0.34),high,no
