unit,mean,std,n,individual_ratings,item_type
A backpack carries all the essentials on a hike. A suitcase holds everything needed for a trip.,2.0667,1.388,30,"[1, 1, 3, 2, 1, 1, 3, 1, 1, 2, 1, 1, 5, 7, 2, 2, 2, 2, 3, 2, 2, 4, 3, 1, 1, 1, 2, 3, 1, 1]",test
A businessman began speaking loudly on the phone. Derek had trouble concentrating on his work.,5.4333,1.4782,30,"[4, 6, 2, 6, 6, 6, 7, 6, 6, 5, 6, 5, 5, 5, 3, 7, 1, 6, 7, 6, 7, 6, 4, 6, 5, 7, 6, 7, 4, 6]",test
A high-speed train now connects Paris and Berlin. The trains can move up to 300 km per hour.,1.5862,0.9826,29,"[1, 2, 5, 2, 1, 2, 2, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1]",test
A lighthouse guides ships to safety. A compass helps hikers find their way.,2.6207,1.3205,29,"[1, 2, 3, 2, 4, 5, 3, 1, 3, 4, 1, 3, 1, 2, 3, 1, 4, 2, 3, 2, 2, 2, 4, 1, 6, 3, 4, 1, 3]",test
A menacing storm rolled across the horizon. Sailors hurried to secure their boats at the dock.,4.5333,1.852,30,"[3, 5, 6, 6, 5, 5, 7, 3, 6, 4, 1, 6, 7, 1, 6, 6, 1, 4, 6, 6, 5, 6, 4, 5, 1, 5, 5, 6, 3, 2]",test
A mountain climbing team reached the K2 summit. The ascent marked the fastest recorded climb of the peak.,4.6,1.734,30,"[4, 5, 6, 7, 4, 6, 5, 5, 5, 4, 1, 1, 6, 1, 7, 6, 4, 5, 5, 6, 4, 7, 5, 4, 1, 5, 5, 6, 3, 5]",test
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,2.2667,1.388,30,"[1, 1, 5, 2, 1, 2, 3, 1, 1, 2, 2, 1, 1, 1, 4, 4, 1, 2, 2, 6, 1, 4, 3, 3, 1, 4, 3, 3, 2, 1]",test
A productive morning routine sets the tone for the day. Starting with exercise or mindfulness boosts mental clarity.,3.8333,1.6418,30,"[2, 3, 3, 1, 1, 5, 6, 1, 1, 4, 2, 2, 3, 5, 5, 5, 5, 4, 5, 6, 4, 7, 4, 5, 4, 5, 5, 4, 3, 5]",test
A rat gnawed through the cables in the walls. The power suddenly went out in the building.,2.4333,1.5906,30,"[1, 2, 6, 3, 1, 1, 5, 1, 1, 2, 1, 1, 1, 1, 5, 2, 3, 3, 4, 5, 1, 4, 2, 4, 1, 5, 2, 2, 1, 2]",test
A series of unusual occurrences plagued the small town. Residents gathered to discuss possible explanations.,4.5862,1.7427,29,"[1, 5, 5, 6, 1, 6, 5, 4, 6, 5, 3, 4, 3, 1, 5, 6, 5, 6, 6, 6, 5, 6, 5, 6, 1, 7, 6, 4, 4]",test
A solid education lays the foundation for future success. Knowledge gives people the skills to navigate life.,2.9333,1.6595,30,"[1, 3, 4, 2, 1, 2, 4, 1, 1, 2, 1, 2, 4, 1, 2, 3, 4, 5, 5, 5, 2, 5, 4, 5, 1, 4, 7, 3, 1, 3]",test
A tree provides a home for birds. A coral reef shelters fish.,1.6333,1.2726,30,"[1, 1, 2, 2, 1, 1, 3, 4, 1, 1, 1, 1, 1, 6, 5, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1]",test
A wildlife preserve was recently created in the Amazon. The reserve protects hundreds of endangered species,2.1,1.3734,30,"[1, 2, 6, 2, 1, 2, 4, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3, 2, 2, 4, 1, 3, 5, 2, 1, 4, 1, 1, 3, 1]",test
An intense heat wave swept across the city. People flocked to the beach to cool off in the water.,4.2667,1.9286,30,"[2, 6, 3, 2, 1, 6, 5, 1, 4, 5, 1, 5, 7, 7, 6, 5, 2, 5, 6, 6, 4, 6, 2, 6, 1, 6, 5, 5, 4, 4]",test
Consuming alcohol is dangerous for your health. People who drink too much are at risk for cancer.,3.3667,1.8286,30,"[1, 2, 2, 2, 3, 5, 5, 1, 3, 2, 1, 3, 1, 7, 6, 2, 4, 6, 7, 4, 2, 5, 3, 5, 1, 3, 5, 4, 2, 4]",test
David meticulously planned each step of his journey. Bret took off impulsively and embraced the unknown.,5.1667,1.8585,30,"[2, 6, 6, 6, 5, 7, 6, 5, 6, 2, 7, 5, 6, 7, 2, 6, 1, 6, 7, 6, 7, 6, 3, 6, 1, 6, 5, 6, 4, 7]",test
Excellent customer service can make or break a business. Happy consumers are more likely to spread the word.,4.4,2.0611,30,"[1, 2, 3, 6, 3, 6, 5, 1, 5, 3, 1, 6, 5, 7, 1, 6, 7, 6, 7, 6, 3, 7, 2, 4, 6, 6, 6, 5, 2, 4]",test
Jenny's dress was bright and cheerful. Tom's new suit was dark and serious.,3.931,1.9627,29,"[1, 2, 6, 2, 6, 2, 5, 7, 3, 1, 1, 4, 4, 7, 5, 4, 1, 6, 6, 3, 3, 5, 5, 1, 6, 5, 3, 4, 6]",test
Jeremy stopped at a diner for lunch. The roadside coffee was warm and refreshing.,4.4667,1.7167,30,"[2, 4, 6, 2, 5, 6, 7, 6, 5, 6, 1, 4, 6, 6, 5, 5, 1, 4, 5, 4, 5, 2, 4, 6, 1, 5, 6, 4, 5, 6]",test
John forgot his umbrella and got soaked. Sarah brought her umbrella and stayed dry.,4.4333,2.1284,30,"[1, 3, 6, 2, 6, 6, 6, 3, 7, 3, 1, 3, 3, 1, 7, 7, 3, 6, 7, 4, 6, 5, 2, 6, 1, 7, 4, 6, 4, 7]",test
Judy grabbed her shopping list on the way out the door. There was hardly any traffic on the way to the supermarket.,3.9333,1.8742,30,"[1, 2, 5, 2, 5, 4, 6, 5, 3, 5, 1, 2, 5, 7, 6, 5, 7, 5, 6, 2, 3, 2, 1, 5, 1, 6, 4, 4, 3, 5]",test
Large areas of forest were cleared for agriculture. Local climate patterns began to change.,2.0,0.8864,29,"[1, 3, 3, 2, 1, 2, 4, 1, 3, 2, 1, 2, 2, 1, 2, 2, 1, 2, 3, 1, 1, 4, 3, 2, 2, 2, 2, 2, 1]",test
Learning a new language opens up many doors. Fluency enables deeper cultural understanding.,3.3,1.489,30,"[1, 5, 6, 2, 2, 5, 5, 4, 3, 5, 1, 1, 2, 2, 2, 4, 5, 5, 2, 4, 3, 6, 2, 3, 2, 4, 3, 3, 4, 3]",test
Libraries offer knowledge to eager learners. Museums display history for curious minds.,3.3793,1.4979,29,"[3, 2, 4, 2, 3, 5, 6, 1, 4, 5, 1, 2, 1, 3, 5, 4, 2, 4, 5, 3, 2, 5, 5, 4, 5, 5, 3, 1, 3]",test
Lily kept her thoughts to herself during the meeting. Sam was never afraid to speak up.,5.5667,1.6121,30,"[1, 7, 6, 7, 5, 6, 7, 6, 7, 5, 6, 5, 5, 7, 4, 7, 5, 5, 7, 5, 7, 5, 2, 5, 6, 7, 7, 6, 2, 7]",test
Sarah loves reading mystery novels. Sarah's brother enjoys detective stories.,4.7931,2.0939,29,"[1, 7, 6, 2, 5, 7, 7, 6, 5, 3, 4, 7, 1, 6, 5, 1, 6, 7, 4, 6, 4, 2, 5, 1, 6, 7, 5, 6, 7]",test
September was unusually humid and hot. April was unexpectedly muggy and warm.,2.3333,1.4223,30,"[1, 2, 3, 2, 1, 3, 4, 1, 1, 3, 1, 1, 2, 3, 6, 4, 5, 1, 1, 3, 1, 5, 2, 3, 1, 2, 1, 1, 3, 3]",test
Sophie planted strawberry seeds in the backyard. The plants struggled in the cold New England winter.,3.5667,1.7357,30,"[1, 3, 5, 2, 4, 3, 6, 7, 1, 4, 1, 1, 2, 5, 6, 3, 4, 5, 4, 2, 3, 6, 5, 4, 1, 5, 3, 4, 2, 5]",test
Strong winds frequently blow through the Sahara Desert. The sand dunes change shape and location constantly.,1.7667,1.3817,30,"[1, 2, 6, 2, 1, 1, 3, 1, 1, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 5, 3, 1, 1, 1, 1, 1, 2, 1]",test
Teachers inspire students to reach their full potential. Coaches motivate athletes to excel beyond their limits.,5.0667,1.596,30,"[2, 5, 2, 6, 3, 6, 5, 6, 5, 6, 4, 7, 7, 1, 5, 5, 5, 6, 7, 6, 5, 7, 4, 7, 4, 6, 7, 5, 4, 4]",test
The Antique clock ticked heavily every second. The digital watch displayed time silently and seamlessly.,1.3793,0.7752,29,"[1, 4, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1]",test
The actor was praised for his powerful performance. The supporting cast was criticized for lacking energy.,5.3793,1.8208,29,"[2, 6, 6, 2, 6, 7, 6, 7, 7, 6, 6, 6, 6, 1, 6, 7, 1, 6, 7, 6, 7, 5, 4, 4, 6, 7, 7, 4, 5]",test
The architect revealed plans for a modern skyscraper. The new building will use eco-friendly materials.,2.5667,1.6121,30,"[1, 2, 6, 1, 1, 3, 5, 1, 1, 2, 5, 1, 1, 1, 2, 6, 2, 4, 1, 4, 3, 4, 2, 3, 1, 2, 3, 4, 1, 4]",test
The astronaut strapped into the shuttle. The massive spacecraft launched into the sky.,4.1,1.8448,30,"[4, 4, 6, 7, 5, 5, 6, 5, 1, 4, 1, 1, 4, 1, 6, 6, 1, 4, 4, 7, 3, 6, 4, 5, 1, 5, 5, 4, 4, 4]",test
The athlete shared his workout routine with the press. The fitness regimen focuses on strength training.,4.069,1.8695,29,"[1, 2, 2, 6, 6, 6, 6, 5, 3, 6, 3, 1, 1, 5, 5, 1, 5, 6, 4, 6, 6, 3, 5, 1, 5, 4, 4, 4, 6]",test
The cat remained calm during the thunderstorm. The dog was trembling with fear at the claps of thunder.,3.3,2.2152,30,"[1, 7, 3, 4, 3, 1, 3, 1, 3, 6, 5, 1, 4, 7, 5, 3, 7, 1, 1, 7, 1, 6, 6, 2, 1, 4, 2, 1, 2, 1]",test
The celebration was joyous and full of laughter. The funeral was somber and still.,5.4667,1.6965,30,"[3, 7, 3, 7, 4, 2, 6, 7, 7, 6, 1, 7, 7, 7, 7, 5, 4, 5, 7, 6, 5, 7, 5, 5, 6, 7, 6, 6, 6, 3]",test
The chef accidentally added too much salt to the soup. Several customers complained about the dish.,5.2,1.827,30,"[3, 7, 5, 6, 4, 6, 7, 1, 7, 5, 5, 7, 6, 1, 5, 6, 4, 6, 7, 5, 7, 7, 3, 6, 1, 7, 6, 6, 5, 5]",test
The childhood friends have been missing each other. The old companions arranged a reunion to reconnect.,5.931,1.4375,29,"[1, 6, 5, 7, 6, 7, 6, 6, 7, 5, 7, 7, 7, 7, 6, 7, 6, 7, 6, 7, 6, 5, 6, 2, 7, 5, 6, 5, 7]",test
The city was bustling and vibrant. The village was quiet and serene,3.8,1.4948,30,"[2, 2, 6, 2, 2, 3, 5, 4, 4, 5, 3, 2, 3, 6, 6, 4, 5, 5, 5, 5, 2, 6, 3, 4, 1, 6, 3, 3, 4, 3]",test
The city zoo recently introduced a new animal habitat. The enclosure was designed to resemble tropical rainforests.,2.0333,1.1592,30,"[1, 2, 4, 2, 1, 1, 4, 1, 1, 2, 1, 2, 3, 1, 5, 3, 2, 2, 1, 2, 1, 2, 2, 2, 1, 5, 1, 2, 2, 2]",test
The climber reached the top after weeks of prep. The ascent required mental resilience and careful planning.,4.8333,1.877,30,"[3, 6, 2, 6, 5, 6, 5, 6, 3, 3, 3, 5, 7, 1, 6, 6, 1, 5, 7, 5, 7, 7, 6, 6, 1, 7, 5, 6, 5, 4]",test
The cooking class was practicing dicing onions. Everyone's eyes were watering profusely.,5.2069,1.6771,29,"[2, 6, 3, 6, 4, 6, 6, 5, 7, 6, 4, 5, 7, 2, 7, 6, 4, 7, 6, 7, 5, 6, 5, 1, 7, 6, 6, 6, 3]",test
The dancer moved with grace across the stage. The gymnast performed with elegance on the balance beam.,4.6552,1.7377,29,"[1, 6, 6, 4, 7, 6, 4, 6, 5, 1, 5, 5, 1, 5, 5, 3, 6, 7, 5, 4, 6, 4, 5, 1, 5, 5, 6, 5, 6]",test
The daughter angrily left the dinner table. The mother finished cleaning up the kitchen.,5.7586,1.3271,29,"[4, 6, 4, 7, 6, 6, 6, 7, 7, 5, 4, 7, 3, 4, 5, 7, 7, 7, 7, 6, 7, 5, 7, 5, 7, 5, 7, 3, 6]",test
The dealer shuffled the deck of cards. The poker players were unhappy with their hands.,4.9667,1.8096,30,"[6, 6, 3, 6, 4, 6, 6, 5, 7, 5, 3, 1, 7, 1, 6, 6, 7, 7, 7, 5, 6, 4, 4, 6, 1, 6, 6, 5, 4, 3]",test
The detective arrived at the crime scene at midday. The forensic team used flashlights when it got dark.,4.1379,1.9406,29,"[1, 7, 6, 3, 5, 6, 6, 3, 2, 4, 1, 2, 6, 6, 6, 1, 5, 6, 5, 3, 2, 2, 6, 1, 5, 5, 6, 5, 4]",test
The doctor updated the patient's chart. The nurse opened the cabinet to prepare the treatment.,4.1333,1.978,30,"[1, 6, 5, 2, 5, 3, 6, 6, 6, 2, 1, 3, 2, 5, 2, 5, 7, 6, 7, 6, 4, 2, 2, 6, 1, 3, 6, 6, 3, 5]",test
The drought reduced the supply in the reservoir. Water restrictions were imposed on the community.,3.7333,1.8557,30,"[1, 3, 6, 6, 1, 3, 5, 1, 6, 3, 1, 1, 7, 5, 5, 4, 4, 6, 3, 4, 2, 5, 2, 6, 1, 5, 5, 3, 4, 4]",test
The early morning train was packed with commuters. The afternoon train was nearly empty.,3.2333,1.7943,30,"[2, 2, 3, 1, 4, 6, 5, 1, 2, 2, 1, 1, 2, 7, 4, 3, 5, 5, 4, 2, 2, 4, 3, 4, 1, 7, 4, 4, 1, 5]",test
The family sat down at the restaurant. The mac-n-cheese came out piping hot.,4.0,1.7617,30,"[2, 6, 4, 2, 3, 6, 5, 1, 3, 2, 1, 2, 7, 7, 5, 6, 4, 5, 6, 5, 4, 4, 2, 5, 1, 5, 5, 4, 4, 4]",test
The festival will feature local musicians and artists. Attendees can enjoy live performances and art displays.,4.6,1.6103,30,"[1, 4, 5, 5, 4, 6, 6, 3, 5, 5, 1, 5, 7, 7, 6, 5, 3, 5, 7, 6, 3, 5, 2, 5, 2, 5, 5, 5, 5, 5]",test
The filmmaker has monitored climate change for years. The film powerfully documents rising sea levels.,3.7333,1.7006,30,"[1, 2, 6, 6, 1, 5, 5, 3, 3, 4, 3, 5, 6, 1, 2, 5, 3, 5, 4, 3, 7, 6, 4, 3, 2, 6, 3, 3, 2, 3]",test
