unit,mean,std,n,individual_ratings
Al Pacino,4.3333,0.9428,30,"[4, 3, 5, 3, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5, 4, 5, 5, 5, 2, 4, 4, 2, 4, 4, 5, 5, 5, 5, 5, 5]"
Alessandra,2.8,1.3266,30,"[2, 2, 1, 1, 4, 2, 3, 4, 1, 2, 3, 5, 4, 2, 3, 2, 5, 2, 3, 4, 1, 2, 2, 1, 5, 3, 2, 5, 3, 5]"
Alexander Glazunov,1.7333,1.1813,30,"[1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 5, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 5, 1, 5]"
Anabel,2.9333,1.3646,30,"[2, 3, 1, 3, 4, 3, 3, 4, 1, 2, 3, 5, 5, 2, 3, 2, 5, 3, 3, 4, 1, 1, 2, 1, 5, 3, 1, 5, 3, 5]"
Andrew,3.6,1.562,30,"[5, 3, 1, 3, 5, 3, 5, 4, 1, 2, 4, 5, 5, 2, 4, 2, 5, 5, 5, 5, 1, 5, 2, 1, 5, 5, 1, 5, 4, 5]"
Bogotá,2.8333,1.3924,30,"[1, 3, 5, 3, 4, 3, 1, 1, 1, 4, 3, 2, 3, 3, 1, 5, 3, 4, 3, 4, 1, 1, 3, 3, 5, 1, 1, 5, 4, 4]"
Bruce,3.6,1.4514,30,"[3, 3, 1, 3, 5, 3, 5, 4, 1, 3, 3, 5, 5, 5, 5, 2, 5, 5, 5, 4, 4, 4, 1, 1, 5, 3, 1, 5, 4, 5]"
Carla,3.3,1.4866,30,"[3, 3, 1, 4, 5, 3, 5, 4, 1, 2, 3, 5, 5, 5, 2, 2, 5, 5, 5, 4, 1, 2, 2, 1, 5, 3, 1, 3, 4, 5]"
Christmas Eve,4.9333,0.2494,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
Clint,3.3,1.4866,30,"[3, 3, 1, 3, 5, 3, 5, 4, 1, 2, 3, 5, 5, 2, 4, 2, 5, 5, 5, 4, 1, 2, 2, 1, 5, 4, 1, 5, 3, 5]"
Delhi,3.5517,1.1915,29,"[3, 3, 3, 5, 5, 3, 3, 5, 3, 2, 4, 3, 2, 3, 3, 5, 5, 5, 3, 2, 5, 3, 2, 5, 3, 1, 5, 4, 5]"
Dire Straits,3.6,1.2,30,"[4, 3, 5, 3, 2, 4, 5, 4, 5, 1, 3, 2, 3, 3, 3, 5, 5, 5, 2, 3, 2, 2, 4, 4, 5, 5, 3, 5, 3, 5]"
Donatello,3.3667,1.4256,30,"[5, 3, 5, 3, 3, 2, 1, 5, 5, 2, 3, 5, 5, 2, 2, 5, 5, 3, 2, 4, 2, 1, 3, 2, 5, 3, 1, 5, 4, 5]"
Dubai City,3.7241,1.111,29,"[3, 3, 5, 3, 5, 4, 5, 3, 4, 2, 3, 3, 4, 5, 4, 5, 3, 2, 5, 4, 2, 5, 3, 5, 5, 2, 2, 5, 4]"
Halle Berry,4.3333,1.075,30,"[5, 3, 5, 3, 5, 5, 5, 4, 5, 1, 4, 5, 5, 5, 2, 5, 5, 5, 4, 4, 4, 2, 5, 4, 5, 5, 5, 5, 5, 5]"
Irma,2.8667,1.4996,30,"[2, 2, 1, 3, 5, 2, 3, 3, 1, 4, 2, 5, 5, 2, 2, 2, 2, 5, 5, 4, 1, 1, 2, 1, 5, 2, 1, 5, 3, 5]"
Italy,4.6333,0.5467,30,"[4, 4, 5, 4, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5]"
Ivan Turgenev,1.6333,1.0483,30,"[1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 5, 2, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 5]"
Jared,3.1667,1.5293,30,"[3, 3, 1, 3, 5, 3, 1, 4, 1, 2, 3, 5, 5, 2, 4, 2, 5, 5, 5, 4, 1, 1, 3, 1, 5, 3, 1, 5, 4, 5]"
Jawaharlal Nehru,1.6667,1.1926,30,"[1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 5, 1, 1, 5, 2, 1, 5, 1, 1, 1, 1, 1, 2, 1, 1]"
Jed,3.0,1.4142,30,"[2, 3, 1, 3, 3, 3, 3, 4, 1, 2, 3, 5, 5, 2, 3, 2, 5, 4, 5, 4, 1, 1, 2, 1, 5, 3, 1, 5, 3, 5]"
John Wayne,4.3667,0.9123,30,"[2, 3, 5, 4, 5, 5, 5, 4, 5, 3, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 3, 2, 5, 4, 5, 5, 5, 5, 5, 5]"
June,4.9,0.3,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
Karl May,1.9,1.2207,30,"[1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 3, 1, 2, 2, 5, 2, 5, 3, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 5]"
Ken,3.4,1.4967,30,"[3, 3, 1, 4, 5, 3, 5, 4, 1, 2, 3, 5, 5, 2, 3, 2, 5, 5, 5, 4, 1, 1, 4, 2, 5, 5, 1, 5, 3, 5]"
Kevin Spacey,4.0333,1.1968,30,"[3, 3, 5, 3, 4, 5, 5, 4, 5, 1, 3, 5, 5, 5, 2, 5, 5, 5, 3, 4, 4, 1, 5, 4, 5, 5, 3, 5, 4, 5]"
Lake Huron,3.6,1.3064,30,"[5, 3, 5, 4, 3, 5, 5, 2, 1, 1, 4, 3, 4, 5, 5, 5, 5, 5, 3, 4, 3, 3, 5, 3, 1, 3, 3, 5, 3, 2]"
Michael Landon,3.3667,1.4256,30,"[1, 3, 3, 2, 3, 5, 5, 4, 2, 3, 3, 5, 2, 2, 2, 5, 5, 5, 2, 4, 1, 2, 5, 3, 5, 1, 5, 5, 3, 5]"
Miles,3.7333,1.3888,30,"[3, 3, 1, 3, 5, 3, 5, 4, 1, 3, 3, 5, 5, 5, 4, 2, 5, 5, 5, 4, 1, 5, 4, 1, 5, 4, 5, 5, 3, 5]"
Mississippi,4.6897,0.5933,29,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5]"
Morris,3.1333,1.4314,30,"[2, 3, 1, 3, 5, 3, 4, 4, 1, 2, 3, 5, 5, 2, 2, 2, 5, 4, 3, 4, 1, 5, 2, 1, 5, 3, 1, 5, 3, 5]"
Mount Bakedu,1.5333,0.8055,30,"[1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 5, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
Natalie,3.3333,1.4907,30,"[4, 3, 1, 3, 5, 3, 5, 4, 1, 3, 3, 5, 5, 2, 3, 2, 5, 5, 5, 4, 1, 1, 3, 1, 5, 3, 1, 5, 4, 5]"
November,4.9333,0.359,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Paul,3.5333,1.4772,30,"[4, 3, 1, 4, 5, 3, 5, 4, 1, 2, 3, 5, 5, 4, 4, 2, 5, 5, 5, 4, 1, 4, 2, 1, 5, 3, 1, 5, 5, 5]"
Paul Walker,3.0,1.633,30,"[3, 3, 5, 3, 5, 1, 1, 4, 1, 1, 3, 5, 5, 2, 2, 5, 5, 5, 4, 4, 1, 1, 5, 2, 2, 1, 1, 1, 4, 5]"
