unit,mean,std,n,individual_ratings
Amanda chokes Jessica because she is a cham,1.9634,0.7399,82,"[3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 1, 3, 3, 2, 1, 3, 2, 1, 3, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 3, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 2, 2, 2, 2, 1, 1, 3, 2, 3, 2, 1, 3, 3, 3, 1, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 2, 2, 1, 3]"
Amanda delights Jenny because she is a zib,2.0519,0.7541,77,"[1, 2, 2, 3, 1, 2, 2, 3, 2, 3, 2, 2, 1, 2, 1, 3, 3, 1, 3, 1, 2, 1, 2, 2, 3, 1, 2, 3, 3, 1, 3, 2, 1, 3, 3, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 3, 1, 3, 2, 2, 2, 2, 1, 2, 3, 3, 3, 1, 2, 2, 3, 2, 1, 2, 2, 3, 1, 2, 3, 3, 2, 3, 3, 2, 2, 1, 2]"
Amy shakes Justin because he is a zad,2.6582,0.6342,79,"[2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 1, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 2, 2, 2, 3, 3, 3, 1, 2, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]"
Amy shakes Kate because she is a dax,1.9114,0.7324,79,"[2, 2, 2, 3, 1, 2, 3, 3, 3, 2, 2, 3, 2, 2, 1, 3, 3, 1, 3, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 3, 2, 3, 3, 1, 3, 2, 3, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 1, 2]"
Angela heals Kim because she is a gan,2.0875,0.7449,80,"[2, 3, 2, 2, 1, 2, 2, 3, 3, 3, 1, 3, 3, 2, 2, 2, 3, 1, 3, 2, 2, 1, 1, 1, 2, 3, 1, 2, 2, 3, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 3, 2, 2, 2, 1, 1, 1, 3, 2, 3, 2, 1, 3, 3, 3, 2, 1, 2, 2, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 2, 2, 3]"
Anne rocks Lisa because she is a heaf,1.9359,0.7222,78,"[1, 2, 2, 2, 1, 2, 2, 3, 3, 2, 2, 3, 3, 2, 1, 3, 2, 1, 3, 2, 1, 1, 1, 2, 3, 1, 2, 3, 2, 1, 2, 2, 1, 2, 3, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 2, 3, 3, 1, 3, 2, 3, 2, 1, 1, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 2, 1, 1, 2]"
Ben bounces Amy because he is a twib,2.6538,0.6166,78,"[2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 2, 3, 2, 1, 3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 1, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2]"
Ben bounces Eric because he is a bick,2.0,0.6751,79,"[2, 2, 2, 2, 1, 3, 2, 3, 3, 2, 2, 2, 2, 2, 1, 3, 2, 1, 3, 2, 2, 1, 1, 1, 2, 3, 1, 2, 3, 2, 2, 2, 2, 1, 3, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 2, 3, 2, 2, 1, 2, 3, 2, 3, 2, 1, 3, 1, 3, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 2, 2, 1, 2]"
Ben enjoys Anne because he is a kupe,2.7215,0.5497,79,"[3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 1, 3, 2, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2]"
Ben enjoys Diego because he is a tem,2.0625,0.7801,80,"[1, 3, 2, 2, 1, 2, 3, 3, 2, 3, 1, 3, 3, 2, 1, 3, 2, 1, 3, 1, 2, 1, 2, 3, 2, 2, 1, 2, 3, 3, 2, 2, 2, 1, 2, 3, 1, 2, 2, 1, 2, 1, 1, 1, 1, 3, 3, 1, 2, 2, 2, 3, 1, 1, 1, 3, 2, 3, 3, 1, 3, 1, 3, 3, 1, 2, 2, 3, 2, 2, 2, 3, 2, 3, 3, 3, 2, 2, 3, 2]"
