unit,mean,std,n,individual_ratings
A few boys who petted a dog found something yesterday at the dog pound.,2.7899,1.2273,119,"[5, 1, 3, 3, 3, 2, 2, 1, 4, 2, 3, 2, 3, 2, 3, 3, 5, 4, 4, 3, 4, 1, 3, 2, 2, 3, 3, 2, 2, 4, 4, 4, 4, 4, 3, 2, 4, 2, 2, 5, 2, 4, 3, 4, 1, 1, 4, 3, 2, 2, 4, 5, 3, 3, 4, 4, 2, 4, 5, 1, 1, 4, 3, 4, 3, 2, 3, 1, 3, 3, 4, 2, 4, 2, 1, 1, 1, 1, 3, 4, 4, 4, 2, 1, 2, 5, 2, 4, 1, 1, 4, 5, 4, 2, 4, 1, 3, 5, 3, 1, 5, 3, 2, 3, 1, 2, 2, 2, 3, 1, 4, 1, 2, 4, 3, 2, 1, 3, 1]"
A few boys who petted a dog hugged him yesterday at the dog pound.,2.3185,1.1493,157,"[1, 2, 5, 1, 2, 4, 5, 2, 4, 3, 2, 2, 4, 2, 3, 1, 2, 2, 3, 3, 3, 2, 1, 1, 2, 1, 4, 4, 2, 3, 3, 2, 1, 2, 2, 3, 3, 5, 3, 5, 1, 4, 2, 2, 2, 1, 2, 1, 4, 2, 2, 1, 3, 2, 1, 3, 2, 3, 2, 2, 4, 2, 3, 2, 1, 1, 2, 3, 2, 5, 1, 4, 1, 3, 1, 1, 2, 4, 5, 3, 4, 2, 1, 3, 1, 3, 2, 1, 1, 3, 2, 4, 2, 1, 3, 1, 3, 3, 2, 5, 1, 4, 3, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 4, 5, 3, 2, 4, 2, 1, 2, 3, 1, 1, 1, 4, 2, 2, 3, 3, 1, 2, 4, 1, 2, 2, 2, 3, 4, 2, 2, 1, 1, 2, 2, 1, 2, 4, 3, 2, 2, 2, 1, 3, 1]"
A few girls who were kissed by a boy at the party brought him to the next movie night.,3.1835,1.2356,158,"[2, 3, 4, 3, 3, 2, 1, 3, 4, 4, 5, 4, 3, 3, 2, 2, 4, 2, 5, 4, 3, 5, 1, 3, 4, 2, 2, 4, 3, 3, 3, 4, 4, 1, 2, 4, 3, 4, 2, 3, 4, 5, 3, 1, 4, 1, 5, 4, 5, 4, 3, 5, 3, 2, 5, 4, 5, 5, 2, 1, 5, 5, 3, 4, 3, 4, 4, 4, 3, 5, 2, 4, 2, 3, 1, 1, 2, 4, 5, 4, 3, 4, 3, 4, 1, 4, 2, 2, 5, 4, 3, 5, 2, 2, 5, 1, 3, 3, 4, 3, 5, 3, 3, 1, 2, 1, 5, 3, 4, 2, 1, 2, 3, 1, 1, 3, 4, 5, 3, 4, 3, 3, 4, 4, 4, 4, 1, 2, 2, 5, 2, 4, 3, 1, 2, 4, 5, 3, 4, 4, 3, 3, 5, 3, 3, 1, 5, 4, 3, 5, 2, 5, 3, 3, 3, 2, 3, 2]"
A few girls who were kissed by a boy at the party brought something to the next movie night.,2.8833,1.2911,120,"[4, 2, 2, 3, 2, 2, 2, 3, 2, 4, 2, 3, 2, 3, 2, 3, 3, 4, 4, 4, 3, 3, 1, 3, 4, 4, 2, 3, 1, 2, 2, 4, 5, 5, 5, 5, 2, 4, 2, 3, 3, 1, 4, 4, 5, 2, 2, 4, 2, 2, 1, 3, 4, 4, 3, 3, 1, 3, 4, 1, 1, 1, 3, 4, 4, 4, 2, 5, 1, 3, 3, 3, 4, 4, 1, 1, 1, 1, 1, 4, 4, 4, 4, 3, 1, 3, 4, 4, 2, 1, 1, 5, 5, 5, 2, 5, 1, 4, 5, 2, 4, 5, 4, 3, 3, 1, 2, 3, 1, 2, 1, 4, 1, 4, 5, 3, 3, 1, 2, 3]"
A few lawyers discussed the case with their boss and made him finalize it the day after.,3.1613,1.173,93,"[3, 2, 4, 1, 3, 4, 5, 2, 4, 3, 4, 1, 3, 3, 2, 2, 4, 3, 5, 4, 3, 4, 3, 3, 2, 2, 4, 4, 1, 3, 4, 2, 2, 3, 4, 2, 2, 5, 4, 4, 3, 4, 4, 2, 5, 5, 3, 5, 5, 2, 5, 1, 3, 4, 3, 4, 5, 4, 2, 5, 4, 3, 4, 2, 2, 4, 3, 2, 4, 1, 4, 2, 4, 4, 4, 3, 3, 5, 3, 2, 1, 1, 3, 4, 4, 2, 5, 2, 4, 2, 2, 2, 2]"
A few students met with the teacher at a coffeehouse and introduced him to the new dean of the university.,3.7979,1.0834,94,"[4, 4, 4, 3, 3, 4, 5, 4, 4, 2, 5, 4, 3, 5, 3, 5, 3, 2, 5, 4, 3, 5, 2, 2, 2, 4, 5, 3, 3, 3, 5, 4, 1, 1, 4, 5, 2, 5, 3, 3, 5, 5, 4, 1, 4, 4, 5, 3, 5, 5, 4, 5, 3, 3, 5, 3, 5, 5, 5, 4, 5, 4, 3, 3, 4, 4, 4, 2, 3, 5, 3, 4, 5, 4, 4, 4, 5, 3, 4, 4, 5, 3, 4, 4, 5, 5, 3, 5, 5, 3, 2, 3, 4, 5]"
A friend of mine lent me his bicycle and borrowed my ball at the playground.,3.6277,1.1358,94,"[2, 5, 4, 3, 2, 4, 5, 2, 4, 3, 5, 5, 3, 5, 5, 2, 3, 5, 3, 5, 3, 5, 4, 3, 3, 2, 4, 5, 3, 4, 4, 3, 3, 2, 4, 5, 3, 4, 2, 4, 1, 5, 4, 5, 2, 2, 5, 4, 4, 5, 2, 5, 3, 2, 4, 4, 4, 4, 5, 5, 5, 4, 2, 4, 2, 5, 2, 4, 3, 5, 2, 3, 4, 5, 4, 3, 5, 3, 2, 4, 5, 2, 2, 4, 4, 4, 4, 5, 2, 4, 2, 3, 4, 5]"
A girl left the soccer field and came inside when it started to rain.,4.4787,0.8129,94,"[3, 5, 5, 5, 4, 4, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 2, 5, 4, 4, 5, 5, 3, 3, 4, 5, 3, 5, 5, 5, 3, 5, 4, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 3, 5, 4, 3, 5, 3, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 2, 5, 3, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5]"
"According to the actress, many agentless celebrities had insulted him during a press conference.",1.875,1.126,8,"[1, 2, 2, 4, 1, 1, 3, 1]"
"According to the actress, many celebrities who were agentless had insulted him during a press conference.",2.0,0.7559,8,"[3, 1, 2, 2, 2, 1, 3, 2]"
