unit,mean,std,n,individual_ratings
Alice wondered what the detective would lead the investigation while Paul took from the jewelry store.,1.5143,0.649,35,"[2, 1, 1, 1, 3, 1, 2, 1, 1, 3, 2, 1, 1, 2, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1]"
Alice wondered what the detective would visit his mother while Paul took from the jewelry store.,1.8857,0.8543,35,"[2, 2, 1, 1, 2, 2, 2, 1, 3, 1, 1, 2, 2, 1, 2, 2, 2, 1, 3, 1, 1, 4, 1, 3, 2, 4, 2, 1, 1, 2, 2, 3, 1, 2, 3]"
Alice wondered whether the detective would lead the investigation while Paul took the necklace from the jewelry store.,4.0,1.069,35,"[5, 5, 5, 3, 5, 3, 4, 4, 3, 3, 5, 5, 5, 4, 4, 3, 4, 4, 1, 5, 3, 5, 5, 4, 2, 2, 5, 4, 3, 5, 5, 3, 5, 4, 5]"
Alice wondered whether the detective would visit his mother while Paul took the necklace from the jewelry store.,3.7714,0.9587,35,"[4, 4, 4, 5, 3, 4, 5, 4, 5, 3, 3, 5, 4, 3, 5, 3, 3, 4, 5, 1, 3, 3, 5, 4, 4, 2, 3, 4, 4, 5, 2, 4, 4, 4, 4]"
Bryan wondered what the pharmacist would buy some gum while John refilled within the month.,1.4286,0.6452,35,"[2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 4, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1]"
Bryan wondered what the pharmacist would inform a doctor while John refilled within the month.,2.4571,1.2034,35,"[2, 1, 4, 4, 4, 2, 2, 1, 5, 4, 2, 2, 4, 1, 1, 4, 2, 1, 3, 1, 3, 1, 3, 3, 3, 1, 2, 4, 1, 3, 2, 2, 4, 3, 1]"
Bryan wondered whether the pharmacist would buy some gum while John refilled his prescription within the month.,3.2857,1.1357,35,"[3, 2, 5, 4, 4, 4, 4, 2, 3, 2, 5, 5, 2, 4, 2, 3, 2, 1, 3, 3, 4, 5, 4, 1, 2, 3, 4, 4, 3, 4, 5, 4, 4, 2, 3]"
Bryan wondered whether the pharmacist would inform a doctor while John refilled his prescription within the month.,3.5143,1.0246,35,"[2, 4, 3, 2, 4, 3, 4, 2, 4, 2, 3, 5, 4, 2, 2, 3, 4, 3, 4, 3, 5, 5, 4, 5, 5, 5, 4, 4, 2, 4, 4, 3, 4, 4, 2]"
Christian wondered what Chris would feel proud while the child prodigy submitted to the art contest at the modern art museum.,2.2,1.1904,35,"[4, 2, 1, 1, 2, 2, 3, 1, 2, 1, 2, 2, 4, 1, 2, 2, 1, 1, 3, 2, 5, 5, 2, 1, 2, 3, 1, 1, 1, 2, 3, 1, 4, 4, 3]"
Christian wondered what Chris would sleep until noon while the child prodigy submitted to the art contest at the modern art museum.,2.0571,0.984,35,"[3, 1, 2, 3, 2, 1, 4, 1, 1, 1, 2, 2, 2, 4, 2, 2, 2, 4, 2, 4, 1, 1, 2, 2, 2, 2, 3, 1, 1, 1, 2, 2, 2, 4, 1]"
