unit,mean,std,n,individual_ratings
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist also was.,2.25,0.8292,8,"[3, 2, 2, 2, 2, 2, 4, 1]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was also ignoring.,4.125,1.0533,8,"[3, 5, 5, 4, 2, 5, 5, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was ignoring.,3.375,1.2183,8,"[3, 4, 5, 1, 4, 4, 2, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was.,2.8571,0.833,7,"[3, 3, 2, 2, 4, 4, 2]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist also was.,2.75,0.8292,8,"[3, 4, 2, 2, 2, 3, 2, 4]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was also ignoring.,3.25,1.0897,8,"[4, 4, 2, 3, 2, 4, 5, 2]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was ignoring.,3.2857,0.8806,7,"[4, 2, 4, 3, 2, 4, 4]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was.,2.0,0.7071,8,"[2, 1, 2, 3, 2, 2, 1, 3]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist also was.,3.125,1.0533,8,"[3, 2, 5, 2, 4, 3, 4, 2]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was also digging up.,3.125,1.2686,8,"[1, 4, 5, 2, 4, 4, 2, 3]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was digging up.,3.875,1.1659,8,"[5, 5, 3, 3, 2, 5, 5, 3]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was.,3.5,0.7071,8,"[3, 4, 4, 4, 2, 3, 4, 4]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist also was.,2.875,0.927,8,"[2, 2, 3, 2, 2, 4, 4, 4]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was also digging up.,3.625,1.2183,8,"[3, 2, 5, 5, 4, 5, 3, 2]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was digging up.,3.5,1.0,8,"[2, 5, 4, 4, 2, 3, 4, 4]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was.,3.0,0.866,8,"[4, 3, 2, 2, 4, 3, 4, 2]"
The ambitious rock collector was going after every fossil that the highly specialized geologist also was.,2.75,1.199,8,"[2, 1, 5, 4, 2, 3, 2, 3]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was also going after.,4.375,0.4841,8,"[5, 4, 5, 4, 4, 5, 4, 4]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was going after.,3.375,1.2183,8,"[4, 5, 2, 3, 2, 4, 5, 2]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was.,4.0,0.7071,8,"[4, 5, 3, 5, 4, 4, 3, 4]"
The ambitious rock collector was going after the fossil that the highly specialized geologist also was.,2.875,1.1659,8,"[1, 3, 3, 2, 4, 5, 2, 3]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was also going after.,3.75,1.0897,8,"[2, 4, 4, 5, 5, 4, 2, 4]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was going after.,4.625,0.4841,8,"[5, 5, 5, 4, 4, 5, 4, 5]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was.,3.625,1.4948,8,"[3, 5, 5, 3, 1, 5, 2, 5]"
The anxious old farmer was rounding up every cow that the ignorant farm hand also was.,2.75,1.0897,8,"[2, 2, 4, 4, 4, 2, 3, 1]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was also rounding up.,3.375,0.857,8,"[3, 4, 5, 2, 4, 3, 3, 3]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was rounding up.,3.375,0.9922,8,"[4, 3, 3, 2, 2, 4, 5, 4]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was.,3.25,0.9682,8,"[3, 3, 4, 3, 2, 2, 5, 4]"
The anxious old farmer was rounding up the cow that the ignorant farm hand also was.,3.125,1.0533,8,"[2, 2, 5, 3, 2, 4, 4, 3]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was also rounding up.,3.25,1.0897,8,"[2, 3, 4, 5, 4, 4, 2, 2]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was rounding up.,3.125,1.4524,8,"[2, 5, 4, 2, 1, 2, 5, 4]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was.,2.625,1.317,8,"[4, 1, 2, 2, 3, 5, 3, 1]"
