unit,mean,std,n,individual_ratings
The CEO called for the urgent meeting after he had been anxiously watching the decreasing stock price.,2.8305,1.4861,59,"[3, 3, 1, 4, 2, 3, 1, 4, 1, 4, 1, 3, 2, 5, 1, 3, 5, 5, 2, 5, 2, 4, 2, 1, 1, 4, 1, 4, 1, 2, 3, 1, 3, 1, 5, 1, 4, 2, 2, 4, 5, 5, 5, 4, 3, 1, 3, 1, 5, 2, 5, 4, 4, 1, 5, 1, 3, 1, 3]"
The accountant blamed the complex program when she had been carelessly making simple mistakes on the chart.,2.6724,1.2917,58,"[4, 1, 4, 4, 5, 1, 4, 3, 4, 2, 4, 3, 3, 1, 5, 1, 4, 2, 5, 4, 5, 3, 3, 1, 3, 2, 2, 2, 2, 2, 1, 2, 3, 1, 3, 2, 2, 2, 2, 1, 5, 2, 4, 1, 3, 1, 3, 2, 5, 1, 1, 3, 3, 1, 4, 2, 4, 2]"
The actress went on an intense diet because she had been apparently gaining weight from partying too hard on the weekends.,2.8475,1.5162,59,"[3, 2, 3, 4, 3, 3, 1, 4, 1, 4, 1, 4, 2, 1, 1, 2, 4, 5, 1, 5, 2, 5, 3, 1, 1, 5, 1, 4, 4, 1, 3, 1, 3, 1, 5, 1, 4, 2, 2, 3, 4, 5, 5, 5, 3, 2, 3, 1, 5, 3, 5, 1, 4, 1, 5, 1, 3, 1, 5]"
The administrator copied the faxed document because she had been sternly rebuked for misplacing documents before.,3.0,1.353,59,"[5, 2, 3, 4, 4, 3, 1, 5, 2, 4, 1, 3, 2, 1, 2, 2, 5, 5, 2, 5, 2, 4, 3, 1, 2, 4, 1, 4, 5, 2, 3, 1, 3, 3, 5, 1, 4, 2, 2, 3, 4, 5, 4, 4, 3, 2, 3, 1, 4, 2, 5, 2, 4, 3, 5, 2, 5, 2, 1]"
The applicant entered the competitive program because she had been wholeheartedly recommended by the senior faculty member.,2.9661,1.3774,59,"[4, 3, 1, 4, 4, 3, 1, 4, 1, 4, 1, 4, 2, 1, 1, 3, 5, 5, 3, 5, 2, 4, 3, 1, 3, 5, 1, 4, 1, 3, 3, 1, 3, 2, 5, 4, 4, 2, 2, 4, 4, 5, 4, 4, 3, 2, 3, 1, 5, 2, 5, 3, 4, 1, 5, 2, 3, 1, 2]"
The apprentice followed the detailed directions after she had been regularly failing to assemble the individual pieces.,2.7241,1.362,58,"[2, 2, 4, 1, 5, 1, 4, 2, 5, 4, 3, 1, 3, 5, 5, 1, 4, 1, 5, 5, 2, 2, 1, 3, 4, 2, 2, 2, 2, 3, 1, 3, 5, 4, 3, 2, 2, 1, 4, 2, 4, 1, 3, 1, 3, 1, 3, 1, 5, 2, 1, 2, 3, 2, 3, 3, 5, 2]"
The architect built the distinctive building after he had been deeply inspired to build a landmark for the city.,2.8983,1.374,59,"[4, 3, 3, 4, 3, 3, 1, 4, 1, 3, 1, 3, 2, 5, 3, 1, 5, 4, 1, 5, 2, 4, 1, 1, 1, 4, 1, 4, 5, 2, 3, 1, 2, 2, 5, 1, 4, 2, 2, 2, 5, 4, 3, 3, 3, 2, 3, 2, 5, 2, 5, 4, 4, 1, 5, 2, 3, 2, 5]"
The assistant rejected the incoming call when she had been entirely engaged in another task.,2.9153,1.4531,59,"[2, 2, 4, 2, 5, 1, 4, 3, 3, 4, 4, 2, 3, 1, 5, 2, 5, 1, 5, 5, 5, 1, 3, 1, 3, 4, 2, 2, 5, 3, 2, 1, 2, 2, 5, 3, 1, 2, 1, 3, 1, 5, 3, 5, 1, 3, 1, 3, 3, 5, 2, 5, 4, 2, 1, 5, 2, 5, 2]"
The athlete competed with the former title-holders after he had been previously defeated in every event that year.,3.0339,1.3525,59,"[2, 2, 4, 4, 3, 3, 2, 4, 1, 3, 1, 3, 3, 5, 1, 4, 5, 5, 2, 5, 3, 5, 3, 1, 1, 5, 1, 4, 3, 1, 3, 1, 3, 2, 5, 1, 4, 2, 3, 3, 5, 3, 2, 3, 3, 2, 3, 4, 4, 2, 5, 4, 4, 1, 3, 4, 5, 1, 5]"
The athlete massaged her sore muscles when she had been incessantly preparing for the marathon.,2.9322,1.2738,59,"[4, 3, 3, 4, 3, 3, 1, 3, 4, 4, 1, 3, 3, 2, 1, 2, 5, 5, 2, 5, 1, 4, 2, 1, 2, 4, 1, 4, 1, 3, 3, 1, 4, 3, 5, 1, 4, 2, 3, 4, 4, 3, 3, 3, 3, 2, 3, 2, 5, 2, 4, 3, 4, 1, 5, 1, 4, 2, 5]"
The author published the groundbreaking novel after she had been strangely experiencing supernatural events in real life.,2.7797,1.3786,59,"[2, 2, 4, 1, 5, 1, 4, 4, 5, 3, 4, 2, 3, 5, 5, 1, 5, 2, 5, 4, 4, 1, 3, 1, 3, 2, 2, 1, 3, 1, 1, 1, 2, 3, 3, 3, 2, 3, 2, 3, 1, 5, 1, 4, 1, 3, 1, 3, 1, 5, 2, 4, 2, 3, 2, 5, 2, 4, 4]"
The babysitter changed the wet diaper after she had been persistently searching for the toy that the baby wanted.,2.8305,1.3919,59,"[3, 2, 4, 1, 5, 1, 4, 2, 3, 3, 4, 3, 3, 4, 5, 1, 5, 1, 5, 3, 5, 1, 1, 1, 3, 3, 2, 1, 1, 2, 3, 1, 2, 4, 5, 3, 3, 2, 1, 4, 2, 5, 1, 3, 1, 3, 1, 4, 2, 5, 2, 4, 2, 3, 2, 4, 3, 5, 5]"
The babysitter comforted the crying babies because she had been just informed that they were sick.,2.9153,1.4296,59,"[2, 2, 4, 1, 5, 1, 4, 1, 3, 3, 3, 3, 3, 5, 5, 5, 4, 1, 5, 5, 5, 1, 1, 1, 3, 4, 1, 3, 3, 1, 3, 1, 2, 2, 5, 3, 3, 3, 2, 5, 2, 5, 1, 5, 1, 3, 1, 3, 2, 5, 1, 2, 3, 3, 3, 3, 4, 5, 3]"
The bachelor respected the elderly couple because he had been often getting practical advice from them.,3.0847,1.3056,59,"[2, 3, 2, 4, 2, 3, 2, 3, 2, 4, 1, 5, 2, 1, 1, 2, 5, 5, 2, 5, 1, 5, 2, 1, 3, 4, 1, 4, 5, 3, 3, 3, 3, 3, 4, 2, 4, 2, 2, 2, 5, 4, 5, 4, 3, 2, 3, 4, 5, 2, 4, 4, 4, 2, 5, 3, 4, 1, 5]"
The baker burnt the sweet cookies when he had been simultaneously mixing cake batter.,2.9333,1.436,60,"[4, 3, 2, 4, 3, 3, 3, 3, 5, 4, 1, 5, 3, 1, 1, 3, 5, 5, 2, 5, 1, 4, 1, 2, 1, 4, 1, 4, 2, 5, 2, 2, 1, 3, 1, 5, 1, 4, 3, 2, 2, 5, 3, 5, 5, 3, 1, 3, 2, 4, 2, 3, 3, 4, 1, 5, 1, 5, 1, 4]"
The barber advertised the new services because he had been recently losing some of his customers.,2.8448,1.529,58,"[2, 3, 1, 4, 4, 3, 2, 4, 1, 3, 1, 3, 3, 5, 1, 2, 5, 5, 1, 5, 2, 4, 3, 1, 1, 5, 1, 4, 3, 1, 2, 1, 5, 1, 5, 1, 4, 2, 2, 1, 5, 3, 3, 5, 3, 1, 3, 1, 5, 2, 4, 4, 1, 5, 2, 5, 1, 5]"
The barista mastered the brewing techniques after he had been harshly criticized for the poor quality of his coffee.,3.1525,1.4358,59,"[2, 3, 4, 2, 5, 1, 3, 2, 5, 3, 4, 3, 3, 4, 5, 5, 5, 1, 5, 5, 5, 1, 2, 1, 3, 5, 2, 2, 3, 1, 4, 1, 2, 4, 5, 3, 3, 2, 2, 4, 3, 5, 1, 5, 1, 3, 1, 3, 2, 5, 2, 4, 3, 3, 1, 5, 4, 5, 5]"
