unit,mean,std,n,individual_ratings
Barbara was angry that Thomas moved.,4.1,1.179,20,"[3, 5, 3, 5, 5, 4, 3, 5, 5, 3, 5, 5, 4, 5, 2, 5, 5, 4, 5, 1]"
Barbara was annoyed that Jennifer misunderstood.,4.3,0.9539,20,"[2, 5, 4, 5, 5, 4, 4, 5, 5, 4, 5, 3, 4, 5, 5, 5, 4, 2, 5, 5]"
Barbara was annoyed that Jennifer wanted something.,4.45,0.8047,20,"[3, 4, 2, 5, 5, 4, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5]"
Barbara was ashamed that Robert consented.,3.55,1.3219,20,"[1, 3, 4, 5, 2, 4, 3, 4, 1, 4, 3, 5, 4, 2, 4, 5, 5, 2, 5, 5]"
Barbara was aware that Susan misunderstood.,4.4,1.0198,20,"[2, 5, 3, 5, 5, 3, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 5]"
Barbara was aware that Susan stole something.,4.3,1.0536,20,"[5, 5, 3, 5, 5, 1, 3, 5, 5, 5, 5, 4, 3, 5, 4, 5, 4, 5, 5, 4]"
Barbara was certain that Mary made something.,4.25,0.7665,20,"[4, 5, 3, 5, 5, 4, 3, 4, 4, 4, 3, 4, 3, 5, 4, 5, 5, 5, 5, 5]"
Barbara was content that Jennifer agreed.,4.15,0.7263,20,"[4, 4, 3, 4, 5, 3, 4, 4, 5, 4, 5, 5, 3, 3, 4, 5, 5, 4, 5, 4]"
Barbara was disappointed that David moved.,4.1579,1.2675,19,"[3, 5, 2, 5, 5, 4, 5, 5, 1, 5, 4, 3, 5, 5, 5, 5, 2, 5, 5]"
Barbara was elated that Lisa arrived.,4.35,1.0137,20,"[2, 5, 3, 5, 5, 4, 4, 5, 5, 2, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5]"
Barbara was elated that Lisa required something.,3.55,1.2031,20,"[5, 3, 2, 4, 2, 3, 3, 4, 1, 4, 4, 5, 2, 2, 5, 5, 4, 4, 5, 4]"
Barbara was flabbergasted that Lisa wanted something.,3.6842,1.4162,19,"[4, 4, 1, 5, 4, 2, 5, 4, 3, 4, 5, 4, 3, 1, 5, 5, 5, 5, 1]"
Barbara was shocked that Elizabeth consented.,4.05,1.1169,20,"[2, 5, 4, 5, 5, 3, 4, 5, 5, 4, 5, 4, 3, 2, 3, 5, 5, 2, 5, 5]"
Charles was amused that Barbara smiled.,4.4,0.8602,20,"[4, 5, 2, 5, 5, 3, 3, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5]"
Charles was angry that Nancy laughed.,4.45,0.8047,20,"[4, 5, 3, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 2]"
Charles was concerned that Karen consented.,4.25,0.5362,20,"[4, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 4, 3, 5, 5, 4, 4, 5, 5]"
Charles was dubious that Joseph waited.,2.95,1.4309,20,"[2, 5, 1, 1, 2, 4, 3, 4, 3, 3, 4, 1, 5, 1, 4, 5, 4, 4, 2, 1]"
Charles was ecstatic that Mary wanted something.,3.6842,1.2162,19,"[3, 2, 5, 2, 4, 3, 4, 1, 4, 5, 4, 3, 5, 5, 5, 4, 2, 5, 4]"
Charles was impressed that Michael bought something.,4.4211,0.5908,19,"[4, 5, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5]"
Charles was indignant that Robert stole something.,3.95,1.3592,20,"[5, 5, 2, 5, 5, 5, 4, 4, 2, 4, 5, 5, 3, 1, 5, 5, 4, 4, 5, 1]"
Charles was jealous that Jennifer took something.,3.75,1.3739,20,"[4, 5, 2, 5, 4, 2, 4, 4, 1, 3, 4, 5, 2, 5, 5, 5, 5, 4, 5, 1]"
Charles was optimistic that Elizabeth moved.,3.7,1.2288,20,"[3, 5, 3, 2, 4, 3, 4, 5, 1, 5, 4, 2, 3, 5, 5, 5, 4, 2, 5, 4]"
Christopher was aware that Lisa broke something.,4.5,0.8062,20,"[5, 4, 2, 5, 5, 4, 4, 5, 5, 4, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5]"
Christopher was certain that James laughed.,4.15,1.0618,20,"[2, 5, 4, 5, 5, 2, 3, 4, 5, 5, 5, 5, 5, 4, 2, 5, 4, 4, 5, 4]"
Christopher was content that John cried.,3.1579,1.2253,19,"[3, 2, 2, 2, 2, 2, 4, 1, 4, 4, 2, 4, 3, 2, 5, 4, 5, 5, 4]"
Christopher was convinced that Nancy made something.,4.35,0.9097,20,"[3, 4, 3, 5, 5, 4, 2, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5]"
Christopher was dubious that David smiled.,2.9,1.3748,20,"[4, 3, 4, 1, 4, 1, 4, 2, 1, 3, 4, 5, 3, 2, 5, 2, 5, 2, 2, 1]"
Christopher was irritated that Robert required something.,3.55,1.2835,20,"[3, 4, 2, 4, 1, 3, 4, 4, 5, 4, 4, 5, 2, 2, 4, 5, 5, 4, 5, 1]"
Christopher was mad that Robert stole something.,4.4,1.0198,20,"[5, 5, 2, 5, 5, 2, 3, 5, 5, 5, 5, 4, 4, 5, 3, 5, 5, 5, 5, 5]"
Daniel was convinced that Robert agreed.,4.25,1.0897,20,"[2, 5, 2, 5, 5, 4, 5, 4, 3, 4, 5, 4, 5, 5, 5, 5, 5, 2, 5, 5]"
Daniel was glad that Joseph moved.,4.4,0.9165,20,"[5, 5, 3, 5, 5, 3, 5, 5, 5, 4, 5, 5, 3, 5, 4, 5, 5, 4, 5, 2]"
Daniel was irritated that Charles agreed.,4.1,1.1358,20,"[4, 4, 3, 5, 5, 3, 3, 5, 5, 5, 5, 4, 5, 5, 2, 5, 4, 1, 5, 4]"
Daniel was relieved that Richard consented.,4.45,0.8646,20,"[4, 5, 2, 5, 5, 3, 3, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5]"
Daniel was relieved that Richard required something.,4.05,0.9206,20,"[4, 3, 4, 5, 4, 4, 4, 4, 2, 4, 5, 5, 3, 4, 5, 5, 5, 4, 5, 2]"
David was anxious that Jessica consented.,3.8,1.1662,20,"[3, 4, 4, 5, 4, 3, 5, 4, 3, 4, 4, 4, 3, 5, 5, 5, 4, 1, 5, 1]"
David was bitter that Jessica stole something.,4.05,1.244,20,"[5, 5, 1, 5, 4, 3, 3, 4, 5, 4, 5, 5, 3, 5, 5, 4, 4, 5, 5, 1]"
David was content that Richard understood something.,4.1,1.0909,20,"[3, 5, 2, 2, 4, 2, 3, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4]"
David was flabbergasted that Charles laughed.,3.6,1.5297,20,"[2, 4, 3, 5, 1, 4, 4, 5, 1, 4, 5, 5, 3, 1, 5, 5, 4, 5, 5, 1]"
