unit,mean,std,n,individual_ratings
It was a clever solution that the student thought of.,4.0312,1.015,32,"[5, 5, 4, 5, 4, 5, 2, 5, 3, 5, 4, 5, 4, 5, 3, 5, 4, 4, 4, 2, 5, 4, 4, 3, 5, 5, 3, 4, 4, 2, 2, 5]"
It was a perfect wedding that the couple dreamed of.,4.08,0.9765,25,"[5, 5, 4, 4, 4, 5, 2, 4, 4, 4, 5, 2, 5, 2, 5, 4, 5, 5, 3, 4, 5, 4, 4, 5, 3]"
It was a thunderstorm that the weather service warned of.,3.25,1.184,28,"[5, 4, 1, 3, 4, 5, 2, 4, 4, 3, 5, 2, 5, 2, 2, 4, 2, 2, 3, 3, 5, 4, 2, 3, 2, 4, 4, 2]"
It was clues that the detective looked for.,3.4286,1.2657,28,"[4, 5, 3, 3, 4, 5, 3, 5, 4, 3, 5, 2, 4, 3, 4, 4, 5, 2, 4, 1, 5, 5, 2, 2, 4, 2, 1, 2]"
It was elegant dresses that her wardrobe consisted of.,2.5517,1.1013,29,"[2, 2, 1, 2, 4, 5, 3, 2, 2, 4, 2, 1, 4, 3, 3, 1, 4, 2, 4, 3, 1, 2, 2, 2, 4, 2, 3, 1, 3]"
It was experienced professionals that the team consisted of.,2.8571,1.2454,28,"[4, 2, 4, 2, 2, 5, 1, 2, 3, 2, 3, 3, 5, 5, 2, 1, 4, 2, 2, 2, 1, 3, 2, 5, 4, 2, 4, 3]"
It was for clues that the detective looked.,2.5455,1.1171,22,"[3, 2, 2, 1, 5, 2, 4, 3, 2, 2, 1, 2, 2, 4, 2, 2, 2, 4, 4, 2, 4, 1]"
It was for repairs that the customer paid.,2.3704,0.867,27,"[1, 3, 2, 2, 2, 4, 2, 2, 2, 4, 3, 3, 3, 3, 3, 4, 2, 1, 2, 1, 3, 2, 2, 2, 3, 2, 1]"
It was for the bus that the nurse waited.,2.4444,1.0304,27,"[4, 2, 4, 2, 4, 2, 2, 1, 2, 3, 4, 2, 4, 1, 4, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 4, 3]"
It was for the exam that the student studied.,2.7857,1.1451,28,"[3, 2, 3, 2, 2, 5, 2, 5, 2, 2, 3, 5, 2, 2, 5, 2, 4, 3, 2, 4, 1, 2, 2, 2, 4, 2, 2, 3]"
It was for the fellowship that the student applied.,2.4516,0.9784,31,"[3, 2, 3, 2, 2, 4, 4, 1, 2, 2, 4, 3, 4, 2, 2, 4, 2, 3, 2, 1, 1, 3, 2, 2, 2, 2, 3, 1, 3, 4, 1]"
It was for the patients that the nurse cared.,2.6111,1.297,18,"[3, 3, 1, 4, 1, 4, 3, 5, 1, 4, 2, 1, 2, 4, 4, 2, 1, 2]"
It was his dribbling skills that the player boasted of.,3.1818,1.3016,22,"[5, 1, 2, 4, 5, 2, 5, 2, 4, 2, 3, 4, 2, 2, 2, 5, 2, 5, 4, 4, 3, 2]"
It was of a clever solution that the student thought.,2.0,1.0,18,"[1, 3, 2, 2, 1, 2, 3, 1, 1, 4, 2, 1, 2, 4, 3, 2, 1, 1]"
It was of a perfect wedding that the couple dreamed.,2.5,0.866,24,"[4, 2, 1, 2, 2, 3, 4, 2, 4, 2, 2, 4, 2, 3, 3, 2, 3, 3, 2, 2, 2, 2, 3, 1]"
It was of a thunderstorm that the weather service warned.,2.4091,0.9371,22,"[3, 2, 2, 2, 2, 4, 2, 3, 1, 2, 2, 2, 3, 4, 2, 2, 2, 5, 2, 3, 1, 2]"
It was of elegant dresses that her wardrobe consisted.,2.0952,0.9209,21,"[2, 3, 2, 2, 1, 2, 2, 3, 2, 4, 2, 1, 1, 1, 1, 3, 3, 2, 4, 2, 1]"
It was of experienced professionals that the team consisted.,2.3182,1.0611,22,"[1, 2, 2, 4, 1, 4, 3, 2, 4, 1, 4, 3, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2]"
It was of his dribbling skills that the player boasted.,2.4074,1.0974,27,"[2, 3, 2, 2, 2, 2, 1, 1, 2, 1, 3, 3, 4, 3, 3, 4, 2, 1, 2, 5, 3, 2, 2, 2, 2, 1, 5]"
It was of severe pain that the patient complained.,2.7037,1.1487,27,"[4, 2, 4, 2, 4, 2, 2, 3, 2, 3, 2, 2, 5, 1, 3, 1, 2, 3, 1, 4, 2, 2, 4, 5, 2, 4, 2]"
It was of the cool band that the hipsters heard.,2.0714,1.1316,28,"[5, 2, 2, 1, 2, 2, 1, 2, 2, 2, 3, 1, 2, 1, 1, 1, 4, 1, 1, 4, 5, 2, 2, 2, 2, 2, 2, 1]"
It was of the hazardous waste that the company disposed.,2.1613,1.0191,31,"[2, 2, 2, 1, 2, 2, 2, 1, 2, 3, 3, 1, 3, 2, 2, 4, 1, 4, 2, 5, 1, 3, 2, 1, 4, 2, 1, 2, 2, 1, 2]"
It was of the large language model that the teacher disapproved.,2.3333,1.075,30,"[2, 2, 1, 2, 2, 2, 2, 3, 4, 3, 4, 1, 4, 5, 3, 2, 4, 1, 1, 2, 3, 3, 1, 1, 3, 2, 2, 2, 2, 1]"
It was of the proposed budget changes that the committee approved.,2.3846,1.1121,26,"[2, 2, 2, 2, 2, 4, 1, 4, 4, 2, 2, 1, 2, 1, 1, 2, 3, 1, 5, 3, 3, 2, 4, 3, 3, 1]"
It was of the strike that the labor union approved.,2.2174,1.2839,23,"[3, 3, 1, 2, 2, 4, 1, 1, 4, 1, 5, 1, 1, 2, 2, 5, 1, 3, 2, 2, 3, 1, 1]"
It was repairs that the customer paid for.,3.6087,1.1699,23,"[5, 5, 2, 5, 5, 3, 5, 4, 4, 3, 2, 4, 3, 2, 5, 2, 5, 2, 4, 4, 4, 2, 3]"
It was severe pain that the patient complained of.,3.3913,1.1321,23,"[5, 4, 4, 3, 3, 2, 4, 3, 4, 2, 4, 5, 4, 5, 1, 5, 2, 3, 4, 4, 2, 3, 2]"
It was the birds that the cat listened to.,3.1034,0.9593,29,"[2, 2, 2, 3, 4, 4, 4, 4, 4, 4, 4, 2, 3, 3, 3, 3, 4, 2, 5, 4, 3, 3, 2, 2, 4, 1, 3, 2, 4]"
It was the bus that the nurse waited for.,3.3913,1.093,23,"[4, 4, 4, 1, 4, 2, 4, 4, 3, 3, 4, 5, 4, 5, 2, 4, 2, 2, 5, 4, 3, 3, 2]"
It was the cool band that the hipsters heard of.,3.0909,1.2398,22,"[4, 5, 3, 2, 4, 2, 3, 3, 4, 1, 2, 2, 5, 4, 1, 2, 4, 5, 2, 4, 2, 4]"
It was the customer that the company responded to.,3.6667,1.0672,24,"[2, 4, 4, 3, 5, 5, 4, 2, 4, 5, 5, 3, 4, 4, 4, 4, 2, 5, 4, 5, 3, 3, 2, 2]"
It was the editor that the journalist wrote to.,3.5,1.0831,26,"[4, 3, 4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 2, 4, 3, 3, 2, 5, 2, 3, 5, 5, 4, 3, 3, 2]"
It was the exam that the student studied for.,3.7619,1.0191,21,"[5, 3, 4, 5, 4, 4, 5, 5, 3, 2, 3, 5, 4, 3, 5, 4, 4, 3, 2, 2, 4]"
It was the fellowship that the student applied for.,3.4737,1.0939,19,"[4, 4, 2, 4, 2, 4, 2, 4, 5, 3, 2, 4, 2, 4, 5, 5, 4, 4, 2]"
It was the girls that the boy waved to.,3.4286,1.0833,28,"[5, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 2, 2, 2, 5, 5, 3, 5, 5, 2, 5, 2]"
