unit,mean,std,n,individual_ratings
"A fireman explained the rule to passers-by, and a policeman did too.",4.2,1.1662,5,"[5, 5, 5, 4, 2]"
"A fireman explained the rule to passers-by, and a policeman did.",2.4,1.3565,5,"[2, 2, 1, 2, 5]"
"A fireman explained the rule to passers-by, and a policeman explained it to passers-by too.",3.4,0.8,5,"[4, 4, 3, 2, 4]"
"A fireman explained the rule to passers-by, and a policeman explained it to passers-by.",1.8,0.4,5,"[2, 2, 2, 1, 2]"
"A fireman explained the rule to passers-by, and a policeman explained it to them too.",3.4,0.4899,5,"[4, 3, 3, 4, 3]"
"A fireman explained the rule to passers-by, and a policeman explained it to them.",3.2,1.3266,5,"[3, 1, 5, 4, 3]"
"A fireman explained the rule to passers-by, and a policeman explained the rule to passers-by too.",2.6,1.2,5,"[4, 1, 2, 4, 2]"
"A fireman explained the rule to passers-by, and a policeman explained the rule to passers-by.",3.8,0.7483,5,"[3, 3, 5, 4, 4]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor did too.",4.4,0.8,5,"[5, 5, 5, 4, 3]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor did.",2.8,0.7483,5,"[4, 2, 3, 2, 3]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated the guinea pigs with the vaccination too.",2.8,0.7483,5,"[4, 2, 2, 3, 3]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated the guinea pigs with the vaccination.",3.2,0.7483,5,"[3, 3, 4, 2, 4]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated them with it too.",3.6,0.4899,5,"[3, 4, 3, 4, 4]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated them with it.",2.2,0.9798,5,"[2, 1, 2, 4, 2]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated them with the vaccination too.",3.4,0.8,5,"[4, 4, 3, 2, 4]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated them with the vaccination.",1.6,0.8,5,"[1, 3, 2, 1, 1]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated it to him too.",4.4,0.8,5,"[5, 3, 5, 4, 5]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated it to him.",3.0,1.2649,5,"[4, 1, 2, 4, 4]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated it to the professor too.",3.2,1.1662,5,"[3, 2, 2, 4, 5]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated it to the professor.",2.2,0.7483,5,"[1, 2, 3, 2, 3]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated this theorem to the professor too.",3.0,1.4142,5,"[3, 2, 5, 1, 4]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated this theorem to the professor.",2.4,0.4899,5,"[3, 2, 2, 2, 3]"
"A student demonstrated this theorem to the professor, and his colleague did too.",4.4,0.8,5,"[5, 4, 5, 5, 3]"
"A student demonstrated this theorem to the professor, and his colleague did.",2.6,1.0198,5,"[2, 4, 3, 3, 1]"
"An attendant reminded the visitor about the rules, and the director did too.",3.6,1.3565,5,"[4, 2, 2, 5, 5]"
"An attendant reminded the visitor about the rules, and the director did.",3.0,0.8944,5,"[2, 4, 4, 2, 3]"
"An attendant reminded the visitor about the rules, and the director reminded him about the rules too.",3.6,0.4899,5,"[3, 4, 3, 4, 4]"
"An attendant reminded the visitor about the rules, and the director reminded him about the rules.",3.0,0.8944,5,"[4, 2, 4, 2, 3]"
"An attendant reminded the visitor about the rules, and the director reminded him about them too.",3.6,0.4899,5,"[3, 4, 4, 3, 4]"
"An attendant reminded the visitor about the rules, and the director reminded him about them.",2.25,0.8292,4,"[3, 2, 3, 1]"
"An attendant reminded the visitor about the rules, and the director reminded the visitor about the rules too.",4.6,0.4899,5,"[4, 5, 5, 4, 5]"
"An attendant reminded the visitor about the rules, and the director reminded the visitor about the rules.",3.2,0.9798,5,"[3, 2, 3, 3, 5]"
"An inspector indicated the dining car to Jackie, and a passenger did too.",3.8,0.9798,5,"[4, 5, 4, 2, 4]"
"An inspector indicated the dining car to Jackie, and a passenger did.",1.25,0.433,4,"[1, 1, 2, 1]"
"An inspector indicated the dining car to Jackie, and a passenger indicated it to Jackie too.",3.2,1.3266,5,"[4, 1, 3, 3, 5]"
"An inspector indicated the dining car to Jackie, and a passenger indicated it to Jackie.",3.6,1.0198,5,"[3, 2, 5, 4, 4]"
"An inspector indicated the dining car to Jackie, and a passenger indicated it to her too.",4.2,0.4,5,"[4, 5, 4, 4, 4]"
"An inspector indicated the dining car to Jackie, and a passenger indicated it to her.",1.8,0.4,5,"[1, 2, 2, 2, 2]"
"An inspector indicated the dining car to Jackie, and a passenger indicated the dining car to Jackie too.",2.4,0.8,5,"[3, 1, 3, 2, 3]"
"An inspector indicated the dining car to Jackie, and a passenger indicated the dining car to Jackie.",3.2,1.4697,5,"[5, 1, 4, 4, 2]"
"Bernard proposed the contract to Bob and Julie, and George did too.",3.6,0.8,5,"[4, 5, 3, 3, 3]"
"Bernard proposed the contract to Bob and Julie, and George did.",1.0,0.0,5,"[1, 1, 1, 1, 1]"
"Bernard proposed the contract to Bob and Julie, and George proposed it to Bob and Julie too.",2.8,1.4697,5,"[4, 2, 2, 1, 5]"
"Bernard proposed the contract to Bob and Julie, and George proposed it to Bob and Julie.",3.6,1.0198,5,"[3, 2, 5, 4, 4]"
"Bernard proposed the contract to Bob and Julie, and George proposed it to them too.",4.25,0.433,4,"[4, 5, 4, 4]"
"Bernard proposed the contract to Bob and Julie, and George proposed it to them.",2.4,0.4899,5,"[3, 3, 2, 2, 2]"
"Bernard proposed the contract to Bob and Julie, and George proposed the contract to Bob and Julie too.",2.4,1.2,5,"[3, 1, 3, 4, 1]"
"Bernard proposed the contract to Bob and Julie, and George proposed the contract to Bob and Julie.",3.4,1.3565,5,"[5, 1, 4, 4, 3]"
"His son gave the code to the prisoner, and his brother did too.",3.2,1.6,5,"[5, 2, 5, 1, 3]"
"His son gave the code to the prisoner, and his brother did.",1.6,0.4899,5,"[2, 1, 1, 2, 2]"
"His son gave the code to the prisoner, and his brother gave it to him too.",3.4,1.3565,5,"[2, 2, 3, 5, 5]"
"His son gave the code to the prisoner, and his brother gave it to him.",2.2,0.7483,5,"[1, 3, 2, 3, 2]"
"His son gave the code to the prisoner, and his brother gave it to the prisoner too.",3.4,1.0198,5,"[2, 3, 3, 4, 5]"
"His son gave the code to the prisoner, and his brother gave it to the prisoner.",2.0,0.8944,5,"[3, 1, 3, 1, 2]"
"His son gave the code to the prisoner, and his brother gave the code to the prisoner too.",4.0,0.6325,5,"[5, 4, 4, 3, 4]"
"His son gave the code to the prisoner, and his brother gave the code to the prisoner.",2.75,0.8292,4,"[3, 4, 2, 2]"
"Jim worked on the speech for the congressman, and Marie did too.",4.2,0.7483,5,"[4, 5, 5, 3, 4]"
"Jim worked on the speech for the congressman, and Marie did.",1.0,0.0,5,"[1, 1, 1, 1, 1]"
"Jim worked on the speech for the congressman, and Marie worked on it for him too.",4.4,0.4899,5,"[5, 5, 4, 4, 4]"
"Jim worked on the speech for the congressman, and Marie worked on it for him.",3.0,0.6325,5,"[4, 2, 3, 3, 3]"
"Jim worked on the speech for the congressman, and Marie worked on it for the congressman too.",2.6,1.2,5,"[4, 1, 2, 4, 2]"
"Jim worked on the speech for the congressman, and Marie worked on it for the congressman.",3.75,1.0897,4,"[2, 5, 4, 4]"
"Jim worked on the speech for the congressman, and Marie worked on the speech for the congressman too.",2.6,0.4899,5,"[3, 3, 3, 2, 2]"
"Jim worked on the speech for the congressman, and Marie worked on the speech for the congressman.",4.0,1.2649,5,"[5, 2, 5, 5, 3]"
"Joan introduced Jill to the priest, and Emily did too.",3.4,0.4899,5,"[3, 4, 3, 4, 3]"
"Joan introduced Jill to the priest, and Emily did.",2.2,1.1662,5,"[1, 3, 4, 2, 1]"
"Joan introduced Jill to the priest, and Emily introduced Jill to the priest too.",4.2,0.7483,5,"[4, 3, 5, 4, 5]"
"Joan introduced Jill to the priest, and Emily introduced Jill to the priest.",2.2,1.1662,5,"[4, 1, 3, 1, 2]"
"Joan introduced Jill to the priest, and Emily introduced her to him too.",4.0,0.0,5,"[4, 4, 4, 4, 4]"
"Joan introduced Jill to the priest, and Emily introduced her to him.",2.8,0.9798,5,"[2, 4, 2, 2, 4]"
"Joan introduced Jill to the priest, and Emily introduced her to the priest too.",2.8,0.9798,5,"[3, 3, 4, 1, 3]"
"Joan introduced Jill to the priest, and Emily introduced her to the priest.",2.0,0.7071,4,"[3, 2, 1, 2]"
"Max offered the presents to Joe, and Melany did too.",4.2,1.1662,5,"[5, 2, 5, 4, 5]"
"Max offered the presents to Joe, and Melany did.",1.8,0.4,5,"[2, 2, 2, 2, 1]"
"Max offered the presents to Joe, and Melany offered the presents to Joe too.",2.6,1.2,5,"[4, 2, 4, 1, 2]"
"Max offered the presents to Joe, and Melany offered the presents to Joe.",2.2,1.1662,5,"[3, 1, 2, 1, 4]"
"Max offered the presents to Joe, and Melany offered them to Joe too.",3.4,1.0198,5,"[3, 2, 3, 5, 4]"
"Max offered the presents to Joe, and Melany offered them to Joe.",2.4,1.0198,5,"[1, 4, 2, 2, 3]"
"Max offered the presents to Joe, and Melany offered them to him too.",3.8,0.9798,5,"[3, 3, 3, 5, 5]"
"Max offered the presents to Joe, and Melany offered them to him.",3.0,0.7071,4,"[3, 3, 4, 2]"
"Monkeys propagated the virus to men, and pigs did too.",4.2,0.7483,5,"[5, 4, 5, 3, 4]"
"Monkeys propagated the virus to men, and pigs did.",1.6,0.8,5,"[2, 1, 1, 3, 1]"
"Monkeys propagated the virus to men, and pigs propagated it to men too.",3.8,1.1662,5,"[4, 2, 5, 3, 5]"
"Monkeys propagated the virus to men, and pigs propagated it to men.",2.0,0.6325,5,"[2, 2, 3, 2, 1]"
"Monkeys propagated the virus to men, and pigs propagated it to them too.",3.8,0.9798,5,"[3, 3, 3, 5, 5]"
"Monkeys propagated the virus to men, and pigs propagated it to them.",2.0,1.0954,5,"[1, 2, 1, 4, 2]"
"Monkeys propagated the virus to men, and pigs propagated the virus to men too.",3.6,1.0198,5,"[5, 2, 4, 3, 4]"
"Monkeys propagated the virus to men, and pigs propagated the virus to men.",4.0,0.6325,5,"[4, 5, 4, 3, 4]"
"The administration awarded the raise to the employees, and the CEO awarded it to the employees too.",3.6,1.3565,5,"[5, 1, 4, 4, 4]"
"The administration awarded the raise to the employees, and the CEO awarded it to the employees.",3.4,1.0198,5,"[2, 4, 3, 3, 5]"
"The administration awarded the raise to the employees, and the CEO awarded it to them too.",3.2,1.3266,5,"[5, 3, 4, 1, 3]"
"The administration awarded the raise to the employees, and the CEO awarded it to them.",2.8,0.7483,5,"[3, 3, 2, 2, 4]"
"The administration awarded the raise to the employees, and the CEO awarded the raise to the employees too.",3.2,0.9798,5,"[3, 2, 3, 5, 3]"
"The administration awarded the raise to the employees, and the CEO awarded the raise to the employees.",2.4,1.0198,5,"[1, 4, 3, 2, 2]"
"The administration awarded the raise to the employees, and the CEO did too.",4.2,0.9798,5,"[3, 3, 5, 5, 5]"
"The administration awarded the raise to the employees, and the CEO did.",2.0,0.8944,5,"[1, 2, 3, 1, 3]"
"The administrator conveyed the password to the users, and the technician conveyed it to the users too.",4.4,0.4899,5,"[5, 4, 5, 4, 4]"
"The administrator conveyed the password to the users, and the technician conveyed it to the users.",3.2,1.1662,5,"[2, 4, 2, 3, 5]"
"The administrator conveyed the password to the users, and the technician conveyed it to them too.",3.6,1.4967,5,"[5, 3, 5, 1, 4]"
"The administrator conveyed the password to the users, and the technician conveyed it to them.",2.4,0.8,5,"[2, 2, 2, 2, 4]"
"The administrator conveyed the password to the users, and the technician conveyed the password to the users too.",2.6,0.8,5,"[2, 2, 2, 3, 4]"
"The administrator conveyed the password to the users, and the technician conveyed the password to the users.",2.8,1.1662,5,"[1, 4, 4, 2, 3]"
"The administrator conveyed the password to the users, and the technician did too.",4.2,0.9798,5,"[3, 3, 5, 5, 5]"
"The administrator conveyed the password to the users, and the technician did.",1.8,0.7483,5,"[2, 1, 3, 1, 2]"
"The cloud hid the sun from the sunbathers, and the smoke did too.",4.0,0.8944,5,"[5, 5, 4, 3, 3]"
"The cloud hid the sun from the sunbathers, and the smoke did.",2.0,0.6325,5,"[3, 1, 2, 2, 2]"
"The cloud hid the sun from the sunbathers, and the smoke hid it from the sunbathers too.",3.4,0.8,5,"[4, 4, 3, 2, 4]"
"The cloud hid the sun from the sunbathers, and the smoke hid it from the sunbathers.",2.0,0.8944,5,"[3, 3, 2, 1, 1]"
"The cloud hid the sun from the sunbathers, and the smoke hid it from them too.",3.4,0.4899,5,"[3, 4, 3, 4, 3]"
"The cloud hid the sun from the sunbathers, and the smoke hid it from them.",2.6,1.0198,5,"[3, 1, 2, 4, 3]"
"The cloud hid the sun from the sunbathers, and the smoke hid the sun from the sunbathers too.",2.6,1.0198,5,"[4, 2, 3, 1, 3]"
"The cloud hid the sun from the sunbathers, and the smoke hid the sun from the sunbathers.",3.8,0.4,5,"[4, 3, 4, 4, 4]"
"The dealers brought the drug to Juan, and a doctor brought it to Juan too.",2.4,0.8,5,"[3, 1, 3, 3, 2]"
"The dealers brought the drug to Juan, and a doctor brought it to Juan.",2.6,1.2,5,"[4, 1, 2, 4, 2]"
"The dealers brought the drug to Juan, and a doctor brought it to him too.",2.8,0.7483,5,"[4, 3, 2, 3, 2]"
"The dealers brought the drug to Juan, and a doctor brought it to him.",2.2,0.7483,5,"[2, 3, 2, 3, 1]"
"The dealers brought the drug to Juan, and a doctor brought the drug to Juan too.",3.4,1.0198,5,"[3, 5, 2, 3, 4]"
"The dealers brought the drug to Juan, and a doctor brought the drug to Juan.",2.2,0.7483,5,"[1, 2, 3, 2, 3]"
"The dealers brought the drug to Juan, and a doctor did too.",2.8,0.9798,5,"[4, 2, 2, 2, 4]"
"The dealers brought the drug to Juan, and a doctor did.",2.0,0.6325,5,"[2, 2, 2, 1, 3]"
"The dean presented the problem to the parents, and a professor did too.",3.6,1.3565,5,"[4, 2, 2, 5, 5]"
"The dean presented the problem to the parents, and a professor did.",3.6,0.8,5,"[3, 3, 5, 4, 3]"
"The dean presented the problem to the parents, and a professor presented it to the parents too.",3.0,0.6325,5,"[3, 3, 3, 2, 4]"
"The dean presented the problem to the parents, and a professor presented it to the parents.",2.6,1.2,5,"[4, 1, 4, 2, 2]"
"The dean presented the problem to the parents, and a professor presented it to them too.",3.4,0.8,5,"[4, 4, 3, 2, 4]"
"The dean presented the problem to the parents, and a professor presented it to them.",2.4,0.8,5,"[3, 2, 3, 3, 1]"
"The dean presented the problem to the parents, and a professor presented the problem to the parents too.",4.0,0.6325,5,"[4, 5, 4, 3, 4]"
"The dean presented the problem to the parents, and a professor presented the problem to the parents.",2.2,0.4,5,"[2, 2, 2, 2, 3]"
"The deputy promised the apartment to the activists, and the mayor did too.",3.0,0.8944,5,"[4, 2, 2, 4, 3]"
"The deputy promised the apartment to the activists, and the mayor did.",3.4,0.8,5,"[2, 4, 4, 4, 3]"
"The deputy promised the apartment to the activists, and the mayor promised it to the activists too.",3.2,0.7483,5,"[2, 3, 3, 4, 4]"
"The deputy promised the apartment to the activists, and the mayor promised it to the activists.",3.0,1.0954,5,"[3, 1, 4, 4, 3]"
"The deputy promised the apartment to the activists, and the mayor promised it to them too.",3.6,1.0198,5,"[4, 5, 2, 3, 4]"
"The deputy promised the apartment to the activists, and the mayor promised it to them.",2.4,0.8,5,"[4, 2, 2, 2, 2]"
"The deputy promised the apartment to the activists, and the mayor promised the apartment to the activists too.",3.8,0.9798,5,"[4, 5, 4, 4, 2]"
"The deputy promised the apartment to the activists, and the mayor promised the apartment to the activists.",2.8,0.7483,5,"[3, 4, 3, 2, 2]"
"The doctor took away the sugar from the patients, and the cook did too.",3.4,1.3565,5,"[4, 3, 1, 5, 4]"
"The doctor took away the sugar from the patients, and the cook did.",1.4,0.4899,5,"[2, 1, 1, 1, 2]"
"The doctor took away the sugar from the patients, and the cook took it away from the patients too.",4.2,0.7483,5,"[4, 5, 3, 4, 5]"
"The doctor took away the sugar from the patients, and the cook took it away from the patients.",2.4,0.4899,5,"[2, 2, 3, 2, 3]"
"The doctor took away the sugar from the patients, and the cook took it away from them too.",3.4,1.2,5,"[4, 2, 2, 5, 4]"
"The doctor took away the sugar from the patients, and the cook took it away from them.",4.2,0.7483,5,"[5, 3, 5, 4, 4]"
"The doctor took away the sugar from the patients, and the cook took the sugar away from the patients too.",3.2,0.7483,5,"[3, 4, 2, 3, 4]"
"The doctor took away the sugar from the patients, and the cook took the sugar away from the patients.",2.0,0.7071,4,"[3, 1, 2, 2]"
"The doorman signed for the parcels for the tenant, and the concierge did too.",3.6,1.2,5,"[3, 3, 2, 5, 5]"
"The doorman signed for the parcels for the tenant, and the concierge did.",1.8,0.7483,5,"[1, 2, 2, 3, 1]"
"The doorman signed for the parcels for the tenant, and the concierge signed for the parcels for the tenant too.",3.0,1.2649,5,"[3, 3, 3, 1, 5]"
"The doorman signed for the parcels for the tenant, and the concierge signed for the parcels for the tenant.",2.6,0.4899,5,"[3, 2, 3, 3, 2]"
"The doorman signed for the parcels for the tenant, and the concierge signed for them for him too.",1.8,0.7483,5,"[1, 2, 3, 1, 2]"
"The doorman signed for the parcels for the tenant, and the concierge signed for them for him.",2.0,0.0,4,"[2, 2, 2, 2]"
"The doorman signed for the parcels for the tenant, and the concierge signed for them for the tenant too.",1.8,0.9798,5,"[1, 3, 3, 1, 1]"
"The doorman signed for the parcels for the tenant, and the concierge signed for them for the tenant.",2.2,0.9798,5,"[2, 1, 2, 2, 4]"
"The fifth-grade students asked for the candies from the teacher, and the sixth-grade pupils asked for the candies from the teacher too.",3.4,1.0198,5,"[2, 3, 3, 4, 5]"
"The fifth-grade students asked for the candies from the teacher, and the sixth-grade pupils asked for the candies from the teacher.",1.8,0.7483,5,"[3, 2, 2, 1, 1]"
"The fifth-grade students asked for the candies from the teacher, and the sixth-grade pupils asked for them from him too.",2.8,1.1662,5,"[3, 1, 4, 2, 4]"
"The fifth-grade students asked for the candies from the teacher, and the sixth-grade pupils asked for them from him.",4.2,1.1662,5,"[5, 2, 5, 5, 4]"
"The fifth-grade students asked for the candies from the teacher, and the sixth-grade pupils asked for them from the teacher too.",4.0,0.8944,5,"[4, 5, 5, 3, 3]"
"The fifth-grade students asked for the candies from the teacher, and the sixth-grade pupils asked for them from the teacher.",2.2,1.1662,5,"[4, 1, 3, 2, 1]"
"The fifth-grade students asked for the candies from the teacher, and the sixth-grade pupils did too.",3.4,0.8,5,"[2, 4, 3, 4, 4]"
"The fifth-grade students asked for the candies from the teacher, and the sixth-grade pupils did.",1.6,0.4899,5,"[1, 1, 2, 2, 2]"
"The intern offered the solution to the consultant, and the secretary did too.",4.0,0.6325,5,"[4, 5, 4, 4, 3]"
"The intern offered the solution to the consultant, and the secretary did.",1.6,0.4899,5,"[2, 1, 1, 2, 2]"
"The intern offered the solution to the consultant, and the secretary offered it to him too.",3.2,0.7483,5,"[4, 3, 3, 4, 2]"
"The intern offered the solution to the consultant, and the secretary offered it to him.",2.8,1.4697,5,"[4, 1, 2, 2, 5]"
"The intern offered the solution to the consultant, and the secretary offered it to the consultant too.",3.2,0.7483,5,"[4, 4, 3, 3, 2]"
"The intern offered the solution to the consultant, and the secretary offered it to the consultant.",1.4,0.4899,5,"[2, 1, 2, 1, 1]"
"The intern offered the solution to the consultant, and the secretary offered the solution to the consultant too.",3.0,0.8944,5,"[3, 2, 2, 4, 4]"
"The intern offered the solution to the consultant, and the secretary offered the solution to the consultant.",3.6,0.4899,5,"[3, 3, 4, 4, 4]"
"The interpreter translated the documents for the boss, and an engineer did too.",4.4,0.8,5,"[4, 3, 5, 5, 5]"
"The interpreter translated the documents for the boss, and an engineer did.",2.2,1.1662,5,"[1, 1, 3, 2, 4]"
"The interpreter translated the documents for the boss, and an engineer translated the documents for the boss too.",3.2,1.1662,5,"[2, 2, 3, 4, 5]"
"The interpreter translated the documents for the boss, and an engineer translated the documents for the boss.",2.6,1.0198,5,"[1, 4, 3, 2, 3]"
"The interpreter translated the documents for the boss, and an engineer translated them for him too.",3.2,1.1662,5,"[4, 2, 5, 2, 3]"
"The interpreter translated the documents for the boss, and an engineer translated them for him.",2.6,1.3565,5,"[5, 1, 2, 2, 3]"
"The interpreter translated the documents for the boss, and an engineer translated them for the boss too.",3.6,1.3565,5,"[4, 1, 5, 4, 4]"
"The interpreter translated the documents for the boss, and an engineer translated them for the boss.",2.8,0.7483,5,"[2, 4, 2, 3, 3]"
"The juge refused the parole to the defendant, and the president did too.",3.0,1.0954,5,"[4, 3, 1, 4, 3]"
"The juge refused the parole to the defendant, and the president did.",1.8,1.1662,5,"[1, 1, 1, 4, 2]"
"The juge refused the parole to the defendant, and the president refused it to him too.",2.6,1.3565,5,"[5, 2, 3, 1, 2]"
"The juge refused the parole to the defendant, and the president refused it to him.",3.6,1.0198,5,"[3, 2, 5, 4, 4]"
"The juge refused the parole to the defendant, and the president refused it to the defendant too.",4.0,0.6325,5,"[4, 5, 4, 4, 3]"
"The juge refused the parole to the defendant, and the president refused it to the defendant.",2.4,0.4899,5,"[2, 3, 3, 2, 2]"
"The juge refused the parole to the defendant, and the president refused the parole to the defendant too.",3.4,0.8,5,"[4, 4, 3, 2, 4]"
"The juge refused the parole to the defendant, and the president refused the parole to the defendant.",3.0,0.0,4,"[3, 3, 3, 3]"
"The manager summarized the situation for the staff, and the union did too.",4.2,1.1662,5,"[5, 2, 4, 5, 5]"
"The manager summarized the situation for the staff, and the union did.",2.0,0.8944,5,"[1, 3, 1, 3, 2]"
"The manager summarized the situation for the staff, and the union summarized it for the staff too.",3.4,1.3565,5,"[4, 3, 5, 1, 4]"
"The manager summarized the situation for the staff, and the union summarized it for the staff.",2.6,0.8,5,"[3, 2, 2, 2, 4]"
"The manager summarized the situation for the staff, and the union summarized it for them too.",4.4,0.8,5,"[5, 3, 5, 4, 5]"
"The manager summarized the situation for the staff, and the union summarized it for them.",2.8,0.9798,5,"[4, 4, 2, 2, 2]"
"The manager summarized the situation for the staff, and the union summarized the situation for the staff too.",3.8,0.4,5,"[4, 3, 4, 4, 4]"
"The manager summarized the situation for the staff, and the union summarized the situation for the staff.",2.0,0.8944,5,"[3, 1, 3, 1, 2]"
"The mayor granted the land to the new inhabitants, and the priest did too.",3.4,1.3565,5,"[4, 1, 3, 4, 5]"
"The mayor granted the land to the new inhabitants, and the priest did.",2.5,1.118,4,"[2, 4, 3, 1]"
"The mayor granted the land to the new inhabitants, and the priest granted it to the new inhabitants too.",2.8,0.4,5,"[3, 2, 3, 3, 3]"
"The mayor granted the land to the new inhabitants, and the priest granted it to the new inhabitants.",2.0,0.8944,5,"[1, 3, 1, 2, 3]"
"The mayor granted the land to the new inhabitants, and the priest granted it to them too.",4.2,0.9798,5,"[3, 3, 5, 5, 5]"
"The mayor granted the land to the new inhabitants, and the priest granted it to them.",2.0,0.6325,5,"[2, 2, 3, 1, 2]"
"The mayor granted the land to the new inhabitants, and the priest granted the land to the new inhabitants too.",2.8,1.4697,5,"[4, 1, 4, 1, 4]"
"The mayor granted the land to the new inhabitants, and the priest granted the land to the new inhabitants.",2.6,1.3565,5,"[3, 2, 2, 1, 5]"
"The merchant guaranteed the repair to the clients, and the producer did too.",3.8,1.1662,5,"[4, 2, 3, 5, 5]"
"The merchant guaranteed the repair to the clients, and the producer did.",1.8,0.7483,5,"[1, 2, 1, 3, 2]"
"The merchant guaranteed the repair to the clients, and the producer guaranteed it to the clients too.",3.4,1.2,5,"[4, 2, 5, 2, 4]"
"The merchant guaranteed the repair to the clients, and the producer guaranteed it to the clients.",2.6,0.8,5,"[3, 2, 2, 2, 4]"
"The merchant guaranteed the repair to the clients, and the producer guaranteed it to them too.",3.8,0.9798,5,"[4, 2, 5, 4, 4]"
"The merchant guaranteed the repair to the clients, and the producer guaranteed it to them.",3.0,0.6325,5,"[3, 4, 2, 3, 3]"
"The merchant guaranteed the repair to the clients, and the producer guaranteed the repair to the clients too.",3.2,0.7483,5,"[3, 4, 3, 2, 4]"
"The merchant guaranteed the repair to the clients, and the producer guaranteed the repair to the clients.",2.4,1.0198,5,"[4, 2, 3, 1, 2]"
"The officer pointed out the lifeboat to the passengers, and the captain did too.",4.6,0.8,5,"[5, 3, 5, 5, 5]"
"The officer pointed out the lifeboat to the passengers, and the captain did.",2.25,0.8292,4,"[2, 3, 1, 3]"
"The officer pointed out the lifeboat to the passengers, and the captain pointed it out to the passengers too.",4.4,0.4899,5,"[5, 5, 4, 4, 4]"
"The officer pointed out the lifeboat to the passengers, and the captain pointed it out to the passengers.",2.8,0.7483,5,"[2, 4, 2, 3, 3]"
"The officer pointed out the lifeboat to the passengers, and the captain pointed it out to them too.",3.8,0.7483,5,"[4, 3, 5, 3, 4]"
"The officer pointed out the lifeboat to the passengers, and the captain pointed it out to them.",2.2,0.4,5,"[2, 2, 2, 3, 2]"
"The officer pointed out the lifeboat to the passengers, and the captain pointed the lifeboat out to the passengers too.",3.0,0.6325,5,"[3, 2, 3, 4, 3]"
"The officer pointed out the lifeboat to the passengers, and the captain pointed the lifeboat out to the passengers.",2.2,0.7483,5,"[1, 3, 2, 2, 3]"
"The officer showed the exit to the passengers, and a marine did too.",3.2,1.4697,5,"[5, 2, 5, 2, 2]"
"The officer showed the exit to the passengers, and a marine did.",1.6,0.8,5,"[2, 1, 1, 3, 1]"
"The officer showed the exit to the passengers, and a marine showed it to the passengers too.",4.4,0.8,5,"[4, 3, 5, 5, 5]"
"The officer showed the exit to the passengers, and a marine showed it to the passengers.",2.8,0.7483,5,"[2, 4, 3, 3, 2]"
"The officer showed the exit to the passengers, and a marine showed it to them too.",3.6,1.0198,5,"[4, 2, 3, 5, 4]"
"The officer showed the exit to the passengers, and a marine showed it to them.",2.6,1.3565,5,"[1, 5, 3, 2, 2]"
"The officer showed the exit to the passengers, and a marine showed the exit to the passengers too.",3.6,0.8,5,"[2, 4, 4, 4, 4]"
"The officer showed the exit to the passengers, and a marine showed the exit to the passengers.",2.8,1.1662,5,"[2, 5, 2, 2, 3]"
"The officers deprived the mutineers of food, and the lieutenant deprived the mutineers of food too.",3.4,1.2,5,"[4, 1, 4, 4, 4]"
"The officers deprived the mutineers of food, and the lieutenant deprived the mutineers of food.",3.6,1.0198,5,"[4, 4, 2, 3, 5]"
"The officers deprived the mutineers of food, and the lieutenant deprived them of food too.",4.4,0.8,5,"[4, 3, 5, 5, 5]"
"The officers deprived the mutineers of food, and the lieutenant deprived them of food.",2.4,1.0198,5,"[2, 4, 3, 1, 2]"
"The officers deprived the mutineers of food, and the lieutenant deprived them of it too.",3.6,1.0198,5,"[5, 2, 3, 4, 4]"
