unit,mean,std,n,individual_ratings,item_type
It was a clever solution that the student thought of.,3.4,0.9947,20,"[5, 4, 3, 3, 2, 4, 3, 2, 3, 4, 2, 5, 2, 4, 3, 4, 3, 5, 4, 3]",test
It was a perfect wedding that the couple dreamed of.,3.6429,0.9114,28,"[4, 4, 4, 5, 2, 5, 4, 3, 5, 3, 2, 4, 5, 2, 3, 4, 3, 3, 3, 3, 4, 4, 4, 3, 5, 3, 4, 4]",test
It was a thunderstorm that the weather service warned of.,3.0455,1.2141,22,"[4, 4, 5, 3, 4, 1, 2, 2, 4, 3, 5, 2, 4, 2, 1, 2, 4, 2, 3, 4, 2, 4]",test
It was clues that the detective looked for.,3.3182,1.2105,22,"[4, 4, 4, 4, 4, 1, 2, 2, 4, 2, 5, 3, 5, 2, 2, 2, 4, 4, 2, 4, 5, 4]",test
It was elegant dresses that her wardrobe consisted of.,2.2963,0.8234,27,"[2, 1, 2, 4, 4, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 4, 1, 2, 2, 2, 2, 2]",test
It was experienced professionals that the team consisted of.,2.7826,1.0426,23,"[5, 2, 3, 4, 3, 2, 4, 1, 4, 2, 2, 1, 2, 2, 4, 3, 3, 4, 3, 3, 2, 2, 3]",test
It was for clues that the detective looked.,2.4643,1.0357,28,"[1, 4, 2, 2, 5, 2, 2, 2, 2, 3, 1, 3, 2, 2, 2, 3, 3, 1, 1, 3, 2, 2, 3, 2, 4, 2, 4, 4]",test
It was for repairs that the customer paid.,2.4783,1.0816,23,"[2, 2, 5, 2, 2, 2, 2, 3, 1, 2, 4, 2, 1, 1, 2, 3, 4, 2, 4, 3, 2, 2, 4]",test
It was for the bus that the nurse waited.,2.1,0.8449,30,"[1, 2, 2, 3, 1, 3, 2, 2, 2, 1, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 3, 4, 2, 3, 3, 2, 4, 1]",test
It was for the exam that the student studied.,2.84,1.0279,25,"[4, 3, 4, 4, 5, 3, 2, 2, 3, 1, 2, 2, 3, 3, 2, 2, 2, 2, 3, 5, 2, 2, 3, 4, 3]",test
It was for the fellowship that the student applied.,2.3158,0.9459,19,"[1, 4, 3, 3, 1, 1, 2, 4, 2, 2, 2, 1, 3, 3, 2, 2, 2, 3, 3]",test
It was for the patients that the nurse cared.,2.5517,0.9097,29,"[4, 2, 4, 2, 3, 2, 4, 2, 1, 3, 1, 3, 3, 2, 1, 3, 2, 3, 3, 4, 2, 2, 2, 2, 2, 3, 3, 2, 4]",test
It was his dribbling skills that the player boasted of.,3.1481,0.864,27,"[3, 4, 2, 4, 3, 3, 4, 3, 4, 4, 2, 3, 4, 2, 4, 2, 3, 3, 2, 4, 3, 2, 5, 3, 2, 3, 4]",test
It was of a clever solution that the student thought.,2.2069,1.0481,29,"[2, 1, 5, 2, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 5, 1, 3, 2, 2, 3, 1, 2, 2, 2, 3, 1, 2, 4]",test
It was of a perfect wedding that the couple dreamed.,2.3182,1.1705,22,"[3, 2, 3, 2, 4, 3, 1, 2, 2, 2, 1, 1, 5, 1, 1, 4, 2, 1, 2, 3, 2, 4]",test
It was of a thunderstorm that the weather service warned.,2.1429,1.1774,28,"[1, 2, 1, 4, 2, 1, 3, 1, 2, 3, 1, 2, 2, 1, 1, 2, 2, 5, 1, 3, 1, 3, 2, 1, 2, 3, 5, 3]",test
It was of elegant dresses that her wardrobe consisted.,1.7391,0.9638,23,"[2, 2, 3, 1, 2, 3, 2, 1, 1, 2, 1, 2, 1, 1, 5, 1, 2, 1, 1, 2, 1, 1, 2]",test
It was of experienced professionals that the team consisted.,2.037,0.8979,27,"[2, 2, 4, 1, 3, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 4, 2, 2, 1, 4]",test
It was of his dribbling skills that the player boasted.,1.9565,0.8779,23,"[4, 1, 2, 2, 2, 2, 3, 1, 2, 2, 3, 2, 1, 1, 1, 2, 2, 2, 4, 2, 1, 1, 2]",test
It was of severe pain that the patient complained.,2.4667,0.9732,30,"[2, 2, 4, 3, 1, 4, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 2, 3, 2, 2, 1, 3, 4, 4, 2, 3, 4, 3, 3, 3]",test
It was of the cool band that the hipsters heard.,1.875,0.947,24,"[3, 1, 3, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 3, 5, 2, 1, 2, 2, 1]",test
It was of the hazardous waste that the company disposed.,2.0526,0.9703,19,"[1, 4, 2, 3, 1, 2, 2, 2, 2, 1, 3, 1, 1, 2, 1, 3, 4, 2, 2]",test
It was of the large language model that the teacher disapproved.,2.52,0.9183,25,"[3, 2, 2, 3, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 2, 2, 2, 3, 4, 2, 2, 4, 2, 1, 4]",test
It was of the proposed budget changes that the committee approved.,2.4783,1.1627,23,"[5, 2, 2, 2, 3, 4, 2, 1, 2, 2, 2, 2, 2, 5, 1, 2, 4, 1, 3, 2, 2, 2, 4]",test
It was of the strike that the labor union approved.,2.1538,0.8339,26,"[1, 3, 3, 4, 2, 2, 4, 2, 2, 1, 1, 3, 2, 1, 2, 1, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2]",test
It was repairs that the customer paid for.,3.4074,0.8884,27,"[5, 4, 2, 4, 4, 4, 4, 3, 4, 4, 2, 2, 3, 2, 4, 4, 3, 4, 2, 4, 4, 4, 4, 4, 2, 3, 3]",test
It was severe pain that the patient complained of.,3.5,1.0,20,"[2, 5, 4, 5, 4, 2, 4, 2, 2, 3, 5, 3, 3, 4, 4, 4, 4, 3, 3, 4]",test
It was the birds that the cat listened to.,3.037,0.9398,27,"[4, 3, 4, 3, 3, 3, 1, 4, 3, 1, 2, 4, 2, 4, 2, 4, 2, 4, 3, 3, 4, 3, 4, 2, 4, 3, 3]",test
It was the bus that the nurse waited for.,3.05,1.099,20,"[5, 5, 2, 3, 3, 2, 4, 2, 2, 2, 3, 4, 4, 2, 5, 3, 2, 3, 2, 3]",test
It was the cool band that the hipsters heard of.,2.84,1.179,25,"[5, 3, 4, 2, 4, 3, 2, 2, 2, 1, 4, 2, 1, 4, 1, 4, 2, 4, 4, 4, 2, 4, 2, 2, 3]",test
It was the customer that the company responded to.,3.3333,1.1767,27,"[2, 3, 4, 5, 1, 4, 2, 4, 4, 1, 5, 2, 4, 5, 2, 3, 3, 3, 4, 5, 4, 4, 3, 4, 2, 4, 3]",test
It was the editor that the journalist wrote to.,3.0,1.1547,28,"[2, 2, 4, 4, 2, 2, 5, 3, 4, 2, 3, 2, 5, 2, 1, 2, 4, 2, 3, 3, 3, 3, 4, 2, 5, 2, 5, 3]",test
It was the exam that the student studied for.,3.1667,1.1293,24,"[5, 4, 4, 1, 4, 4, 3, 2, 2, 2, 3, 2, 1, 3, 2, 3, 3, 4, 3, 5, 4, 4, 4, 4]",test
It was the fellowship that the student applied for.,3.5161,1.1216,31,"[5, 1, 2, 5, 3, 4, 2, 5, 3, 4, 1, 2, 3, 4, 2, 4, 4, 3, 4, 4, 5, 4, 4, 4, 4, 4, 3, 4, 5, 3, 4]",test
It was the girls that the boy waved to.,3.1739,0.9841,23,"[5, 4, 4, 2, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 3, 5, 3, 4, 3, 4, 2, 2, 4]",test
