file,source_folder,scale,n_batch_files,n_units,n_ratings,median_n_per_unit,quality_flag,status,placeholder,dimension,scale_labels,question_provenance,scale_source,language
2wh_3wh_sentence_naturalness_survey_april_2011,2wh-3wh Sentence naturalness survey April 2011,1-5,1,152,4072,15,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"template_html_maker_rating (local generator html_maker_rating.py, match_score 1.0, answer fields Rating;YNQ); scale_catalog rows 3/29",english
50_sentences_noisy_channel_may_25_2011,50 sentences --Noisy Channel- may 25 2011,1-5,1,208,3107,15,ok,ok,sentence,intention_confidence,Extremely unconfident | Somewhat unconfident | Neutral | Somewhat confident | Extremely confident,reconstructed,"dashboard_own: dashboard_scale_labels, scale_source_project=""50 sentences --Noisy Channel- may 25 2011"" (this project); scale_catalog row 67",english
50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,50 sentences with 2 comp qs plus rating mar 11 2011,1-5,1,208,3053,15,ok,ok,sentence,likelihood,Very unlikely | Unlikely | Neutral | Likely | Very likely,reconstructed,"scale_catalog row 68 (""50 sentences with 2 comp qs ratings mar 10 2011""), the immediately preceding run of this same ELMO HIT",english
acceptability_judgments_kang,Acceptability Judgments - Kang,1-5,2,136,5406,40,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"dashboard_own: dashboard_scale_labels, scale_source_project=""Acceptability Judgments - Kang""; scale_catalog row 3",english
acd_context_polly_1_nov_23_2012,ACD context polly 1 nov 23 2012,1-5,10,225,28701,50,ok,blocked_missing_wording,sentence,unspecified,,,,english
acd_no_context_polly_1_nov_23_2012,ACD no context polly 1; nov 23 2012,1-5,7,213,21610,45,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 (PSYCHEDELIC EGGPLANT / Paris judgments family) via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
acd_project_also_2_nov_22_2012_1,ACD project- also 2; nov 22 2012 1,1-5,1,448,3559,8,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 (PSYCHEDELIC EGGPLANT / Paris judgments family) via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
acd_project_also_3_nov_24_2012_2,ACD project- also 3; nov 24 2012 2,1-5,1,128,3338,15,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 (PSYCHEDELIC EGGPLANT / Paris judgments family) via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
acd_project_expt_23_also_nov_16_2012,ACD project- expt 23 also; nov 16 2012,1-5,2,600,7136,10,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 (PSYCHEDELIC EGGPLANT / Paris judgments family) via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
acd_project_expt_24_same_diff_verbs_nov_16_2012,ACD project- expt 24 same-diff verbs; nov 16 2012,1-5,4,472,21363,58,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 (PSYCHEDELIC EGGPLANT / Paris judgments family) via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
acd_project_expt_31_same_diff_verbs_nov_16_2012_1,ACD project- expt 31 same-diff verbs; nov 16 2012 1,1-5,1,176,3342,10,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 (PSYCHEDELIC EGGPLANT / Paris judgments family) via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
acd_project_expt_42_also_verbs_nov_29_2012_1,ACD project- expt 42 also verbs; nov 29 2012 1,1-5,1,176,4049,15,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 (PSYCHEDELIC EGGPLANT / Paris judgments family) via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
