unit,mean,std,n,individual_ratings
A backpack carries all the essentials on a hike.,5.5862,1.6085,29,"[5, 1, 6, 7, 5, 6, 5, 6, 7, 4, 7, 6, 6, 5, 7, 7, 6, 5, 7, 7, 5, 3, 7, 7, 7, 6, 5, 6, 1]"
A businessman began speaking loudly on the phone.,4.3667,1.5162,30,"[3, 6, 5, 7, 4, 5, 7, 3, 2, 4, 6, 3, 3, 5, 6, 4, 5, 5, 2, 2, 4, 4, 6, 1, 6, 3, 5, 5, 5, 5]"
A few rows of bookshelves came tumbling down.,6.7931,0.6091,29,"[6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 4, 7, 7]"
A high-speed train now connects Paris and Berlin.,4.9,1.8859,30,"[5, 1, 5, 7, 1, 7, 7, 5, 6, 4, 7, 7, 6, 3, 7, 3, 6, 6, 4, 7, 5, 2, 1, 3, 6, 5, 6, 6, 5, 4]"
A lighthouse guides ships to safety.,5.5,1.4549,30,"[7, 1, 4, 6, 6, 4, 7, 4, 6, 5, 7, 7, 7, 5, 6, 4, 7, 5, 5, 7, 3, 5, 5, 7, 7, 6, 7, 5, 6, 4]"
A menacing storm rolled across the horizon.,3.9333,2.0645,30,"[2, 4, 6, 1, 6, 3, 6, 2, 6, 2, 2, 2, 7, 5, 3, 7, 7, 3, 1, 1, 4, 1, 5, 4, 2, 4, 7, 5, 3, 7]"
A mountain climbing team reached the K2 summit.,5.2,1.7397,30,"[7, 3, 7, 2, 5, 4, 6, 5, 6, 7, 5, 6, 7, 5, 7, 3, 7, 2, 3, 7, 1, 4, 6, 6, 4, 6, 7, 5, 6, 7]"
A new restaurant opened downtown last week.,3.7333,1.6519,30,"[1, 1, 2, 2, 2, 5, 6, 5, 2, 3, 5, 5, 4, 5, 6, 3, 5, 4, 1, 2, 5, 2, 3, 6, 5, 6, 5, 5, 2, 4]"
A productive morning routine sets the tone for the day.,1.5333,0.8844,30,"[2, 1, 1, 1, 2, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 2, 1]"
A rat gnawed through the cables in the walls.,6.2333,1.2023,30,"[5, 1, 7, 7, 6, 5, 6, 7, 7, 7, 7, 7, 7, 6, 6, 5, 7, 6, 7, 7, 6, 6, 7, 6, 6, 7, 7, 5, 7, 7]"
