unit,mean,std,n,individual_ratings
ABJECT,2.1333,0.9911,30,"[3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 4, 3, 2, 1, 2, 2, 5, 2, 1, 2, 2, 2, 5, 1, 2, 1, 1, 2, 2, 2]"
ABROAD,2.7333,0.9978,30,"[2, 2, 1, 3, 2, 2, 2, 4, 2, 3, 4, 4, 4, 2, 2, 2, 2, 5, 2, 3, 3, 3, 2, 3, 4, 5, 2, 3, 2, 2]"
ACCURACY,2.3333,1.0435,30,"[2, 2, 1, 4, 1, 1, 2, 2, 3, 3, 2, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 5, 5, 4, 1, 2]"
ADDITION,2.9667,1.1686,30,"[2, 3, 1, 5, 3, 2, 3, 3, 3, 4, 5, 4, 3, 2, 2, 2, 1, 4, 3, 3, 4, 2, 4, 1, 5, 5, 3, 3, 2, 2]"
AHAB,2.9,1.3748,30,"[3, 3, 1, 3, 1, 5, 3, 1, 1, 3, 1, 2, 2, 4, 3, 4, 5, 1, 3, 2, 5, 4, 4, 2, 5, 1, 3, 3, 5, 4]"
ALASKA,4.2333,1.116,30,"[5, 3, 3, 2, 5, 3, 5, 5, 4, 5, 1, 5, 4, 3, 5, 2, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
ALBANIAN,3.6333,1.2243,30,"[2, 3, 4, 4, 3, 4, 3, 4, 3, 5, 1, 4, 4, 5, 3, 2, 2, 3, 5, 2, 5, 5, 4, 2, 5, 5, 2, 5, 5, 5]"
ALBUQUERQUE,4.1667,1.1279,30,"[5, 3, 3, 1, 5, 3, 5, 5, 4, 4, 1, 5, 3, 4, 5, 4, 5, 5, 4, 4, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5]"
ALIBIS,2.5333,1.1175,30,"[3, 2, 1, 4, 1, 2, 2, 1, 3, 3, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 5, 3, 4, 2, 5, 5, 2, 3, 3, 2]"
ANONYMOUS,2.4138,1.2462,29,"[2, 2, 1, 2, 2, 2, 2, 2, 4, 5, 3, 3, 1, 2, 2, 1, 2, 1, 1, 4, 3, 4, 2, 5, 5, 1, 2, 3, 1]"
ANTOINETTE,3.5667,1.0858,30,"[4, 3, 3, 4, 2, 5, 2, 4, 3, 3, 1, 5, 3, 4, 3, 4, 4, 2, 3, 3, 5, 4, 4, 2, 5, 5, 3, 5, 5, 4]"
APTITUDE,2.0667,1.0306,30,"[3, 2, 1, 1, 1, 2, 2, 3, 2, 2, 2, 2, 3, 1, 2, 2, 1, 4, 1, 1, 3, 2, 4, 2, 3, 5, 1, 2, 1, 1]"
AXE,4.8333,0.3727,30,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5]"
BAG,4.6667,0.83,30,"[3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5]"
BARBARIANS,3.2333,1.0858,30,"[3, 3, 5, 2, 3, 4, 3, 3, 4, 1, 2, 1, 3, 3, 5, 4, 4, 4, 3, 2, 5, 5, 4, 2, 3, 3, 4, 4, 3, 2]"
BARNABY,2.9333,1.2893,30,"[4, 3, 3, 3, 1, 3, 1, 2, 2, 2, 1, 4, 2, 5, 1, 4, 2, 2, 3, 2, 5, 3, 4, 2, 5, 5, 3, 4, 5, 2]"
BASICS,2.4333,1.2023,30,"[3, 2, 2, 5, 2, 1, 1, 3, 2, 3, 2, 2, 4, 2, 1, 2, 1, 4, 5, 3, 1, 3, 2, 3, 3, 5, 1, 2, 1, 2]"
BEAVERS,4.7667,0.6155,30,"[4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5]"
BELIEVE,1.8,0.9092,30,"[1, 1, 1, 5, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1]"
BENEFACTOR,3.1,0.9781,30,"[2, 2, 4, 3, 2, 4, 2, 3, 3, 3, 2, 3, 3, 3, 3, 4, 5, 4, 3, 2, 5, 4, 5, 2, 4, 4, 2, 3, 2, 2]"
