id,collection,csv_path,instruction_path,level,sublevel,decided_by,rationale,blind_verification_level,blind_agrees,note
amouyal2024_plausibility,published,norm_datasets/amouyal2024_data/amouyal2024_plausibility.csv,instructions/amouyal2024_instructions/amouyal2024_plausibility_i.txt,sentence_semantics,plausibility,agents_consensus,"two independent classifiers agreed, confident, unflagged",sentence_semantics/plausibility,yes,
brysbaert2014_concreteness,published,norm_datasets/brysbaert2014_data/brysbaert2014_concreteness.csv,instructions/brysbaert2014_instructions/brysbaert2014_concreteness_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
corenblum2025_cognition,published,norm_datasets/corenblum2025_data/corenblum2025_cognition.csv,instructions/corenblum2025_instructions/corenblum2025_cognition_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
dentella2023_grammaticality,published,norm_datasets/dentella2023_data/dentella2023_grammaticality.csv,instructions/dentella2023_instructions/dentella2023_grammaticality_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
devarda2023_predictability,published,norm_datasets/devarda2023_data/devarda2023_predictability.csv,instructions/devarda2023_instructions/devarda2023_predictability_i.txt,other,lexical,andrea_policy_Q3,"sentence-level frequency / cloze predictability / word-length-in-context — not lexical, not a semantic dimension | merged into `other` 2026-08-22 (was other); sublevel=lexical",other,yes,
diveica2023_socialness,published,norm_datasets/diveica2023_data/diveica2023_socialness.csv,instructions/diveica2023_instructions/diveica2023_socialness_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
edwards2024_spelling_to_pronunciation_transparency,published,norm_datasets/edwards2024_data/edwards2024_spelling_to_pronunciation_transparency.csv,instructions/edwards2024_instructions/edwards2024_spelling_to_pronunciation_transparency_i.txt,subword,,agents_consensus,"two independent classifiers agreed, confident, unflagged",subword,yes,
gatti2024_pseudoword_valence_intuitive,published,norm_datasets/gatti2024_data/gatti2024_pseudoword_valence_intuitive.csv,instructions/gatti2024_instructions/gatti2024_pseudoword_valence_intuitive_i.txt,subword,,andrea_policy_Q4,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",subword,yes,
gatti2024_pseudoword_valence_semantic_task,published,norm_datasets/gatti2024_data/gatti2024_pseudoword_valence_semantic_task.csv,instructions/gatti2024_instructions/gatti2024_pseudoword_valence_semantic_task_i.txt,subword,,andrea_policy_Q4,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",subword,yes,
giurgea2025_motivation,published,norm_datasets/giurgea2025_data/giurgea2025_motivation.csv,instructions/giurgea2025_instructions/giurgea2025_motivation_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
green2025_aoa_reading,published,norm_datasets/green2025_data/green2025_aoa_reading.csv,instructions/green2025_instructions/green2025_aoa_reading_i.txt,other,lexical,andrea_policy_Q3,word-level psycholinguistic variable that is not meaning (AoA/familiarity) | merged into `other` 2026-08-22 (was lexical_other); sublevel=lexical,other/lexical,yes,
green2025_aoa_writing,published,norm_datasets/green2025_data/green2025_aoa_writing.csv,instructions/green2025_instructions/green2025_aoa_writing_i.txt,other,lexical,andrea_policy_Q3,word-level psycholinguistic variable that is not meaning (AoA/familiarity) | merged into `other` 2026-08-22 (was lexical_other); sublevel=lexical,other/lexical,yes,
kuperman2012_age_of_acquisition,published,norm_datasets/kuperman2012_data/kuperman2012_age_of_acquisition.csv,instructions/kuperman2012_instructions/kuperman2012_age_of_acquisition_i.txt,other,lexical,andrea_policy_Q3,word-level psycholinguistic variable that is not meaning (AoA/familiarity) | merged into `other` 2026-08-22 (was lexical_other); sublevel=lexical,other/lexical,yes,
lancaster2020_auditory,published,norm_datasets/lancaster2020_data/lancaster2020_auditory.csv,instructions/lancaster2020_instructions/lancaster2020_auditory_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_foot_leg,published,norm_datasets/lancaster2020_data/lancaster2020_foot_leg.csv,instructions/lancaster2020_instructions/lancaster2020_foot_leg_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
