unit,mean,std,n,individual_ratings
A student failed for leaving class on an exam day when the professor arrived 20 minutes late and then gave the exam.,3.1525,1.3124,59,"[5, 3, 4, 4, 5, 1, 1, 2, 4, 4, 3, 5, 3, 4, 1, 5, 4, 2, 1, 4, 5, 5, 1, 3, 5, 5, 4, 1, 2, 4, 1, 4, 2, 2, 2, 4, 4, 3, 3, 4, 3, 4, 3, 4, 3, 2, 3, 2, 2, 1, 5, 3, 1, 4, 3, 2, 5, 3, 4]"
Companies are producing products that are so complex that they break too easily to be safe for children.,3.7797,1.1942,59,"[3, 3, 4, 5, 5, 4, 4, 2, 3, 4, 4, 5, 4, 5, 4, 5, 5, 3, 1, 4, 1, 4, 5, 5, 5, 5, 4, 5, 1, 4, 2, 5, 4, 2, 3, 3, 5, 4, 5, 5, 4, 4, 3, 2, 2, 5, 2, 5, 4, 3, 5, 4, 2, 5, 4, 4, 4, 5, 2]"
For some reason gold has out-performed all other precious metals.,4.7119,0.612,59,"[4, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 3, 4, 5, 5, 3, 5, 5, 5]"
I can't believe that bus and train companies are not more child friendly.,4.4655,0.7243,58,"[3, 5, 5, 5, 4, 4, 5, 3, 5, 5, 4, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 3, 3, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 3, 5, 5, 5, 4, 4, 5, 5, 4, 5, 4, 3, 5, 4, 5, 4, 4, 5, 3, 5, 5, 4, 5, 5, 5]"
Only Georgia had a serious enough water shortage problem to warrant drastic measures.,4.1695,0.9416,59,"[5, 5, 5, 4, 4, 4, 3, 5, 3, 4, 3, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 2, 4, 3, 5, 4, 5, 4, 4, 3, 4, 5, 5, 4, 5, 4, 2, 5, 5, 3, 4, 4, 5, 4, 3, 5, 3, 2, 2, 3, 3, 5, 5, 5]"
Only one of the ushers who had forgotten his flashlight was able to borrow one that day.,3.5,1.207,58,"[2, 4, 4, 2, 5, 1, 2, 2, 4, 5, 4, 5, 3, 5, 2, 5, 4, 3, 1, 5, 4, 4, 5, 4, 5, 4, 2, 2, 4, 4, 4, 4, 2, 2, 2, 3, 2, 2, 5, 5, 4, 4, 3, 5, 3, 5, 2, 4, 2, 5, 3, 2, 4, 3, 4, 4, 4, 5]"
"Only ten percent of the insect species will be endangered in 2050, much lower than the proportion of mammals.",4.0678,1.1179,59,"[5, 5, 4, 3, 5, 4, 4, 5, 3, 3, 3, 5, 4, 5, 4, 5, 5, 4, 3, 5, 1, 5, 5, 4, 5, 5, 5, 4, 2, 5, 4, 5, 5, 2, 3, 5, 5, 5, 5, 5, 2, 4, 5, 5, 3, 5, 4, 5, 2, 3, 5, 4, 4, 4, 1, 5, 4, 4, 2]"
Our basketball team is doing poorly because all of our top players graduated last year.,4.6552,0.7084,58,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 3, 3, 5, 5, 5, 2, 5, 3, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 4]"
Rents have only gone up in certain metropolitan areas where the economic downturn had a smaller effect on the local economy.,3.8814,1.0099,59,"[3, 4, 5, 5, 4, 4, 5, 4, 4, 5, 4, 5, 4, 5, 2, 5, 5, 2, 3, 4, 4, 5, 5, 4, 4, 5, 4, 4, 3, 4, 4, 5, 5, 2, 2, 5, 2, 4, 4, 5, 4, 4, 3, 3, 3, 4, 4, 4, 2, 2, 5, 3, 4, 2, 2, 4, 5, 4, 5]"
Rhode Island is a coastal state and the weather there gets really bad only in January.,3.4068,1.1367,59,"[4, 2, 2, 4, 4, 4, 2, 4, 5, 4, 3, 5, 3, 4, 3, 4, 4, 2, 2, 4, 2, 3, 4, 5, 5, 2, 3, 2, 2, 5, 3, 5, 4, 2, 3, 4, 2, 3, 3, 5, 2, 2, 5, 5, 3, 5, 4, 5, 2, 2, 5, 2, 3, 4, 3, 2, 5, 4, 2]"
Some of the chefs at the convention claimed that garlic destroyed taste buds while others claimed that it was a miracle spice.,4.339,0.9498,59,"[5, 4, 5, 5, 5, 4, 4, 5, 3, 5, 3, 5, 4, 4, 5, 5, 5, 4, 2, 5, 5, 4, 5, 5, 5, 5, 5, 4, 2, 4, 3, 5, 5, 2, 5, 5, 5, 5, 5, 5, 4, 5, 5, 2, 2, 4, 4, 5, 4, 3, 5, 4, 3, 5, 5, 5, 5, 5, 5]"
Some parents are suing the middle school for discrimination after their boys were not allowed to wear the clothing that they chose.,3.931,1.0316,58,"[5, 5, 4, 4, 5, 4, 4, 5, 3, 4, 4, 5, 3, 5, 5, 4, 5, 4, 2, 4, 4, 5, 2, 4, 4, 5, 5, 3, 2, 5, 5, 5, 2, 4, 3, 5, 4, 3, 5, 4, 4, 3, 3, 2, 5, 4, 5, 4, 2, 5, 3, 3, 4, 2, 2, 5, 4, 5]"
The FBI audited every business that the private company audited.,3.8,1.249,10,"[5, 5, 4, 4, 4, 4, 2, 5, 4, 1]"
The FBI audited every business that the private company did.,3.2,0.8718,10,"[3, 4, 3, 2, 5, 3, 4, 3, 3, 2]"
The FBI audited the business that the private company audited.,3.5,0.922,10,"[4, 3, 3, 4, 4, 5, 4, 4, 2, 2]"
The FBI audited the business that the private company did.,3.3,1.005,10,"[4, 4, 4, 2, 2, 2, 4, 3, 3, 5]"
The FBI audited the same business that the private company audited.,4.4,0.6633,10,"[4, 5, 4, 5, 5, 5, 4, 3, 5, 4]"
The FBI audited the same business that the private company did.,3.7778,0.9162,9,"[4, 3, 4, 4, 2, 3, 5, 5, 4]"
