unit,mean,std,n,individual_ratings,item_type
Each software programming volunteer can choose which software project to work on.,3.9355,1.0935,31,"[1, 5, 4, 4, 4, 5, 5, 5, 5, 4, 5, 2, 5, 4, 4, 4, 3, 4, 2, 5, 4, 5, 2, 4, 3, 3, 4, 4, 3, 5, 5]",filler
He decided to cash in his investments.,4.5806,0.8072,31,"[1, 5, 5, 4, 4, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4]",test
He dreamed about a better world.,4.3548,0.9848,31,"[1, 5, 4, 4, 4, 5, 4, 5, 3, 2, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 3, 5]",test
He lifted his head and saw her sitting on the other chair.,4.129,0.9914,31,"[2, 5, 2, 3, 4, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 3, 4, 4, 5, 3, 5, 4, 4, 2, 5, 3, 5, 4]",filler
He played with the latest technologies.,3.9355,1.2093,31,"[1, 5, 4, 4, 3, 5, 2, 4, 5, 3, 5, 4, 5, 5, 2, 2, 5, 4, 5, 5, 4, 4, 5, 4, 2, 5, 5, 4, 2, 4, 5]",test
He says the future lies in new crops that need less water.,3.8065,1.2225,31,"[1, 5, 5, 3, 3, 5, 3, 2, 5, 4, 3, 2, 5, 4, 2, 3, 2, 5, 5, 5, 4, 5, 4, 5, 5, 4, 4, 5, 2, 4, 4]",filler
He sided with the protestors.,4.5161,0.8896,31,"[1, 5, 5, 4, 4, 5, 3, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5]",test
He sings in the church choir.,4.6452,0.8386,31,"[1, 5, 5, 4, 4, 5, 3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5]",test
He tampered with the security system.,4.4667,0.9371,30,"[1, 5, 5, 3, 4, 5, 4, 3, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 5]",test
He traded in a guitar for a trumpet.,4.6,0.8137,30,"[1, 5, 5, 4, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5]",test
He turned in the old car for a new model.,4.0,1.2318,30,"[1, 5, 4, 3, 4, 5, 2, 5, 5, 4, 4, 3, 5, 5, 2, 5, 5, 5, 3, 4, 5, 5, 4, 5, 5, 2, 5, 3, 2, 5]",test
He was unconscious by the time fire crews arrived to free him.,4.0968,1.0756,31,"[1, 5, 5, 4, 4, 5, 4, 5, 5, 4, 4, 4, 5, 4, 2, 5, 4, 4, 5, 5, 4, 5, 5, 3, 2, 4, 2, 5, 4, 4, 5]",filler
He went about his daily routine.,4.5,0.861,30,"[1, 5, 4, 4, 5, 4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 4]",test
Her mother had sided with her stepfather and joined in blaming her.,2.9677,1.2776,31,"[1, 3, 2, 2, 4, 5, 1, 4, 4, 1, 5, 1, 4, 2, 5, 3, 2, 3, 2, 2, 3, 3, 5, 2, 2, 3, 4, 5, 3, 3, 3]",filler
Her speech brought about a shift in perspective.,3.7333,1.388,30,"[1, 5, 4, 4, 3, 5, 2, 5, 5, 5, 1, 2, 5, 5, 4, 5, 1, 4, 3, 2, 4, 5, 5, 5, 5, 2, 4, 4, 4, 3]",test
In times of trouble you go to your friends not your enemies.,4.0645,1.1528,31,"[1, 5, 5, 5, 4, 5, 1, 4, 5, 5, 5, 4, 5, 4, 5, 4, 3, 5, 5, 5, 3, 3, 4, 3, 4, 4, 2, 5, 4, 5, 4]",filler
