unit,mean,std,n,individual_ratings
Aglae sait que le mobilier de la maison de famille est mis en vente.,3.625,1.1877,8,"[4, 3, 5, 5, 4, 2, 4, 2]"
Aglae sait que le mobilier de la maison de famille soit mis en vente.,2.875,1.126,8,"[3, 2, 4, 2, 3, 4, 1, 4]"
Aglae veut que le mobilier de la maison de famille est mis en vente.,3.125,1.3562,8,"[2, 1, 5, 3, 3, 5, 3, 3]"
Aglae veut que le mobilier de la maison de famille soit mis en vente.,2.5,1.4142,8,"[1, 1, 2, 2, 2, 3, 4, 5]"
"Albert a fait la promesse à Pauline, et Emile a fait la promesse à Pauline aussi.",2.0,0.9258,8,"[2, 2, 1, 3, 3, 3, 1, 1]"
"Albert a fait la promesse à Pauline, et Emile a fait la promesse à Pauline.",3.2857,1.7043,7,"[5, 1, 4, 4, 5, 1, 3]"
"Albert a fait la promesse à Pauline, et Emile aussi.",3.625,1.1877,8,"[2, 4, 4, 5, 5, 4, 3, 2]"
"Albert a fait la promesse à Pauline, et Emile l'a faite à Pauline aussi.",3.25,1.2817,8,"[5, 3, 4, 3, 4, 2, 4, 1]"
"Albert a fait la promesse à Pauline, et Emile l'a faite à Pauline.",2.75,1.2817,8,"[5, 1, 4, 2, 2, 3, 2, 3]"
"Albert a fait la promesse à Pauline, et Emile la lui a faite aussi.",3.125,1.4577,8,"[4, 3, 5, 2, 2, 5, 1, 3]"
"Albert a fait la promesse à Pauline, et Emile la lui a faite.",2.25,1.8323,8,"[5, 1, 1, 3, 1, 1, 5, 1]"
"Albert a fait la promesse à Pauline, et Emile.",3.25,1.3887,8,"[3, 5, 3, 2, 4, 1, 3, 5]"
Aline est ambitieuse: elle rêve de devenir la responsable à tout le secteur.,3.125,1.3511,64,"[2, 2, 3, 5, 2, 1, 2, 3, 3, 1, 5, 1, 4, 5, 3, 2, 5, 3, 2, 4, 2, 3, 1, 3, 2, 5, 2, 2, 3, 2, 1, 4, 3, 4, 3, 2, 4, 5, 5, 1, 5, 3, 5, 5, 2, 3, 5, 1, 4, 5, 3, 1, 5, 3, 4, 3, 3, 2, 3, 5, 4, 5, 4, 2]"
"Alphonse est un très bon comptable, d'ailleurs il est même expert comptable.",3.2656,1.2878,64,"[5, 5, 2, 2, 4, 3, 5, 4, 5, 3, 3, 3, 2, 5, 5, 2, 4, 1, 2, 5, 5, 2, 5, 2, 3, 4, 4, 2, 4, 2, 1, 4, 3, 1, 5, 3, 4, 4, 5, 3, 2, 2, 2, 3, 2, 4, 4, 4, 2, 4, 4, 5, 3, 2, 2, 2, 4, 3, 1, 4, 1, 5, 3, 5]"
Antoine a trouvé en Gironde une cabane pêcheur qu'il a retapée lui-même.,3.2698,1.2209,63,"[5, 3, 4, 4, 3, 5, 5, 1, 2, 5, 5, 2, 3, 2, 1, 2, 3, 2, 4, 2, 3, 2, 2, 3, 2, 4, 3, 1, 4, 4, 4, 3, 3, 4, 2, 4, 5, 5, 2, 4, 2, 4, 3, 3, 4, 4, 2, 5, 5, 4, 1, 2, 4, 5, 3, 4, 3, 3, 2, 4, 5, 2, 5]"
"Benoit ne veut pas se fatiguer; de ce point de vue, il est normal qu'il veuille toujours être en congés.",2.9365,1.2296,63,"[5, 1, 1, 5, 2, 2, 2, 3, 2, 4, 3, 4, 5, 4, 1, 1, 2, 1, 3, 5, 3, 3, 4, 4, 2, 3, 2, 2, 4, 2, 2, 3, 3, 3, 2, 4, 3, 2, 2, 3, 3, 4, 3, 2, 1, 4, 1, 1, 4, 5, 5, 2, 5, 2, 4, 4, 3, 3, 3, 3, 2, 4, 5]"
"Bernard a proposé le compromis à ses amis, et François a proposé le compromis à ses amis aussi.",2.625,0.744,8,"[4, 2, 3, 2, 3, 2, 2, 3]"
"Bernard a proposé le compromis à ses amis, et François a proposé le compromis à ses amis.",3.0,1.5119,8,"[3, 5, 2, 5, 2, 2, 1, 4]"
"Bernard a proposé le compromis à ses amis, et François aussi.",2.8571,1.5736,7,"[4, 1, 1, 5, 3, 4, 2]"
"Bernard a proposé le compromis à ses amis, et François l'a proposé à ses amis aussi.",3.375,1.3025,8,"[5, 4, 3, 2, 4, 2, 2, 5]"
"Bernard a proposé le compromis à ses amis, et François l'a proposé à ses amis.",2.25,0.8864,8,"[2, 2, 2, 2, 3, 2, 4, 1]"
"Bernard a proposé le compromis à ses amis, et François le leur a proposé aussi.",2.25,1.3887,8,"[5, 1, 3, 2, 2, 1, 1, 3]"
"Bernard a proposé le compromis à ses amis, et François le leur a proposé.",2.875,1.126,8,"[2, 5, 2, 3, 2, 4, 3, 2]"
"Bernard a proposé le compromis à ses amis, et François.",3.25,0.8864,8,"[3, 4, 4, 2, 4, 4, 3, 2]"
Bruno ordonne que la date de la réunion est repoussée.,3.0,1.5119,8,"[2, 5, 2, 2, 4, 5, 3, 1]"
Bruno ordonne que la date de la réunion soit repoussée.,3.5,1.3093,8,"[2, 2, 3, 5, 5, 3, 5, 3]"
Bruno suppose que la date de la réunion est repoussée.,3.875,1.2464,8,"[1, 5, 4, 4, 5, 4, 4, 4]"
Bruno suppose que la date de la réunion soit repoussée.,3.125,1.4577,8,"[2, 5, 3, 3, 4, 1, 2, 5]"
Béatrice exige que l'école qui accueille Jim est habilitée.,3.5,1.069,8,"[2, 3, 4, 4, 4, 2, 4, 5]"
Béatrice exige que l'école qui accueille Jim soit habilitée.,3.625,1.1877,8,"[5, 2, 4, 2, 3, 4, 5, 4]"
Béatrice pense que l'école qui accueille Jim est habilitée.,2.75,1.2817,8,"[4, 4, 1, 1, 3, 4, 3, 2]"
Béatrice pense que l'école qui accueille Jim soit habilitée.,2.625,1.3025,8,"[1, 1, 4, 4, 2, 3, 4, 2]"
Ce coureur est un fanatique de compétition: il se place toujours à tous les autres.,2.875,1.3032,64,"[2, 5, 4, 5, 1, 3, 1, 1, 5, 2, 5, 4, 3, 5, 2, 1, 4, 3, 2, 3, 1, 5, 2, 1, 3, 1, 2, 2, 3, 4, 5, 1, 2, 3, 3, 3, 4, 3, 4, 2, 5, 1, 4, 4, 2, 3, 4, 3, 1, 3, 3, 1, 3, 3, 1, 4, 4, 2, 3, 5, 2, 2, 3, 3]"
"Cette année, Nathalie a été absente 4 mois, dans ces conditions il est impossible de renouveler son contrat.",3.1406,1.3554,64,"[5, 3, 2, 5, 2, 1, 4, 2, 2, 2, 5, 3, 4, 5, 4, 2, 4, 4, 2, 5, 5, 3, 3, 4, 2, 3, 2, 2, 4, 2, 5, 4, 3, 1, 4, 2, 4, 5, 3, 1, 5, 1, 3, 4, 3, 2, 5, 2, 1, 5, 4, 5, 2, 4, 1, 2, 4, 3, 1, 4, 1, 4, 2, 5]"
"Cette année, plusieurs de mes amis ont décidé d'aller en séjour à la Corse.",3.254,1.513,63,"[5, 5, 1, 5, 3, 1, 1, 5, 2, 2, 5, 5, 3, 5, 5, 1, 2, 4, 2, 5, 2, 3, 1, 3, 2, 1, 4, 2, 4, 2, 1, 3, 3, 4, 5, 2, 4, 5, 5, 5, 2, 4, 5, 2, 5, 4, 1, 3, 5, 5, 1, 4, 5, 1, 3, 3, 2, 1, 3, 4, 5, 4, 5]"
"Dominique est en train de refaire sa cuisine, de ce fait on mange des plats surgelés.",3.3594,1.4295,64,"[5, 1, 2, 4, 4, 3, 4, 5, 5, 4, 5, 1, 3, 5, 4, 1, 2, 5, 2, 4, 5, 3, 2, 4, 1, 1, 5, 1, 3, 3, 1, 4, 3, 4, 5, 3, 4, 3, 5, 2, 5, 4, 4, 5, 2, 2, 5, 1, 1, 5, 2, 4, 4, 2, 5, 3, 3, 1, 4, 5, 3, 5, 4, 5]"
Fabien croit que la porte est ouverte pendant toute la nuit.,3.0,1.4142,8,"[1, 4, 2, 4, 4, 4, 1, 4]"
Fabien croit que la porte soit ouverte pendant toute la nuit.,3.125,1.126,8,"[4, 5, 3, 3, 3, 3, 1, 3]"
Fabien ordonne que la porte est ouverte pendant toute la nuit.,3.125,1.3562,8,"[4, 4, 2, 1, 4, 5, 2, 3]"
Fabien ordonne que la porte soit ouverte pendant toute la nuit.,3.125,1.6421,8,"[1, 4, 3, 5, 4, 1, 5, 2]"
Felix exige que la ligne de chemin de fer Paris-Arcachon est électrifée.,2.625,1.0607,8,"[2, 3, 3, 4, 4, 2, 2, 1]"
Felix exige que la ligne de chemin de fer Paris-Arcachon soit électrifée.,2.875,1.6421,8,"[5, 1, 1, 3, 2, 5, 2, 4]"
Felix suppose que la ligne de chemin de fer Paris-Arcachon est électrifée.,2.7143,1.496,7,"[1, 3, 2, 4, 1, 5, 3]"
Felix suppose que la ligne de chemin de fer Paris-Arcachon soit électrifée.,3.0,1.5119,8,"[2, 3, 5, 5, 4, 2, 2, 1]"
Ferdinand croit que la promesse qu'il a faite est rendue publique.,3.625,0.9161,8,"[4, 5, 2, 3, 4, 4, 4, 3]"
Ferdinand croit que la promesse qu'il a faite soit rendue publique.,3.0,1.069,8,"[3, 2, 3, 5, 2, 4, 3, 2]"
Ferdinand souhaite que la promesse qu'il a faite est rendue publique.,3.75,1.5811,8,"[1, 2, 5, 5, 5, 5, 3, 4]"
Ferdinand souhaite que la promesse qu'il a faite soit rendue publique.,3.625,1.3025,8,"[2, 5, 3, 2, 5, 5, 4, 3]"
"Frédéric a des animaux: il a un berger allemand, et de plus il a un àne à la campagne.",3.2969,1.2558,64,"[2, 2, 4, 5, 4, 5, 5, 1, 5, 3, 4, 1, 3, 5, 3, 3, 5, 2, 3, 5, 5, 4, 4, 2, 3, 1, 2, 2, 5, 3, 2, 3, 4, 2, 5, 3, 4, 4, 5, 3, 4, 3, 1, 3, 4, 4, 4, 2, 5, 1, 3, 5, 2, 4, 4, 4, 2, 3, 2, 3, 3, 5, 2, 2]"
Georges ordonne que le juge qui s'occupe de son procès est corrompu.,2.25,1.165,8,"[2, 2, 4, 1, 2, 4, 1, 2]"
Georges ordonne que le juge qui s'occupe de son procès soit corrompu.,3.625,1.0607,8,"[2, 5, 3, 3, 5, 4, 4, 3]"
Georges pense que le juge qui s'occupe de son procès est corrompu.,2.875,1.5526,8,"[5, 1, 1, 3, 3, 2, 3, 5]"
