unit,mean,std,n,individual_ratings
I like the way a British accent sounds.,4.2115,0.768,52,"[4, 5, 2, 4, 3, 4, 3, 4, 4, 5, 4, 4, 5, 4, 5, 4, 5, 4, 5, 5, 4, 4, 4, 4, 5, 5, 4, 5, 4, 4, 2, 2, 5, 5, 5, 4, 4, 4, 4, 5, 5, 4, 5, 4, 4, 4, 4, 4, 4, 5, 5, 5]"
I like the way an American accent sounds.,3.5,0.8435,52,"[4, 5, 3, 4, 4, 4, 3, 3, 5, 3, 3, 3, 3, 3, 5, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 5, 3, 4, 3, 4, 3, 3, 4, 2, 5, 1, 5, 3, 3, 4, 3, 4, 4, 3, 4, 4, 2, 5, 4]"
I think having a British accent is prestigious.,3.5882,0.8207,51,"[4, 3, 3, 2, 3, 4, 3, 4, 4, 5, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2, 5, 5, 3, 4, 4, 3, 2, 2, 3, 4, 4, 4, 3, 3, 5, 4, 4, 5, 4, 3, 4, 3, 4, 3, 2, 3, 5]"
I think having an American accent is prestigious.,2.5686,1.1071,51,"[5, 2, 3, 2, 3, 3, 3, 1, 4, 2, 2, 3, 1, 3, 1, 1, 3, 2, 3, 3, 2, 3, 2, 3, 2, 3, 3, 3, 3, 1, 3, 3, 2, 2, 4, 1, 5, 1, 5, 1, 3, 2, 2, 2, 4, 3, 3, 1, 1, 3, 5]"
I've enjoyed listening to this speaker talk.,3.8654,0.9613,52,"[4, 3, 3, 3, 3, 4, 4, 4, 4, 2, 3, 4, 2, 3, 4, 3, 5, 4, 4, 5, 3, 4, 5, 2, 5, 5, 4, 5, 5, 3, 1, 2, 5, 5, 4, 4, 4, 5, 5, 5, 5, 4, 3, 4, 4, 4, 4, 4, 4, 4, 5, 4]"
The audio recordings were clear.,4.5577,0.534,52,"[4, 4, 4, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 4, 4, 4, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 4, 3, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 4, 4, 5, 5]"
The speaker graduated from a prestigious university.,3.3137,0.6414,51,"[4, 3, 3, 3, 4, 3, 3, 2, 3, 3, 2, 5, 2, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4]"
The speaker has a successful career.,3.5385,0.6639,52,"[4, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 5, 2, 3, 3, 3, 3, 4, 5, 4, 3, 4, 4, 3, 4, 4, 4, 3, 5, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 4, 3, 3, 4]"
The speaker is good at what they do.,4.0577,0.7945,52,"[4, 3, 4, 4, 4, 4, 4, 4, 3, 3, 3, 5, 2, 3, 4, 4, 4, 5, 5, 4, 4, 5, 5, 3, 5, 5, 5, 5, 5, 3, 3, 3, 5, 5, 4, 4, 4, 5, 4, 3, 5, 4, 4, 4, 5, 4, 3, 5, 4, 3, 5, 4]"
The speaker is wealthy.,3.2885,0.5992,52,"[4, 3, 4, 2, 4, 3, 3, 3, 3, 3, 3, 4, 2, 4, 3, 3, 2, 3, 4, 3, 3, 4, 4, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 5]"
The speaker strongly enunciated the words.,4.2692,0.7102,52,"[4, 4, 4, 5, 4, 5, 5, 4, 5, 3, 4, 5, 2, 4, 3, 3, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 3, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 4, 4, 4, 4, 5, 3, 4, 5, 4]"
The speaker talks in a way that I like.,3.7115,0.9675,52,"[4, 3, 3, 4, 3, 4, 4, 4, 4, 2, 3, 2, 2, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 2, 5, 5, 4, 5, 5, 3, 1, 2, 4, 5, 4, 4, 4, 5, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 3, 2, 5, 4]"
The speaker was easy to understand.,4.3922,0.769,51,"[4, 4, 4, 4, 5, 5, 5, 5, 5, 3, 3, 4, 3, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 2, 4, 4, 4, 5, 5, 4, 2, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4]"
The speaker's delivery was well-paced.,4.4423,0.7183,52,"[4, 3, 2, 5, 5, 5, 5, 5, 5, 3, 4, 5, 3, 4, 5, 4, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 3, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 4, 5, 5, 4, 4, 5, 4, 5, 5, 4]"
