unit,mean,std,n,individual_ratings
A backpack carries all the essentials on a hike. A suitcase holds everything needed for a trip.,2.0667,1.3646,30,"[1, 1, 3, 2, 1, 1, 3, 1, 1, 2, 1, 1, 5, 7, 2, 2, 2, 2, 3, 2, 2, 4, 3, 1, 1, 1, 2, 3, 1, 1]"
A businessman began speaking loudly on the phone. Derek had trouble concentrating on his work.,5.4333,1.4533,30,"[4, 6, 2, 6, 6, 6, 7, 6, 6, 5, 6, 5, 5, 5, 3, 7, 1, 6, 7, 6, 7, 6, 4, 6, 5, 7, 6, 7, 4, 6]"
A high-speed train now connects Paris and Berlin. The trains can move up to 300 km per hour.,1.5862,0.9655,29,"[1, 2, 5, 2, 1, 2, 2, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1]"
A lighthouse guides ships to safety. A compass helps hikers find their way.,2.6207,1.2976,29,"[1, 2, 3, 2, 4, 5, 3, 1, 3, 4, 1, 3, 1, 2, 3, 1, 4, 2, 3, 2, 2, 2, 4, 1, 6, 3, 4, 1, 3]"
A menacing storm rolled across the horizon. Sailors hurried to secure their boats at the dock.,4.5333,1.8209,30,"[3, 5, 6, 6, 5, 5, 7, 3, 6, 4, 1, 6, 7, 1, 6, 6, 1, 4, 6, 6, 5, 6, 4, 5, 1, 5, 5, 6, 3, 2]"
A mountain climbing team reached the K2 summit. The ascent marked the fastest recorded climb of the peak.,4.6,1.7049,30,"[4, 5, 6, 7, 4, 6, 5, 5, 5, 4, 1, 1, 6, 1, 7, 6, 4, 5, 5, 6, 4, 7, 5, 4, 1, 5, 5, 6, 3, 5]"
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,2.2667,1.3646,30,"[1, 1, 5, 2, 1, 2, 3, 1, 1, 2, 2, 1, 1, 1, 4, 4, 1, 2, 2, 6, 1, 4, 3, 3, 1, 4, 3, 3, 2, 1]"
A productive morning routine sets the tone for the day. Starting with exercise or mindfulness boosts mental clarity.,3.8333,1.6142,30,"[2, 3, 3, 1, 1, 5, 6, 1, 1, 4, 2, 2, 3, 5, 5, 5, 5, 4, 5, 6, 4, 7, 4, 5, 4, 5, 5, 4, 3, 5]"
A rat gnawed through the cables in the walls. The power suddenly went out in the building.,2.4333,1.5638,30,"[1, 2, 6, 3, 1, 1, 5, 1, 1, 2, 1, 1, 1, 1, 5, 2, 3, 3, 4, 5, 1, 4, 2, 4, 1, 5, 2, 2, 1, 2]"
A series of unusual occurrences plagued the small town. Residents gathered to discuss possible explanations.,4.5862,1.7124,29,"[1, 5, 5, 6, 1, 6, 5, 4, 6, 5, 3, 4, 3, 1, 5, 6, 5, 6, 6, 6, 5, 6, 5, 6, 1, 7, 6, 4, 4]"
A solid education lays the foundation for future success. Knowledge gives people the skills to navigate life.,2.9333,1.6316,30,"[1, 3, 4, 2, 1, 2, 4, 1, 1, 2, 1, 2, 4, 1, 2, 3, 4, 5, 5, 5, 2, 5, 4, 5, 1, 4, 7, 3, 1, 3]"
A tree provides a home for birds. A coral reef shelters fish.,1.6333,1.2512,30,"[1, 1, 2, 2, 1, 1, 3, 4, 1, 1, 1, 1, 1, 6, 5, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1]"
A wildlife preserve was recently created in the Amazon. The reserve protects hundreds of endangered species,2.1,1.3503,30,"[1, 2, 6, 2, 1, 2, 4, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3, 2, 2, 4, 1, 3, 5, 2, 1, 4, 1, 1, 3, 1]"
An intense heat wave swept across the city. People flocked to the beach to cool off in the water.,4.2667,1.8962,30,"[2, 6, 3, 2, 1, 6, 5, 1, 4, 5, 1, 5, 7, 7, 6, 5, 2, 5, 6, 6, 4, 6, 2, 6, 1, 6, 5, 5, 4, 4]"
Consuming alcohol is dangerous for your health. People who drink too much are at risk for cancer.,3.3667,1.7978,30,"[1, 2, 2, 2, 3, 5, 5, 1, 3, 2, 1, 3, 1, 7, 6, 2, 4, 6, 7, 4, 2, 5, 3, 5, 1, 3, 5, 4, 2, 4]"
David meticulously planned each step of his journey. Bret took off impulsively and embraced the unknown.,5.1667,1.8273,30,"[2, 6, 6, 6, 5, 7, 6, 5, 6, 2, 7, 5, 6, 7, 2, 6, 1, 6, 7, 6, 7, 6, 3, 6, 1, 6, 5, 6, 4, 7]"
Excellent customer service can make or break a business. Happy consumers are more likely to spread the word.,4.4,2.0265,30,"[1, 2, 3, 6, 3, 6, 5, 1, 5, 3, 1, 6, 5, 7, 1, 6, 7, 6, 7, 6, 3, 7, 2, 4, 6, 6, 6, 5, 2, 4]"
Jenny's dress was bright and cheerful. Tom's new suit was dark and serious.,3.931,1.9286,29,"[1, 2, 6, 2, 6, 2, 5, 7, 3, 1, 1, 4, 4, 7, 5, 4, 1, 6, 6, 3, 3, 5, 5, 1, 6, 5, 3, 4, 6]"
Jeremy stopped at a diner for lunch. The roadside coffee was warm and refreshing.,4.4667,1.6879,30,"[2, 4, 6, 2, 5, 6, 7, 6, 5, 6, 1, 4, 6, 6, 5, 5, 1, 4, 5, 4, 5, 2, 4, 6, 1, 5, 6, 4, 5, 6]"
John forgot his umbrella and got soaked. Sarah brought her umbrella and stayed dry.,4.4333,2.0926,30,"[1, 3, 6, 2, 6, 6, 6, 3, 7, 3, 1, 3, 3, 1, 7, 7, 3, 6, 7, 4, 6, 5, 2, 6, 1, 7, 4, 6, 4, 7]"
Judy grabbed her shopping list on the way out the door. There was hardly any traffic on the way to the supermarket.,3.9333,1.8427,30,"[1, 2, 5, 2, 5, 4, 6, 5, 3, 5, 1, 2, 5, 7, 6, 5, 7, 5, 6, 2, 3, 2, 1, 5, 1, 6, 4, 4, 3, 5]"
Large areas of forest were cleared for agriculture. Local climate patterns began to change.,2.0,0.871,29,"[1, 3, 3, 2, 1, 2, 4, 1, 3, 2, 1, 2, 2, 1, 2, 2, 1, 2, 3, 1, 1, 4, 3, 2, 2, 2, 2, 2, 1]"
