unit,mean,std,n,individual_ratings
A car crashes into a lamppost. Someone on the street yells the following: Call the paramedics so that they can help these people.,4.3917,0.9246,120,"[5, 5, 5, 5, 1, 5, 5, 4, 5, 2, 5, 5, 4, 4, 3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 3, 5, 5, 4, 5, 3, 2, 5, 5, 4, 5, 4, 4, 5, 5, 4, 2, 5, 5, 4, 5, 5, 1, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 2, 4, 5, 5, 4, 5, 5, 4, 5, 4, 2, 3, 4, 3, 4, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 5, 5, 5, 5, 5, 4, 5, 5, 4, 2, 4]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Do sing louder and we will sound better.,2.6,1.2,20,"[3, 3, 1, 4, 2, 4, 3, 1, 2, 1, 2, 2, 5, 4, 2, 2, 4, 4, 2, 1]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Do sing softer and we will sound worse.,2.0,1.0,20,"[2, 1, 1, 1, 3, 4, 1, 3, 1, 3, 3, 2, 2, 2, 4, 2, 2, 1, 1, 1]"
A choir is practicing for their holiday concert. The conductor gives the following direction: If everyone sings louder we will sound better.,4.4211,0.9356,19,"[5, 2, 4, 5, 5, 5, 2, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5]"
A choir is practicing for their holiday concert. The conductor gives the following direction: If everyone sings softer we will sound worse.,2.85,1.0137,20,"[2, 2, 3, 3, 1, 2, 3, 4, 3, 3, 4, 2, 2, 3, 5, 5, 3, 3, 2, 2]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Sing louder and we will sound better.,4.25,1.0428,20,"[5, 4, 4, 2, 5, 2, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 2, 4, 4]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Sing softer and we will sound worse.,2.6,1.241,20,"[2, 3, 3, 5, 2, 2, 2, 4, 3, 1, 3, 2, 1, 1, 2, 4, 1, 4, 5, 2]"
A church is in the middle of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Do donate and the church will be saved.,2.85,1.1522,20,"[4, 3, 4, 3, 2, 4, 1, 2, 1, 2, 5, 4, 4, 4, 3, 3, 2, 1, 3, 2]"
A church is in the middle of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Do steal and the church will be closed.,2.0,1.3038,20,"[1, 1, 3, 2, 1, 1, 1, 4, 4, 1, 1, 5, 1, 1, 1, 2, 4, 3, 2, 1]"
A church is in the middle of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Donate and the church will be saved.,3.95,0.9734,20,"[4, 5, 2, 4, 3, 4, 5, 4, 2, 4, 4, 5, 4, 4, 4, 5, 5, 4, 5, 2]"
A church is in the middle of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: If everyone donates the church will be saved.,4.45,0.669,20,"[5, 4, 5, 5, 4, 5, 4, 4, 5, 5, 5, 4, 5, 4, 3, 5, 3, 5, 5, 4]"
A church is in the middle of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: If everyone steals the church will be closed.,2.65,1.1522,20,"[3, 1, 4, 4, 3, 2, 2, 2, 2, 2, 5, 3, 3, 1, 3, 2, 5, 2, 3, 1]"
A church is in the middle of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Steal and the church will be closed.,2.4,1.1576,20,"[1, 1, 2, 3, 2, 3, 4, 4, 1, 2, 1, 4, 1, 3, 3, 2, 4, 2, 4, 1]"
A class is meeting in a stuffy classroom. The professor tells a student the following: Open the window so that we can get some air in here!,4.7797,0.4895,118,"[5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 4]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: Do help Tim and he will pass.,3.65,1.0137,20,"[3, 5, 4, 4, 5, 5, 2, 3, 5, 4, 4, 4, 2, 2, 4, 3, 3, 3, 3, 5]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: Do overlook Tim and he will fail.,1.65,0.7921,20,"[2, 3, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 3, 1, 2, 3, 1, 1, 1]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: Help Tim and he will pass.,3.7,1.005,20,"[4, 3, 5, 5, 3, 4, 3, 4, 4, 3, 4, 4, 2, 3, 4, 4, 1, 4, 5, 5]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: If everyone helps Tim he will pass.,4.2,0.9798,20,"[5, 4, 3, 5, 4, 4, 5, 4, 2, 5, 5, 5, 5, 4, 2, 5, 5, 4, 3, 5]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: If everyone overlooks Tim he will fail.,2.4,1.0677,20,"[3, 2, 3, 3, 1, 4, 2, 2, 3, 2, 1, 5, 1, 1, 2, 2, 3, 2, 4, 2]"
A class is trying to catch up a student on material he has missed while he was out sick. The teacher tells the class the following: Overlook Tim and he will fail.,2.9,1.1358,20,"[3, 2, 4, 2, 1, 2, 3, 3, 4, 1, 4, 2, 3, 5, 3, 4, 2, 5, 3, 2]"
A class of students is learning how to cook. The instructor tells the class the following: If you spill something clean it up immediately!,4.6833,0.6706,120,"[5, 5, 5, 5, 5, 5, 2, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 1, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 3, 4, 4, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5]"
