unit,mean,std,n,individual_ratings
录音很清楚。,4.5,0.6708,50,"[5, 5, 5, 4, 5, 4, 5, 5, 3, 4, 5, 4, 4, 5, 4, 5, 4, 4, 5, 5, 2, 4, 4, 3, 5, 4, 5, 5, 5, 5, 4, 4, 4, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
我喜欢北方话的语音语调。,3.4,0.7746,50,"[5, 3, 1, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 2, 3, 2, 3, 4, 5, 3, 3, 3, 5, 3, 4, 4, 3, 4, 4, 4, 4, 3]"
我喜欢南方话的语音语调。,3.4,0.6928,50,"[3, 3, 5, 3, 4, 3, 3, 3, 4, 4, 5, 3, 4, 4, 4, 3, 3, 3, 4, 3, 4, 4, 3, 3, 2, 3, 4, 3, 4, 4, 3, 2, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 5, 3, 4, 2, 3, 4, 3]"
我喜欢普通话的语音语调。,3.98,0.8122,50,"[4, 3, 3, 4, 5, 3, 3, 4, 4, 3, 5, 4, 5, 5, 4, 5, 3, 3, 4, 3, 5, 4, 3, 4, 5, 4, 5, 2, 4, 4, 4, 3, 5, 3, 5, 5, 5, 4, 3, 4, 5, 4, 5, 4, 4, 3, 5, 4, 4, 3]"
我很喜欢听这位说话者讲话。,3.64,0.889,50,"[4, 4, 5, 4, 5, 3, 4, 4, 3, 2, 5, 3, 3, 3, 4, 4, 3, 4, 4, 5, 2, 4, 3, 3, 5, 4, 4, 3, 5, 5, 2, 3, 4, 4, 3, 4, 3, 3, 2, 3, 5, 2, 4, 4, 3, 3, 5, 4, 4, 3]"
我觉得说北方话是受人尊重的。,3.4,0.7211,50,"[4, 3, 4, 3, 3, 3, 3, 3, 3, 2, 5, 3, 5, 4, 4, 4, 3, 3, 3, 3, 5, 4, 3, 3, 4, 3, 4, 3, 5, 4, 3, 3, 3, 3, 3, 4, 2, 3, 3, 3, 3, 3, 3, 5, 3, 4, 3, 4, 3, 3]"
我觉得说南方话是受人尊重的。,3.34,0.6515,50,"[3, 3, 4, 3, 5, 3, 3, 3, 3, 4, 5, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 2, 3, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 2, 3, 3, 3, 3, 3, 3, 5, 3, 4, 3, 3, 4, 3]"
我觉得说普通话是受人尊重的。,3.82,0.7922,50,"[4, 3, 5, 4, 5, 3, 3, 3, 5, 3, 5, 3, 4, 5, 4, 5, 3, 4, 4, 3, 3, 4, 3, 3, 5, 4, 5, 3, 4, 5, 4, 3, 5, 3, 4, 5, 5, 3, 3, 3, 4, 3, 3, 4, 3, 4, 4, 4, 4, 3]"
这位说话者事业很成功。,3.12,0.5879,50,"[3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 2, 3, 2, 2, 3, 3, 4, 2, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 4, 3, 4, 4, 3]"
这位说话者发音很清楚。,4.46,0.607,50,"[4, 5, 5, 4, 5, 4, 5, 5, 4, 4, 5, 4, 5, 4, 4, 5, 5, 4, 4, 5, 4, 4, 5, 3, 5, 4, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 4]"
这位说话者很容易理解。,3.88,1.194,50,"[5, 4, 4, 4, 5, 4, 3, 1, 4, 4, 5, 5, 4, 4, 4, 5, 3, 2, 3, 5, 1, 4, 1, 3, 5, 4, 5, 5, 5, 4, 1, 3, 5, 5, 5, 5, 2, 4, 2, 3, 5, 4, 4, 4, 4, 4, 5, 5, 5, 4]"
这位说话者很擅长所做的事情。,3.4,0.8718,50,"[4, 3, 3, 3, 4, 3, 2, 3, 4, 2, 5, 4, 3, 3, 4, 4, 3, 4, 4, 4, 1, 4, 2, 3, 4, 4, 5, 2, 4, 3, 2, 3, 4, 3, 3, 5, 3, 3, 3, 3, 5, 3, 4, 3, 3, 4, 3, 5, 4, 3]"
这位说话者很有钱。,2.86,0.4903,50,"[3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 2]"
这位说话者毕业于一所名牌大学。,2.94,0.7046,50,"[3, 3, 3, 3, 3, 3, 4, 1, 3, 2, 3, 4, 2, 3, 3, 4, 3, 3, 3, 3, 1, 4, 1, 2, 3, 3, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 2, 4, 3, 3, 3, 3, 4, 3, 3]"
这位说话者的语速掌握得很好。,4.3,0.6708,50,"[5, 5, 5, 4, 5, 4, 4, 5, 4, 4, 5, 4, 4, 5, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 5, 4, 5, 3, 5, 4, 4, 3, 5, 5, 4, 5, 4, 4, 3, 4, 5, 3, 5, 5, 4, 3, 5, 5, 5, 3]"
这位说话者的说话方式我很喜欢。,3.56,0.898,50,"[4, 4, 4, 4, 5, 3, 3, 3, 3, 3, 5, 3, 4, 2, 3, 4, 4, 4, 3, 5, 2, 3, 2, 3, 5, 4, 4, 3, 5, 5, 2, 3, 4, 4, 3, 4, 2, 3, 2, 3, 5, 3, 4, 4, 4, 3, 5, 4, 4, 3]"
