unit,mean,std,n,individual_ratings
A necklace described someone/something.,1.5667,0.8439,30,"[1, 1, 1, 2, 1, 1, 1, 1, 3, 2, 3, 1, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 2, 1, 1, 3, 1]"
A necklace described something.,1.5806,0.9763,31,"[1, 1, 3, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 5, 3, 1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1]"
A package expected someone/something.,1.2,0.4,30,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
A package expected something.,1.0968,0.2957,31,"[1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A painting studied someone.,1.3448,1.0264,29,"[1, 1, 1, 1, 2, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A painting studied someone/something.,1.8077,1.1101,26,"[2, 3, 1, 1, 3, 1, 3, 1, 2, 1, 2, 4, 1, 1, 2, 1, 5, 1, 3, 1, 1, 1, 1, 3, 1, 1]"
A paper graded someone.,1.3448,1.0264,29,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A paper graded someone/something.,1.9615,1.1923,26,"[2, 1, 1, 1, 1, 1, 3, 4, 2, 1, 4, 3, 1, 1, 3, 1, 5, 2, 2, 4, 2, 1, 1, 2, 1, 1]"
A power plant attacked someone.,1.2258,0.4181,31,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A power plant attacked someone/something.,1.3,0.6403,30,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1]"
A recipe selected someone.,1.0968,0.2957,31,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A recipe selected someone/something.,1.2667,0.6289,30,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]"
A sofa scratched someone/something.,2.8333,1.1856,30,"[3, 1, 1, 3, 2, 3, 4, 3, 5, 4, 3, 3, 4, 2, 3, 5, 2, 1, 1, 2, 2, 3, 3, 4, 1, 4, 2, 5, 3, 3]"
A sofa scratched something.,2.4839,1.1323,31,"[3, 1, 5, 3, 4, 1, 3, 3, 3, 3, 1, 4, 1, 1, 3, 3, 2, 1, 4, 3, 2, 3, 2, 1, 3, 3, 1, 3, 4, 1, 2]"
