unit,mean,std,n,individual_ratings
He is abating the tolve.,3.0,,1,[3]
He is asphyxiating the rith.,3.0,,1,[3]
He is botching the sterp.,2.0,,1,[2]
He is building the blang.,5.0,,1,[5]
He is electrocuting the tenk.,3.0,,1,[3]
He is festering the gath.,2.0,,1,[2]
He is jangling the megg.,3.0,,1,[3]
He is mellowing the tweeve.,2.0,,1,[2]
He is messier than the fusk.,3.0,,1,[3]
He is moldering the kown.,2.0,,1,[2]
He is racing the heaf.,5.0,,1,[5]
He is ripping the drice.,5.0,,1,[5]
He is smothering the sorth.,4.0,,1,[4]
He is stagnating the yulse.,2.0,,1,[2]
He is stronger the snopp.,2.0,,1,[2]
He is surviving the pilk.,3.0,,1,[3]
He is swinging the cra.,4.0,,1,[4]
He knows that it is a nush.,5.0,,1,[5]
He likes that it a tarb.,2.0,,1,[2]
He remember the it is a twag.,1.0,,1,[1]
He thinks that it is a boam.,5.0,,1,[5]
He thinks that it is a flane.,5.0,,1,[5]
She is afraid the trebe.,4.0,,1,[4]
She is bathing the sisk.,5.0,,1,[5]
She is blistering the pleef.,3.0,,1,[3]
She is descending the mot.,5.0,,1,[5]
She is enhancing the grag.,5.0,,1,[5]
She is expiring the jang.,3.0,,1,[3]
She is exploding the stoz.,2.0,,1,[2]
She is extending the spad.,5.0,,1,[5]
She is fading the loodge.,4.0,,1,[4]
She is fossilizing the zerve.,2.0,,1,[2]
She is happy about the klett.,5.0,,1,[5]
She is meaner but the sool.,1.0,,1,[1]
She is molting the thasp.,2.0,,1,[2]
She is projecting the fask.,2.0,,1,[2]
She is reddening the vorth.,3.0,,1,[3]
She is sad the palf.,2.0,,1,[2]
She is scared of the drom.,5.0,,1,[5]
She is vanishing the criz.,2.0,,1,[2]
She is weaving the trask.,5.0,,1,[5]
She is withering the bram.,3.0,,1,[3]
She is worried about the foom.,5.0,,1,[5]
She wish it is a weff.,1.0,,1,[1]
Someone forgets that a trewt.,4.0,,1,[4]
Someone hopes that it is a frool.,4.0,,1,[4]
Someone is arriving the turr.,2.0,,1,[2]
Someone is bigger than the feave.,4.0,,1,[4]
Someone is chipping the zif.,4.0,,1,[4]
Someone is creeping the keef.,2.0,,1,[2]
Someone is entering the bik.,5.0,,1,[5]
Someone is improving the nilt.,3.0,,1,[3]
Someone is liquidating the cham.,4.0,,1,[4]
Someone is maturing the dax.,3.0,,1,[3]
Someone is noting the wug.,4.0,,1,[4]
Someone is offended the if splar.,1.0,,1,[1]
Someone is older and the rop.,2.0,,1,[2]
Someone is pouring the tink.,5.0,,1,[5]
Someone is roosting the pud.,2.0,,1,[2]
Someone is saying the malm.,4.0,,1,[4]
Someone is scrawling the garf.,4.0,,1,[4]
Someone is smaller than the neen.,3.0,,1,[3]
Someone is smirking the squess.,1.0,,1,[1]
Someone is stitching the smont.,4.0,,1,[4]
Someone is swelling the tass.,3.0,,1,[3]
Someone is trickling the gutch.,3.0,,1,[3]
Something is advising the lun.,3.0,,1,[3]
Something is atrophying the zib.,3.0,,1,[3]
Something is bursting the thronk.,4.0,,1,[4]
Something is buzzing the spow.,3.0,,1,[3]
Something is chopping the nide.,3.0,,1,[3]
Something is communicating the bulch.,4.0,,1,[4]
Something is conveying the gulk.,3.0,,1,[3]
Something is dislodging the tam.,4.0,,1,[4]
Something is expecting the arp.,5.0,,1,[5]
Something is folding the prug.,3.0,,1,[3]
Something is laughing the fess.,1.0,,1,[1]
Something is omitting the jusp.,2.0,,1,[2]
Something is painting the slenge.,2.0,,1,[2]
Something is rusting the croot.,3.0,,1,[3]
Something is stripping the walm.,3.0,,1,[3]
Something is sweating the trit.,2.0,,1,[2]
