unit,mean,std,n,individual_ratings,item_type
What did Barbara advise that Susan would break?,4.8,1.6903,50,"[3, 5, 7, 7, 4, 4, 7, 7, 6, 5, 4, 6, 6, 3, 7, 1, 5, 6, 1, 5, 4, 2, 6, 1, 5, 6, 3, 5, 5, 6, 6, 5, 3, 5, 5, 7, 4, 7, 7, 3, 4, 6, 4, 5, 5, 7, 2, 5, 3, 5]",test
What did Barbara answer that Elizabeth bought?,3.48,1.9922,50,"[3, 3, 5, 3, 2, 5, 4, 6, 2, 6, 3, 5, 1, 3, 1, 1, 6, 2, 1, 2, 1, 1, 4, 1, 4, 5, 1, 7, 3, 5, 4, 4, 1, 2, 5, 6, 1, 1, 4, 1, 7, 6, 4, 7, 5, 7, 1, 3, 4, 5]",test
What did Barbara attest that Charles bought?,4.8571,1.5811,49,"[5, 3, 7, 6, 5, 6, 5, 4, 6, 6, 5, 6, 6, 4, 6, 7, 6, 5, 6, 5, 1, 1, 7, 6, 2, 3, 6, 5, 5, 6, 6, 5, 6, 2, 4, 3, 3, 4, 3, 4, 5, 4, 7, 6, 7, 3, 4, 4, 7]",test
What did Barbara bark that David broke?,2.76,1.7562,50,"[5, 2, 6, 2, 1, 3, 5, 4, 1, 2, 3, 5, 1, 4, 1, 6, 3, 1, 1, 4, 2, 2, 6, 1, 3, 1, 1, 6, 2, 5, 1, 6, 2, 1, 3, 5, 1, 1, 1, 1, 4, 3, 3, 1, 1, 5, 1, 2, 3, 4]",test
What did Barbara call that Thomas bought?,2.1633,1.7601,49,"[1, 2, 1, 2, 3, 3, 1, 2, 1, 2, 2, 1, 1, 3, 7, 7, 3, 1, 1, 1, 3, 1, 2, 1, 3, 1, 1, 2, 1, 7, 2, 7, 3, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 2, 1, 2, 5, 2]",test
What did Barbara daydream that Michael bought?,4.6,1.7496,50,"[5, 3, 7, 5, 5, 5, 7, 3, 5, 6, 3, 6, 1, 4, 7, 7, 3, 5, 1, 4, 2, 2, 6, 7, 3, 5, 4, 5, 6, 6, 6, 3, 5, 4, 5, 6, 2, 3, 6, 1, 7, 5, 3, 6, 4, 7, 7, 3, 4, 5]",test
What did Barbara grant that Mary bought?,2.6,1.5908,50,"[2, 3, 2, 2, 1, 4, 1, 4, 2, 4, 3, 3, 2, 2, 1, 7, 5, 3, 1, 2, 2, 1, 4, 1, 6, 1, 1, 3, 3, 5, 1, 5, 2, 2, 2, 1, 1, 1, 3, 1, 4, 6, 4, 1, 2, 1, 1, 3, 3, 5]",test
What did Barbara hate that Susan broke?,5.42,1.4441,50,"[6, 5, 6, 4, 4, 5, 7, 7, 5, 6, 3, 6, 3, 4, 7, 7, 4, 3, 6, 5, 5, 7, 6, 7, 6, 7, 5, 2, 5, 7, 7, 5, 7, 6, 7, 7, 4, 3, 6, 4, 5, 3, 3, 6, 7, 7, 7, 6, 5, 6]",test
What did Barbara reply that Richard bought?,3.92,1.7478,50,"[4, 4, 6, 2, 5, 6, 4, 1, 4, 5, 3, 5, 5, 2, 2, 7, 4, 2, 6, 3, 4, 1, 5, 1, 5, 5, 1, 2, 6, 2, 6, 3, 4, 4, 3, 4, 1, 1, 5, 3, 7, 5, 4, 5, 6, 7, 6, 4, 3, 3]",test
What did Barbara sneer that Lisa bought?,2.74,1.6637,50,"[5, 2, 5, 4, 1, 6, 3, 3, 1, 1, 2, 5, 1, 2, 1, 6, 3, 2, 1, 1, 4, 1, 4, 1, 3, 4, 1, 2, 2, 5, 2, 2, 3, 1, 3, 5, 1, 1, 2, 1, 1, 4, 4, 5, 2, 7, 1, 3, 3, 4]",test
