unit,mean,std,n,individual_ratings,item_type
A businessman began speaking loudly on the phone. Everyone's eyes were watering profusely.,1.5,0.8389,28,"[1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 3, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 2]",test
A drop of water from the ceiling fell onto the outlet. The students felt overwhelmed and stressed.,1.6552,1.0782,29,"[1, 2, 2, 3, 1, 1, 1, 5, 2, 1, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 3, 1]",test
A flight attendant collected all the empty cups. The poker players were unhappy with their hands.,1.2414,0.6895,29,"[1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
A high-quality coffee shop is a staple of any town. Knowledge gives people the skills to navigate life.,1.2414,0.511,29,"[1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1]",test
A high-speed train now connects Paris and Berlin. The film powerfully documents rising sea levels.,1.1724,0.4682,29,"[1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",test
A mountain climbing team reached the K2 summit. The ascent marked the fastest recorded climb of the peak.,6.3214,0.9449,28,"[7, 7, 5, 5, 6, 5, 6, 6, 7, 7, 5, 7, 4, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 5, 5, 7, 7, 7]",test
A new career training program was offered recently. Marcia could feel the boards wobble during the show.,1.2759,1.1306,29,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1]",test
A powerful earthquake struck Japan this morning. The abstract piece uses vibrant colors to explore love.,1.1034,0.4093,29,"[1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
A productive morning routine sets the tone for the day. Starting with exercise or mindfulness boosts mental clarity.,5.6552,1.7171,29,"[7, 5, 5, 5, 6, 1, 7, 7, 6, 6, 5, 5, 5, 7, 7, 7, 6, 2, 7, 7, 7, 3, 5, 2, 7, 6, 7, 7, 7]",test
A rat gnawed through the cables in the walls. The power suddenly went out in the building.,6.3103,1.5608,29,"[7, 7, 7, 1, 5, 6, 7, 7, 7, 6, 6, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 1, 7, 7, 7, 7]",test
A series of unusual occurrences plagued the small town. Residents gathered to discuss possible explanations.,6.4138,0.7328,29,"[7, 7, 7, 5, 7, 6, 7, 7, 6, 6, 6, 6, 6, 7, 7, 6, 7, 7, 4, 7, 7, 6, 6, 6, 7, 6, 7, 6, 7]",test
A social media platform improved its privacy settings. Users felt more secure about their personal information.,6.7241,0.4549,29,"[7, 7, 7, 6, 7, 6, 7, 7, 6, 6, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7]",test
A solid education lays the foundation for future success. Knowledge gives people the skills to navigate life.,5.6207,1.0147,29,"[4, 6, 5, 4, 6, 5, 4, 6, 6, 5, 4, 5, 6, 7, 6, 7, 5, 5, 7, 7, 6, 5, 6, 6, 7, 6, 6, 4, 7]",test
A teacher began using new creative methods. Local climate patterns began to change.,1.1724,0.6017,29,"[1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",test
A well-stocked bookshelf can transform a living room. Books can provide knowledge and act as stylish décor,5.4138,1.7012,29,"[4, 1, 4, 5, 4, 3, 5, 7, 6, 5, 1, 5, 5, 6, 7, 7, 5, 7, 7, 7, 7, 6, 6, 4, 7, 6, 7, 6, 7]",test
A wildlife preserve was recently created in the Amazon. The arts create a shared experience that connects people.,1.4286,1.069,28,"[1, 1, 2, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1]",test
Artists turn blank canvases into masterpieces. Writers transform empty pages into captivating stories.,3.9655,2.2596,29,"[1, 3, 4, 5, 5, 1, 6, 7, 2, 4, 1, 7, 1, 4, 5, 7, 7, 2, 7, 7, 6, 3, 4, 1, 1, 1, 6, 4, 3]",test
Bradley arrived at the airport by taxi. Moving through the security line took longer than usual.,3.7586,2.0469,29,"[1, 2, 4, 3, 3, 1, 7, 5, 2, 6, 1, 3, 3, 4, 6, 2, 5, 2, 7, 6, 7, 4, 5, 4, 1, 1, 6, 6, 2]",test
Clean drinking water is a basic human necessity. Communities with fresh water access have fewer heath issues.,6.2069,1.2643,29,"[6, 7, 7, 5, 7, 1, 6, 7, 7, 5, 5, 7, 5, 7, 6, 7, 6, 7, 7, 7, 7, 6, 6, 6, 7, 7, 7, 5, 7]",test
David meticulously planned each step of his journey. Bret took off impulsively and embraced the unknown.,3.2414,2.0986,29,"[1, 1, 4, 5, 3, 1, 5, 7, 1, 5, 1, 5, 2, 5, 1, 2, 5, 1, 7, 7, 5, 3, 3, 1, 1, 1, 5, 4, 2]",test
Emma found the presentation engaging and informative. The funeral was somber and still.,1.4138,1.1186,29,"[1, 1, 4, 6, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",test
Environmental activists worked to reduce water pollution. The local river was finally clean enough to swim in.,6.2069,1.2358,29,"[7, 7, 5, 5, 6, 7, 6, 6, 6, 6, 7, 7, 6, 7, 5, 7, 7, 7, 7, 1, 7, 7, 6, 6, 7, 6, 5, 7, 7]",test
Excellent customer service can make or break a business. Happy consumers are more likely to spread the word.,6.2857,0.8545,28,"[7, 7, 6, 6, 7, 6, 6, 7, 6, 6, 4, 6, 4, 7, 5, 7, 7, 6, 7, 7, 6, 7, 6, 7, 6, 7, 7, 6]",test
Good lighting can totally change the feel of a room. Bright spaces feel more open and welcoming.,5.8214,1.2781,28,"[7, 4, 5, 6, 6, 5, 7, 7, 6, 6, 2, 6, 5, 7, 6, 5, 5, 7, 7, 6, 7, 3, 5, 6, 6, 7, 7, 7]",test
Jenny has long been complaining about her relationship. The findings yield insights into cultural trade of the time.,1.2759,1.0315,29,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1]",test
Jenny's dress was bright and cheerful. Tom's new suit was dark and serious.,3.7931,2.1277,29,"[1, 1, 4, 4, 5, 1, 6, 7, 2, 4, 1, 6, 2, 3, 3, 7, 4, 1, 7, 4, 6, 4, 4, 1, 7, 1, 5, 6, 3]",test
Large areas of forest were cleared for agriculture. John was late to pick up his daughter from school.,1.0345,0.1857,29,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Learning a new language opens up many doors. Fluency enables deeper cultural understanding.,5.9643,1.2615,28,"[4, 6, 6, 5, 6, 6, 6, 6, 6, 1, 7, 6, 7, 6, 7, 7, 7, 7, 6, 6, 7, 6, 4, 7, 6, 6, 7, 6]",test
Mark found John cheating on him with their best friend. Workers quickly scrambled to save their valuable data.,1.0345,0.1857,29,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Researchers found a new bird species in Brazil. The colorful creature has blue feathers and a pretty call.,5.6552,1.969,29,"[1, 2, 7, 5, 7, 1, 7, 7, 7, 6, 3, 7, 5, 7, 7, 7, 6, 7, 7, 7, 5, 2, 5, 6, 7, 5, 7, 7, 7]",test
September was unusually humid and hot. The book it was based on had thrilling moments.,1.2857,0.81,28,"[1, 1, 1, 5, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",test
Sophie planted strawberry seeds in the backyard. Attendees chatted at the reception about the lecture.,1.4138,1.3501,29,"[1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1]",test
Strange sounds echoed loudly from the basement. Timmy shook with fear under the covers in his bed.,5.7586,1.7041,29,"[7, 6, 4, 6, 7, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 1, 7, 7, 5, 5, 1, 2, 7, 6, 6, 6]",test
Strong winds frequently blow through the Sahara Desert. The sand dunes change shape and location constantly.,6.2069,1.0816,29,"[7, 6, 6, 5, 7, 6, 7, 7, 5, 7, 7, 6, 5, 7, 6, 6, 5, 7, 7, 7, 2, 7, 6, 6, 7, 7, 6, 6, 7]",test
