unit,mean,std,n,individual_ratings
A necklace described someone/something.,1.5667,0.8584,30,"[1, 1, 1, 2, 1, 1, 1, 1, 3, 2, 3, 1, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 2, 1, 1, 3, 1]"
A necklace described something.,1.5806,0.9924,31,"[1, 1, 3, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 5, 3, 1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1]"
A package expected someone/something.,1.2,0.4068,30,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
A package expected something.,1.0968,0.3005,31,"[1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A painting studied someone.,1.3448,1.0446,29,"[1, 1, 1, 1, 2, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A painting studied someone/something.,1.8077,1.1321,26,"[2, 3, 1, 1, 3, 1, 3, 1, 2, 1, 2, 4, 1, 1, 2, 1, 5, 1, 3, 1, 1, 1, 1, 3, 1, 1]"
A paper graded someone.,1.3448,1.0446,29,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A paper graded someone/something.,1.9615,1.2159,26,"[2, 1, 1, 1, 1, 1, 3, 4, 2, 1, 4, 3, 1, 1, 3, 1, 5, 2, 2, 4, 2, 1, 1, 2, 1, 1]"
A power plant attacked someone.,1.2258,0.425,31,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A power plant attacked someone/something.,1.3,0.6513,30,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1]"
A recipe selected someone.,1.0968,0.3005,31,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A recipe selected someone/something.,1.2667,0.6397,30,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]"
A sofa scratched someone/something.,2.8333,1.2058,30,"[3, 1, 1, 3, 2, 3, 4, 3, 5, 4, 3, 3, 4, 2, 3, 5, 2, 1, 1, 2, 2, 3, 3, 4, 1, 4, 2, 5, 3, 3]"
