unit,mean,std,n,individual_ratings
录音很清楚。,3.78,1.1365,50,"[5, 3, 3, 4, 1, 2, 4, 2, 4, 4, 5, 2, 5, 4, 2, 3, 5, 4, 5, 2, 4, 5, 4, 4, 2, 4, 5, 4, 5, 4, 3, 5, 2, 5, 5, 5, 4, 5, 5, 4, 4, 3, 2, 4, 2, 5, 5, 3, 4, 4]"
我喜欢北方话的语音语调。,3.16,0.8089,50,"[2, 4, 4, 4, 3, 2, 3, 2, 4, 2, 3, 2, 3, 3, 3, 3, 4, 4, 5, 3, 3, 3, 3, 2, 3, 2, 3, 4, 2, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 1, 2, 4, 3, 4, 4]"
我喜欢南方话的语音语调。,3.4,0.9165,50,"[4, 4, 2, 3, 5, 4, 3, 4, 4, 4, 3, 5, 4, 4, 3, 4, 4, 2, 4, 3, 3, 2, 2, 5, 3, 2, 2, 3, 4, 5, 3, 3, 3, 4, 4, 4, 3, 3, 5, 4, 3, 3, 3, 2, 1, 4, 4, 3, 4, 3]"
我喜欢普通话的语音语调。,4.12,0.9516,50,"[5, 4, 5, 5, 5, 4, 5, 5, 4, 3, 5, 1, 4, 5, 4, 5, 5, 4, 5, 4, 2, 5, 3, 4, 3, 4, 5, 5, 4, 5, 3, 4, 3, 4, 5, 5, 3, 4, 5, 4, 3, 5, 2, 4, 5, 4, 5, 3, 4, 4]"
我很喜欢听这位说话者讲话。,2.7,0.922,50,"[2, 2, 2, 2, 3, 2, 3, 2, 4, 2, 2, 2, 3, 1, 2, 3, 4, 3, 5, 3, 2, 2, 2, 3, 3, 2, 4, 3, 2, 3, 3, 3, 2, 2, 4, 4, 2, 4, 3, 4, 3, 2, 3, 1, 2, 2, 4, 1, 4, 4]"
我觉得说北方话是受人尊重的。,3.22,0.672,50,"[3, 4, 4, 3, 5, 2, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4, 5, 4, 3, 3, 2, 3, 3, 3, 3, 3, 3, 4]"
我觉得说南方话是受人尊重的。,3.22,0.782,50,"[3, 3, 2, 3, 5, 4, 3, 4, 4, 3, 4, 3, 3, 3, 3, 5, 3, 2, 4, 3, 3, 4, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 5, 4, 3, 3, 3, 3, 1, 3, 3, 3, 4, 3]"
我觉得说普通话是受人尊重的。,4.0,0.8571,49,"[4, 3, 5, 4, 5, 5, 4, 5, 5, 3, 5, 4, 5, 3, 5, 4, 4, 3, 3, 3, 5, 4, 5, 3, 3, 4, 4, 5, 4, 3, 4, 3, 3, 5, 5, 4, 4, 5, 4, 3, 5, 2, 3, 5, 5, 3, 3, 4, 4]"
这位说话者事业很成功。,2.8,0.4899,50,"[3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 3, 3, 3, 4, 2, 3, 3, 4, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3]"
这位说话者发音很清楚。,3.02,1.2081,50,"[2, 2, 2, 4, 1, 2, 2, 4, 4, 4, 4, 1, 4, 4, 2, 2, 4, 4, 5, 1, 2, 4, 3, 2, 2, 2, 3, 2, 4, 2, 3, 4, 1, 3, 5, 5, 2, 4, 5, 5, 4, 3, 2, 2, 2, 3, 5, 2, 4, 3]"
这位说话者很容易理解。,3.06,1.1209,50,"[2, 2, 2, 2, 1, 2, 3, 4, 4, 4, 3, 1, 5, 4, 2, 3, 4, 4, 4, 2, 3, 4, 2, 2, 2, 4, 4, 4, 4, 2, 3, 5, 2, 3, 4, 5, 2, 3, 5, 4, 3, 2, 2, 2, 2, 2, 5, 2, 4, 4]"
这位说话者很擅长所做的事情。,3.1633,0.7915,49,"[3, 3, 4, 4, 2, 4, 2, 4, 4, 3, 4, 3, 3, 4, 2, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 2, 3, 2, 2, 3, 5, 5, 3, 2, 4, 4, 3, 2, 3, 3, 2, 2, 3, 3, 3]"
