unit,mean,std,n,individual_ratings
Amanda choked Jessica and she chammed,1.9875,0.6263,80,"[2, 3, 2, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 2, 1, 2, 1, 3, 2, 3, 1, 1, 2, 2, 2, 2, 3, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 2, 2, 2, 1, 1, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 2, 3, 2, 2, 2]"
Amanda delighted Jenny and she zibbed,2.0506,0.6181,79,"[2, 2, 2, 3, 1, 2, 2, 2, 1, 2, 3, 1, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 3, 2, 3, 2, 1, 2, 3, 1, 3, 1, 1, 2, 2, 1, 2, 3, 2, 2, 2, 3, 2, 2, 3, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2]"
Amy shook Justin and he zadded,2.5570,0.6933,79,"[2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 1, 3, 3, 3, 1, 2, 3, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 1, 2, 3, 1, 1, 2, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 3, 3, 3, 2, 3, 3]"
Amy shook Kate and she daxed,1.9000,0.6284,80,"[2, 2, 2, 3, 1, 2, 2, 1, 2, 2, 3, 1, 2, 3, 1, 1, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 1, 3, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 3, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 3, 2, 1, 1, 2, 2, 3, 2, 2, 2]"
Angela healed Kim and she ganned,2.0375,0.7016,80,"[1, 3, 2, 3, 1, 2, 2, 3, 2, 3, 3, 1, 2, 3, 2, 2, 3, 3, 2, 1, 2, 1, 1, 2, 3, 3, 2, 3, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 1, 1, 3, 1, 1, 2, 2, 2, 3, 3, 2, 1, 2, 2, 3, 2, 3, 2]"
Anne rocked Lisa and she heafed,1.8875,0.6559,80,"[1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 2, 3, 1, 2, 2, 3, 2, 3, 2, 1, 3, 2, 3, 1, 1, 3, 2, 1, 2, 3, 1, 3, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 3, 1, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 3, 2, 2, 2]"
Ben bounced Amy and he twibbed,2.6250,0.6439,80,"[3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2, 3, 2, 3, 1, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3]"
Ben bounced Eric and he bicked,1.9625,0.6645,80,"[2, 2, 2, 3, 1, 3, 1, 2, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 1, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 3, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 3, 1, 2, 1, 2, 2, 2, 2, 3, 2]"
Ben enjoyed Anne and he kuped,2.5750,0.6517,80,"[2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 1, 2, 3, 3, 2, 3, 1, 1, 3, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 3, 1, 2, 3, 3, 3, 3, 2, 1, 3]"
Ben enjoyed Diego and he temmed,1.8875,0.6161,80,"[1, 2, 2, 3, 1, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 1, 2, 1, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 3, 3, 1, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 3, 2, 1, 1, 2, 2, 2, 2, 3, 2]"
