unit,mean,std,n,individual_ratings,item_type
A butler had a considerable inheritance. The mail-order bride who relatives feared their persecution about found an ally in the butler who had a considerable inheritance.,2.3833,1.4033,60,"[2, 4, 4, 4, 2, 4, 5, 2, 3, 2, 2, 1, 4, 2, 2, 5, 1, 1, 2, 4, 4, 1, 1, 3, 2, 1, 1, 1, 3, 1, 1, 2, 4, 5, 4, 1, 2, 1, 2, 3, 2, 1, 4, 1, 4, 1, 4, 1, 3, 4, 1, 1, 1, 5, 1, 1, 2, 5, 1, 1]",filler
Most computers have manuals. The repairman arrived and attempted to fix the computers for which the manuals never seem to be around.,3.8667,1.1419,60,"[2, 1, 5, 5, 5, 5, 4, 2, 3, 3, 5, 4, 4, 3, 4, 4, 5, 4, 5, 5, 5, 2, 4, 5, 4, 2, 1, 5, 2, 4, 5, 2, 4, 4, 3, 5, 4, 4, 5, 3, 4, 3, 3, 5, 4, 3, 4, 2, 4, 5, 4, 5, 5, 5, 5, 3, 5, 5, 4, 3]",filler
Old TV programs propagate through the galaxy. The aliens who are technologically advanced beyond our wildest dreams only pay any attention to us because of our expanding shell of old TV programs propagating throughout the galaxy.,3.75,1.4336,60,"[5, 1, 4, 5, 2, 4, 5, 2, 3, 5, 2, 5, 1, 4, 5, 5, 5, 5, 5, 2, 5, 5, 3, 4, 2, 2, 2, 5, 2, 1, 5, 5, 5, 3, 5, 5, 4, 5, 4, 5, 4, 3, 5, 5, 1, 5, 3, 5, 3, 5, 5, 5, 4, 5, 2, 3, 1, 2, 5, 2]",filler
The aging beauty queen had an operation. The plastic surgeon who the aging beauty queen thought had done an excellent job on her operation watched many daytime television programs.,3.7667,1.2537,60,"[5, 5, 5, 4, 5, 1, 4, 2, 2, 4, 4, 4, 5, 3, 4, 5, 4, 3, 5, 4, 4, 5, 4, 2, 5, 5, 2, 5, 2, 4, 4, 5, 4, 3, 1, 1, 5, 4, 5, 4, 4, 5, 4, 4, 4, 5, 5, 5, 4, 5, 2, 5, 2, 4, 3, 2, 4, 4, 1, 2]",filler
The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page.,2.2,1.0823,15,"[2, 4, 2, 4, 2, 2, 1, 3, 2, 1, 1, 4, 2, 2, 1]",test
The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page.,2.3571,1.0082,14,"[4, 2, 2, 2, 2, 1, 2, 2, 3, 2, 4, 1, 4, 2]",test
The apartment that the maid who the service had sent over was cleaning every week was well decorated.,3.0,1.1882,18,"[2, 2, 4, 4, 3, 4, 5, 2, 2, 2, 1, 2, 2, 3, 4, 3, 5, 4]",test
The apartment that the maid who the service had sent over was well decorated.,3.2222,1.4775,18,"[4, 2, 2, 2, 2, 5, 1, 5, 3, 2, 4, 4, 4, 5, 5, 5, 1, 2]",test
The aviator that the servant wonders whether his master will invite is unavailable at the moment.,2.7667,1.5112,60,"[1, 1, 2, 5, 2, 5, 4, 3, 2, 5, 1, 1, 1, 3, 2, 4, 2, 1, 5, 2, 4, 1, 1, 1, 4, 4, 1, 5, 4, 1, 1, 2, 2, 5, 4, 1, 2, 1, 5, 2, 2, 4, 3, 1, 1, 4, 3, 3, 3, 4, 1, 5, 4, 5, 3, 1, 3, 5, 5, 3]",filler
The baby who the composer remembered the claim that the drummer had intended to write a song for was turning two years old.,2.1,1.311,60,"[1, 4, 4, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 3, 4, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 5, 1, 4, 2, 2, 2, 5, 4, 1, 4, 2, 1, 2, 1, 4, 1, 2, 2, 2, 2, 2, 3, 2, 1, 5, 5, 2, 1, 1, 1, 4, 2, 1]",filler
