unit,mean,std,n,individual_ratings
Al Pacino,3.4483,1.0551,29,"[4, 3, 4, 3, 1, 3, 2, 4, 4, 1, 4, 5, 4, 3, 4, 4, 3, 5, 4, 3, 3, 3, 5, 4, 3, 5, 4, 3, 2]"
Alessandra,2.4828,1.2711,29,"[4, 3, 2, 5, 1, 3, 4, 2, 1, 3, 3, 1, 1, 1, 1, 3, 3, 5, 4, 3, 1, 3, 3, 1, 4, 1, 2, 2, 2]"
Alexander Glazunov,2.3793,1.0828,29,"[2, 3, 4, 1, 1, 3, 2, 3, 1, 3, 3, 3, 5, 1, 1, 3, 3, 4, 3, 3, 2, 3, 1, 1, 3, 1, 2, 2, 2]"
Anabel,2.3333,0.8841,30,"[2, 3, 3, 3, 1, 3, 2, 2, 1, 3, 3, 1, 1, 1, 1, 3, 3, 3, 3, 3, 2, 3, 3, 1, 3, 2, 4, 3, 2, 2]"
Andrew,2.069,0.9611,29,"[2, 3, 1, 1, 1, 3, 2, 2, 1, 3, 3, 1, 1, 1, 1, 3, 3, 4, 3, 3, 1, 3, 2, 1, 3, 1, 3, 2, 2]"
Bogotá,3.1034,1.3976,29,"[4, 3, 3, 5, 1, 4, 2, 5, 1, 1, 4, 4, 5, 1, 5, 5, 3, 4, 3, 3, 2, 1, 3, 3, 2, 5, 4, 2, 2]"
Bruce,2.3103,1.1983,29,"[2, 3, 3, 1, 1, 3, 2, 2, 1, 3, 3, 1, 1, 1, 1, 4, 3, 5, 4, 3, 1, 2, 3, 1, 4, 1, 4, 2, 2]"
Carla,2.4643,1.2013,28,"[5, 3, 2, 4, 1, 2, 4, 2, 1, 3, 2, 1, 1, 1, 3, 3, 5, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 2]"
Christmas Eve,4.1724,1.0713,29,"[5, 4, 4, 3, 1, 4, 5, 5, 5, 5, 4, 4, 5, 4, 4, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 4, 3, 1]"
Clint,2.3448,0.9738,29,"[2, 3, 2, 2, 1, 3, 2, 2, 1, 3, 3, 1, 1, 1, 1, 4, 3, 3, 4, 3, 1, 2, 3, 2, 3, 4, 3, 3, 2]"
Delhi,2.9,1.1847,30,"[2, 3, 2, 1, 1, 4, 2, 4, 3, 2, 4, 1, 5, 1, 4, 5, 3, 3, 3, 3, 4, 4, 3, 3, 3, 2, 5, 3, 2, 2]"
Dire Straits,3.0345,1.2096,29,"[4, 2, 3, 1, 3, 3, 4, 3, 1, 4, 4, 4, 5, 1, 4, 5, 3, 1, 4, 3, 1, 4, 3, 4, 3, 4, 3, 2, 2]"
Donatello,2.7586,1.123,29,"[4, 3, 4, 1, 1, 4, 2, 4, 2, 3, 3, 4, 4, 1, 1, 3, 3, 5, 3, 3, 2, 3, 2, 1, 3, 4, 3, 2, 2]"
Dubai City,3.3448,1.2328,29,"[4, 3, 2, 1, 3, 4, 2, 5, 1, 3, 4, 4, 5, 1, 5, 4, 3, 4, 3, 3, 5, 4, 5, 4, 3, 4, 4, 2, 2]"
Irma,2.1429,0.9705,28,"[4, 3, 3, 1, 1, 3, 2, 1, 1, 3, 2, 1, 1, 1, 2, 3, 2, 4, 3, 1, 3, 3, 2, 2, 1, 3, 2, 2]"
Italy,3.6207,1.1469,29,"[4, 3, 4, 5, 3, 4, 2, 4, 4, 1, 4, 4, 5, 1, 5, 4, 3, 4, 4, 3, 4, 4, 5, 2, 5, 5, 4, 3, 2]"
Jared,2.1667,0.9855,30,"[1, 3, 3, 1, 1, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 3, 4, 3, 3, 1, 3, 3, 1, 3, 2, 1, 3, 2, 2]"
Jed,1.8621,0.8334,29,"[2, 3, 2, 1, 1, 3, 2, 1, 1, 3, 2, 1, 1, 1, 1, 3, 3, 1, 3, 3, 2, 1, 2, 1, 3, 1, 2, 2, 2]"
John Wayne,3.1379,1.2457,29,"[4, 3, 4, 3, 1, 3, 2, 4, 1, 1, 1, 5, 3, 3, 5, 4, 3, 5, 4, 3, 2, 4, 2, 5, 3, 4, 4, 3, 2]"
June,2.6552,1.1109,29,"[4, 3, 2, 4, 1, 3, 3, 2, 4, 3, 3, 2, 1, 1, 4, 4, 3, 1, 3, 3, 1, 3, 1, 4, 4, 4, 2, 2, 2]"
Karl May,2.2069,1.0135,29,"[2, 3, 2, 1, 1, 3, 2, 3, 1, 3, 4, 1, 1, 1, 1, 3, 3, 4, 3, 3, 1, 3, 3, 1, 3, 1, 3, 2, 2]"
