unit,mean,std,n,individual_ratings
A customer bought an expensive bottle of scotch from the liquor store. At the same liquor store there was another expensive bottle of scotch.,3.55,1.1082,40,"[5, 5, 4, 5, 4, 4, 3, 3, 5, 4, 5, 3, 3, 1, 4, 3, 3, 2, 2, 2, 4, 2, 3, 2, 4, 5, 4, 4, 4, 2, 4, 2, 5, 4, 2, 4, 4, 4, 5, 4]"
A groundskeeper at the golf course spent most of his time cutting grass. At the same golf course there was another groundskeeper.,3.425,1.0834,40,"[5, 5, 4, 5, 4, 4, 4, 4, 5, 3, 3, 3, 2, 4, 1, 2, 4, 1, 4, 2, 4, 2, 4, 2, 3, 4, 3, 3, 4, 2, 4, 4, 4, 3, 2, 3, 4, 4, 4, 5]"
A local politician spoke to students and their families at the graduation ceremony. At the same graduation ceremony there was another speaker.,3.725,1.0374,40,"[5, 5, 5, 5, 4, 4, 4, 3, 5, 4, 3, 3, 4, 3, 4, 3, 5, 1, 4, 2, 4, 3, 3, 3, 3, 4, 4, 5, 4, 5, 4, 5, 2, 4, 2, 3, 4, 4, 2, 5]"
A musician was playing on a street corner throughout the day. At the same street corner there was another musician.,3.575,0.9842,40,"[5, 5, 4, 5, 4, 4, 4, 3, 5, 3, 4, 3, 3, 4, 5, 2, 2, 1, 2, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 4, 2, 3, 4, 3, 5, 5]"
A tree was knocked down during a large thunderstorm. The tree almost hit some power lines when it fell and instead landed on someone's car.,4.35,0.7355,40,"[5, 5, 5, 5, 4, 5, 3, 4, 4, 3, 5, 4, 4, 5, 4, 5, 4, 5, 5, 4, 3, 4, 5, 5, 5, 4, 5, 3, 5, 3, 5, 5, 3, 4, 5, 4, 5, 4, 4, 5]"
After the car fell into a ditch the driver was scared but wasn't injured. A passenger in the car had broken her hand but otherwise was fine.,4.25,1.0801,40,"[5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 1, 4, 5, 4, 5, 2, 3, 5, 4, 3, 4, 5, 5, 5, 4, 3, 3, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 1]"
After the girl's hamster escaped from its cage the girl searched for it all over her house. She found it the next day by following a trail of food crumbs to its hiding spot.,4.225,1.025,40,"[5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 4, 3, 4, 4, 5, 2, 5, 5, 2, 3, 3, 5, 4, 5, 4, 5, 3, 5, 5, 5, 5, 2, 4, 5, 5, 5, 3, 5, 2]"
At the airport a short runway was closed for repairs. At the same airport there was another short runway.,3.9474,0.7799,19,"[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 5, 3, 2, 4, 4, 4, 5, 3]"
At the airport the short runway was closed for repairs. At the same airport there was another short runway.,3.15,1.1367,20,"[4, 2, 4, 1, 4, 4, 5, 1, 4, 2, 4, 4, 4, 2, 3, 3, 3, 3, 4, 2]"
At the ancient temple a marble altar was covered with graffiti. At the same ancient temple there was another marble altar.,3.75,0.9665,20,"[5, 5, 4, 5, 3, 4, 3, 3, 5, 4, 4, 4, 2, 3, 2, 3, 4, 4, 5, 3]"
At the ancient temple the marble altar was covered with graffiti. At the same ancient temple there was another marble altar.,3.1,0.9679,20,"[4, 2, 4, 3, 4, 4, 2, 1, 4, 2, 4, 2, 3, 2, 3, 4, 4, 3, 4, 3]"
At the bookstore a Chinese dictionary was on sale. At the same bookstore there was another Chinese dictionary.,2.85,1.04,20,"[4, 3, 3, 4, 4, 2, 2, 1, 2, 2, 4, 2, 3, 1, 3, 4, 3, 4, 4, 2]"
At the bookstore the Chinese dictionary was on sale. At the same bookstore there was another Chinese dictionary.,3.7,1.0311,20,"[5, 5, 4, 4, 3, 4, 4, 2, 5, 2, 4, 3, 3, 3, 2, 3, 5, 4, 5, 4]"
At the bus stop the forgetful passenger who did not bring her coat was cold. She was relieved when she was able to get on the next bus.,4.125,0.8825,40,"[5, 4, 3, 5, 4, 5, 4, 4, 5, 3, 4, 3, 3, 4, 4, 5, 2, 5, 5, 4, 4, 3, 5, 4, 4, 4, 5, 4, 5, 5, 5, 4, 3, 5, 4, 2, 5, 3, 5, 5]"
At the coffee shop the Italian espresso maker was hard to operate. It usually took several tries to even make a small cup of espresso.,4.359,0.9315,39,"[5, 5, 5, 5, 5, 5, 4, 5, 2, 5, 3, 4, 5, 5, 5, 5, 2, 5, 5, 4, 2, 5, 5, 4, 5, 4, 4, 3, 4, 5, 5, 5, 3, 4, 4, 5, 4, 5, 5]"
At the concert a violinist onstage was trying to concentrate. At the same concert there was another violinist onstage.,3.8,1.0052,20,"[5, 5, 4, 5, 4, 4, 4, 3, 3, 4, 4, 3, 5, 3, 2, 2, 5, 3, 3, 5]"
At the concert the violinist onstage was trying to concentrate. At the same concert there was another violinist onstage.,2.75,1.0699,20,"[2, 3, 2, 2, 4, 2, 2, 1, 2, 2, 4, 2, 3, 2, 3, 4, 5, 4, 4, 2]"
At the conference a Russian student in attendance was listening to a talk. At the same conference there was another Russian student.,2.95,1.099,20,"[5, 3, 2, 4, 4, 2, 2, 1, 2, 2, 4, 2, 4, 2, 3, 4, 3, 4, 4, 2]"
At the conference the Russian student in attendance was listening to a talk. At the same conference there was another Russian student.,3.6,1.0463,20,"[5, 5, 4, 4, 3, 4, 3, 3, 5, 4, 4, 3, 3, 1, 2, 3, 4, 3, 4, 5]"
At the construction site a wide forklift was being used to carry steel rods. At the same construction site there was another wide forklift.,3.05,0.9445,20,"[3, 3, 4, 2, 4, 2, 3, 1, 2, 3, 4, 3, 4, 2, 3, 4, 4, 2, 4, 4]"
At the construction site the wide forklift was being used to carry steel rods. At the same construction site there was another wide forklift.,4.0,0.9428,19,"[5, 5, 4, 5, 4, 4, 4, 4, 5, 2, 4, 3, 5, 4, 2, 4, 4, 5, 3]"
At the crime scene the only on-duty detective looked for clues. The crime scene was chaotic and it was difficult to find anything useful.,3.9744,1.0127,39,"[5, 5, 5, 5, 3, 5, 4, 4, 5, 3, 3, 2, 2, 5, 4, 4, 2, 4, 2, 5, 3, 3, 5, 4, 5, 4, 4, 4, 5, 5, 5, 4, 3, 4, 4, 5, 3, 5, 3]"
At the criminal trial an innocent defendant refused to plead guilty. At the same criminal trial there was another innocent defendant.,2.75,1.118,20,"[5, 3, 1, 3, 4, 2, 2, 1, 2, 2, 4, 2, 3, 1, 3, 4, 3, 3, 4, 3]"
At the criminal trial the innocent defendant refused to plead guilty. At the same criminal trial there was another innocent defendant.,3.55,0.9987,20,"[3, 5, 3, 4, 4, 4, 4, 3, 5, 3, 4, 5, 3, 3, 1, 4, 4, 4, 2, 3]"
At the drag race a novice driver crashed his car. At the same drag race there was another novice driver.,3.05,0.887,20,"[3, 2, 4, 4, 4, 3, 2, 2, 4, 2, 4, 2, 3, 2, 3, 4, 3, 4, 4, 2]"
At the drag race the novice driver crashed his car. At the same drag race there was another novice driver.,3.6,1.2312,20,"[5, 5, 5, 5, 3, 4, 3, 3, 5, 2, 4, 3, 3, 1, 2, 2, 4, 4, 4, 5]"
At the farm a new tractor was having trouble with its engine. At the same farm there was another new tractor.,3.7368,0.9335,19,"[5, 5, 4, 5, 4, 4, 4, 4, 5, 3, 4, 3, 2, 3, 2, 3, 4, 4, 3]"
At the farm the new tractor was having trouble with its engine. At the same farm there was another new tractor.,2.85,1.04,20,"[3, 3, 4, 1, 4, 3, 4, 1, 2, 2, 4, 1, 3, 2, 3, 4, 3, 3, 4, 3]"
At the hospital a large elevator was reserved for transporting patients. At the same hospital there was another large elevator.,4.1,0.8522,20,"[5, 5, 4, 5, 4, 4, 4, 4, 5, 4, 4, 3, 5, 3, 2, 3, 4, 4, 5, 5]"
At the hospital the large elevator was reserved for transporting patients. At the same hospital there was another large elevator.,3.0,1.1239,20,"[4, 3, 2, 1, 4, 3, 2, 1, 2, 2, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4]"
