unit,mean,std,n,individual_ratings
A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily the hotel had a lost-and-found service which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The hotel manager came to check if the maid was trying to figure out what who was missing.,2.4737,1.1863,19,"[5, 4, 3, 3, 4, 1, 4, 1, 3, 2, 1, 2, 3, 2, 1, 2, 3, 1, 2]"
A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily the hotel had a lost-and-found service which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The hotel manager came to check what the maid was trying to figure out who was missing.,2.4,1.241,20,"[2, 5, 3, 3, 1, 2, 4, 3, 1, 2, 1, 2, 2, 1, 3, 3, 5, 3, 1, 1]"
A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily the hotel had a lost-and-found service which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The hotel manager came to check who the maid was trying to figure out was missing what.,2.5,1.0247,20,"[3, 3, 4, 1, 4, 4, 3, 1, 2, 3, 2, 3, 1, 2, 2, 1, 3, 2, 4, 2]"
A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily the hotel had a lost-and-found service which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The hotel manager came to check who the maid was trying to figure out what was missing.,2.3,1.2288,20,"[3, 2, 2, 1, 2, 1, 2, 5, 1, 5, 3, 3, 1, 1, 2, 3, 1, 2, 4, 2]"
A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily the hotel had a lost-and-found service which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. he hotel manager came to check if the maid was trying to figure out who was missing what.,2.5,1.0724,20,"[3, 4, 2, 2, 4, 2, 2, 2, 2, 4, 2, 1, 2, 1, 2, 4, 2, 5, 2, 2]"
A marketing research company was conducting an analysis of how effective event sponsorship is. Specifically they were interested in how much the sponsoring of sports events boosts the companies' profits. The intern who was hired to work on this project was told to compile a list of important sports events in the last five years and the names of the sponsors. The supervisor wanted to know if the intern found out what who sponsored.,2.8,0.8124,20,"[3, 3, 2, 2, 4, 2, 2, 4, 2, 3, 3, 2, 4, 2, 2, 3, 3, 4, 4, 2]"
A marketing research company was conducting an analysis of how effective event sponsorship is. Specifically they were interested in how much the sponsoring of sports events boosts the companies' profits. The intern who was hired to work on this project was told to compile a list of important sports events in the last five years and the names of the sponsors. The supervisor wanted to know what the intern found out who sponsored.,2.55,1.0712,20,"[3, 2, 2, 3, 2, 4, 2, 4, 2, 1, 1, 4, 1, 2, 2, 4, 2, 4, 2, 4]"
A marketing research company was conducting an analysis of how effective event sponsorship is. Specifically they were interested in how much the sponsoring of sports events boosts the companies' profits. The intern who was hired to work on this project was told to compile a list of important sports events in the last five years and the names of the sponsors. The supervisor wanted to know who the intern found out sponsored what.,2.9,1.2207,20,"[3, 5, 4, 3, 1, 3, 2, 3, 2, 3, 2, 5, 3, 1, 4, 5, 2, 3, 1, 3]"
A marketing research company was conducting an analysis of how effective event sponsorship is. Specifically they were interested in how much the sponsoring of sports events boosts the companies' profits. The intern who was hired to work on this project was told to compile a list of important sports events in the last five years and the names of the sponsors. The supervisor wanted to know who the intern found out what sponsored.,2.5789,1.3501,19,"[2, 1, 2, 1, 4, 5, 5, 1, 3, 5, 2, 2, 3, 1, 2, 4, 2, 2, 2]"
A marketing research company was conducting an analysis of how effective event sponsorship is. Specifically they were interested in how much the sponsoring of sports events boosts the companies' profits. The intern who was hired to work on this project was told to compile a list of important sports events in the last five years and the names of the sponsors. he supervisor wanted to know if the intern found out who sponsored what.,3.3158,1.2588,19,"[5, 2, 5, 3, 5, 4, 4, 4, 3, 3, 1, 3, 4, 1, 5, 2, 4, 3, 2]"
