unit,mean,std,n,individual_ratings,item_type
A fire drill disrupted the lesson on American history.,3.2,1.8828,30,"[4, 6, 6, 4, 6, 1, 1, 2, 3, 5, 4, 3, 1, 4, 2, 2, 1, 1, 3, 2, 4, 5, 1, 2, 2, 2, 5, 7, 6, 1]",test
Aaron couldn't get the catchy tune out of his mind.,1.4667,0.6814,30,"[3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 3, 1, 2]",test
Alan loved the cranberry sauce at dinner.,5.2333,1.8511,30,"[6, 5, 7, 3, 5, 4, 6, 5, 5, 7, 5, 7, 7, 2, 7, 6, 7, 6, 5, 1, 5, 7, 2, 1, 5, 7, 4, 7, 6, 7]",test
Alicia stayed up for two days straight to complete the project.,2.9643,1.7317,28,"[4, 5, 7, 1, 3, 4, 4, 1, 2, 4, 5, 1, 5, 5, 2, 1, 1, 3, 1, 2, 1, 3, 1, 4, 3, 5, 1, 4]",test
Books can provide knowledge and act as stylish décor,5.1667,1.7436,30,"[5, 1, 7, 5, 6, 6, 7, 7, 6, 6, 6, 6, 7, 3, 2, 7, 7, 4, 4, 5, 6, 6, 3, 1, 5, 4, 5, 7, 5, 6]",test
Bright spaces feel more open and welcoming.,2.5862,1.6587,29,"[6, 3, 6, 7, 3, 1, 2, 2, 1, 3, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 3, 1, 3, 3, 2, 3, 3, 5, 4]",test
Chris was able to walk away without hesitation.,3.0333,2.0924,30,"[4, 3, 6, 4, 4, 2, 1, 1, 5, 7, 2, 1, 1, 3, 1, 1, 7, 5, 2, 1, 1, 2, 1, 2, 7, 3, 3, 7, 2, 2]",test
Communities with fresh water access have fewer heath issues.,2.6552,1.987,29,"[5, 1, 7, 3, 4, 1, 7, 1, 2, 1, 4, 2, 1, 2, 2, 1, 1, 5, 2, 1, 4, 3, 1, 1, 1, 2, 4, 7, 1]",test
Dinner at the hotel was accompanied by hula dancing.,5.0,1.7221,30,"[5, 7, 5, 4, 5, 5, 7, 4, 5, 7, 4, 5, 5, 6, 5, 2, 7, 5, 7, 2, 6, 4, 2, 1, 7, 5, 6, 7, 3, 7]",test
Dinner reservations doubled the following week.,2.2414,1.7249,29,"[4, 1, 6, 3, 2, 4, 1, 1, 2, 1, 3, 2, 1, 2, 2, 1, 1, 1, 1, 6, 1, 1, 1, 2, 2, 4, 7, 1, 1]",test
Emma acted quickly and confidently.,2.6333,1.8286,30,"[4, 2, 6, 1, 2, 1, 1, 1, 3, 5, 4, 1, 4, 4, 1, 1, 1, 1, 2, 1, 3, 2, 1, 2, 6, 4, 5, 7, 1, 2]",test
Employment rates for local residents went up.,1.6333,1.4967,30,"[4, 1, 6, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 7, 1, 1]",test
Everyone needs their daily caffeine hit.,2.6333,1.7117,30,"[5, 1, 2, 1, 4, 1, 5, 3, 3, 1, 3, 3, 1, 1, 2, 1, 1, 6, 2, 1, 7, 3, 1, 2, 2, 5, 2, 3, 2, 5]",test
Fans were left disappointed and searching for resales.,2.3103,1.5608,29,"[4, 2, 7, 1, 2, 4, 1, 1, 3, 3, 2, 1, 1, 2, 1, 4, 1, 1, 2, 1, 1, 3, 1, 5, 1, 2, 3, 2, 5]",test
Flowers add beauty to a windowsill.,5.8667,1.4794,30,"[6, 6, 6, 3, 6, 6, 7, 7, 7, 6, 5, 7, 6, 3, 7, 7, 7, 7, 6, 2, 7, 7, 4, 3, 7, 5, 5, 7, 7, 7]",test
Food banks offer meals to those in need.,4.4333,2.1605,30,"[5, 5, 7, 3, 5, 5, 7, 5, 7, 1, 6, 5, 7, 1, 3, 2, 7, 7, 2, 2, 6, 5, 1, 4, 2, 4, 4, 7, 1, 7]",test
Grace greeted everyone and made lively conversation.,3.5,2.4318,30,"[5, 7, 6, 2, 2, 1, 1, 2, 2, 5, 2, 1, 7, 7, 1, 7, 1, 2, 7, 1, 5, 4, 1, 3, 1, 6, 6, 7, 1, 2]",test
Helmets guard heads during sporting events.,5.6207,1.9164,29,"[5, 5, 6, 7, 7, 6, 7, 7, 1, 6, 7, 7, 3, 7, 7, 7, 7, 5, 1, 5, 7, 4, 1, 7, 6, 5, 7, 6, 7]",test
Inside the house everything was calm and peaceful.,3.6667,2.0734,30,"[5, 2, 7, 2, 3, 7, 1, 1, 2, 6, 5, 4, 7, 6, 2, 4, 1, 1, 4, 3, 3, 7, 2, 1, 4, 3, 4, 7, 4, 2]",test
It started raining in the middle of the kickball game.,4.2,2.0578,30,"[5, 7, 6, 2, 6, 4, 3, 3, 6, 2, 4, 2, 7, 6, 1, 1, 7, 4, 5, 1, 6, 5, 3, 2, 5, 7, 5, 7, 2, 2]",test
Jane solved the equation in a few minutes.,2.1034,1.5433,29,"[4, 5, 7, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 4, 2, 3, 5, 2]",test
