unit,mean,std,n,individual_ratings,item_type
A compass helps hikers find their way.,3.0,1.7127,31,"[1, 3, 2, 2, 5, 2, 6, 1, 1, 2, 3, 5, 4, 1, 2, 3, 2, 2, 1, 1, 5, 6, 1, 6, 3, 5, 3, 3, 6, 3, 3]",test
A coral reef shelters fish.,1.5484,1.0905,31,"[1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 1, 6, 2, 1, 1]",test
A suitcase holds everything needed for a trip.,1.7419,0.9989,31,"[1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 4, 1, 1, 1, 2, 1, 1, 1, 4, 1, 4, 3, 3, 1, 1, 3, 2, 1]",test
April was unexpectedly muggy and warm.,2.4516,1.5883,31,"[1, 2, 1, 4, 1, 2, 4, 1, 1, 2, 5, 2, 1, 1, 1, 5, 1, 2, 3, 2, 1, 4, 3, 2, 5, 5, 2, 4, 6, 1, 1]",test
Attendees can enjoy live performances and art displays.,4.2581,1.5485,31,"[1, 6, 4, 5, 7, 3, 4, 2, 3, 4, 5, 5, 5, 5, 2, 5, 6, 2, 3, 7, 6, 4, 4, 4, 4, 6, 4, 3, 6, 5, 2]",test
Attendees chatted at the reception about the lecture.,3.9677,1.8883,31,"[2, 5, 2, 6, 7, 4, 6, 1, 4, 6, 5, 4, 5, 5, 3, 4, 6, 2, 1, 6, 1, 6, 2, 5, 1, 5, 6, 1, 4, 5, 3]",test
Attendees felt motivated to set new goals.,4.3226,1.8509,31,"[1, 5, 4, 6, 7, 4, 5, 1, 5, 7, 1, 5, 6, 5, 5, 5, 6, 5, 6, 5, 2, 4, 5, 2, 2, 6, 2, 1, 6, 5, 5]",test
Bret took off impulsively and embraced the unknown.,5.4516,1.3125,31,"[5, 7, 3, 7, 7, 7, 5, 3, 6, 6, 5, 5, 7, 7, 5, 6, 7, 6, 6, 5, 5, 6, 6, 5, 3, 5, 3, 4, 6, 7, 4]",test
Coaches motivate athletes to excel beyond their limits.,4.9677,1.6829,31,"[4, 6, 4, 6, 7, 3, 7, 1, 4, 6, 5, 6, 7, 3, 4, 6, 6, 5, 7, 7, 2, 6, 5, 5, 4, 6, 3, 2, 7, 6, 4]",test
Commuters struggled to find alternative routes.,4.3548,2.0583,31,"[2, 6, 5, 5, 7, 4, 6, 1, 2, 5, 5, 6, 5, 1, 2, 7, 7, 2, 5, 5, 7, 6, 2, 6, 2, 7, 4, 1, 6, 4, 2]",test
Derek had trouble concentrating on his work.,5.5806,1.4782,31,"[5, 7, 4, 6, 7, 6, 6, 3, 5, 7, 5, 6, 7, 6, 4, 5, 7, 4, 6, 5, 7, 7, 7, 7, 6, 7, 5, 1, 6, 6, 3]",test
Everyone's eyes were watering profusely.,5.1333,1.7367,30,"[4, 6, 3, 7, 7, 4, 7, 2, 2, 6, 6, 6, 4, 6, 3, 5, 7, 6, 3, 5, 6, 7, 6, 5, 7, 7, 1, 6, 6, 4]",test
Fans praised the plot twists and complex characters.,4.1935,1.7401,31,"[1, 5, 3, 6, 6, 4, 6, 1, 4, 6, 3, 5, 6, 1, 5, 5, 4, 4, 5, 4, 6, 7, 3, 6, 1, 5, 3, 2, 6, 4, 3]",test
Fluency enables deeper cultural understanding.,2.8065,1.7208,31,"[1, 4, 3, 3, 7, 2, 1, 2, 2, 5, 2, 2, 1, 1, 2, 5, 5, 1, 3, 3, 1, 3, 1, 3, 6, 3, 3, 1, 6, 4, 1]",test
Happy consumers are more likely to spread the word.,4.0968,1.7001,31,"[1, 4, 2, 4, 4, 4, 2, 1, 3, 5, 6, 6, 5, 1, 4, 5, 6, 5, 4, 6, 3, 6, 1, 6, 5, 6, 3, 3, 5, 5, 6]",test
Jane figured out the last problem at the last minute.,4.9032,1.5781,31,"[5, 7, 5, 6, 7, 7, 6, 1, 3, 6, 4, 5, 7, 5, 4, 7, 6, 3, 5, 5, 4, 5, 2, 6, 4, 6, 4, 2, 6, 5, 4]",test
Knowledge gives people the skills to navigate life.,3.1613,1.5077,31,"[1, 4, 4, 3, 6, 2, 5, 1, 4, 5, 2, 5, 1, 1, 4, 1, 4, 2, 4, 3, 2, 5, 2, 1, 4, 4, 4, 3, 5, 4, 2]",test
Local climate patterns began to change.,2.0,1.3416,31,"[1, 5, 2, 1, 3, 1, 2, 3, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 6, 4, 3, 4, 3, 1, 1]",test
Local vendors sell fresh produce and handmade crafts.,3.129,1.784,31,"[1, 3, 2, 5, 1, 4, 5, 3, 1, 3, 4, 4, 6, 1, 2, 6, 5, 3, 1, 1, 2, 6, 1, 5, 1, 6, 3, 1, 4, 4, 3]",test
Museums display history for curious minds.,2.9032,1.3989,31,"[1, 2, 2, 3, 5, 2, 4, 1, 3, 4, 3, 2, 2, 2, 3, 2, 5, 2, 2, 4, 2, 4, 2, 3, 6, 6, 2, 2, 5, 3, 1]",test
Native fish populations began to decline.,1.7419,0.965,31,"[1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 4, 3, 2, 2, 5, 2, 1, 1]",test
On-the-ground reporting offered firsthand insights.,3.0645,1.5692,31,"[1, 5, 2, 5, 5, 1, 4, 1, 2, 5, 3, 3, 3, 5, 3, 3, 1, 2, 2, 2, 1, 5, 2, 3, 4, 5, 6, 1, 5, 3, 2]",test
