unit,mean,std,n,individual_ratings
Amanda choked Jessica and similarly she chammed,1.8861,0.6748,79,"[1, 3, 2, 1, 1, 2, 2, 1, 2, 1, 3, 3, 1, 2, 1, 3, 2, 3, 3, 2, 1, 2, 2, 1, 3, 3, 1, 2, 3, 2, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 3, 2, 2, 2, 3, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1]"
Amanda delighted Jenny and similarly she zibbed,1.9231,0.6557,78,"[1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2, 3, 2, 2, 1, 2, 3, 1, 3, 3, 1, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 1, 1, 2, 2, 2, 1, 2, 2, 1, 3, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1]"
Amy shook Justin and similarly he zadded,2.519,0.6337,79,"[3, 3, 3, 1, 2, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 2, 3, 1, 3, 2, 1, 3, 2, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 1, 3, 2, 3, 2, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 1, 3, 2, 2]"
Amy shook Kate and similarly she daxed,1.7975,0.6821,79,"[1, 3, 1, 1, 1, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 3, 2, 3, 3, 1, 1, 2, 2, 1, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 3, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1]"
Angela healed Kim and similarly she ganned,1.9241,0.6894,79,"[1, 3, 1, 1, 2, 2, 2, 1, 2, 1, 3, 3, 1, 2, 1, 2, 2, 3, 3, 2, 1, 2, 2, 1, 3, 3, 1, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 3, 2, 1, 2, 2, 1, 3, 3, 1, 2, 2, 2, 1, 3, 2, 2, 3, 3, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1]"
Anne rocked Lisa and similarly she heafed,1.8481,0.6767,79,"[1, 3, 1, 1, 1, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 2, 2, 3, 3, 2, 1, 2, 3, 1, 2, 3, 1, 3, 2, 1, 3, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 3, 1, 1, 2, 1, 2, 1]"
Ben bounced Amy and similarly he twibbed,2.443,0.7071,79,"[3, 3, 3, 1, 1, 2, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 2, 1, 3, 2, 3, 3, 2, 3, 3, 2, 1, 3, 3, 3, 2, 3, 3, 1, 3, 2, 3, 1, 2, 2, 2, 3, 3, 1, 1, 2, 1, 3, 3, 3, 2, 2]"
Ben bounced Eric and similarly he bicked,1.8987,0.6861,79,"[1, 3, 2, 1, 1, 2, 2, 1, 2, 1, 3, 2, 1, 2, 2, 3, 2, 2, 3, 2, 1, 3, 2, 2, 3, 3, 2, 3, 1, 2, 3, 2, 1, 2, 3, 2, 1, 3, 1, 2, 1, 2, 3, 2, 1, 2, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1]"
Ben enjoyed Anne and similarly he kuped,2.4684,0.672,79,"[3, 3, 3, 1, 1, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 2, 3, 2, 3, 2, 1, 3, 2, 3, 3, 1, 3, 2, 3, 2, 3, 3, 3, 2, 3, 3, 1, 1, 2, 3, 1, 2, 2, 2, 3, 3, 2, 2, 3, 2, 3, 3, 3, 2, 2]"
Ben enjoyed Diego and similarly he temmed,1.8861,0.6933,79,"[1, 3, 2, 1, 2, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 3, 2, 3, 3, 2, 1, 3, 3, 1, 2, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 3, 2, 1, 2, 2, 1, 3, 1, 1, 2, 2, 2, 1, 2, 2, 2, 3, 3, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1]"
Brian dropped James and similarly he claffed,1.8734,0.7002,79,"[1, 3, 2, 1, 1, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 2, 2, 3, 3, 2, 1, 3, 2, 1, 3, 3, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 3, 3, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 3, 1, 2, 1, 2, 1]"
