unit,mean,std,n,individual_ratings,item_type
A car accident blocked off one lane of the highway.,5.6667,1.0933,30,"[6, 5, 4, 6, 7, 6, 5, 7, 7, 7, 6, 4, 7, 6, 6, 5, 7, 7, 4, 5, 5, 6, 7, 6, 5, 6, 3, 5, 5, 5]",test
A drop of water from the ceiling fell onto the outlet.,5.2,1.606,30,"[7, 6, 3, 6, 5, 7, 6, 6, 5, 6, 5, 5, 7, 7, 7, 2, 7, 5, 2, 5, 3, 7, 6, 2, 6, 6, 3, 5, 4, 5]",test
A flight attendant collected all the empty cups.,5.7333,1.1121,30,"[6, 5, 6, 6, 5, 7, 6, 4, 7, 7, 7, 6, 7, 6, 5, 3, 7, 7, 6, 5, 4, 7, 7, 6, 5, 4, 5, 5, 5, 6]",test
A garden brings color to a backyard.,5.3,1.2905,30,"[5, 4, 6, 5, 5, 7, 3, 5, 4, 6, 5, 4, 7, 4, 5, 4, 7, 6, 6, 6, 7, 5, 7, 2, 5, 7, 4, 6, 6, 6]",test
A high-quality coffee shop is a staple of any town.,3.9667,1.6291,30,"[4, 3, 1, 5, 2, 4, 3, 4, 2, 4, 7, 3, 3, 5, 3, 3, 7, 6, 2, 5, 4, 5, 6, 6, 4, 5, 5, 2, 1, 5]",test
A melody was stuck in Jim's head all day.,2.6333,1.8843,30,"[4, 5, 7, 4, 1, 1, 1, 1, 2, 7, 5, 1, 1, 2, 3, 1, 1, 4, 2, 3, 2, 1, 1, 6, 1, 2, 1, 4, 2, 3]",test
A new career training program was offered recently.,2.1333,1.2521,30,"[3, 3, 2, 3, 1, 2, 1, 1, 1, 2, 4, 3, 1, 2, 4, 2, 1, 1, 3, 2, 1, 1, 4, 6, 1, 2, 2, 1, 1, 3]",test
A new tech startup opened its doors last month.,2.4333,1.3047,30,"[5, 3, 1, 3, 1, 2, 4, 2, 2, 2, 4, 1, 1, 5, 2, 1, 4, 2, 1, 2, 2, 3, 4, 2, 2, 1, 2, 5, 1, 3]",test
A powerful earthquake struck Japan this morning.,4.8667,1.5253,30,"[7, 6, 3, 6, 2, 6, 3, 5, 5, 5, 3, 5, 3, 6, 6, 5, 7, 6, 3, 4, 7, 4, 7, 2, 5, 7, 5, 4, 4, 5]",test
A social media platform improved its privacy settings.,2.1667,1.5332,30,"[3, 2, 3, 2, 1, 1, 2, 2, 1, 2, 7, 1, 2, 4, 3, 1, 1, 2, 1, 2, 2, 1, 2, 6, 1, 2, 1, 1, 1, 5]",test
