unit,mean,std,n,individual_ratings,item_type
A bracelet turned up which I had searched for.,3.4444,0.7265,9,"[4, 2, 3, 4, 3, 4, 4, 4, 3]",test
A bracelet turned up which would have matched my yellow prom dress perfectly if only I had found it before the prom.,2.75,1.5448,12,"[4, 2, 3, 5, 1, 1, 3, 1, 5, 3, 1, 4]",test
A bracelet turned up which would have matched my yellow prom dress perfectly.,3.25,0.5,4,"[4, 3, 3, 3]",test
A bracelet which I had searched for turned up.,3.0,1.291,13,"[2, 2, 5, 3, 5, 2, 2, 4, 2, 3, 2, 2, 5]",test
A bracelet which would have matched my yellow prom dress perfectly if only I had found it before the prom turned up.,1.75,0.5,4,"[2, 2, 2, 1]",test
A bracelet which would have matched my yellow prom dress perfectly turned up.,2.5,1.1952,8,"[2, 3, 2, 1, 4, 3, 1, 4]",test
A chef came in who did too much complaining about the weather and his lack of friends when he should have been cooking.,1.7143,0.7559,7,"[3, 2, 1, 1, 2, 2, 1]",test
A chef came in who did too much complaining about the weather and his lack of friends.,2.75,0.9574,4,"[2, 2, 3, 4]",test
A chef came in who did too much complaining.,4.1818,0.7508,11,"[5, 5, 4, 3, 4, 4, 4, 5, 3, 4, 5]",test
A chef who did too much complaining about the weather and his lack of friends came in.,2.0769,1.1152,13,"[3, 2, 1, 2, 1, 4, 1, 1, 2, 4, 3, 2, 1]",test
A chef who did too much complaining about the weather and his lack of friends when he should have been cooking came in.,2.0,1.1547,7,"[2, 4, 3, 1, 1, 2, 1]",test
A chef who did too much complaining came in.,3.2857,1.1127,7,"[3, 2, 4, 5, 3, 2, 4]",test
A child came in who was nicely tucked in a couple of hours earlier before a lot of loud trucks drove by the open window.,1.4,0.9661,10,"[4, 2, 1, 1, 1, 1, 1, 1, 1, 1]",test
A child came in who was nicely tucked in a couple of hours earlier.,2.0,1.1547,10,"[2, 1, 1, 2, 2, 4, 2, 1, 4, 1]",test
A child came in who was tucked in earlier.,2.0,0.8944,11,"[3, 1, 1, 1, 3, 2, 1, 3, 3, 2, 2]",test
A child who was nicely tucked in a couple of hours earlier before a lot of loud trucks drove by the open window came in.,1.0,0.0,4,"[1, 1, 1, 1]",test
A child who was nicely tucked in a couple of hours earlier came in.,2.875,1.6421,8,"[4, 5, 1, 2, 3, 2, 1, 5]",test
A child who was tucked in earlier came in.,2.5714,1.1339,7,"[1, 1, 4, 3, 3, 3, 3]",test
A crowd of screaming teenagers awaited the singer near the hotel entrance.,4.44,0.8843,50,"[2, 5, 2, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 3, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 3, 5, 5, 2, 5, 3, 4, 5, 5, 3, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5]",filler
A famous comedian came on who had offensive jokes.,2.5,1.1952,8,"[3, 4, 2, 1, 3, 1, 2, 4]",test
A famous comedian came on who was known for his offensive jokes and bad impersonations of old-time politicians and some dead celebrities.,2.9167,1.2401,12,"[5, 1, 3, 4, 2, 2, 3, 4, 3, 1, 3, 4]",test
A famous comedian came on who was known for his offensive jokes and bad impersonations.,4.0,1.0,7,"[3, 4, 5, 5, 3, 3, 5]",test
A famous comedian who had offensive jokes came on.,3.2857,1.496,7,"[4, 5, 2, 1, 3, 3, 5]",test
A famous comedian who was known for his offensive jokes and bad impersonations came on.,3.6,1.1402,5,"[5, 2, 4, 3, 4]",test
A famous comedian who was known for his offensive jokes and bad impersonations of old-time politicians and some dead celebrities came on.,1.8182,0.9816,11,"[3, 2, 1, 1, 1, 1, 2, 2, 2, 1, 4]",test
