unit,mean,std,n,individual_ratings
"Abby is a figure skater competing in the national championships being held this week. Today she is to perform her short program for the judges, and tomorrow she will perform her long program. Abby is an experienced skater and performs well under pressure. As a result, today at the competition, Abby performed her short program without making any major mistakes.",4.7436,0.5415,39,"[5, 3, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5]"
"After hearing the raving testimonials about a new miracle wrinkle cream, Amber and Beatrice both rushed to buy a bottle at the beauty store. The cream was reputed to erase all wrinkles and fine lines if applied twice daily for three weeks. Amber doesn't really pay attention to the directions, often forgetting to apply the cream. As a result, by the end of three weeks Amber got rid of all of the fine lines and wrinkles on her face.",1.4444,0.4969,9,"[2, 1, 2, 1, 1, 2, 1, 2, 1]"
"After hearing the raving testimonials about a new miracle wrinkle cream, Amber and Beatrice both rushed to buy a bottle at the beauty store. The cream was reputed to erase all wrinkles and fine lines if applied twice daily for three weeks. Amber doesn't really pay attention to the directions, often forgetting to apply the cream. As a result, by the end of three weeks Amber got rid of none of the fine lines and wrinkles on her face.",4.3,0.6403,10,"[4, 5, 5, 4, 5, 3, 4, 4, 4, 5]"
"After hearing the raving testimonials about a new miracle wrinkle cream, Amber and Beatrice both rushed to buy a bottle at the beauty store. The cream was reputed to erase all wrinkles and fine lines if applied twice daily for three weeks. Beatrice religiously follows the directions for applying the cream. As a result, by the end of three weeks Beatrice got rid of all of the fine lines and wrinkles on her face.",3.9,0.7,10,"[3, 4, 4, 5, 4, 5, 3, 4, 4, 3]"
"After hearing the raving testimonials about a new miracle wrinkle cream, Amber and Beatrice both rushed to buy a bottle at the beauty store. The cream was reputed to erase all wrinkles and fine lines if applied twice daily for three weeks. Beatrice religiously follows the directions for applying the cream. As a result, by the end of three weeks Beatrice got rid of none of the fine lines and wrinkles on her face.",2.7,1.1,10,"[2, 3, 3, 2, 1, 5, 4, 2, 2, 3]"
"Alvin is visiting his brother Brian in Iceland. The two of them are going skiing together this weekend. Brian is a beginner at skiing and falls a lot when he skis. Consequently, during his first run, Brian fell several times by the time he got to the bottom of the slope.",4.7436,0.5869,39,"[5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5]"
"Amanda and her sister Christina's favorite part of a meal is always dessert, but they are told to finish eating their supper before eating dessert. This evening, their mother served beef stew for dinner and prepared a pie for dessert. Amanda is an obedient child and always does as she's told. Consequently, today at dinner, Amanda patiently waited for the pie.",4.2821,1.0114,39,"[5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 1, 4, 5, 3, 5, 3, 4, 5, 4, 5, 5, 3, 4, 5, 4, 5, 4, 3, 5, 3, 2, 3, 5, 5, 4, 5]"
"Benjamin forgot to set his alarm clock last night, and when he woke up this morning he realized he had only five minutes to get to school for his first class of the morning. He grabbed his backpack, jumped on his bike, and rushed out the door. Benjamin usually takes at least fifteen minutes to bike from his house to school. As a result, Benjamin didn't get to school in time for his first class.",4.7179,0.5523,39,"[3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5]"
"Bob and Rosie are attending their daughter's viola recital. The viola students at the recital will each perform a solo piece, and their daughter will go first. Bob usually only listens to his daughter's playing at recitals and doesn't stay for the other performances. Consequently, today at the viola recital, Bob did not stay after his daughter finished.",4.6667,0.523,39,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 4, 5, 4, 4, 4, 5, 4, 4, 5, 5, 4, 5, 5, 5]"
"Bonnie and Alice are taking Biology together this semester. For their midterm, the students must take an hour-long exam consisting of 50 multiple-choice questions. Bonnie is good at Biology, and she studied hard for this midterm. As a consequence, Bonnie finished her midterm after thirty minutes.",4.3846,0.8657,39,"[5, 3, 5, 3, 5, 4, 5, 5, 5, 5, 5, 4, 5, 1, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 3, 4, 5, 4, 4, 4, 4, 4, 3, 5, 4, 5, 5, 5, 5]"
