unit,mean,std,n,individual_ratings
Adam adopted a cat from a shelter. It was orange and white with a pink nose. Later that week Regina did it too.,3.7,0.8013,20,"[5, 4, 3, 2, 2, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 5]"
Adam adopted a cat from a shelter. It was orange and white with a pink nose. Later that week Regina did too.,3.4,1.0954,20,"[5, 4, 3, 4, 4, 2, 1, 4, 3, 4, 5, 2, 4, 3, 4, 2, 2, 4, 4, 4]"
Adam adopted a cat from a shelter. Later that week Regina did it too.,3.65,1.3485,20,"[4, 2, 4, 5, 4, 4, 4, 2, 4, 5, 5, 4, 1, 2, 5, 3, 4, 1, 5, 5]"
Adam adopted a cat from a shelter. Later that week Regina did too.,4.25,0.7864,20,"[4, 5, 5, 5, 4, 4, 4, 3, 4, 4, 5, 4, 5, 4, 5, 4, 4, 5, 2, 5]"
Adele swept the dust off the floor. It was thick and disgusting. The next week Max did it too.,3.3,0.9234,20,"[4, 5, 2, 4, 3, 3, 4, 3, 4, 2, 3, 4, 4, 4, 3, 1, 3, 3, 4, 3]"
Adele swept the dust off the floor. It was thick and disgusting. The next week Max did too.,3.2,1.105,20,"[3, 1, 4, 3, 4, 3, 4, 2, 5, 4, 4, 5, 2, 2, 4, 4, 3, 2, 3, 2]"
Adele swept the dust off the floor. The next week Max did it too.,3.5,1.0,20,"[5, 4, 4, 3, 2, 5, 4, 2, 3, 3, 4, 4, 4, 3, 4, 5, 2, 4, 3, 2]"
Adele swept the dust off the floor. The next week Max did too.,3.45,1.1459,20,"[2, 5, 4, 3, 3, 2, 4, 4, 3, 2, 3, 5, 4, 5, 3, 5, 1, 4, 4, 3]"
Agnes asked for a raise at work. She had been working very hard. Frank asked for one too.,4.1375,0.9006,160,"[5, 3, 4, 4, 5, 5, 4, 2, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 4, 4, 5, 3, 5, 2, 2, 5, 5, 5, 3, 4, 5, 5, 5, 3, 5, 4, 5, 4, 4, 4, 5, 5, 5, 5, 4, 4, 5, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 5, 5, 4, 3, 5, 3, 4, 4, 5, 5, 5, 5, 4, 4, 3, 3, 5, 5, 5, 4, 5, 3, 4, 2, 4, 4, 2, 4, 3, 4, 4, 5, 5, 5, 4, 5, 4, 3, 4, 3, 2, 4, 3, 5, 5, 5, 5, 5, 3, 5, 4, 3, 4, 3, 4, 4, 5, 4, 5, 4, 2, 4, 5, 5, 4, 5, 5, 3, 4, 4, 5, 5, 5, 4, 5, 3, 4, 5, 5, 1, 4, 4, 4, 5, 5, 4, 3, 4, 5, 5, 3, 5, 3, 4, 5, 4, 2, 3, 5, 5, 5, 4, 4]"
Al stayed at work late last night. Brad left work early.,4.3608,0.8903,158,"[5, 5, 5, 5, 5, 5, 3, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 3, 4, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 4, 3, 5, 4, 5, 4, 5, 4, 4, 5, 5, 3, 4, 5, 5, 5, 4, 4, 3, 5, 3, 2, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 2, 5, 5, 5, 5, 3, 5, 4, 5, 3, 2, 4, 5, 5, 5, 3, 3, 4, 5, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 2, 5, 3, 3, 4, 3, 5, 3, 4, 3, 5, 2, 4, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 4, 3, 2, 5, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 3, 4, 5, 5, 3, 4, 5, 5, 5, 5, 5]"
