unit,mean,std,n,individual_ratings
Alice wondered what the detective would lead the investigation if Paul took from the jewelry store.,1.9,0.9944,10,"[1, 2, 1, 3, 1, 2, 2, 4, 2, 1]"
Alice wondered what the detective would visit his mother if Paul took from the jewelry store.,1.7,0.8233,10,"[1, 2, 3, 2, 1, 2, 1, 1, 1, 3]"
Alice wondered whether the detective would lead the investigation if Paul took the necklace from the jewelry store.,3.9,0.8756,10,"[3, 4, 5, 4, 3, 5, 3, 5, 4, 3]"
Alice wondered whether the detective would visit his mother if Paul took the necklace from the jewelry store.,3.8,1.0328,10,"[4, 2, 5, 3, 4, 3, 5, 5, 3, 4]"
Alice wonders what the detective leads the investigation when Paul takes from the jewelry store.,1.8,0.6325,10,"[1, 2, 1, 2, 2, 2, 2, 1, 3, 2]"
Alice wonders what the detective visits his mother when Paul takes from the jewelry store.,1.2,0.4216,10,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]"
Alice wonders whether the detective leads the investigation when Paul takes the necklace from the jewelry store.,3.8,1.1353,10,"[4, 3, 5, 2, 5, 5, 5, 3, 3, 3]"
Alice wonders whether the detective visits his mother when Paul takes the necklace from the jewelry store.,3.1,1.3703,10,"[4, 3, 3, 5, 2, 4, 1, 5, 2, 2]"
Bryan wondered what the pharmacist would buy some gum if John refilled within the month.,1.5,0.527,10,"[2, 2, 1, 2, 1, 2, 1, 1, 1, 2]"
Bryan wondered what the pharmacist would inform a doctor if John refilled within the month.,3.0,1.2472,10,"[3, 3, 2, 5, 3, 2, 3, 5, 3, 1]"
Bryan wondered whether the pharmacist would buy some gum if John refilled his prescription within the month.,3.9,0.9944,10,"[2, 4, 4, 3, 3, 4, 5, 5, 4, 5]"
Bryan wondered whether the pharmacist would inform a doctor if John refilled his prescription within the month.,4.3,0.6749,10,"[4, 4, 5, 4, 4, 5, 5, 5, 3, 4]"
Bryan wonders what the pharmacist buys some gum when John refills within the month.,1.3,0.483,10,"[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]"
Bryan wonders what the pharmacist informs a doctor when John refills within the month.,3.6,1.2649,10,"[1, 4, 4, 5, 4, 2, 5, 3, 4, 4]"
Bryan wonders whether the pharmacist buys some gum when John refills his prescription within the month.,3.1,0.5676,10,"[3, 3, 2, 3, 3, 3, 3, 4, 4, 3]"
Bryan wonders whether the pharmacist informs a doctor when John refills his prescription within the month.,4.5556,0.527,9,"[4, 4, 5, 5, 5, 5, 4, 5, 4]"
Christian wondered what Chris would feel proud if the child prodigy submitted to the art contest at the modern art museum.,2.0,0.866,9,"[2, 2, 2, 1, 2, 2, 1, 2, 4]"
Christian wondered what Chris would sleep until noon if the child prodigy submitted to the art contest at the modern art museum.,1.7,0.6749,10,"[2, 2, 1, 2, 1, 1, 2, 1, 2, 3]"
Christian wondered whether Chris would feel proud if the child prodigy submitted a drawing to the art contest at the modern art museum.,4.7,0.6749,10,"[5, 5, 5, 5, 5, 5, 5, 3, 5, 4]"
Christian wondered whether Chris would sleep until noon if the child prodigy submitted a drawing to the art contest at the modern art museum.,3.3,0.8233,10,"[4, 4, 2, 3, 4, 4, 2, 4, 3, 3]"
Christian wonders what Chris feels proud when the child prodigy submits to the art contest at the modern art museum.,2.0,0.9428,10,"[2, 3, 1, 4, 2, 2, 2, 2, 1, 1]"
Christian wonders what Chris sleeps until noon when the child prodigy submits to the art contest at the modern art museum.,1.6,0.8433,10,"[1, 1, 1, 2, 2, 3, 1, 1, 1, 3]"
Christian wonders whether Chris feels proud when the child prodigy submits a drawing to the art contest at the modern art museum.,3.7,1.1595,10,"[2, 4, 5, 2, 3, 5, 5, 3, 4, 4]"
Christian wonders whether Chris sleeps until noon when the child prodigy submits a drawing to the art contest at the modern art museum.,2.3,1.3375,10,"[1, 1, 3, 3, 2, 1, 1, 5, 3, 3]"
Christopher wondered what the RA would give approval if Bob rented from the housing office.,2.1,0.5676,10,"[3, 2, 2, 2, 2, 2, 2, 1, 2, 3]"
Christopher wondered what the RA would sell books if Bob rented from the housing office.,1.6,0.6992,10,"[2, 3, 1, 2, 1, 1, 1, 1, 2, 2]"
Christopher wondered whether the RA would give approval if Bob rented a room from the housing office.,4.1,1.2867,10,"[2, 5, 5, 5, 3, 5, 5, 4, 5, 2]"
Christopher wondered whether the RA would sell books if Bob rented a room from the housing office.,4.1,0.9944,10,"[4, 5, 4, 4, 5, 4, 2, 5, 5, 3]"
Christopher wonders what the RA gives approval when Bob rents from the housing office.,2.1111,1.1667,9,"[2, 1, 4, 1, 2, 2, 4, 2, 1]"
Christopher wonders what the RA sells books when Bob rents from the housing office.,1.5,0.7071,10,"[1, 2, 1, 2, 2, 3, 1, 1, 1, 1]"
Christopher wonders whether the RA gives approval when Bob rents a room from the housing office.,4.0,0.9428,10,"[5, 4, 4, 3, 4, 4, 5, 5, 2, 4]"
Christopher wonders whether the RA sells books when Bob rents a room from the housing office.,2.8,0.7888,10,"[3, 3, 4, 3, 3, 2, 2, 4, 2, 2]"
Diane wondered what Sandy would telephone a locksmith if the boss left in the car next to the bakery.,1.4,0.8433,10,"[3, 1, 1, 1, 1, 1, 1, 1, 3, 1]"
Diane wondered what Sandy would watch a movie if the boss left in the car next to the bakery.,2.0,1.0541,10,"[1, 3, 1, 4, 1, 2, 2, 3, 2, 1]"
Diane wondered whether Sandy would telephone a locksmith if the boss left his keys in the car next to the bakery.,4.2,0.7888,10,"[5, 3, 4, 4, 5, 5, 3, 5, 4, 4]"
Diane wondered whether Sandy would watch a movie if the boss left his keys in the car next to the bakery.,3.0,1.0,9,"[2, 4, 4, 3, 2, 4, 2, 2, 4]"
Diane wonders what Sandy telephones a locksmith when the boss leaves in the car next to the bakery.,1.7,0.6749,10,"[1, 2, 2, 3, 2, 2, 1, 1, 1, 2]"
Diane wonders what Sandy watches a movie when the boss leaves in the car next to the bakery.,1.5,0.527,10,"[1, 2, 2, 1, 1, 2, 1, 1, 2, 2]"
Diane wonders whether Sandy telephones a locksmith when the boss leaves his keys in the car next to the bakery.,3.8,0.9189,10,"[2, 3, 4, 4, 4, 5, 4, 5, 3, 4]"
Diane wonders whether Sandy watches a movie when the boss leaves his keys in the car next to the bakery.,3.6,1.4298,10,"[3, 3, 3, 5, 5, 5, 5, 2, 4, 1]"
Duncan wondered what the security guard would go home if the tourists photographed in the Monet exhibit.,1.8,0.9189,10,"[1, 2, 1, 4, 1, 2, 2, 2, 2, 1]"
Duncan wondered what the security guard would say something if the tourists photographed in the Monet exhibit.,2.1,0.9944,10,"[4, 3, 1, 3, 1, 1, 2, 2, 2, 2]"
Duncan wondered whether the security guard would go home if the tourists photographed the priceless painting in the Monet exhibit.,3.9,0.7379,10,"[3, 3, 4, 4, 4, 5, 4, 3, 4, 5]"
Duncan wondered whether the security guard would say something if the tourists photographed the priceless painting in the Monet exhibit.,4.8,0.6325,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
Duncan wonders what the security guard goes home when the tourists photograph in the Monet exhibit.,1.3333,0.5,9,"[1, 1, 1, 1, 1, 2, 1, 2, 2]"
Duncan wonders what the security guard says something when the tourists photograph in the Monet exhibit.,1.8,0.7888,10,"[1, 3, 2, 2, 2, 2, 1, 1, 1, 3]"
Duncan wonders whether the security guard goes home when the tourists photograph the priceless painting in the Monet exhibit.,3.6,1.2649,10,"[2, 4, 5, 2, 4, 5, 5, 3, 4, 2]"
Duncan wonders whether the security guard says something when the tourists photograph the priceless painting in the Monet exhibit.,3.8,1.3166,10,"[2, 2, 4, 4, 5, 5, 2, 5, 4, 5]"
Francisco wondered what the police officer would become suspicious if Michael bought in the alleyway.,1.6,0.6992,10,"[3, 1, 1, 2, 1, 1, 1, 2, 2, 2]"
Francisco wondered what the police officer would take a break if Michael bought in the alleyway.,1.7,0.9487,10,"[1, 2, 1, 4, 1, 2, 1, 2, 2, 1]"
Francisco wondered whether the police officer would become suspicious if Michael bought a mysterious substance in the alleyway.,4.4,1.075,10,"[5, 4, 5, 3, 5, 5, 5, 5, 5, 2]"
Francisco wondered whether the police officer would take a break if Michael bought a mysterious substance in the alleyway.,3.8,0.9189,10,"[3, 2, 4, 4, 4, 5, 4, 5, 3, 4]"
Francisco wonders what the police officer becomes suspicious when Michael buys in the alleyway.,2.1,0.9944,10,"[2, 4, 2, 2, 2, 3, 1, 1, 1, 3]"
Francisco wonders what the police officer takes a break when Michael buys in the alleyway.,1.4,0.5164,10,"[1, 2, 1, 2, 2, 1, 2, 1, 1, 1]"
Francisco wonders whether the police officer becomes suspicious when Michael buys a mysterious substance in the alleyway.,4.0,1.4142,10,"[2, 2, 5, 5, 4, 5, 2, 5, 5, 5]"
Francisco wonders whether the police officer takes a break when Michael buys a mysterious substance in the alleyway.,3.9,1.2867,10,"[2, 4, 5, 5, 3, 5, 5, 3, 5, 2]"
Frank wondered what the supervisor would complain bitterly if the office manager kept in her office during the audit.,1.7778,0.6667,9,"[2, 2, 1, 3, 1, 2, 2, 2, 1]"
Frank wondered what the supervisor would study mathematics if the office manager kept in her office during the audit.,1.6,0.6992,10,"[1, 3, 2, 2, 1, 2, 1, 1, 1, 2]"
Frank wondered whether the supervisor would complain bitterly if the office manager kept the document in her office during the audit.,4.5,0.7071,10,"[3, 4, 5, 5, 4, 5, 5, 5, 4, 5]"
