unit,mean,std,n,individual_ratings
Alice tried to figure out who Monica offered a pencil to.,5.6333,1.3515,30,"[4, 7, 6, 7, 6, 3, 6, 6, 4, 5, 6, 5, 6, 7, 7, 6, 7, 6, 5, 3, 6, 7, 7, 3, 7, 3, 7, 6, 5, 6]"
Alice tried to figure out who Monica offered a pencil.,3.7333,1.9106,30,"[5, 4, 5, 3, 7, 2, 4, 3, 7, 2, 1, 5, 1, 3, 3, 2, 6, 5, 3, 7, 6, 1, 2, 3, 7, 3, 5, 2, 2, 3]"
Angela tried to remember who Laurel handed a newspaper to.,5.5862,1.5928,29,"[6, 5, 7, 7, 7, 3, 6, 5, 6, 4, 2, 7, 3, 7, 5, 7, 6, 2, 7, 7, 5, 7, 5, 7, 4, 6, 7, 7, 5]"
Angela tried to remember who Laurel handed a newspaper.,4.1034,1.8963,29,"[6, 2, 1, 7, 5, 5, 2, 6, 3, 2, 3, 5, 2, 2, 7, 6, 2, 4, 5, 3, 3, 6, 5, 3, 3, 7, 2, 7, 5]"
Beverly tried to remember who Byron leased a truck to.,5.6897,1.6497,29,"[7, 3, 6, 7, 7, 7, 6, 6, 7, 4, 1, 4, 6, 7, 7, 5, 7, 5, 6, 7, 7, 2, 4, 6, 5, 7, 7, 7, 5]"
Beverly tried to remember who Byron leased a truck.,3.5667,1.6955,30,"[6, 2, 1, 1, 5, 4, 2, 5, 4, 2, 2, 5, 5, 2, 2, 6, 5, 2, 2, 6, 3, 2, 6, 3, 3, 2, 6, 3, 5, 5]"
Brenda tried to remember who Kyle showed a magazine to.,5.6,1.8681,30,"[7, 7, 6, 7, 7, 7, 7, 6, 3, 5, 1, 5, 6, 6, 6, 3, 7, 5, 5, 7, 7, 2, 7, 7, 7, 1, 6, 7, 7, 4]"
Brenda tried to remember who Kyle showed a magazine.,3.8333,1.5555,30,"[3, 4, 2, 5, 6, 2, 6, 4, 4, 5, 2, 3, 5, 2, 3, 6, 6, 2, 3, 6, 2, 2, 5, 4, 6, 2, 3, 2, 5, 5]"
Christopher tried to figure out who Isaac threw a football to.,5.2333,1.6543,30,"[6, 2, 6, 7, 6, 4, 7, 5, 4, 5, 7, 5, 6, 6, 7, 4, 7, 6, 3, 4, 1, 7, 6, 3, 3, 5, 7, 5, 7, 6]"
Christopher tried to figure out who Isaac threw a football.,3.1333,1.9429,30,"[3, 4, 4, 3, 5, 2, 2, 2, 3, 2, 1, 6, 1, 5, 6, 3, 7, 1, 3, 6, 5, 1, 1, 3, 6, 1, 5, 1, 1, 1]"
Diane tried to figure out who Bryan lent a bicycle to.,5.4483,1.4289,29,"[4, 5, 7, 7, 3, 2, 7, 5, 4, 5, 6, 5, 6, 6, 7, 6, 7, 6, 3, 4, 6, 7, 7, 4, 6, 7, 4, 6, 6]"
Diane tried to figure out who Bryan lent a bicycle.,3.8667,1.8705,30,"[3, 6, 4, 6, 5, 2, 3, 3, 3, 3, 1, 5, 1, 4, 5, 3, 7, 5, 3, 6, 6, 1, 2, 6, 7, 3, 6, 1, 2, 4]"
Duncan tried to figure out who Valerie lent a cellphone to.,5.7333,1.7798,30,"[7, 4, 6, 6, 7, 7, 7, 3, 6, 5, 1, 6, 7, 4, 6, 3, 7, 5, 7, 7, 7, 1, 7, 7, 7, 7, 5, 7, 7, 6]"
Duncan tried to figure out who Valerie lent a cellphone.,4.0333,1.5643,30,"[5, 2, 4, 6, 3, 3, 3, 5, 4, 6, 2, 3, 5, 2, 3, 6, 7, 3, 3, 4, 2, 2, 7, 4, 6, 3, 6, 5, 3, 4]"
Elaine tried to remember who Marilyn handed a box to.,5.9,1.5166,30,"[6, 6, 7, 7, 7, 6, 7, 6, 7, 5, 1, 6, 7, 6, 7, 4, 7, 5, 5, 7, 7, 2, 7, 6, 7, 5, 7, 6, 7, 4]"
Elaine tried to remember who Marilyn handed a box.,3.6,1.2205,30,"[5, 2, 3, 6, 4, 4, 3, 4, 4, 4, 2, 2, 3, 2, 3, 6, 3, 2, 3, 5, 3, 3, 6, 3, 3, 3, 4, 3, 5, 5]"
Frank tried to figure out who Jerry mailed a package to.,5.6,1.2758,30,"[4, 7, 5, 7, 6, 4, 6, 6, 4, 7, 6, 5, 6, 6, 7, 6, 7, 7, 4, 3, 3, 6, 7, 4, 6, 5, 7, 5, 7, 5]"
Frank tried to figure out who Jerry mailed a package.,3.8333,2.0525,30,"[4, 7, 5, 5, 5, 3, 3, 2, 7, 2, 2, 5, 2, 5, 4, 2, 6, 1, 3, 6, 5, 1, 1, 4, 7, 3, 7, 1, 1, 6]"
Glenn tried to remember who Maxwell mailed a letter to.,5.6,1.9046,30,"[7, 1, 7, 7, 7, 7, 7, 5, 7, 5, 1, 4, 6, 4, 7, 4, 7, 5, 6, 7, 7, 2, 7, 6, 7, 3, 7, 7, 7, 4]"
Glenn tried to remember who Maxwell mailed a letter.,3.9333,1.9286,30,"[4, 2, 1, 5, 4, 2, 2, 7, 2, 2, 2, 6, 2, 2, 6, 6, 5, 1, 3, 5, 5, 6, 6, 6, 5, 3, 6, 1, 6, 5]"
Helen tried to figure out who Emerson lent a coat to.,5.931,1.1628,29,"[6, 6, 7, 7, 6, 4, 6, 6, 4, 6, 7, 5, 7, 7, 7, 7, 7, 4, 5, 4, 7, 7, 3, 6, 7, 6, 6, 6, 6]"
Helen tried to figure out who Emerson lent a coat.,4.3333,1.8068,30,"[4, 4, 6, 7, 6, 2, 3, 2, 6, 2, 3, 5, 2, 5, 6, 3, 5, 5, 3, 5, 6, 1, 2, 6, 7, 6, 7, 2, 5, 4]"
Howard tried to figure out who Margaret rented a house to.,5.3,1.9678,30,"[7, 6, 7, 6, 7, 6, 7, 3, 4, 3, 1, 5, 6, 2, 7, 3, 7, 6, 2, 7, 7, 2, 7, 4, 7, 5, 7, 7, 7, 4]"
Howard tried to figure out who Margaret rented a house.,3.3571,1.5685,28,"[3, 1, 1, 2, 6, 1, 3, 6, 4, 4, 2, 2, 4, 2, 2, 6, 5, 2, 3, 5, 4, 3, 3, 3, 3, 3, 6, 5]"
Jay tried to figure out who Karen gave a book to.,5.4,1.5669,30,"[4, 7, 3, 7, 5, 4, 6, 5, 4, 7, 7, 5, 6, 6, 7, 6, 6, 7, 3, 3, 2, 7, 7, 4, 6, 7, 3, 5, 7, 6]"
Jay tried to figure out who Karen gave a book.,3.8667,2.2702,30,"[6, 7, 5, 2, 4, 2, 2, 6, 7, 2, 1, 3, 1, 4, 6, 2, 7, 3, 2, 6, 6, 1, 2, 7, 7, 3, 7, 1, 2, 2]"
Joyce tried to remember who Donovan sold a desk to.,5.9655,1.5465,29,"[7, 3, 7, 7, 7, 7, 7, 6, 7, 5, 6, 6, 5, 7, 3, 7, 6, 7, 7, 7, 2, 7, 4, 7, 3, 7, 7, 7, 5]"
Joyce tried to remember who Donovan sold a desk.,3.2667,1.7006,30,"[1, 1, 2, 4, 4, 3, 1, 4, 4, 4, 1, 6, 5, 2, 2, 1, 7, 5, 4, 4, 3, 3, 1, 2, 3, 2, 6, 3, 5, 5]"
Madison tried to figure out who Gerald offered a loan to.,5.6667,1.8445,30,"[6, 6, 7, 7, 7, 7, 7, 5, 7, 4, 1, 5, 6, 6, 7, 5, 7, 6, 3, 7, 7, 2, 1, 4, 7, 7, 7, 7, 7, 5]"
Madison tried to figure out who Gerald offered a loan.,3.8,1.6692,30,"[5, 4, 3, 7, 3, 4, 2, 5, 5, 5, 1, 5, 4, 2, 1, 6, 7, 2, 4, 4, 3, 2, 7, 4, 2, 3, 4, 2, 4, 4]"
Marvin tried to remember who Lindsey threw an orange to.,5.5862,1.8423,29,"[7, 4, 7, 6, 7, 7, 7, 5, 4, 6, 1, 6, 2, 7, 2, 7, 6, 5, 7, 7, 2, 6, 4, 7, 6, 7, 7, 7, 6]"
Marvin tried to remember who Lindsey threw an orange.,3.4,1.8118,30,"[3, 2, 1, 2, 6, 2, 2, 5, 2, 4, 2, 5, 5, 1, 3, 7, 6, 2, 3, 5, 5, 3, 6, 2, 2, 2, 6, 1, 5, 2]"
Neil tried to remember who Chloe showed a sculpture to.,5.6897,1.6925,29,"[6, 4, 7, 7, 7, 7, 7, 6, 7, 6, 1, 4, 6, 3, 6, 5, 7, 6, 3, 7, 7, 3, 7, 4, 7, 7, 7, 7, 4]"
Neil tried to remember who Chloe showed a sculpture.,3.4333,1.7157,30,"[6, 1, 3, 7, 2, 3, 2, 4, 4, 5, 2, 6, 4, 1, 2, 6, 3, 2, 3, 2, 2, 2, 3, 4, 4, 3, 6, 1, 6, 4]"
Norman tried to figure out who Carlton offered a drink to.,5.5333,1.5916,30,"[6, 6, 6, 7, 6, 3, 7, 6, 4, 4, 6, 3, 6, 6, 7, 7, 7, 7, 3, 2, 3, 7, 7, 3, 6, 7, 5, 7, 6, 6]"
Norman tried to figure out who Carlton offered a drink.,4.4667,1.9954,30,"[6, 4, 6, 7, 5, 1, 3, 4, 7, 2, 1, 5, 2, 2, 7, 4, 5, 4, 6, 6, 7, 7, 3, 6, 7, 4, 6, 2, 2, 3]"
Pamela tried to remember who Christy rented an apartment to.,5.4,1.4288,30,"[4, 6, 7, 7, 5, 3, 4, 4, 4, 5, 4, 3, 6, 6, 7, 6, 7, 7, 3, 5, 5, 7, 7, 3, 7, 6, 6, 6, 7, 5]"
Pamela tried to remember who Christy rented an apartment.,3.6667,2.0899,30,"[3, 4, 6, 6, 7, 1, 3, 3, 2, 1, 1, 6, 2, 5, 6, 3, 3, 4, 4, 7, 5, 2, 2, 3, 7, 1, 7, 1, 1, 4]"
