unit,mean,std,n,individual_ratings
"A construtora apresentou um apartamento do qual o preço afastava os jovens consumidores, uma vez que eles costumam ter poucos rendimentos.",5.1429,1.2454,7,"[6, 5, 3, 5, 4, 7, 6]"
"A construtora apresentou um apartamento do qual os jovens consumidores criticaram o preço, uma vez que eles costumam ter poucos rendimentos.",4.8,2.0396,5,"[5, 3, 2, 7, 7]"
"A construtora apresentou um apartamento quem o preço afastava os jovens consumidores, uma vez que eles costumam ter poucos rendimentos.",2.4286,1.0498,7,"[3, 2, 1, 3, 3, 1, 4]"
"A construtora apresentou um apartamento quem os jovens consumidores criticaram o preço, uma vez que eles costumam ter poucos rendimentos.",3.0,1.633,9,"[3, 2, 2, 3, 3, 4, 2, 1, 7]"
"A construtora apresentou um apartamento, mas o preço desse apartamento afastava os jovens consumidores, uma vez que eles costumam ter poucos rendimentos.",4.7778,1.4741,9,"[7, 4, 7, 3, 4, 6, 3, 5, 4]"
"A construtora apresentou um apartamento, mas os jovens consumidores criticaram o preço desse apartamento, uma vez que eles costumam ter poucos rendimentos.",5.2,1.376,15,"[3, 4, 2, 6, 5, 7, 7, 5, 6, 6, 5, 6, 4, 6, 6]"
"A empresa conseguiu, por fim, corresponder às expectativas dos funcionários?",6.1509,1.2797,53,"[7, 7, 6, 6, 7, 5, 5, 6, 5, 7, 5, 4, 7, 7, 5, 7, 6, 7, 5, 6, 6, 7, 7, 6, 5, 7, 7, 7, 5, 2, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 4, 7, 1, 7, 7, 5, 7, 7, 7, 7, 6]"
A empresa organizou algumas atividades das quais certos aspetos ameaçavam a saúde dos funcionários.,5.1,1.7578,10,"[7, 7, 5, 4, 4, 5, 6, 1, 5, 7]"
A empresa organizou algumas atividades das quais os funcionários temiam certos aspectos no que respeita à sua saúde.,4.2,1.9391,5,"[4, 5, 4, 1, 7]"
A empresa organizou algumas atividades quem certos aspetos ameaçavam a saúde dos funcionários.,2.7143,1.5779,14,"[5, 2, 4, 1, 1, 4, 1, 2, 6, 4, 1, 2, 2, 3]"
A empresa organizou algumas atividades quem os funcionários temiam certos aspectos no que respeita à sua saúde.,1.6667,0.7454,6,"[2, 1, 2, 1, 3, 1]"
"A empresa organizou algumas atividades, e certos aspetos dessas atividades ameaçavam a saúde dos funcionários.",6.2,0.4,5,"[6, 6, 6, 7, 6]"
"A empresa organizou algumas atividades, mas os funcionários temiam certos aspectos dessas atividades no que respeita à sua saúde.",5.0,1.9149,12,"[7, 7, 7, 5, 6, 5, 2, 4, 7, 5, 4, 1]"
"A empresa organizou um evento do qual a grandeza deslumbrou os jornalistas, como era de se esperar.",4.7143,1.4846,7,"[2, 6, 5, 6, 3, 5, 6]"
"A empresa organizou um evento do qual os jornalistas elogiaram a grandeza, como era de se esperar.",5.6923,1.6354,13,"[7, 7, 7, 3, 4, 7, 2, 5, 7, 6, 7, 6, 6]"
"A empresa organizou um evento quem a grandeza deslumbrou os jornalistas, como era de se esperar.",2.875,1.8329,8,"[2, 3, 4, 1, 1, 2, 7, 3]"
"A empresa organizou um evento quem os jornalistas elogiaram a grandeza, como era de se esperar.",2.5,2.1213,8,"[1, 2, 5, 1, 2, 1, 1, 7]"
"A empresa organizou um evento, e a grandeza desse evento deslumbrou os jornalistas, como era de se esperar.",6.0,1.3093,7,"[4, 4, 7, 7, 7, 7, 6]"
"A empresa organizou um evento, e os jornalistas elogiaram a grandeza desse evento, como era de se esperar.",5.9,1.5133,10,"[7, 6, 2, 7, 7, 7, 5, 6, 5, 7]"
