unit,mean,std,n,individual_ratings
I like the way a British accent sounds.,4.0816,0.7238,49,"[4, 5, 4, 4, 4, 5, 4, 4, 3, 3, 4, 4, 3, 3, 4, 5, 3, 4, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 3, 3, 4, 4, 3, 3, 5, 4, 4, 4, 3, 4, 3, 5, 5, 4, 4]"
I like the way an American accent sounds.,4.0408,0.7814,49,"[4, 4, 4, 5, 5, 5, 4, 4, 5, 5, 3, 3, 5, 3, 4, 4, 5, 5, 4, 3, 3, 4, 5, 4, 4, 3, 5, 5, 3, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 5, 3, 3, 4, 5, 5, 5]"
I think having a British accent is prestigious.,3.34,0.8628,50,"[4, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 2, 3, 3, 2, 4, 4, 4, 3, 4, 5, 2, 4, 5, 2, 3, 3, 4, 2, 5, 3, 2, 3, 5, 3, 3, 2, 2, 4, 4, 3, 3, 4, 2, 3, 4, 4, 4]"
I think having an American accent is prestigious.,2.7551,0.7962,49,"[4, 3, 4, 2, 3, 3, 3, 2, 4, 3, 2, 3, 3, 3, 2, 3, 3, 4, 2, 3, 1, 4, 4, 2, 3, 2, 2, 3, 2, 4, 2, 3, 3, 2, 3, 2, 3, 3, 2, 2, 1, 2, 4, 3, 2, 2, 3, 3, 4]"
I've enjoyed listening to this speaker talk.,4.16,0.7031,50,"[5, 4, 4, 4, 5, 5, 4, 3, 5, 4, 3, 4, 4, 5, 5, 5, 3, 5, 4, 3, 4, 3, 5, 4, 5, 5, 5, 5, 4, 5, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 5, 3, 3, 4, 5, 4, 5, 4]"
The audio recordings were clear.,4.72,0.6645,50,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 2, 5, 4, 5, 5, 4, 5, 5]"
The speaker graduated from a prestigious university.,3.3,0.728,50,"[3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 2, 3, 3, 3, 3, 3, 3, 4, 4, 2, 2, 3, 3, 3, 3, 5, 5, 3, 3, 5, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 2, 3, 3, 3, 4, 3]"
The speaker has a successful career.,3.8,0.6928,50,"[3, 4, 4, 4, 3, 3, 4, 5, 4, 4, 3, 5, 5, 3, 5, 4, 3, 4, 3, 5, 3, 4, 4, 3, 3, 5, 4, 3, 3, 4, 4, 4, 3, 3, 3, 5, 4, 4, 4, 4, 3, 4, 5, 3, 3, 4, 4, 4, 4, 4]"
The speaker is good at what they do.,4.54,0.6989,50,"[4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 3, 5, 5, 5, 3, 4, 5, 5, 2, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 4, 5, 5, 4, 3, 5, 5, 5, 5, 4]"
The speaker is wealthy.,3.102,0.5049,49,"[3, 3, 3, 3, 3, 3, 3, 5, 4, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 4, 3, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 4, 4, 3, 3, 3, 3, 3, 3]"
The speaker strongly enunciated the words.,4.3673,0.8004,49,"[5, 4, 4, 4, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 2, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 3, 5, 5, 4, 5, 5, 4, 3, 3, 4, 5, 4, 2, 4, 5, 4, 4, 4, 4, 5, 4]"
The speaker talks in a way that I like.,4.1875,0.7543,48,"[4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 2, 5, 5, 4, 3, 4, 4, 5, 4, 4, 5, 5, 4, 5, 5, 4, 5, 4, 4, 3, 5, 3, 4, 4, 4, 5, 3, 3, 3, 5, 3, 5]"
The speaker was easy to understand.,4.74,0.6576,50,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 5, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5]"
The speaker's delivery was well-paced.,4.64,0.7144,50,"[5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 1]"
