unit,mean,std,n,individual_ratings
A bathroom wandered into an old man.,1.0667,0.2494,15,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A bystander was rescued by the fireman in the nick of time.,4.6333,0.6823,60,"[5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 4, 4, 5, 2, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5]"
A cat jumped onto the table.,4.8,0.7483,15,"[5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
A choir sang in the church.,4.8571,0.3499,14,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
A flowering plant is on the window sill.,4.8667,0.4989,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
A ghost appeared above the bed.,4.4667,0.8844,15,"[5, 3, 4, 5, 5, 5, 2, 5, 5, 5, 4, 5, 5, 5, 4]"
A huge tree grew into the small plant.,1.4667,0.8055,15,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 3]"
A legislator lied to the consultant about a new bill.,4.7833,0.4862,60,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
A magnificent diamond sparkled on the prince's finger.,4.9333,0.2494,15,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
A socialite was greeted by the butler with a plate of caviar.,4.5424,0.7881,59,"[5, 4, 5, 5, 5, 3, 4, 4, 5, 5, 3, 5, 4, 2, 5, 5, 5, 5, 1, 4, 4, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
Above a ghost appeared the bed.,1.5333,1.0242,15,"[2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 5, 1, 1, 1]"
Above the bed appeared a ghost.,3.7143,0.8806,14,"[4, 3, 2, 4, 4, 5, 4, 4, 5, 4, 4, 4, 3, 2]"
An analyst angered the economist after he interrupted a phone conference five times.,4.1864,0.892,59,"[4, 4, 4, 3, 4, 3, 4, 4, 5, 5, 4, 4, 3, 2, 5, 4, 4, 5, 4, 4, 4, 4, 5, 4, 2, 5, 4, 3, 4, 3, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 4, 1, 5, 3, 5, 5, 4, 4, 5, 3, 5, 5, 4, 5, 5]"
An old man wandered into a bathroom.,4.9333,0.2494,15,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
An old woman lives in the woods.,4.7143,0.589,14,"[5, 5, 4, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5]"
At the station arrived the train.,2.9333,1.2893,15,"[1, 3, 2, 4, 4, 4, 5, 2, 3, 1, 5, 1, 3, 3, 3]"
At the train arrived the station.,1.2,0.5416,15,"[1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
From the ceiling was hanging the mobile.,3.2,1.1662,15,"[4, 2, 4, 2, 1, 2, 4, 2, 5, 5, 3, 4, 3, 4, 3]"
From the mobile was hanging the ceiling.,1.0,0.0,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
In a choir sang the church.,1.2,0.5416,15,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
In an old woman lives the woods.,1.4667,1.2037,15,"[1, 1, 5, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
In some treasure was found the cave.,1.1333,0.3399,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1]"
In the cave was found some treasure.,4.0,0.9661,15,"[2, 5, 3, 5, 4, 4, 3, 4, 3, 5, 4, 5, 3, 5, 5]"
In the church sang a choir.,3.9333,0.9286,15,"[4, 5, 5, 4, 2, 2, 4, 4, 5, 4, 4, 4, 5, 3, 4]"
In the woods lives an old woman.,4.2,1.0456,15,"[4, 4, 4, 5, 5, 5, 4, 5, 3, 5, 1, 4, 5, 4, 5]"
Into a bathroom wandered an old man.,3.8667,1.147,15,"[4, 2, 5, 2, 2, 3, 3, 4, 4, 5, 5, 5, 4, 5, 5]"
Into a huge tree grew the small plant.,2.8667,1.3597,15,"[2, 5, 5, 1, 1, 3, 2, 3, 1, 2, 4, 5, 3, 3, 3]"
Into an old man wandered a bathroom.,1.2,0.7483,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1]"
