task,level,sublevel,source,language,scale,n_items,n_ratings,ratings_per_item,individual_ratings,human_r_sb,human_rho_sb,merged_from,path
edwards2024_spelling_to_pronunciation_transparency,subword,,published,english,1-6,23282,617233,27,yes,0.851,0.826,,data/subword/edwards2024_spelling_to_pronunciation_transparency
gatti2024_pseudoword_valence_intuitive,subword,,published,english,1-9,1500,45000,,no,,,,data/subword/gatti2024_pseudoword_valence_intuitive
gatti2024_pseudoword_valence_semantic_task,subword,,published,english,1-9,500,15000,,no,,,,data/subword/gatti2024_pseudoword_valence_semantic_task
winter2017_iconicity,subword,,published,english,1-10,3002,0,,no,,,,data/subword/winter2017_iconicity
winter2024_iconicity,subword,,published,english,1-7,14776,158327,,no,,,,data/subword/winter2024_iconicity
word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,subword,,mturk,english,1-7,158,7958,50,yes,0.965,0.937,,data/subword/word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear
word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,subword,,mturk,english,1-7,45,2239,50,yes,0.962,0.948,,data/subword/word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger
brysbaert2014_concreteness,lexical_semantics,perceptual_motor,published,english,1-5,39954,1286344,,no,,,,data/lexical_semantics/brysbaert2014_concreteness
copy_of_verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,conceptual,mturk,english,1-5,62,2470,40,yes,0.863,0.83,copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010;copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010;copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010,data/lexical_semantics/copy_of_verb_causality_study_semantics_ratings_mk_april_2010
corenblum2025_cognition,lexical_semantics,conceptual,published,english,1-7,8367,164877,,no,,,,data/lexical_semantics/corenblum2025_cognition
diveica2023_socialness,lexical_semantics,conceptual,published,english,1-7,8948,233407,25,yes,0.885,0.883,,data/lexical_semantics/diveica2023_socialness
giurgea2025_motivation,lexical_semantics,conceptual,published,english,1-7,8765,255943,25,yes,0.862,0.856,,data/lexical_semantics/giurgea2025_motivation
lancaster2020_auditory,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,17,yes,0.849,0.831,,data/lexical_semantics/lancaster2020_auditory
lancaster2020_foot_leg,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,19,yes,0.833,0.729,,data/lexical_semantics/lancaster2020_foot_leg
lancaster2020_gustatory,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,17,yes,0.922,0.545,,data/lexical_semantics/lancaster2020_gustatory
lancaster2020_hand_arm,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,19,yes,0.821,0.783,,data/lexical_semantics/lancaster2020_hand_arm
lancaster2020_haptic,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,17,yes,0.864,0.808,,data/lexical_semantics/lancaster2020_haptic
lancaster2020_head,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,19,yes,0.599,0.57,,data/lexical_semantics/lancaster2020_head
lancaster2020_interoceptive,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,17,yes,0.843,0.778,,data/lexical_semantics/lancaster2020_interoceptive
lancaster2020_mouth,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,19,yes,0.831,0.777,,data/lexical_semantics/lancaster2020_mouth
lancaster2020_olfactory,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,17,yes,0.878,0.622,,data/lexical_semantics/lancaster2020_olfactory
lancaster2020_torso,lexical_semantics,perceptual_motor,published,english,0-5,39954,927113,19,yes,0.781,0.675,,data/lexical_semantics/lancaster2020_torso
lancaster2020_visual,lexical_semantics,perceptual_motor,published,english,0-5,39954,874369,17,yes,0.772,0.767,,data/lexical_semantics/lancaster2020_visual
massive_mem_arousal_mar_2013,lexical_semantics,affective,mturk,english,1-5,2020,65008,30,yes,0.898,0.883,,data/lexical_semantics/massive_mem_arousal_mar_2013
massive_mem_arousal_mar_2013_end_2,lexical_semantics,affective,mturk,english,1-5,242,7026,29,yes,0.863,0.85,,data/lexical_semantics/massive_mem_arousal_mar_2013_end_2
massive_mem_arousal_mar_2014,lexical_semantics,affective,mturk,english,1-5,2015,63813,30,yes,0.878,0.863,,data/lexical_semantics/massive_mem_arousal_mar_2014
massive_mem_arousal_mar_2014_end_1,lexical_semantics,affective,mturk,english,1-5,242,7149,30,yes,0.904,0.886,,data/lexical_semantics/massive_mem_arousal_mar_2014_end_1
massive_mem_concreteness_mar_2013,lexical_semantics,perceptual_motor,mturk,english,1-5,2020,71679,30,yes,0.96,0.956,,data/lexical_semantics/massive_mem_concreteness_mar_2013
massive_mem_concreteness_mar_2013_end_1,lexical_semantics,perceptual_motor,mturk,english,1-5,242,7238,30,yes,0.964,0.959,,data/lexical_semantics/massive_mem_concreteness_mar_2013_end_1
massive_mem_concreteness_mar_2014,lexical_semantics,perceptual_motor,mturk,english,1-5,2019,64058,30,yes,0.954,0.952,,data/lexical_semantics/massive_mem_concreteness_mar_2014
massive_mem_concreteness_mar_2014_end_1,lexical_semantics,perceptual_motor,mturk,english,1-5,242,7229,30,yes,0.958,0.955,,data/lexical_semantics/massive_mem_concreteness_mar_2014_end_1
massive_mem_imageability_mar_2013,lexical_semantics,perceptual_motor,mturk,english,1-5,2020,71770,30,yes,0.961,0.961,,data/lexical_semantics/massive_mem_imageability_mar_2013
massive_mem_imageability_mar_2013_end_1,lexical_semantics,perceptual_motor,mturk,english,1-5,242,7231,30,yes,0.967,0.963,,data/lexical_semantics/massive_mem_imageability_mar_2013_end_1
massive_mem_imageability_mar_2014,lexical_semantics,perceptual_motor,mturk,english,1-5,2019,85823,39,yes,0.947,0.948,,data/lexical_semantics/massive_mem_imageability_mar_2014
massive_mem_imageability_mar_2014_end_1,lexical_semantics,perceptual_motor,mturk,english,1-5,242,7233,30,yes,0.967,0.964,,data/lexical_semantics/massive_mem_imageability_mar_2014_end_1
massive_mem_valence_mar_2013,lexical_semantics,affective,mturk,english,1-5,2020,66485,30,yes,0.968,0.948,,data/lexical_semantics/massive_mem_valence_mar_2013
massive_mem_valence_mar_2013_end_1,lexical_semantics,affective,mturk,english,1-5,242,7220,30,yes,0.984,0.966,,data/lexical_semantics/massive_mem_valence_mar_2013_end_1
massive_mem_valence_mar_2014,lexical_semantics,affective,mturk,english,1-5,2018,63913,30,yes,0.973,0.961,,data/lexical_semantics/massive_mem_valence_mar_2014
massive_mem_valence_mar_2014_end_1,lexical_semantics,affective,mturk,english,1-5,242,7220,30,yes,0.972,0.959,,data/lexical_semantics/massive_mem_valence_mar_2014_end_1
muraki2023_concreteness,lexical_semantics,perceptual_motor,published,english,1-5,66404,691689,10,yes,0.828,0.829,,data/lexical_semantics/muraki2023_concreteness
pexman2019_body_object_interaction,lexical_semantics,perceptual_motor,published,english,1-7,9349,248442,,no,,,,data/lexical_semantics/pexman2019_body_object_interaction
scott2018_arousal,lexical_semantics,affective,published,english,1-9,5553,184979,,no,,,,data/lexical_semantics/scott2018_arousal
scott2018_concreteness,lexical_semantics,perceptual_motor,published,english,1-7,5553,185119,,no,,,,data/lexical_semantics/scott2018_concreteness
scott2018_dominance,lexical_semantics,affective,published,english,1-9,5553,184579,,no,,,,data/lexical_semantics/scott2018_dominance
scott2018_gender,lexical_semantics,conceptual,published,english,1-7,5553,184651,,no,,,,data/lexical_semantics/scott2018_gender
scott2018_imageability,lexical_semantics,perceptual_motor,published,english,1-7,5553,184932,,no,,,,data/lexical_semantics/scott2018_imageability
scott2018_size,lexical_semantics,perceptual_motor,published,english,1-7,5553,184940,,no,,,,data/lexical_semantics/scott2018_size
scott2018_valence,lexical_semantics,affective,published,english,1-9,5553,186247,,no,,,,data/lexical_semantics/scott2018_valence
troche2014_auditory,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,no,,,,data/lexical_semantics/troche2014_auditory
troche2014_color,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,no,,,,data/lexical_semantics/troche2014_color
troche2014_emotion,lexical_semantics,affective,published,english,1-7,751,16620,,no,,,,data/lexical_semantics/troche2014_emotion
troche2014_morality,lexical_semantics,conceptual,published,english,1-7,751,16620,,no,,,,data/lexical_semantics/troche2014_morality
troche2014_motion_self,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,no,,,,data/lexical_semantics/troche2014_motion_self
troche2014_polarity,lexical_semantics,affective,published,english,1-7,751,15820,,no,,,,data/lexical_semantics/troche2014_polarity
troche2014_quantity,lexical_semantics,conceptual,published,english,1-7,751,16220,,no,,,,data/lexical_semantics/troche2014_quantity
troche2014_social_interaction,lexical_semantics,conceptual,published,english,1-7,751,16220,,no,,,,data/lexical_semantics/troche2014_social_interaction
troche2014_space,lexical_semantics,conceptual,published,english,1-7,751,17020,,no,,,,data/lexical_semantics/troche2014_space
troche2014_tactile,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,no,,,,data/lexical_semantics/troche2014_tactile
troche2014_taste_smell,lexical_semantics,perceptual_motor,published,english,1-7,751,15771,,no,,,,data/lexical_semantics/troche2014_taste_smell
troche2014_thought,lexical_semantics,conceptual,published,english,1-7,751,15420,,no,,,,data/lexical_semantics/troche2014_thought
troche2014_time,lexical_semantics,conceptual,published,english,1-7,751,15820,,no,,,,data/lexical_semantics/troche2014_time
troche2014_visual_form,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,no,,,,data/lexical_semantics/troche2014_visual_form
verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,conceptual,mturk,english,1-5,188,9869,42,yes,0.975,0.972,,data/lexical_semantics/verb_causality_study_semantics_ratings_mk_april_2010
warriner2013_arousal,lexical_semantics,affective,published,english,1-9,13915,319684,,no,,,,data/lexical_semantics/warriner2013_arousal
warriner2013_dominance,lexical_semantics,affective,published,english,1-9,13915,338345,,no,,,,data/lexical_semantics/warriner2013_dominance
warriner2013_valence,lexical_semantics,affective,published,english,1-9,13915,303520,,no,,,,data/lexical_semantics/warriner2013_valence
acceptability_extension_959_v5,syntax,,surveyor,english,1-7,566,2155,4,yes,0.806,0.797,,data/syntax/acceptability_extension_959_v5
acceptability_judgments_kang,syntax,,mturk,english,1-5,136,5406,40,yes,0.98,0.974,,data/syntax/acceptability_judgments_kang
acceptability_replication_959,syntax,,surveyor,english,1-7,288,6126,21,yes,0.973,0.964,montemayor_replication_acceptability_in_syntax;replication_v6,data/syntax/acceptability_replication_959
acd_no_context_polly_1_nov_23_2012,syntax,,mturk,english,1-5,213,21610,45,yes,0.861,0.838,,data/syntax/acd_no_context_polly_1_nov_23_2012
acd_project_also_3_nov_24_2012_2,syntax,,mturk,english,1-5,128,3338,15,yes,0.906,0.874,,data/syntax/acd_project_also_3_nov_24_2012_2
acd_project_expt_23_also_nov_16_2012,syntax,,mturk,english,1-5,600,10695,18,yes,0.828,0.825,acd_project_also_2_nov_22_2012_1,data/syntax/acd_project_expt_23_also_nov_16_2012
acd_project_expt_24_same_diff_verbs_nov_16_2012,syntax,,mturk,english,1-5,472,21363,58,yes,0.896,0.89,,data/syntax/acd_project_expt_24_same_diff_verbs_nov_16_2012
acd_project_expt_31_same_diff_verbs_nov_16_2012_1,syntax,,mturk,english,1-5,176,3342,10,yes,0.74,0.755,,data/syntax/acd_project_expt_31_same_diff_verbs_nov_16_2012_1
acd_project_expt_42_also_verbs_nov_29_2012_1,syntax,,mturk,english,1-5,176,4049,15,yes,0.786,0.63,,data/syntax/acd_project_expt_42_also_verbs_nov_29_2012_1
acd_project_expt_44_the_same_nov_29_2012_1,syntax,,mturk,english,1-5,140,2931,10,yes,0.625,0.601,,data/syntax/acd_project_expt_44_the_same_nov_29_2012_1
acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,syntax,,mturk,english,1-5,360,7023,20,yes,0.784,0.774,,data/syntax/acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012
acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,syntax,,mturk,english,1-5,448,3524,8,yes,0.596,0.56,,data/syntax/acd_project_expt_46_also_in_hkv_2_nov_29_2012_1
active_passive_sentence_naturalness_survey_july_2012,syntax,,mturk,english,1-5,132,6624,28,yes,0.927,0.887,,data/syntax/active_passive_sentence_naturalness_survey_july_2012
animacy_passive_dative_kyle,syntax,,mturk,english,1-7,120,4649,39,yes,0.921,0.926,,data/syntax/animacy_passive_dative_kyle
anne_abeille_acceptability_july_12_2017_1,syntax,,mturk,english,1-7,296,4284,8,yes,0.655,0.635,,data/syntax/anne_abeille_acceptability_july_12_2017_1
base_acceptability_0908,syntax,,surveyor,english,1-5,73,4247,61,yes,0.943,0.931,base_acceptability_0911,data/syntax/base_acceptability_0908
can_noncan_acceptability_0924,syntax,,surveyor,english,1-5,88,5276,60,yes,0.968,0.966,susan_canonicity_rerunning,data/syntax/can_noncan_acceptability_0924
can_noncan_acceptability_2,syntax,,surveyor,english,1-5,88,3895,36,yes,0.963,0.962,,data/syntax/can_noncan_acceptability_2
chomsky_items_2,syntax,,mturk,english,1-5,3,178,59,yes,0.999,0.667,,data/syntax/chomsky_items_2
class_demo,syntax,,surveyor,english,1-5,44,1110,16,yes,0.941,0.927,demo_9_59_2025;demo_9_59_2026,data/syntax/class_demo
clefting_e3,syntax,,surveyor,english,1-5,48,1217,25,yes,0.904,0.877,,data/syntax/clefting_e3
clefting_e4,syntax,,surveyor,english,1-5,48,7244,151,yes,0.979,0.969,clefting_e4_rep;clefting_e4_rep2,data/syntax/clefting_e4
constituency_tests,syntax,,surveyor,english,1-5,48,2441,51,yes,0.689,0.654,topicalization_e2,data/syntax/constituency_tests
constituency_tests_2,syntax,,surveyor,english,1-5,48,1227,27,yes,0.903,0.836,,data/syntax/constituency_tests_2
crossed_dependencies_long,syntax,,surveyor,english,1-5,201,7258,20,yes,0.908,0.899,crossed_dependencies,data/syntax/crossed_dependencies_long
