unit,mean,std,n,individual_ratings,item_type
It is in the church choir that he sings.,2.7000,1.2081,70,"[4, 4, 1, 3, 2, 4, 2, 2, 2, 4, 2, 2, 5, 4, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 3, 4, 4, 1, 4, 2, 2, 4, 4, 2, 1, 1, 2, 2, 5, 1, 4, 3, 2, 1, 4, 5, 3, 2, 2, 1, 3, 4, 4, 3, 4, 3, 2, 1, 1, 5, 4, 2, 3, 2, 1, 5, 2, 1, 4, 2]",test
It is the church choir that he sings in.,3.7347,0.9742,49,"[5, 5, 3, 4, 4, 5, 5, 5, 2, 2, 4, 4, 4, 5, 3, 2, 2, 4, 4, 4, 5, 4, 3, 4, 3, 4, 5, 4, 3, 4, 2, 2, 4, 3, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 4, 2]",test
It was Ellen's project that the discussion resulted in.,2.4667,0.9732,30,"[2, 3, 1, 2, 3, 2, 5, 1, 2, 1, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 4, 1, 2, 3, 2, 4, 4, 2]",test
It was a better world that he dreamed about.,3.8429,1.0445,70,"[4, 2, 3, 5, 4, 4, 3, 5, 4, 3, 5, 5, 2, 4, 3, 4, 4, 4, 2, 5, 3, 4, 4, 4, 5, 4, 5, 3, 4, 5, 3, 3, 1, 2, 4, 5, 5, 4, 4, 4, 5, 4, 4, 5, 3, 5, 4, 5, 2, 5, 2, 3, 5, 4, 5, 5, 3, 3, 4, 5, 4, 4, 3, 3, 4, 4, 5, 1, 4, 5]",test
It was a guitar that he traded in.,3.8958,0.9728,48,"[3, 4, 4, 5, 4, 5, 4, 4, 3, 2, 2, 4, 4, 4, 5, 3, 3, 4, 5, 4, 5, 3, 5, 4, 4, 3, 5, 5, 5, 4, 3, 3, 4, 4, 5, 5, 2, 2, 4, 5, 5, 3, 4, 5, 2, 3, 4, 5]",test
It was a heated debate that her speech brought about.,2.8000,1.0051,60,"[3, 4, 3, 2, 4, 4, 4, 3, 3, 3, 4, 2, 3, 2, 3, 2, 3, 2, 5, 2, 5, 2, 2, 4, 3, 2, 4, 4, 2, 1, 1, 3, 2, 4, 4, 2, 3, 2, 4, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 1, 3, 4, 2, 2, 2, 3, 2, 2, 4, 5]",test
It was a new idea that she toyed with.,3.8500,0.9356,60,"[4, 4, 4, 1, 4, 3, 4, 4, 5, 5, 5, 3, 5, 4, 4, 3, 3, 4, 5, 5, 4, 4, 2, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 2, 3, 5, 2, 4, 5, 5, 4, 5, 4, 4, 4, 5, 5, 2, 5, 3, 4, 5, 2, 4, 4, 4]",test
It was a peaceful town that they settled in.,4.1228,1.0363,57,"[4, 2, 5, 5, 5, 3, 4, 5, 5, 5, 3, 3, 1, 4, 4, 5, 4, 5, 3, 5, 3, 5, 5, 5, 4, 5, 3, 5, 4, 2, 5, 5, 3, 4, 5, 5, 3, 5, 3, 5, 5, 5, 2, 5, 4, 4, 4, 5, 4, 4, 5, 4, 2, 4, 5, 5, 4]",test
It was a small village that they resided in.,3.9589,1.0467,73,"[4, 5, 5, 1, 4, 4, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 3, 4, 2, 4, 5, 4, 5, 3, 5, 5, 3, 5, 5, 4, 4, 5, 4, 3, 4, 5, 5, 4, 3, 4, 5, 3, 4, 4, 5, 5, 3, 4, 4, 5, 4, 2, 2, 5, 3, 4, 1, 4, 4, 5, 4, 4, 2, 5, 4, 2, 4, 2, 3, 3, 5, 5, 4]",test
It was about a better world that he dreamed.,2.7083,1.1662,48,"[4, 2, 3, 2, 4, 1, 4, 2, 4, 4, 2, 2, 4, 1, 2, 2, 1, 3, 2, 3, 4, 4, 5, 2, 1, 2, 3, 1, 3, 2, 2, 2, 3, 1, 2, 4, 1, 3, 5, 2, 3, 2, 2, 3, 4, 5, 4, 3]",test
It was about a heated debate that her speech brought.,2.0833,1.0462,60,"[2, 2, 2, 2, 1, 3, 4, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 4, 3, 2, 2, 5, 4, 1, 3, 4, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 3, 2, 4, 2, 1, 1, 2, 4, 4, 2, 2, 1, 4]",test
It was about collecting evidence that the detective went.,1.8485,1.0344,33,"[3, 2, 1, 1, 1, 2, 1, 3, 4, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 5, 2, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2]",test
It was about her sister that she worried.,2.4833,1.1423,60,"[4, 2, 1, 2, 2, 1, 4, 2, 2, 2, 4, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 4, 3, 2, 4, 3, 2, 5, 4, 2, 2, 2, 2, 3, 1, 4, 5, 1, 2, 4, 1, 3, 4, 4, 1, 3, 1, 1, 2, 4, 4, 2, 4, 2, 4]",test
It was an excellent strategy that she came up with.,4.1852,0.9531,54,"[4, 4, 5, 5, 5, 2, 5, 5, 5, 3, 4, 3, 2, 4, 3, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 5, 1, 5, 5, 5, 4, 3, 4, 4, 5, 4, 5, 5, 5, 3, 5, 4, 2, 5, 4, 4, 4, 5, 5, 4, 5, 5, 5, 5]",test
It was collecting evidence that the detective went about.,1.9630,1.0554,27,"[4, 1, 2, 3, 2, 1, 1, 1, 1, 3, 2, 3, 2, 1, 1, 2, 1, 2, 1, 2, 3, 1, 4, 3, 4, 1, 1]",test
It was her coworker that she talked with.,3.9655,0.9359,58,"[5, 4, 4, 5, 4, 5, 5, 4, 3, 4, 4, 4, 4, 5, 3, 3, 4, 3, 5, 3, 4, 5, 4, 5, 4, 4, 4, 2, 4, 4, 5, 3, 5, 3, 4, 2, 5, 2, 2, 5, 4, 4, 1, 5, 4, 4, 4, 4, 3, 4, 4, 4, 4, 5, 4, 5, 5, 5]",test
It was her sister that she worried about.,4.0500,0.8719,60,"[4, 4, 4, 3, 5, 5, 2, 5, 4, 5, 4, 4, 4, 4, 4, 4, 3, 4, 5, 3, 5, 2, 4, 4, 4, 5, 5, 5, 4, 4, 3, 5, 3, 5, 4, 5, 3, 5, 5, 3, 5, 4, 2, 4, 5, 4, 4, 4, 5, 3, 5, 4, 4, 4, 4, 5, 4, 3, 2, 5]",test
It was her teammates that she collaborated with.,3.6296,1.0514,54,"[4, 5, 2, 4, 2, 4, 4, 4, 5, 2, 3, 2, 2, 4, 3, 5, 4, 5, 3, 4, 4, 4, 2, 4, 5, 4, 4, 5, 4, 4, 4, 5, 2, 5, 3, 3, 5, 2, 3, 2, 4, 4, 2, 5, 4, 4, 2, 4, 3, 4, 4, 4, 5, 2]",test
It was his investments that he cashed in.,3.5088,1.2119,57,"[3, 4, 4, 3, 1, 4, 3, 4, 3, 4, 2, 4, 5, 4, 4, 5, 4, 2, 3, 5, 4, 4, 1, 3, 3, 3, 4, 5, 5, 2, 3, 2, 2, 2, 4, 3, 4, 2, 2, 5, 4, 1, 5, 4, 5, 5, 1, 2, 5, 5, 4, 4, 5, 3, 4, 5, 4]",test
It was in Ellen's project that the discussion resulted.,2.1724,1.0713,29,"[2, 2, 1, 2, 1, 2, 1, 3, 2, 2, 2, 3, 1, 3, 2, 2, 5, 2, 1, 4, 2, 1, 5, 2, 3, 2, 1, 2, 2]",test
It was in a guitar that he traded.,2.3662,1.3963,71,"[2, 4, 1, 4, 1, 1, 5, 2, 1, 2, 1, 4, 1, 2, 1, 4, 3, 4, 1, 5, 2, 3, 1, 3, 1, 1, 4, 1, 2, 2, 5, 4, 5, 3, 3, 2, 2, 3, 1, 1, 4, 1, 2, 1, 4, 2, 1, 2, 2, 1, 4, 1, 1, 1, 4, 2, 3, 4, 1, 1, 5, 1, 1, 5, 1, 1, 4, 3, 1, 2, 4]",test
It was in a peaceful town that they settled.,3.5556,1.0283,63,"[4, 5, 4, 4, 4, 5, 3, 5, 5, 3, 3, 3, 5, 4, 3, 2, 2, 4, 4, 3, 5, 4, 4, 3, 4, 5, 2, 2, 3, 4, 5, 4, 4, 3, 2, 2, 5, 4, 3, 2, 2, 4, 4, 5, 3, 2, 2, 4, 5, 4, 3, 3, 4, 5, 4, 2, 4, 2, 4, 4, 3, 4, 2]",test
It was in a small village that they resided.,3.4681,1.0183,47,"[4, 4, 2, 2, 4, 5, 2, 3, 1, 4, 4, 5, 3, 4, 2, 2, 4, 5, 5, 4, 3, 4, 3, 2, 2, 4, 2, 4, 3, 4, 4, 3, 2, 3, 3, 5, 4, 4, 4, 3, 5, 4, 4, 4, 3, 4, 4]",test
It was in his investments that he cashed.,2.5079,1.3060,63,"[1, 1, 3, 1, 2, 5, 1, 3, 3, 2, 4, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 4, 3, 1, 2, 4, 1, 2, 4, 4, 2, 1, 2, 2, 1, 1, 1, 5, 1, 3, 4, 1, 2, 2, 2, 1, 5, 5, 2, 2, 1, 2, 4, 1, 4, 4, 3, 4, 3, 2, 5, 4, 5]",test
It was in the 1836 peace treaty that the negotiations culminated.,3.2419,1.1116,62,"[3, 4, 5, 4, 4, 5, 2, 4, 5, 3, 2, 3, 2, 2, 4, 4, 1, 3, 2, 3, 4, 4, 5, 3, 2, 4, 1, 4, 3, 3, 4, 2, 4, 4, 4, 5, 3, 3, 2, 2, 2, 3, 4, 5, 3, 2, 3, 3, 1, 2, 3, 5, 4, 3, 5, 3, 2, 4, 5, 3, 2, 3]",test
It was in the competitive scholastic program that she enrolled.,2.8276,0.9936,58,"[2, 4, 1, 4, 4, 4, 2, 4, 3, 3, 2, 2, 3, 4, 4, 4, 2, 1, 2, 3, 2, 1, 2, 2, 4, 3, 2, 3, 3, 4, 2, 3, 3, 2, 4, 3, 2, 1, 4, 1, 3, 4, 3, 3, 4, 4, 3, 2, 4, 2, 2, 3, 3, 3, 1, 4, 3, 4]",test
It was in the local festival that we participated.,2.6897,1.0464,58,"[2, 1, 2, 2, 1, 4, 2, 4, 2, 3, 2, 2, 2, 3, 2, 4, 2, 3, 3, 3, 1, 3, 2, 3, 4, 4, 2, 4, 1, 4, 2, 3, 2, 4, 4, 2, 2, 2, 1, 3, 2, 4, 4, 1, 2, 4, 2, 2, 4, 2, 2, 3, 5, 4, 4, 4, 3, 2]",test
It was in the shipping costs that they factored.,2.3860,0.9956,57,"[4, 1, 3, 2, 4, 2, 2, 4, 1, 2, 2, 2, 2, 3, 2, 2, 2, 4, 2, 2, 3, 2, 1, 2, 4, 3, 1, 2, 3, 2, 2, 1, 4, 4, 4, 4, 2, 1, 1, 1, 3, 2, 1, 2, 4, 2, 1, 3, 1, 3, 3, 3, 2, 3, 3, 2, 3]",test
It was the 1836 peace treaty that the negotiations culminated in.,3.0172,1.1001,58,"[2, 1, 2, 4, 4, 5, 3, 3, 3, 3, 4, 2, 3, 4, 3, 4, 3, 5, 2, 5, 3, 1, 4, 4, 2, 4, 2, 5, 2, 4, 3, 1, 2, 1, 2, 3, 4, 3, 4, 1, 3, 2, 2, 4, 3, 4, 2, 3, 3, 3, 3, 5, 3, 2, 4, 4, 2, 3]",test
It was the broken engine that she tinkered with.,3.5345,1.0632,58,"[5, 5, 5, 5, 4, 4, 5, 3, 2, 5, 3, 4, 4, 3, 2, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 2, 2, 4, 4, 3, 5, 5, 4, 1, 4, 3, 2, 4, 4, 3, 2, 4, 4, 5, 3, 3, 2, 4, 2, 4, 5, 4, 4, 2, 4, 1]",test
It was the competitive scholastic program that she enrolled in.,3.6102,0.9829,59,"[4, 5, 2, 3, 3, 4, 5, 2, 4, 5, 3, 5, 5, 2, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 3, 4, 4, 4, 2, 2, 4, 3, 2, 4, 5, 5, 5, 4, 4, 4, 3, 3, 2, 3, 4, 4, 4, 1, 4, 4, 4, 4, 4, 2, 4, 3, 5, 3]",test
It was the computer setting that she messed with.,3.4932,1.0945,73,"[4, 4, 3, 1, 5, 2, 5, 4, 4, 5, 2, 4, 3, 4, 5, 2, 3, 4, 2, 4, 5, 4, 4, 4, 2, 4, 4, 2, 2, 3, 5, 4, 3, 2, 4, 4, 4, 4, 4, 2, 4, 2, 4, 3, 5, 4, 2, 2, 4, 3, 4, 2, 2, 4, 4, 4, 1, 4, 2, 4, 4, 4, 1, 5, 4, 4, 3, 5, 4, 4, 5, 4, 4]",test
It was the design team that she worked with.,3.8246,1.0372,57,"[3, 4, 5, 4, 5, 5, 4, 3, 3, 5, 2, 4, 5, 4, 3, 3, 4, 3, 3, 4, 4, 5, 4, 4, 5, 4, 5, 4, 2, 4, 2, 2, 4, 5, 4, 3, 4, 3, 2, 4, 4, 1, 4, 5, 5, 5, 5, 2, 5, 5, 4, 4, 4, 5, 2, 4, 4]",test
It was the labor union that the company negotiated with.,3.8814,0.9664,59,"[3, 4, 4, 3, 5, 1, 5, 3, 5, 5, 5, 3, 5, 2, 2, 4, 4, 4, 3, 4, 4, 2, 3, 4, 4, 4, 2, 3, 4, 5, 5, 4, 4, 4, 3, 5, 4, 3, 5, 4, 4, 5, 3, 4, 5, 5, 5, 4, 5, 4, 2, 5, 4, 4, 4, 4, 4, 4, 4]",test
It was the local festival that we participated in.,3.5902,1.1162,61,"[3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 5, 4, 2, 2, 4, 2, 4, 5, 4, 5, 3, 4, 4, 3, 4, 5, 3, 3, 5, 3, 1, 4, 2, 4, 4, 2, 4, 3, 2, 2, 2, 4, 4, 5, 2, 4, 5, 5, 4, 4, 3, 3, 2, 5, 1, 4, 5, 5, 5, 5, 2]",test
It was the protestors that he sided with.,3.5965,1.0152,57,"[5, 2, 3, 4, 4, 4, 4, 4, 4, 3, 5, 4, 2, 4, 3, 4, 4, 4, 5, 4, 5, 2, 3, 3, 4, 4, 1, 4, 4, 3, 2, 4, 2, 3, 5, 4, 4, 4, 2, 3, 3, 5, 4, 2, 5, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 1, 5]",test
It was the security system that he tampered with.,3.8873,1.0078,71,"[4, 1, 5, 5, 5, 5, 3, 5, 3, 5, 5, 2, 2, 4, 3, 4, 2, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4, 5, 5, 5, 3, 4, 5, 4, 3, 4, 3, 5, 4, 2, 4, 3, 4, 5, 3, 5, 4, 5, 2, 5, 3, 4, 2, 4, 5, 5, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 2, 4, 5]",test
It was the shipping costs that they factored in.,3.4918,1.1779,61,"[4, 4, 4, 4, 2, 2, 4, 4, 2, 5, 5, 3, 2, 5, 4, 4, 2, 4, 4, 3, 4, 3, 1, 3, 4, 3, 4, 4, 3, 3, 5, 4, 2, 5, 3, 2, 3, 3, 2, 3, 4, 4, 5, 5, 2, 4, 5, 5, 5, 4, 4, 1, 2, 4, 1, 4, 5, 5, 1, 4, 4]",test
It was with a new idea that she toyed.,2.2667,1.0062,60,"[1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 4, 2, 2, 3, 2, 4, 4, 2, 2, 2, 2, 3, 2, 4, 2, 2, 4, 3, 1, 2, 1, 3, 2, 2, 3, 2, 1, 3, 1, 1, 2, 2, 4, 1, 2, 2, 4, 2, 4, 4, 2, 2, 3, 2, 1, 5, 2]",test
It was with an excellent strategy that she came up.,2.6667,1.4178,66,"[5, 3, 1, 4, 4, 2, 5, 2, 2, 1, 1, 2, 2, 4, 1, 2, 2, 3, 3, 1, 5, 2, 1, 2, 3, 2, 2, 5, 5, 5, 4, 2, 3, 2, 2, 1, 1, 2, 1, 2, 5, 4, 3, 1, 5, 1, 2, 2, 2, 3, 1, 1, 4, 5, 1, 3, 5, 3, 1, 4, 2, 2, 5, 5, 2, 2]",test
It was with her coworker that she talked.,2.3387,0.9908,62,"[2, 2, 4, 1, 2, 2, 2, 4, 2, 2, 1, 2, 4, 2, 2, 3, 2, 2, 1, 3, 2, 3, 1, 4, 1, 1, 3, 4, 4, 2, 1, 2, 1, 3, 4, 3, 1, 2, 2, 2, 2, 4, 3, 1, 2, 2, 5, 3, 2, 4, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 3, 3]",test
It was with her teammates that she collaborated.,3.1061,1.1385,66,"[3, 4, 1, 3, 4, 2, 4, 4, 5, 2, 4, 5, 4, 3, 3, 4, 4, 4, 2, 2, 5, 3, 1, 5, 4, 1, 2, 4, 4, 5, 4, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 4, 4, 3, 2, 2, 2, 4, 4, 3, 2, 4, 4, 4, 3, 3, 5, 2, 1, 5, 3, 3, 2, 2, 4, 3]",test
It was with the broken engine that she tinkered.,2.2581,0.9398,62,"[3, 2, 4, 1, 2, 2, 2, 4, 2, 3, 4, 2, 3, 3, 3, 2, 1, 2, 1, 2, 1, 3, 2, 2, 2, 1, 4, 3, 2, 2, 2, 1, 2, 4, 2, 2, 1, 2, 2, 3, 2, 4, 1, 2, 2, 2, 4, 3, 2, 4, 1, 1, 1, 3, 3, 2, 2, 1, 3, 1, 3, 2]",test
It was with the computer setting that she messed.,2.1277,1.1348,47,"[2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 4, 1, 3, 3, 2, 1, 2, 4, 3, 4, 2, 1, 2, 1, 1, 1, 1, 5, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 5, 2, 2, 1, 4, 4, 4]",test
It was with the design team that she worked.,2.7302,1.1806,63,"[3, 2, 3, 2, 1, 4, 1, 5, 5, 3, 2, 1, 2, 3, 4, 3, 3, 3, 2, 1, 2, 5, 2, 2, 2, 3, 2, 5, 4, 3, 3, 1, 4, 3, 2, 2, 2, 5, 2, 2, 4, 2, 1, 4, 4, 1, 3, 4, 2, 2, 3, 2, 4, 2, 2, 2, 2, 2, 2, 5, 5, 3, 2]",test
It was with the labor union that the company negotiated.,2.9492,0.9724,59,"[3, 2, 4, 2, 3, 3, 4, 3, 2, 4, 2, 3, 2, 2, 3, 4, 2, 2, 4, 2, 3, 4, 2, 3, 5, 3, 4, 4, 4, 4, 4, 2, 3, 3, 2, 2, 3, 3, 2, 1, 4, 2, 2, 5, 2, 4, 1, 3, 2, 4, 2, 3, 4, 4, 4, 2, 2, 3, 4]",test
It was with the protestors that he sided.,2.8710,1.0478,62,"[3, 4, 4, 1, 5, 2, 1, 4, 4, 4, 2, 4, 3, 2, 4, 4, 1, 2, 3, 4, 3, 2, 2, 3, 2, 4, 3, 3, 1, 4, 4, 2, 4, 3, 3, 5, 3, 3, 3, 3, 3, 3, 4, 2, 2, 2, 3, 2, 3, 4, 3, 1, 2, 2, 4, 2, 2, 4, 2, 4, 2, 1]",test
It was with the security system that he tampered.,2.3542,0.9338,48,"[2, 2, 2, 2, 3, 4, 3, 3, 3, 3, 2, 2, 3, 1, 2, 2, 1, 2, 1, 3, 3, 4, 4, 2, 2, 2, 2, 2, 4, 1, 1, 3, 2, 2, 3, 2, 1, 3, 2, 3, 2, 1, 1, 3, 5, 2, 2, 3]",test
