unit,mean,std,n,individual_ratings,item_type
A backpack carries all the essentials on a hike. A suitcase holds everything needed for a trip.,5.48,1.159,25,"[6, 7, 4, 6, 6, 6, 5, 4, 5, 7, 5, 4, 7, 6, 4, 7, 5, 4, 6, 5, 7, 6, 4, 7, 4]",test
A car accident blocked off one lane of the highway. John was late to pick up his daughter from school.,6.0,1.4434,25,"[7, 7, 5, 7, 7, 2, 7, 6, 6, 7, 7, 7, 7, 7, 7, 4, 6, 6, 7, 5, 7, 7, 4, 3, 5]",test
A garden brings color to a backyard. Flowers add beauty to a windowsill.,5.6,1.5275,25,"[6, 7, 3, 6, 6, 5, 5, 5, 4, 7, 3, 1, 7, 7, 6, 6, 6, 5, 7, 7, 6, 7, 6, 5, 7]",test
A lighthouse guides ships to safety. A compass helps hikers find their way.,4.76,2.1071,25,"[6, 7, 4, 6, 7, 5, 5, 4, 2, 1, 6, 1, 1, 7, 3, 5, 5, 1, 7, 6, 7, 7, 6, 5, 5]",test
A melody was stuck in Jim's head all day. Aaron couldn't get the catchy tune out of his mind.,4.7083,1.7062,24,"[3, 3, 4, 4, 6, 5, 3, 6, 5, 1, 3, 7, 7, 7, 7, 3, 2, 6, 6, 6, 4, 5, 5, 5]",test
A menacing storm rolled across the horizon. Sailors hurried to secure their boats at the dock.,6.24,1.4224,25,"[7, 7, 5, 7, 7, 6, 6, 7, 7, 1, 4, 7, 7, 7, 7, 5, 7, 7, 7, 5, 7, 7, 7, 7, 5]",test
A mountain climbing team reached the K2 summit. The eatery specializes in farm-to-table dishes.,1.68,1.7253,25,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 7, 4, 1, 1, 1, 7, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",test
A productive morning routine sets the tone for the day. Attendees can enjoy live performances and art displays.,2.32,1.8193,25,"[3, 1, 3, 1, 1, 1, 1, 1, 6, 7, 5, 1, 1, 2, 1, 2, 4, 5, 1, 1, 2, 4, 2, 1, 1]",test
A rat gnawed through the cables in the walls. Several customers complained about the dish.,1.8,1.5546,25,"[1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 3, 1, 1, 5, 7, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1]",test
A series of unusual occurrences plagued the small town. Susan dressed in a tank-top and breathable shorts.,1.88,1.3013,25,"[1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 4, 1, 1, 1, 5, 2, 5, 2, 2, 1, 1, 3, 2, 1, 1]",test
A social media platform improved its privacy settings. The sand dunes change shape and location constantly.,1.52,1.2949,25,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 5, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1]",test
A solid education lays the foundation for future success. The agreement will provide funding for new uniforms.,2.64,1.8457,25,"[3, 1, 1, 1, 1, 5, 3, 1, 5, 1, 4, 1, 4, 6, 7, 4, 2, 5, 1, 1, 2, 1, 2, 2, 2]",test
A tree provides a home for birds. A coral reef shelters fish.,5.16,1.772,25,"[6, 7, 4, 5, 6, 5, 5, 4, 3, 7, 4, 1, 1, 6, 7, 5, 7, 3, 7, 5, 7, 6, 6, 7, 5]",test
A well-stocked bookshelf can transform a living room. Practical tips help readers adopt eco-friendly practices.,2.76,1.6902,25,"[3, 3, 2, 2, 1, 4, 4, 1, 3, 7, 3, 1, 1, 7, 1, 3, 1, 3, 2, 1, 4, 4, 4, 2, 2]",test
An intense heat wave swept across the city. People flocked to the beach to cool off in the water.,6.8,0.6455,25,"[7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",test
Anna was reluctant to say goodbye and lingered at the door. Chris was able to walk away without hesitation.,5.72,1.4295,25,"[6, 7, 4, 6, 6, 6, 5, 6, 6, 7, 5, 7, 1, 6, 7, 6, 7, 5, 7, 5, 6, 7, 3, 7, 5]",test
Artists turn blank canvases into masterpieces. The activist campaigned to protect the environment,2.12,1.787,25,"[2, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 1, 5, 7, 2, 7, 2, 2, 1, 2, 1, 3, 1, 1]",test
Bradley arrived at the airport by taxi. The artist transformed the canvas into a serene landscape.,1.32,0.8524,25,"[1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Clean drinking water is a basic human necessity. Happy consumers are more likely to spread the word.,2.24,1.8092,25,"[2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 4, 1, 1, 7, 7, 2, 2, 1, 1, 1, 2, 5, 4, 3, 2]",test
Consuming alcohol is dangerous for your health. People who drink too much are at risk for cancer.,6.4167,1.316,24,"[7, 7, 5, 7, 7, 6, 7, 6, 5, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6]",test
David meticulously planned each step of his journey. The dog was trembling with fear at the claps of thunder.,2.08,1.5253,25,"[2, 2, 1, 4, 1, 4, 2, 1, 1, 1, 1, 1, 1, 5, 6, 1, 4, 1, 3, 1, 1, 1, 4, 1, 2]",test
Emily started a new yoga class last week. The calm atmosphere helps reduce stress levels.,6.0,1.472,25,"[7, 7, 6, 6, 7, 7, 6, 6, 5, 7, 7, 7, 1, 7, 7, 6, 7, 7, 5, 3, 5, 5, 5, 7, 7]",test
Environmental activists worked to reduce water pollution. Fans were left disappointed and searching for resales.,1.6,1.354,25,"[1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 2, 1, 1, 3, 7, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1]",test
Excellent customer service can make or break a business. The production will be a modern take on the original show.,1.8,1.5275,25,"[2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 5, 7, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1]",test
Good lighting can totally change the feel of a room. The reserve protects hundreds of endangered species,1.6,1.4434,25,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 7, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 2, 1, 1]",test
Jack started a blog about sustainable living. Practical tips help readers adopt eco-friendly practices.,6.16,1.5727,25,"[7, 7, 7, 7, 7, 5, 7, 6, 6, 1, 5, 7, 7, 7, 7, 7, 7, 2, 7, 7, 6, 7, 6, 5, 7]",test
James sat silently and avoided eye contact. Grace greeted everyone and made lively conversation.,5.4167,1.6396,24,"[5, 7, 2, 7, 6, 5, 5, 4, 7, 4, 1, 7, 7, 7, 6, 5, 4, 7, 5, 7, 5, 5, 5, 7]",test
Jenny's dress was bright and cheerful. The second flight to Frankfurt arrived on time.,1.36,0.995,25,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1]",test
Jeremy stopped at a diner for lunch. The roadside coffee was warm and refreshing.,5.84,1.3128,25,"[7, 7, 4, 7, 7, 7, 6, 6, 6, 7, 6, 1, 5, 6, 6, 5, 5, 5, 7, 6, 6, 6, 6, 7, 5]",test
Judy grabbed her shopping list on the way out the door. There was hardly any traffic on the way to the supermarket.,5.68,1.6763,25,"[7, 7, 5, 7, 7, 5, 7, 6, 2, 7, 3, 7, 1, 7, 6, 4, 5, 7, 7, 5, 6, 7, 6, 5, 6]",test
Lamps light up a dark room. Stars illuminate the night sky.,5.4,1.3229,25,"[6, 7, 4, 4, 5, 6, 6, 5, 4, 7, 4, 4, 7, 6, 7, 6, 7, 2, 7, 5, 6, 5, 5, 4, 6]",test
Learning a new language opens up many doors. Everyone needs their daily caffeine hit.,1.92,1.8912,25,"[1, 1, 1, 1, 1, 2, 1, 1, 2, 7, 5, 1, 1, 1, 7, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1]",test
Libraries offer knowledge to eager learners. Museums display history for curious minds.,5.24,1.5885,25,"[6, 6, 4, 6, 6, 5, 5, 4, 2, 7, 3, 4, 7, 5, 7, 6, 5, 2, 7, 5, 7, 7, 3, 7, 5]",test
Lily kept her thoughts to herself during the meeting. Sam was never afraid to speak up.,5.52,1.8735,25,"[7, 7, 4, 6, 7, 6, 6, 5, 2, 1, 5, 4, 1, 7, 7, 5, 7, 6, 7, 7, 7, 7, 5, 5, 7]",test
Music has the power to bring people together. The arts create a shared experience that connects people.,6.32,0.8021,25,"[7, 7, 6, 6, 7, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 6, 7, 7, 5, 5, 5]",test
