unit,mean,std,n,individual_ratings
Alice wondered what the detective would lead the investigation if Paul took from the jewelry store.,2.1111,0.737,9,"[2, 2, 2, 1, 3, 2, 1, 3, 3]"
Alice wondered what the detective would visit his mother if Paul took from the jewelry store.,1.5556,0.9558,9,"[1, 1, 2, 1, 1, 2, 1, 1, 4]"
Alice wonders what the detective leads the investigation while Paul takes from the jewelry store.,2.0,0.9428,9,"[1, 4, 1, 3, 2, 2, 2, 2, 1]"
Alice wonders what the detective visits his mother while Paul takes from the jewelry store.,1.8,0.6,10,"[2, 1, 2, 2, 2, 1, 3, 1, 2, 2]"
Bryan wondered what the pharmacist would buy some gum if John refilled within the month.,1.75,0.8292,8,"[2, 1, 1, 1, 2, 1, 3, 3]"
Bryan wondered what the pharmacist would inform a doctor if John refilled within the month.,2.6,1.0198,10,"[4, 4, 1, 1, 3, 2, 3, 2, 3, 3]"
Bryan wonders what the pharmacist buys some gum while John refills within the month.,2.5,0.9574,6,"[2, 1, 3, 3, 2, 4]"
Bryan wonders what the pharmacist informs a doctor while John refills within the month.,2.0,0.866,8,"[1, 2, 3, 3, 2, 1, 3, 1]"
Christian wondered what Chris would feel proud if the child prodigy submitted to the art contest at the modern art museum.,2.5714,0.9035,7,"[3, 3, 4, 2, 1, 3, 2]"
Christian wondered what Chris would sleep until noon if the child prodigy submitted to the art contest at the modern art museum.,1.8571,0.833,7,"[3, 2, 1, 2, 3, 1, 1]"
Christian wonders what Chris feels proud while the child prodigy submits to the art contest at the modern art museum.,1.875,0.7806,8,"[2, 1, 1, 1, 3, 2, 3, 2]"
Christian wonders what Chris sleeps until noon while the child prodigy submits to the art contest at the modern art museum.,1.8889,0.737,9,"[1, 1, 2, 2, 2, 2, 1, 3, 3]"
Christopher wondered what the RA would give approval if Bob rented from the housing office.,2.7778,1.1331,9,"[5, 2, 2, 3, 1, 2, 4, 3, 3]"
Christopher wondered what the RA would sell books if Bob rented from the housing office.,2.125,1.0533,8,"[3, 1, 1, 1, 3, 2, 2, 4]"
Christopher wonders what the RA gives approval while Bob rents from the housing office.,2.1111,0.5666,9,"[2, 2, 2, 1, 2, 2, 2, 3, 3]"
Christopher wonders what the RA sells books while Bob rents from the housing office.,1.75,0.433,8,"[2, 1, 2, 2, 2, 1, 2, 2]"
Diane wondered what Sandy would telephone a locksmith if the boss left in the car next to the bakery.,1.875,0.5995,8,"[2, 1, 2, 1, 2, 2, 3, 2]"
Diane wondered what Sandy would watch a movie if the boss left in the car next to the bakery.,1.4286,0.4949,7,"[2, 2, 1, 2, 1, 1, 1]"
Diane wonders what Sandy telephones a locksmith while the boss leaves in the car next to the bakery.,1.6,0.8,10,"[1, 1, 1, 2, 3, 1, 1, 1, 2, 3]"
Diane wonders what Sandy watches a movie while the boss leaves in the car next to the bakery.,2.25,0.9682,8,"[1, 2, 3, 2, 1, 2, 4, 3]"
Duncan wondered what the security guard would go home if the tourists photographed in the Monet exhibit.,2.3,0.781,10,"[2, 4, 2, 2, 2, 3, 3, 1, 2, 2]"
Duncan wondered what the security guard would say something if the tourists photographed in the Monet exhibit.,2.4444,0.9558,9,"[4, 2, 2, 2, 2, 1, 3, 2, 4]"
Duncan wonders what the security guard goes home while the tourists photograph in the Monet exhibit.,2.1111,1.1967,9,"[2, 5, 2, 1, 3, 2, 1, 2, 1]"
Duncan wonders what the security guard says something while the tourists photograph in the Monet exhibit.,2.0,0.5774,6,"[2, 2, 2, 2, 1, 3]"
Francisco wondered what the police officer would become suspicious if Michael bought in the alleyway.,2.2,0.9798,10,"[4, 1, 2, 1, 1, 2, 2, 3, 3, 3]"
Francisco wondered what the police officer would take a break if Michael bought in the alleyway.,1.4444,0.6849,9,"[1, 1, 1, 1, 1, 2, 2, 1, 3]"
Francisco wonders what the police officer becomes suspicious while Michael buys in the alleyway.,1.8889,0.737,9,"[1, 1, 2, 2, 2, 3, 1, 3, 2]"
Francisco wonders what the police officer takes a break while Michael buys in the alleyway.,1.875,0.7806,8,"[1, 3, 2, 3, 1, 1, 2, 2]"
Frank wondered what the supervisor would complain bitterly if the office manager kept in her office during the audit.,1.4286,0.4949,7,"[2, 1, 1, 1, 2, 1, 2]"
Frank wondered what the supervisor would study mathematics if the office manager kept in her office during the audit.,1.3333,0.4714,9,"[1, 1, 1, 1, 1, 2, 2, 2, 1]"
Frank wonders what the supervisor complains bitterly while the office manager keeps in her office during the audit.,2.3333,1.0541,9,"[5, 1, 2, 2, 2, 2, 2, 2, 3]"
Frank wonders what the supervisor studies mathematics while the office manager keeps in her office during the audit.,2.0,1.0,10,"[2, 1, 2, 1, 1, 2, 3, 3, 1, 4]"
Glenn wondered what the fisherman would offer congratulations if Laura caught in the bay.,1.875,0.5995,8,"[2, 1, 2, 2, 1, 2, 3, 2]"
Glenn wondered what the fisherman would read the newspaper if Laura caught in the bay.,1.75,0.9682,8,"[1, 4, 2, 1, 2, 2, 1, 1]"
Glenn wonders what the fisherman offers congratulations while Laura catches in the bay.,2.0,0.0,5,"[2, 2, 2, 2, 2]"
Glenn wonders what the fisherman reads the newspaper while Laura catches in the bay.,1.8571,0.6389,7,"[1, 2, 2, 1, 3, 2, 2]"
Helen wondered what the janitor would disapprove strongly if the retiree played at the fire hall after sunset.,1.6667,0.4714,6,"[2, 2, 1, 1, 2, 2]"
Helen wondered what the janitor would relax if the retiree played at the fire hall after sunset.,2.0,0.6667,9,"[2, 1, 2, 2, 1, 2, 3, 3, 2]"
Helen wonders what the janitor disapproves strongly while the retiree plays at the fire hall after sunset.,1.6667,0.6667,9,"[2, 2, 3, 2, 1, 1, 1, 2, 1]"
Helen wonders what the janitor relaxes while the retiree plays at the fire hall after sunset.,2.2,1.077,10,"[4, 1, 2, 2, 1, 1, 3, 2, 2, 4]"
Howard wondered what the teacher would ignore the students if George read during algebra class.,1.8889,0.737,9,"[2, 1, 2, 2, 1, 3, 1, 3, 2]"
Howard wondered what the teacher would summon the principal if George read during algebra class.,2.0,0.7071,8,"[2, 2, 1, 1, 2, 3, 3, 2]"
Howard wonders what the teacher ignores the students while George reads during algebra class.,2.1111,0.737,9,"[3, 1, 2, 1, 2, 2, 3, 3, 2]"
Howard wonders what the teacher summons the principal while George reads during algebra class.,2.0,0.6667,9,"[1, 3, 2, 1, 2, 2, 3, 2, 2]"
