unit,mean,std,n,individual_ratings
What did Barbara crab that Karen sold?,1.44,0.9415,50,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 5, 1, 3, 1, 1, 2, 1, 1, 1, 1, 5, 3, 1, 1, 1, 1, 1, 2]"
What did Barbara remark that William bought?,4.3265,1.9419,49,"[7, 7, 6, 7, 5, 7, 5, 3, 3, 5, 7, 7, 3, 5, 5, 2, 3, 1, 5, 2, 4, 4, 1, 2, 1, 4, 7, 7, 1, 4, 4, 4, 5, 5, 2, 1, 3, 3, 6, 5, 5, 5, 7, 4, 3, 7, 7, 2, 4]"
What did Barbara shriek that Thomas bought?,3.8367,1.8222,49,"[6, 5, 3, 5, 6, 7, 3, 2, 1, 4, 6, 2, 4, 5, 5, 5, 2, 1, 6, 5, 1, 6, 5, 3, 1, 1, 2, 3, 5, 1, 5, 3, 5, 2, 5, 3, 3, 3, 5, 4, 2, 7, 7, 2, 5, 7, 2, 3, 4]"
What did Charles assert that James sold?,4.94,1.8484,50,"[7, 1, 4, 7, 5, 7, 5, 3, 1, 3, 6, 7, 5, 2, 6, 4, 3, 3, 5, 5, 2, 5, 5, 1, 7, 6, 5, 7, 2, 7, 6, 6, 6, 2, 5, 7, 2, 7, 5, 7, 5, 6, 7, 6, 5, 5, 7, 7, 5, 5]"
What did Charles bluster that Sarah broke?,2.7,1.7804,50,"[1, 1, 1, 1, 1, 7, 3, 1, 3, 3, 2, 1, 4, 1, 5, 4, 1, 1, 3, 6, 1, 3, 3, 1, 3, 1, 3, 4, 5, 1, 2, 2, 6, 4, 3, 2, 1, 3, 1, 1, 2, 1, 1, 6, 3, 3, 7, 6, 2, 4]"
What did Charles cable that John broke?,1.72,1.3571,50,"[1, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 5, 7, 1, 1, 1, 4, 5, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 4, 4, 3, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
What did Charles exhibit that Barbara broke?,3.34,1.7732,50,"[3, 2, 5, 2, 5, 4, 3, 3, 5, 2, 5, 6, 4, 2, 6, 6, 2, 2, 1, 5, 1, 2, 2, 1, 6, 4, 5, 6, 7, 1, 3, 4, 7, 1, 3, 6, 3, 3, 4, 5, 3, 1, 1, 2, 3, 2, 2, 1, 2, 3]"
What did Charles identify that Lisa would buy?,5.46,1.2363,50,"[6, 5, 5, 6, 3, 6, 3, 4, 7, 3, 5, 7, 6, 6, 6, 7, 2, 5, 5, 5, 5, 4, 5, 6, 7, 5, 4, 6, 7, 7, 5, 5, 7, 4, 6, 6, 4, 6, 6, 6, 5, 5, 5, 5, 7, 7, 7, 7, 7, 5]"
What did Charles rave that Nancy broke?,2.98,1.913,50,"[3, 1, 2, 6, 5, 4, 3, 1, 1, 1, 2, 1, 5, 1, 5, 2, 1, 1, 4, 1, 1, 4, 2, 1, 5, 2, 5, 5, 7, 1, 2, 2, 6, 6, 3, 2, 1, 2, 6, 4, 3, 1, 6, 5, 1, 3, 7, 3, 1, 2]"
What did Charles think that Linda broke?,6.36,0.9541,50,"[7, 7, 6, 7, 6, 7, 7, 7, 6, 5, 7, 7, 6, 7, 6, 7, 4, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 5, 5, 6, 6, 7, 3, 4, 5, 7, 7, 6, 7, 5, 7, 7, 7, 7, 7, 7, 6]"
