unit,mean,std,n,individual_ratings
Aaron bought jelly beans at the store. Later Andrea did it too.,3.85,1.0894,20,"[4, 4, 4, 2, 5, 3, 4, 4, 2, 2, 4, 5, 4, 5, 4, 5, 2, 4, 5, 5]"
Aaron bought jelly beans at the store. Later Andrea did too.,3.95,0.9987,20,"[5, 3, 3, 5, 3, 5, 5, 3, 4, 5, 4, 3, 3, 3, 5, 4, 5, 2, 5, 4]"
Aaron bought jelly beans at the store. Then they all spilled on the floor. Later Andrea did it too.,2.4,1.0954,20,"[2, 2, 1, 1, 2, 2, 2, 1, 4, 4, 5, 2, 4, 2, 2, 3, 2, 3, 2, 2]"
Aaron bought jelly beans at the store. Then they all spilled on the floor. Later Andrea did too.,2.85,1.268,20,"[2, 4, 5, 1, 2, 4, 2, 1, 3, 4, 5, 2, 3, 2, 3, 1, 2, 3, 4, 4]"
Alex locked himself out of his house. Then Talia did the same thing.,3.925,1.1226,80,"[4, 4, 5, 4, 4, 4, 3, 3, 4, 2, 5, 5, 3, 5, 3, 5, 4, 3, 4, 2, 5, 5, 5, 5, 4, 2, 5, 5, 4, 4, 2, 5, 5, 4, 5, 5, 5, 4, 5, 5, 2, 1, 5, 4, 2, 3, 4, 3, 5, 2, 3, 2, 1, 3, 5, 5, 3, 3, 5, 4, 5, 5, 5, 4, 3, 5, 2, 5, 4, 4, 5, 3, 4, 4, 4, 5, 5, 5, 3, 4]"
Alex took the trash to the curb. Grudgingly Bridget did it too.,4.15,0.8751,20,"[2, 4, 5, 5, 5, 5, 5, 3, 5, 4, 5, 3, 4, 4, 4, 5, 4, 3, 4, 4]"
Alex took the trash to the curb. Grudgingly Bridget did too.,3.95,1.0501,20,"[3, 3, 5, 4, 2, 3, 5, 5, 5, 2, 5, 4, 3, 3, 4, 5, 5, 5, 4, 4]"
Alex took the trash to the curb. The next day it was picked up by the garbage men. Grudgingly Bridget did it too.,3.4,1.1877,20,"[2, 3, 2, 2, 2, 4, 4, 4, 1, 4, 3, 2, 4, 5, 4, 4, 4, 4, 5, 5]"
Alex took the trash to the curb. The next day it was picked up by the garbage men. Grudgingly Bridget did too.,2.7,1.2607,20,"[2, 2, 2, 3, 4, 5, 4, 3, 4, 1, 2, 2, 4, 3, 2, 1, 2, 5, 2, 1]"
Alicia bought a book online. Later Greg bought the same one.,4.05,0.8987,80,"[4, 3, 5, 4, 5, 3, 3, 3, 3, 4, 5, 4, 3, 5, 3, 4, 4, 4, 4, 4, 4, 5, 2, 5, 5, 4, 5, 4, 5, 4, 3, 4, 5, 4, 5, 5, 5, 4, 5, 5, 3, 4, 5, 2, 2, 3, 5, 5, 5, 4, 3, 3, 3, 3, 2, 5, 5, 3, 5, 4, 5, 5, 3, 4, 4, 4, 4, 5, 5, 4, 5, 3, 4, 4, 5, 5, 4, 5, 3, 4]"
