unit,mean,std,n,individual_ratings,item_type
Barbara was angry that Thomas bought something.,4.1,1.1653,20,"[5, 5, 4, 5, 2, 4, 4, 1, 5, 5, 5, 5, 4, 3, 4, 5, 3, 5, 5, 3]",test
Barbara was disappointed that David took something.,4.4,0.9403,20,"[4, 5, 5, 5, 2, 2, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 4]",test
Barbara was distraught that Susan understood something.,3.25,1.2085,20,"[2, 5, 2, 4, 4, 2, 4, 1, 4, 5, 2, 4, 3, 4, 2, 5, 2, 4, 3, 3]",test
Barbara was impressed that Jessica wanted something.,3.7,1.2607,20,"[2, 5, 4, 3, 3, 5, 5, 1, 4, 5, 2, 4, 3, 4, 5, 5, 2, 5, 4, 3]",test
Barbara was shocked that Elizabeth broke something.,4.45,0.887,20,"[5, 5, 4, 5, 5, 2, 5, 4, 5, 5, 5, 5, 4, 3, 5, 5, 4, 5, 5, 3]",test
Charles was amused that Barbara required something.,3.4,1.2732,20,"[2, 5, 4, 3, 3, 1, 4, 1, 4, 5, 2, 4, 4, 3, 3, 5, 2, 5, 4, 4]",test
Charles was ashamed that David sold something.,3.85,1.268,20,"[5, 5, 2, 4, 3, 2, 5, 1, 4, 5, 4, 4, 5, 3, 5, 5, 2, 5, 4, 4]",test
Charles was flustered that Patricia disagreed.,4.1,1.1653,20,"[4, 5, 5, 4, 5, 2, 5, 1, 5, 5, 5, 3, 4, 3, 5, 5, 4, 5, 4, 3]",filler
Charles was jealous that Jennifer understood.,3.2,1.3611,20,"[3, 5, 2, 4, 1, 5, 4, 1, 1, 5, 2, 3, 2, 3, 4, 5, 3, 4, 3, 4]",filler
Charles was livid that Nancy took something.,4.4,1.0463,20,"[5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 2, 5, 4, 3]",test
Charles was sore that William understood something.,2.2,1.105,20,"[1, 3, 2, 2, 1, 3, 2, 1, 2, 4, 1, 1, 4, 3, 4, 1, 3, 2, 3, 1]",test
Christopher was anxious that Barbara arrived.,3.8,1.2814,20,"[3, 5, 5, 4, 4, 2, 5, 1, 5, 5, 2, 4, 3, 3, 5, 5, 4, 5, 4, 2]",filler
Christopher was anxious that Barbara took something.,4.0,1.1698,20,"[5, 5, 5, 4, 5, 2, 5, 1, 5, 4, 5, 4, 2, 4, 4, 5, 4, 4, 4, 3]",test
Christopher was aware that Lisa concurred.,4.3,0.8645,20,"[3, 5, 5, 4, 5, 5, 5, 4, 2, 5, 5, 5, 3, 4, 4, 5, 4, 5, 4, 4]",filler
Christopher was certain that James stole something.,4.65,0.6708,20,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 4, 3]",test
Christopher was elated that Elizabeth concurred.,3.7,1.5252,20,"[4, 5, 5, 4, 2, 1, 4, 1, 5, 5, 5, 1, 2, 3, 5, 5, 4, 5, 5, 3]",filler
Christopher was excited that Nancy sold something.,4.25,1.0699,20,"[4, 5, 5, 5, 4, 3, 5, 1, 5, 5, 5, 5, 3, 3, 5, 5, 4, 5, 4, 4]",test
Christopher was grateful that Mary understood something.,4.2,1.0052,20,"[3, 5, 5, 5, 4, 3, 5, 2, 4, 5, 5, 5, 3, 3, 5, 5, 5, 5, 4, 3]",test
Christopher was jubilant that Barbara bought something.,3.85,1.1821,20,"[4, 5, 5, 2, 4, 2, 5, 1, 5, 5, 5, 3, 4, 3, 4, 5, 4, 4, 4, 3]",test
Christopher was jubilant that Barbara laughed.,4.0,1.2566,20,"[5, 5, 5, 2, 3, 5, 5, 1, 5, 5, 5, 4, 5, 3, 4, 4, 3, 5, 4, 2]",filler
Christopher was livid that Joseph arrived.,3.45,1.3563,20,"[3, 5, 4, 4, 3, 2, 4, 1, 5, 5, 2, 4, 2, 4, 4, 5, 2, 5, 4, 1]",filler
Christopher was livid that Joseph sold something.,3.65,1.3089,20,"[5, 5, 3, 5, 2, 1, 4, 2, 4, 5, 2, 3, 4, 4, 5, 5, 2, 5, 4, 3]",test
Christopher was worried that Richard moved.,4.1,1.3338,20,"[4, 5, 5, 5, 4, 1, 5, 1, 5, 5, 2, 5, 5, 4, 4, 5, 3, 5, 5, 4]",filler
Christopher was worried that Richard took something.,4.35,1.0894,20,"[4, 5, 5, 5, 5, 1, 5, 4, 5, 5, 5, 5, 3, 3, 5, 5, 5, 5, 4, 3]",test
Daniel was ecstatic that Linda agreed.,4.3,1.2607,20,"[5, 5, 5, 5, 5, 2, 5, 1, 5, 5, 5, 5, 4, 4, 5, 5, 2, 5, 5, 3]",filler
Daniel was irritated that Charles stole something.,4.45,0.887,20,"[5, 5, 5, 5, 5, 5, 4, 2, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 4, 3]",test
Daniel was mad that Nancy agreed.,3.75,1.4824,20,"[3, 5, 2, 5, 1, 1, 5, 3, 5, 5, 5, 5, 2, 4, 5, 5, 2, 5, 3, 4]",filler
Daniel was satisfied that Christopher laughed.,4.15,1.04,20,"[5, 5, 4, 5, 4, 2, 5, 1, 4, 5, 4, 5, 4, 4, 5, 4, 4, 5, 4, 4]",filler
Daniel was satisfied that Christopher wanted something.,3.75,1.118,20,"[4, 5, 3, 4, 3, 2, 4, 1, 5, 5, 4, 3, 4, 4, 4, 5, 4, 5, 4, 2]",test
Daniel was worried that Elizabeth smiled.,3.5,1.539,20,"[4, 5, 5, 5, 1, 1, 4, 1, 5, 5, 2, 5, 2, 3, 3, 5, 3, 5, 4, 2]",filler
David was bitter that Jessica waited.,3.5,1.3955,20,"[2, 5, 2, 4, 2, 3, 5, 1, 4, 5, 2, 5, 2, 4, 5, 5, 2, 5, 3, 4]",filler
David was certain that Charles understood something.,4.0,1.3377,20,"[5, 5, 5, 3, 5, 1, 5, 1, 4, 5, 4, 4, 4, 3, 5, 5, 4, 5, 5, 2]",test
David was convinced that Sarah concurred.,4.0,1.3765,20,"[2, 5, 5, 4, 5, 2, 5, 1, 5, 5, 5, 5, 2, 4, 2, 5, 4, 5, 5, 4]",filler
David was fearful that Christopher desired something.,4.0,1.0761,20,"[4, 5, 3, 5, 4, 4, 4, 4, 5, 5, 2, 5, 2, 4, 5, 5, 3, 5, 4, 2]",test
David was indignant that Daniel arrived.,3.0,1.3765,20,"[2, 5, 2, 3, 3, 2, 5, 1, 2, 5, 5, 3, 1, 3, 2, 2, 2, 5, 4, 3]",filler
David was irritated that Jennifer waited.,3.95,1.3169,20,"[4, 5, 3, 4, 3, 1, 5, 1, 5, 5, 5, 5, 2, 4, 5, 5, 4, 5, 4, 4]",filler
Elizabeth was amused that David arrived.,3.7,1.2183,20,"[3, 5, 3, 4, 2, 3, 4, 1, 5, 5, 4, 4, 2, 4, 5, 5, 4, 5, 4, 2]",filler
