unit,mean,std,n,individual_ratings
A backpack carries all the essentials on a hike. Food banks offer meals to those in need.,1.9286,1.2515,28,"[1, 3, 2, 1, 2, 1, 3, 2, 5, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 5, 5, 3]"
A car accident blocked off one lane of the highway. Water restrictions were imposed on the community.,1.5714,0.8207,28,"[1, 2, 4, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 3]"
A garden brings color to a backyard. The firm's new laptop is cutting-edge and stylish.,1.1786,0.467,28,"[1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2]"
A lighthouse guides ships to safety. Aaron couldn't get the catchy tune out of his mind.,1.2143,0.6739,28,"[1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1]"
A melody was stuck in Jim's head all day. The investor nurtured startups into thriving companies.,1.3929,1.0467,28,"[3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1]"
A menacing storm rolled across the horizon. Alicia stayed up for two days straight to complete the project.,1.8571,1.1867,28,"[2, 3, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 6, 1, 3, 3, 1, 3]"
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,6.6786,0.6008,28,"[7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 6, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 6, 6, 7, 6]"
A new tech startup opened its doors last month. The firm specializes in software for small businesses.,6.6786,0.8042,28,"[7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 6, 7, 4, 7, 7, 7]"
A tree provides a home for birds. Helmets guard heads during sporting events.,1.8214,1.4406,28,"[1, 1, 3, 1, 1, 1, 2, 2, 5, 1, 1, 5, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 3, 2]"
An intense heat wave swept across the city. The shag carpet was completely soaked.,1.6429,1.2877,28,"[2, 2, 1, 1, 1, 1, 3, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 3, 1, 1, 2, 1, 2]"
