unit,mean,std,n,individual_ratings
"After the man started weighing himself on his scale everyday, he found that he was more motivated to lose weight. In fact, he started going to the gym regularly, and before long had lost ten pounds.",4.6707,0.7545,82,"[5, 5, 5, 4, 2, 4, 2, 5, 5, 4, 5, 4, 5, 3, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 1, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5]"
Chris had never cut down a tree before. Today he cut down a tree again.,1.7,1.181,40,"[1, 1, 2, 4, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 2, 3, 1, 1, 1, 1, 5, 2, 2, 1, 1, 1, 2, 1, 5, 1, 1, 2, 2, 1, 1, 1, 1, 1, 5, 1]"
Chris had never cut down a tree before. Today he cut down a tree.,4.381,0.8821,42,"[4, 5, 1, 5, 4, 5, 4, 4, 5, 5, 5, 4, 5, 4, 4, 5, 2, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 4, 4, 5, 3, 5, 3, 5, 4, 5, 5, 4, 5, 5, 5]"
Danielle had never flown on a plane before. Today she flew on a plane again.,1.85,1.442,40,"[5, 1, 2, 4, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 1, 3, 1, 2, 2, 2, 5, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 1]"
Danielle had never flown on a plane before. Today she flew on a plane.,4.4524,0.889,42,"[3, 5, 1, 5, 4, 5, 4, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 2, 5]"
"I cleaned up after the party, and three slices of pizza were left over. One of the slices of pizza that was left over was covered with garlic.",4.5366,0.7105,41,"[5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 2, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 3, 5, 3, 5, 4, 5, 5, 4, 5, 5, 5]"
"I cleaned up after the party, and three slices of pizza were left over. The slice of pizza that was left over was covered with garlic.",2.55,1.2999,40,"[5, 1, 5, 2, 2, 3, 1, 5, 1, 3, 2, 2, 3, 3, 1, 5, 1, 2, 3, 2, 5, 3, 1, 3, 2, 2, 2, 2, 5, 3, 4, 2, 2, 2, 2, 2, 4, 2, 1, 1]"
"I closed up the restaurant yesterday, and two umbrellas were left behind by customers. One of the umbrellas that was left behind looked very expensive.",4.675,0.7299,40,"[5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 3, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5]"
"I closed up the restaurant yesterday, and two umbrellas were left behind by customers. The umbrella that was left behind looked very expensive.",3.3415,1.2572,41,"[3, 1, 5, 5, 3, 5, 4, 3, 2, 5, 5, 3, 3, 4, 4, 1, 5, 3, 5, 2, 4, 2, 4, 4, 2, 4, 4, 2, 5, 2, 3, 2, 3, 1, 4, 2, 5, 4, 3, 4, 2]"
"I collected all of my receipts from my vacation, and four businesses had overcharged me. One of the businesses that overcharged me was later shut down for fraud.",4.5476,0.7715,42,"[5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 1, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4, 4, 5, 4, 5, 3, 5, 4, 4, 5, 4, 5, 5, 5]"
"I collected all of my receipts from my vacation, and four businesses had overcharged me. The business that overcharged me was later shut down for fraud.",3.1026,1.4831,39,"[1, 5, 3, 2, 3, 2, 5, 2, 4, 2, 2, 5, 3, 2, 5, 1, 2, 3, 1, 5, 4, 2, 3, 2, 2, 3, 2, 5, 5, 5, 5, 5, 1, 5, 2, 4, 5, 2, 1]"
"I did some yard work over the weekend, and two bee hives had formed under my house. One of the bee hives that formed under my house appeared to be empty.",4.359,0.9594,39,"[5, 3, 5, 5, 4, 3, 1, 5, 4, 4, 5, 5, 3, 3, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 2, 5, 4, 5, 5, 4, 5, 5]"
"I did some yard work over the weekend, and two bee hives had formed under my house. The bee hive that formed under my house appeared to be empty.",3.2857,1.1746,42,"[3, 2, 4, 2, 4, 4, 4, 4, 5, 5, 5, 2, 4, 2, 3, 5, 2, 4, 3, 5, 2, 3, 2, 4, 4, 2, 3, 4, 3, 5, 2, 3, 2, 3, 1, 5, 3, 5, 4, 2, 2, 2]"
