unit,mean,std,n,individual_ratings
A student failed for leaving class on an exam day when the professor arrived 20 minutes late and then gave the exam.,3.0361,1.2748,415,"[1, 3, 4, 5, 4, 3, 1, 4, 2, 1, 2, 4, 2, 3, 4, 4, 4, 3, 2, 2, 4, 4, 2, 2, 5, 2, 1, 4, 5, 1, 2, 2, 2, 5, 1, 3, 3, 1, 3, 4, 4, 2, 4, 3, 2, 4, 1, 5, 1, 1, 5, 3, 1, 2, 3, 1, 4, 5, 4, 4, 2, 3, 4, 2, 1, 1, 4, 5, 3, 4, 4, 3, 1, 2, 3, 2, 2, 4, 4, 5, 1, 3, 5, 3, 4, 3, 2, 1, 3, 3, 5, 4, 4, 4, 3, 3, 2, 1, 4, 5, 4, 4, 2, 2, 2, 2, 5, 1, 2, 1, 2, 5, 4, 5, 4, 3, 5, 2, 2, 4, 3, 2, 5, 4, 2, 5, 2, 4, 2, 4, 1, 4, 2, 5, 2, 3, 4, 5, 2, 4, 3, 2, 2, 4, 2, 3, 3, 4, 2, 5, 3, 3, 2, 3, 2, 2, 1, 1, 4, 5, 1, 1, 5, 1, 2, 5, 4, 4, 3, 2, 2, 5, 3, 2, 5, 3, 5, 1, 3, 5, 3, 5, 2, 3, 4, 1, 3, 3, 4, 1, 5, 2, 5, 3, 2, 1, 3, 1, 2, 1, 4, 2, 5, 4, 5, 2, 5, 2, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 1, 4, 5, 3, 3, 2, 4, 5, 3, 3, 3, 4, 2, 2, 4, 2, 2, 4, 3, 4, 2, 5, 1, 4, 4, 3, 4, 4, 3, 3, 2, 2, 5, 4, 4, 4, 4, 3, 5, 4, 4, 1, 5, 1, 3, 2, 2, 5, 3, 3, 1, 4, 2, 4, 3, 5, 3, 2, 1, 2, 2, 5, 2, 3, 1, 2, 2, 3, 2, 2, 2, 2, 4, 5, 5, 5, 2, 3, 5, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 3, 3, 2, 2, 2, 2, 2, 3, 2, 4, 4, 1, 3, 4, 5, 3, 4, 5, 1, 2, 2, 4, 2, 5, 5, 4, 4, 2, 3, 2, 2, 2, 4, 5, 3, 3, 4, 1, 2, 4, 4, 3, 1, 5, 5, 2, 3, 2, 4, 2, 2, 5, 1, 4, 4, 1, 3, 2, 5, 2, 2, 4, 4, 4, 4, 3, 3, 3, 4, 2, 2, 3, 4, 2, 4, 3, 4, 1, 3, 3, 5, 5, 1, 3, 3, 4, 4, 1, 3, 5, 2, 5, 4, 5, 3, 4, 5, 4, 4, 5, 2, 3, 4, 4, 5, 5, 4, 3]"
Companies are producing products that are so complex that they break too easily to be safe for children.,3.75,1.1498,416,"[5, 4, 2, 4, 5, 1, 5, 2, 1, 5, 3, 5, 5, 4, 4, 5, 5, 5, 2, 4, 3, 5, 5, 4, 5, 4, 4, 4, 1, 1, 4, 5, 5, 3, 1, 2, 3, 3, 4, 1, 5, 4, 4, 4, 3, 3, 4, 3, 5, 5, 5, 3, 1, 5, 4, 4, 4, 5, 5, 3, 5, 4, 3, 3, 4, 4, 4, 5, 5, 5, 3, 4, 3, 5, 4, 5, 5, 5, 4, 5, 1, 4, 3, 1, 4, 2, 3, 2, 3, 2, 5, 4, 4, 5, 4, 4, 4, 1, 5, 5, 4, 4, 3, 4, 5, 5, 5, 2, 4, 4, 3, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 2, 4, 5, 4, 4, 2, 4, 4, 5, 3, 4, 5, 3, 4, 5, 2, 4, 4, 3, 4, 3, 5, 2, 4, 4, 3, 4, 5, 4, 2, 3, 3, 2, 4, 2, 5, 3, 2, 2, 5, 4, 3, 5, 5, 4, 4, 2, 5, 5, 3, 5, 3, 5, 2, 4, 3, 5, 4, 2, 4, 4, 5, 4, 2, 5, 3, 4, 5, 2, 2, 2, 3, 5, 5, 3, 3, 4, 3, 2, 5, 3, 4, 3, 5, 4, 1, 5, 1, 2, 3, 3, 5, 2, 4, 3, 4, 5, 4, 4, 4, 2, 5, 4, 1, 4, 4, 5, 5, 4, 4, 2, 4, 2, 4, 5, 4, 2, 4, 5, 2, 3, 5, 4, 5, 2, 3, 4, 4, 4, 5, 5, 5, 4, 3, 4, 4, 4, 5, 5, 2, 5, 4, 4, 4, 4, 4, 3, 4, 2, 4, 3, 2, 5, 3, 3, 4, 5, 5, 5, 1, 4, 1, 3, 4, 2, 4, 5, 5, 5, 5, 4, 2, 1, 5, 4, 4, 5, 3, 4, 2, 5, 3, 4, 5, 2, 4, 2, 2, 5, 4, 3, 5, 5, 3, 3, 4, 3, 4, 3, 3, 5, 5, 4, 2, 4, 2, 4, 4, 4, 5, 3, 4, 4, 4, 4, 2, 5, 5, 3, 4, 3, 5, 5, 5, 3, 4, 4, 4, 1, 5, 4, 3, 3, 4, 5, 4, 5, 4, 4, 4, 4, 5, 3, 4, 5, 5, 5, 2, 2, 4, 4, 2, 3, 5, 2, 5, 5, 4, 4, 4, 4, 3, 5, 3, 4, 5, 4, 2, 4, 4, 3, 4, 3, 2, 4, 4, 5, 5, 4, 5, 4, 5, 5, 1, 4, 5, 5, 5, 2, 2, 5, 4, 2, 3]"
For some reason gold has out-performed all other precious metals.,4.6187,0.7561,417,"[4, 5, 5, 5, 5, 1, 5, 4, 5, 4, 4, 5, 5, 4, 2, 5, 5, 5, 5, 5, 5, 5, 2, 4, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 4, 5, 5, 5, 5, 5, 4, 5, 2, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 3, 5, 4, 5, 4, 5, 5, 3, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 1, 5, 5, 5, 5, 4, 3, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 5, 2, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 4, 5, 5, 4, 5, 5, 5, 1, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 4, 5, 4, 4, 5, 5, 5, 5, 4, 5, 3, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 2, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5]"
I can't believe that bus and train companies are not more child friendly.,4.3405,0.9466,417,"[5, 2, 5, 5, 5, 2, 5, 3, 3, 3, 1, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 3, 5, 5, 4, 5, 1, 3, 4, 5, 4, 5, 4, 2, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 4, 4, 5, 1, 5, 5, 4, 5, 4, 5, 5, 5, 5, 1, 5, 4, 4, 5, 4, 5, 4, 5, 5, 4, 1, 5, 4, 4, 4, 4, 5, 5, 4, 4, 5, 5, 3, 4, 4, 5, 5, 5, 3, 4, 5, 4, 5, 5, 4, 5, 5, 3, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 4, 3, 3, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 3, 4, 4, 2, 5, 5, 4, 2, 5, 5, 4, 5, 4, 5, 4, 3, 3, 5, 5, 5, 5, 5, 4, 5, 3, 5, 4, 5, 3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 4, 5, 4, 4, 5, 4, 4, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 3, 5, 3, 1, 4, 5, 5, 5, 5, 5, 4, 3, 4, 5, 5, 4, 5, 4, 3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 2, 5, 5, 3, 5, 5, 2, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 1, 4, 3, 4, 5, 5, 5, 4, 4, 4, 2, 5, 2, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 3, 5, 5, 5, 4, 5, 2, 2, 4, 5, 5, 2, 5, 4, 5, 5, 5, 4, 4, 4, 4, 4, 5, 5, 4, 5, 5, 3, 4, 2, 3, 4, 3, 5, 5, 5, 5, 5, 3, 5, 4, 4, 5, 5, 3, 4, 5, 5, 5, 2, 5, 4, 2, 4, 5, 5, 5, 5, 3, 4, 4, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 4, 4, 4, 3, 5, 5, 4, 5, 5, 5, 5, 5, 2, 4, 5, 5, 5, 5, 4, 4, 4, 3, 4, 4, 4, 3, 1, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 3, 4, 5, 5, 5, 4]"
Only Georgia had a serious enough water shortage problem to warrant drastic measures.,4.3278,0.9204,418,"[5, 4, 5, 5, 5, 1, 5, 4, 3, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 4, 4, 5, 5, 3, 4, 5, 2, 5, 5, 4, 5, 3, 4, 4, 5, 5, 5, 5, 5, 4, 2, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 3, 5, 5, 4, 3, 4, 1, 5, 5, 5, 4, 3, 5, 5, 5, 2, 5, 5, 4, 5, 4, 5, 5, 5, 3, 4, 4, 5, 5, 3, 5, 4, 5, 4, 5, 5, 4, 4, 4, 1, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 3, 4, 5, 3, 5, 5, 5, 5, 5, 4, 4, 3, 4, 4, 4, 5, 5, 4, 5, 5, 3, 5, 4, 4, 5, 5, 5, 3, 5, 5, 4, 4, 4, 5, 2, 4, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 3, 4, 5, 5, 4, 5, 4, 4, 3, 5, 4, 5, 4, 5, 5, 5, 4, 4, 5, 5, 3, 4, 5, 5, 5, 4, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 4, 3, 3, 3, 2, 4, 5, 5, 5, 5, 3, 4, 4, 4, 5, 5, 5, 5, 2, 4, 4, 5, 5, 2, 4, 4, 4, 5, 5, 3, 4, 4, 5, 4, 5, 5, 5, 4, 1, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5, 4, 3, 1, 5, 3, 3, 4, 4, 5, 4, 5, 5, 4, 4, 5, 5, 3, 5, 4, 5, 5, 5, 4, 5, 2, 5, 4, 5, 5, 3, 4, 1, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 2, 5, 4, 3, 5, 4, 4, 3, 3, 4, 5, 5, 4, 5, 5, 2, 4, 5, 4, 4, 3, 5, 5, 5, 5, 4, 5, 5, 2, 5, 3, 4, 5, 5, 4, 4, 5, 4, 1, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 4, 4, 5, 3, 4, 5, 3, 4, 5, 4, 3, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 4, 4, 5, 3, 5, 5, 4, 3, 4, 5, 4, 5, 5, 2, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 3, 1, 3, 5, 4, 5, 5]"
Only one of the ushers who had forgotten his flashlight was able to borrow one that day.,3.7428,1.143,416,"[4, 3, 4, 4, 5, 1, 3, 5, 2, 4, 2, 5, 4, 5, 3, 5, 5, 3, 4, 2, 4, 5, 3, 3, 5, 5, 4, 3, 1, 3, 2, 5, 3, 3, 4, 5, 5, 2, 5, 4, 4, 2, 2, 3, 4, 1, 5, 5, 4, 3, 4, 4, 1, 4, 4, 5, 5, 5, 5, 1, 3, 5, 2, 5, 5, 4, 5, 3, 4, 5, 4, 3, 3, 4, 4, 5, 5, 3, 4, 5, 3, 5, 2, 4, 4, 3, 1, 3, 2, 5, 3, 5, 4, 5, 2, 4, 2, 1, 5, 2, 4, 4, 4, 4, 4, 5, 4, 5, 5, 4, 5, 4, 4, 3, 5, 5, 3, 5, 2, 4, 5, 5, 4, 4, 5, 5, 5, 3, 3, 3, 5, 2, 4, 4, 3, 4, 5, 5, 3, 5, 2, 5, 4, 5, 5, 3, 4, 2, 5, 5, 3, 5, 4, 3, 4, 3, 4, 2, 4, 4, 2, 2, 3, 4, 4, 2, 3, 2, 3, 3, 5, 5, 5, 5, 3, 4, 3, 3, 4, 5, 4, 5, 2, 2, 4, 2, 4, 4, 5, 4, 5, 4, 2, 2, 4, 2, 3, 4, 5, 1, 4, 2, 5, 3, 1, 4, 2, 3, 4, 4, 3, 4, 4, 2, 2, 3, 4, 5, 4, 5, 2, 4, 4, 4, 5, 4, 4, 5, 2, 4, 4, 5, 3, 3, 2, 4, 4, 5, 4, 5, 3, 4, 3, 4, 5, 2, 4, 3, 4, 4, 3, 5, 5, 5, 3, 4, 5, 5, 2, 2, 1, 4, 4, 2, 4, 1, 4, 4, 4, 2, 5, 3, 4, 1, 5, 3, 5, 3, 3, 5, 5, 3, 2, 3, 4, 3, 4, 2, 4, 4, 2, 5, 5, 5, 4, 4, 5, 3, 5, 5, 3, 2, 4, 5, 5, 5, 4, 4, 4, 4, 2, 4, 5, 5, 4, 5, 2, 2, 3, 4, 3, 3, 2, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 3, 3, 5, 4, 5, 4, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 3, 5, 5, 3, 4, 5, 5, 1, 5, 5, 4, 4, 4, 4, 4, 4, 4, 2, 2, 3, 1, 2, 4, 4, 4, 5, 5, 4, 5, 2, 5, 4, 4, 2, 4, 5, 2, 5, 5, 4, 4, 1, 3, 3, 4, 2, 2, 3, 5, 4, 5, 4, 3, 3, 2, 5, 2, 5, 5, 5, 3, 4, 4, 5, 5, 5, 3]"
"Only ten percent of the insect species will be endangered in 2050, much lower than the proportion of mammals.",4.0821,1.0463,414,"[4, 4, 5, 5, 5, 1, 5, 3, 3, 5, 4, 5, 5, 4, 4, 5, 2, 5, 4, 4, 5, 4, 4, 5, 4, 4, 5, 2, 2, 4, 3, 3, 5, 3, 5, 4, 5, 5, 4, 5, 4, 2, 4, 4, 5, 5, 5, 5, 4, 4, 4, 4, 2, 5, 4, 5, 3, 4, 5, 5, 5, 2, 4, 1, 5, 2, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 2, 4, 5, 2, 3, 5, 2, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 3, 4, 4, 5, 2, 5, 4, 5, 4, 4, 5, 3, 5, 5, 1, 4, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 4, 5, 4, 4, 4, 2, 5, 4, 5, 4, 4, 4, 5, 2, 5, 5, 2, 5, 5, 5, 5, 3, 5, 3, 5, 4, 3, 4, 4, 5, 4, 5, 4, 5, 4, 4, 4, 4, 5, 4, 3, 5, 5, 2, 4, 2, 2, 2, 5, 4, 5, 5, 5, 2, 5, 5, 4, 4, 4, 2, 5, 4, 2, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 3, 3, 5, 3, 4, 5, 5, 5, 4, 1, 2, 4, 2, 4, 4, 4, 5, 3, 2, 4, 4, 3, 5, 4, 4, 4, 5, 5, 5, 5, 4, 4, 5, 2, 4, 4, 5, 4, 5, 4, 5, 4, 4, 5, 3, 5, 5, 4, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 5, 4, 2, 3, 4, 2, 4, 5, 4, 3, 2, 4, 4, 3, 3, 2, 5, 5, 5, 4, 4, 5, 3, 3, 5, 4, 4, 4, 5, 5, 4, 5, 2, 4, 4, 5, 5, 2, 5, 2, 5, 4, 5, 4, 2, 4, 4, 5, 5, 5, 3, 4, 5, 2, 4, 4, 3, 4, 3, 5, 5, 5, 5, 4, 3, 5, 2, 4, 4, 5, 3, 4, 5, 3, 5, 4, 5, 5, 4, 4, 4, 2, 3, 3, 4, 2, 4, 2, 5, 5, 3, 3, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 1, 3, 5, 1, 4, 2, 2, 2, 4, 3, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 1, 5, 5, 4, 4, 5, 3, 2, 5, 5, 4, 5, 4, 4, 5, 5, 3, 5, 4, 5, 5, 4, 2, 4, 5, 4, 4]"
Our basketball team is doing poorly because all of our top players graduated last year.,4.6364,0.7557,418,"[5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 2, 4, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 3, 5, 5, 5, 4, 5, 2, 5, 5, 3, 4, 5, 5, 5, 5, 4, 2, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 4, 4, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 2, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 2, 5, 5, 5, 5, 1, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 4, 5, 1, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 3, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 4, 4, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 2, 5, 5, 5, 3, 4, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5]"
Rents have only gone up in certain metropolitan areas where the economic downturn had a smaller effect on the local economy.,3.8034,1.1332,412,"[5, 5, 5, 5, 5, 1, 4, 2, 2, 4, 2, 5, 5, 5, 4, 5, 5, 3, 4, 5, 4, 5, 2, 4, 4, 5, 4, 4, 1, 1, 4, 4, 3, 2, 2, 5, 3, 5, 4, 2, 5, 5, 4, 5, 5, 5, 4, 5, 2, 5, 3, 3, 5, 3, 4, 2, 5, 5, 4, 4, 4, 4, 3, 5, 5, 4, 5, 4, 5, 5, 5, 2, 4, 5, 4, 2, 4, 4, 4, 5, 2, 2, 4, 4, 3, 3, 3, 4, 5, 5, 3, 2, 5, 3, 4, 4, 2, 5, 4, 4, 1, 3, 4, 5, 5, 5, 5, 4, 2, 5, 5, 5, 4, 5, 5, 4, 3, 3, 4, 5, 3, 4, 4, 5, 4, 5, 4, 4, 4, 5, 4, 2, 4, 5, 4, 5, 5, 5, 2, 2, 2, 4, 4, 5, 3, 2, 5, 3, 4, 5, 4, 1, 2, 3, 5, 3, 4, 4, 2, 5, 3, 4, 4, 4, 1, 4, 5, 2, 5, 4, 5, 4, 3, 4, 1, 4, 1, 4, 3, 4, 2, 5, 4, 4, 4, 4, 4, 5, 4, 2, 2, 3, 2, 5, 4, 2, 5, 4, 4, 4, 5, 3, 4, 4, 3, 2, 4, 5, 4, 3, 4, 2, 1, 3, 4, 4, 4, 5, 3, 3, 4, 2, 5, 2, 4, 4, 3, 4, 4, 2, 3, 1, 4, 2, 4, 4, 5, 3, 4, 5, 4, 2, 5, 2, 5, 2, 3, 5, 5, 5, 5, 3, 4, 4, 3, 5, 4, 2, 4, 5, 2, 3, 4, 4, 4, 4, 4, 2, 5, 5, 4, 4, 4, 4, 5, 2, 4, 4, 5, 5, 3, 2, 2, 4, 2, 4, 3, 2, 4, 2, 5, 5, 4, 5, 5, 5, 4, 4, 4, 3, 3, 1, 4, 5, 5, 4, 2, 5, 4, 2, 5, 4, 3, 5, 5, 2, 4, 2, 4, 3, 3, 5, 5, 5, 5, 4, 4, 5, 4, 4, 5, 4, 4, 3, 5, 5, 3, 3, 3, 5, 4, 4, 5, 5, 3, 2, 5, 2, 5, 5, 5, 3, 5, 4, 2, 4, 5, 5, 5, 3, 5, 4, 5, 5, 4, 2, 4, 4, 4, 4, 3, 5, 5, 4, 4, 5, 5, 4, 2, 5, 5, 3, 5, 4, 4, 5, 4, 4, 4, 3, 4, 4, 2, 4, 4, 5, 5, 4, 5, 2, 5, 5, 2, 1, 5, 2, 1, 4, 3, 4, 5, 4]"
Rhode Island is a coastal state and the weather there gets really bad only in January.,3.4976,1.1685,416,"[3, 2, 4, 2, 5, 1, 4, 4, 3, 2, 4, 5, 2, 4, 4, 5, 1, 2, 4, 5, 5, 2, 3, 4, 5, 3, 3, 2, 1, 3, 3, 3, 5, 3, 3, 4, 2, 4, 2, 5, 5, 4, 4, 5, 2, 5, 5, 5, 5, 5, 4, 2, 4, 3, 5, 4, 5, 5, 3, 5, 4, 4, 4, 1, 3, 5, 3, 4, 4, 5, 2, 2, 2, 4, 4, 3, 4, 5, 3, 5, 2, 4, 4, 1, 4, 3, 2, 3, 4, 5, 4, 4, 4, 5, 2, 1, 3, 2, 5, 3, 4, 4, 3, 3, 5, 5, 5, 3, 4, 4, 3, 5, 3, 5, 5, 5, 3, 4, 1, 3, 3, 4, 3, 5, 3, 5, 2, 4, 3, 3, 4, 1, 2, 5, 4, 5, 4, 3, 5, 3, 2, 3, 4, 5, 1, 2, 2, 4, 4, 4, 3, 4, 4, 4, 2, 2, 3, 5, 3, 4, 3, 4, 4, 3, 2, 5, 3, 4, 3, 5, 2, 5, 2, 5, 2, 4, 3, 5, 5, 3, 4, 5, 3, 2, 4, 3, 1, 4, 5, 2, 4, 2, 2, 2, 4, 2, 3, 2, 5, 3, 4, 2, 5, 4, 4, 3, 4, 3, 4, 3, 3, 5, 4, 5, 4, 5, 4, 4, 2, 3, 3, 2, 2, 4, 4, 5, 3, 4, 3, 2, 3, 2, 5, 2, 4, 5, 5, 3, 5, 4, 2, 4, 4, 5, 2, 3, 2, 4, 2, 5, 4, 4, 4, 4, 2, 5, 3, 5, 4, 3, 1, 5, 3, 4, 3, 5, 5, 5, 2, 2, 3, 4, 5, 5, 5, 2, 3, 2, 5, 5, 4, 2, 4, 5, 4, 4, 4, 4, 5, 4, 5, 4, 4, 3, 2, 1, 3, 4, 2, 4, 2, 2, 5, 4, 3, 4, 2, 4, 4, 4, 5, 4, 5, 4, 2, 3, 4, 3, 3, 3, 3, 1, 4, 4, 1, 4, 3, 5, 5, 4, 4, 5, 3, 2, 2, 4, 4, 2, 1, 5, 3, 5, 4, 2, 2, 4, 4, 5, 2, 2, 5, 5, 3, 4, 5, 4, 2, 5, 4, 4, 4, 3, 4, 4, 3, 3, 3, 2, 2, 3, 1, 3, 4, 3, 5, 4, 4, 5, 5, 4, 5, 4, 2, 3, 5, 2, 4, 4, 4, 3, 1, 2, 4, 4, 2, 3, 4, 3, 4, 2, 2, 4, 3, 5, 5, 2, 5, 1, 5, 4, 1, 2, 3, 2, 4, 2]"
