unit,mean,std,n,individual_ratings
A few boys who petted a dog hugged him yesterday at the dog pound.,2.9185,1.1991,135,"[2, 5, 3, 4, 1, 2, 4, 4, 5, 3, 3, 3, 1, 3, 2, 5, 4, 3, 1, 1, 4, 4, 3, 3, 2, 4, 3, 5, 3, 3, 2, 2, 2, 3, 2, 1, 2, 3, 4, 3, 5, 2, 2, 4, 5, 2, 4, 4, 1, 3, 2, 3, 5, 1, 4, 4, 4, 3, 5, 1, 3, 4, 1, 2, 3, 3, 4, 4, 2, 4, 1, 3, 2, 3, 2, 2, 5, 1, 2, 4, 2, 3, 2, 2, 4, 2, 3, 4, 5, 3, 2, 4, 1, 5, 4, 1, 1, 2, 2, 4, 3, 2, 5, 2, 1, 4, 2, 1, 3, 5, 2, 4, 2, 4, 2, 2, 2, 1, 3, 4, 4, 2, 3, 2, 5, 4, 2, 3, 3, 3, 3, 4, 4, 4, 2]"
A few girls who were kissed by a boy at the party brought him to the next movie night.,3.0074,1.1579,135,"[4, 5, 3, 2, 2, 2, 2, 4, 4, 4, 4, 3, 1, 3, 2, 4, 2, 1, 4, 4, 3, 2, 2, 2, 1, 5, 4, 5, 2, 4, 2, 3, 4, 2, 4, 1, 3, 4, 5, 3, 4, 5, 3, 2, 3, 2, 1, 5, 1, 4, 4, 3, 1, 2, 3, 4, 4, 2, 4, 3, 2, 4, 1, 3, 4, 4, 2, 4, 5, 4, 2, 1, 3, 3, 5, 2, 4, 1, 4, 4, 2, 3, 4, 2, 4, 4, 1, 4, 4, 4, 2, 3, 1, 4, 3, 2, 1, 4, 4, 3, 4, 4, 4, 2, 2, 4, 3, 2, 4, 3, 4, 5, 2, 3, 3, 4, 3, 5, 2, 4, 2, 1, 4, 2, 3, 4, 2, 2, 3, 1, 3, 3, 2, 3, 2]"
A few lawyers discussed the case with their boss and made him finalize it the day after.,3.6593,1.0965,135,"[5, 5, 4, 2, 5, 4, 5, 3, 4, 4, 4, 4, 1, 2, 5, 2, 2, 3, 5, 4, 2, 2, 5, 4, 4, 5, 5, 5, 2, 3, 2, 4, 5, 3, 4, 2, 3, 4, 5, 4, 5, 1, 4, 5, 4, 3, 2, 3, 1, 5, 4, 5, 4, 5, 5, 5, 2, 4, 3, 4, 4, 4, 3, 5, 5, 3, 4, 4, 4, 2, 4, 4, 3, 4, 5, 3, 4, 5, 4, 3, 3, 4, 2, 4, 3, 3, 3, 5, 4, 2, 4, 4, 4, 3, 2, 3, 5, 5, 4, 2, 3, 4, 5, 5, 4, 4, 2, 3, 5, 5, 5, 4, 4, 5, 4, 4, 5, 5, 2, 3, 4, 3, 4, 4, 4, 5, 3, 3, 3, 2, 2, 3, 2, 3, 2]"
A few students met with the teacher at a coffeehouse and introduced him to the new dean of the university.,4.2,0.9722,135,"[5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 3, 5, 4, 5, 4, 3, 3, 5, 4, 4, 3, 5, 5, 4, 5, 5, 3, 3, 5, 5, 2, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 3, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 1, 4, 5, 5, 4, 4, 5, 5, 4, 5, 4, 5, 5, 5, 2, 4, 4, 5, 2, 4, 4, 4, 3, 5, 4, 5, 5, 4, 5, 4, 3, 2, 1, 4, 5, 5, 5, 4, 2, 4, 5, 5, 4, 4, 2, 5, 5, 4, 4, 5, 5, 4, 5, 5, 4, 3, 5, 4, 4, 4, 5, 5, 2, 4, 4, 4, 4, 2, 3, 3, 5, 5, 3, 3]"
A friend of mine lent me his bicycle and borrowed my ball at the playground.,4.2647,0.868,136,"[5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 2, 4, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 3, 3, 4, 4, 5, 5, 4, 5, 4, 5, 5, 4, 5, 4, 4, 5, 4, 5, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 5, 5, 2, 3, 5, 4, 4, 3, 4, 4, 5, 5, 2, 4, 4, 5, 4, 5, 5, 5, 5, 2, 5, 2, 4, 4, 1, 3, 5, 4, 3, 4, 4, 4, 5, 3, 2, 5, 3, 5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 4, 4, 3, 4, 2, 3, 5, 5, 4]"
A girl left the soccer field and came inside when it started to rain.,4.6418,0.7269,134,"[5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 3, 4, 4, 5, 4, 4, 4, 5, 5, 5, 5, 3, 5, 3, 1, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4]"
Every USB-stick-owner used to keep it in the office.,3.1364,1.3244,22,"[3, 4, 2, 2, 3, 3, 4, 4, 2, 5, 5, 1, 4, 1, 5, 2, 4, 1, 3, 2, 4, 5]"
Every babygirl was kissed by her mother on the cheek and cuddled her afterwards.,3.1185,1.2593,135,"[3, 5, 4, 3, 5, 2, 2, 5, 5, 5, 4, 5, 1, 4, 5, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 4, 2, 2, 5, 2, 2, 1, 1, 2, 5, 2, 2, 2, 1, 2, 5, 5, 5, 2, 2, 2, 2, 4, 2, 4, 2, 2, 1, 5, 3, 4, 5, 2, 5, 4, 4, 4, 1, 4, 3, 4, 4, 4, 1, 3, 2, 2, 3, 4, 2, 5, 3, 3, 2, 5, 4, 2, 4, 1, 1, 3, 2, 2, 5, 4, 2, 2, 1, 4, 5, 2, 3, 4, 5, 3, 4, 2, 4, 5, 2, 3, 4, 1, 2, 5, 3, 4, 4, 3, 3, 4, 3, 3, 2, 2, 2, 4, 4, 5, 2, 4, 3, 4, 4, 4, 4, 3, 5, 3, 3]"
Every banker who was now bonusless had lost it when the economy was bad.,2.8636,1.2897,22,"[4, 4, 4, 2, 1, 2, 1, 3, 4, 4, 1, 4, 4, 1, 3, 5, 3, 4, 4, 1, 2, 2]"
Every banker who was now jobless had lost it when the economy was bad.,3.4286,1.0498,21,"[5, 4, 4, 2, 2, 4, 5, 4, 4, 5, 2, 4, 4, 3, 2, 4, 2, 3, 3, 2, 4]"
