unit,mean,std,n,individual_ratings,item_type
A ref has to call every time someone breaks the rules.,5.375,1.4079,8,"[7, 6, 4, 5, 3, 7, 5, 6]",test
A ref must maintain strict enforcement of the sport's regulations.,5.25,1.165,8,"[5, 6, 7, 6, 5, 3, 5, 5]",test
A referee has to call every time someone breaks the rules.,5.1667,2.3166,6,"[6, 1, 4, 7, 7, 6]",test
A referee must maintain strict enforcement of the sport's regulations.,6.4286,0.9759,7,"[7, 7, 7, 5, 7, 7, 5]",test
"After Brexit, the UK was way more strict in letting stuff into the country.",5.3,1.7029,10,"[7, 5, 4, 5, 7, 2, 4, 7, 5, 7]",test
"After Brexit, the United Kingdom was way more strict in letting stuff into the country.",4.6667,2.4221,6,"[6, 7, 7, 1, 3, 4]",test
"After leaving the European Union, the UK implemented stricter import regulations.",6.1667,0.9832,6,"[7, 7, 5, 6, 5, 7]",test
"After leaving the European Union, the United Kingdom implemented stricter import regulations.",6.5714,0.5345,7,"[6, 7, 7, 6, 7, 6, 7]",test
Elliott grabbed the mic to sing kareoke with his friends at the party.,5.8,1.3038,5,"[7, 6, 7, 4, 5]",test
Elliott grabbed the microphone to sing kareoke with his friends at the party.,6.0,1.3093,8,"[6, 3, 7, 7, 6, 6, 7, 6]",test
"Fiona took her sneezy dog to the vet, who said he probably just had allergies.",4.8,1.9889,10,"[3, 4, 7, 2, 2, 5, 5, 6, 7, 7]",test
"Fiona took her sneezy dog to the veterinarian, who said he probably just had allergies.",4.5,2.0736,6,"[4, 5, 1, 6, 4, 7]",test
"Fortuitously, Jennifer's carcinoma didn't have a recurrence after she had chemo.",4.6667,1.9664,6,"[3, 4, 6, 7, 2, 6]",test
"Fortuitously, Jennifer's carcinoma didn't have a recurrence after she had chemotherapy.",2.8,1.7889,5,"[1, 1, 3, 5, 4]",test
Her math research focused on optimizing complex algorithms for machine learning.,6.0,1.4142,9,"[6, 7, 7, 5, 3, 5, 7, 7, 7]",test
Her mathematics research focused on optimizing complex algorithms for machine learning.,6.5,0.5774,4,"[7, 6, 7, 6]",test
Kaylee and Rebecca snapped a photo while they were hanging out at the beach.,6.2,1.2293,10,"[7, 7, 6, 7, 6, 6, 3, 6, 7, 7]",test
Kaylee and Rebecca snapped a photograph while they were hanging out at the beach.,5.6,0.8944,5,"[5, 7, 6, 5, 5]",test
Leah and Sam saw a huge rhino chilling by the water on their safari.,5.0,1.6733,6,"[4, 4, 7, 7, 5, 3]",test
Leah and Sam saw a huge rhinoceros chilling by the water on their safari.,5.5,1.8409,10,"[7, 6, 6, 1, 6, 7, 4, 5, 6, 7]",test
